# c0 + a0 * ((decomposition_energy / max:heat_capacity_molar) / (min:vdw_radius_uff^3))
# Property Label: $exfoliation_{energy}$; Unit of the Property: J * m^-2
# RMSE: 0.481606368185711; Max AE: 9.57105254094905
# Coefficients
# Task   a0                      c0
# all ,  1.669178129430166e+09,  3.399207637971131e-01, 
# Feature Rung, Units, and Expressions
# 0;  2; J^-1 * K * atom^-1 * eV * mol * pm^-3;            2|15|div|20|cb|div; ((decomposition_energy / max:heat_capacity_molar) / (min:vdw_radius_uff^3)); $\left(\frac{ \left(\frac{ decomposition_{energy} }{ max:heat_{capacity, molar} } \right) }{ \left(min:vdw_{radius, uff}^3\right) } \right)$; ((decomposition_energy ./ max:heat_capacity_molar) ./ (min:vdw_radius_uff).^3); decomposition_energy,max:heat_capacity_molar,min:vdw_radius_uff
# Number of Samples Per Task
# Task, n_mats_train            
# all , 3049                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      
3606        ,  2.839481145196585e-01,  3.399207637971131e-01,  0.000000000000000e+00
3114        ,  1.831950432135623e+00,  1.382370504777497e+00,  6.245287561587344e-10
3034        ,  4.935948125875536e-01,  4.026043779898950e-01,  3.755357986518867e-11
915         ,  7.155608468327842e-01,  4.598387503857882e-01,  7.184253404375329e-11
143         ,  2.878408453797652e-01,  3.399207637971131e-01,  0.000000000000000e+00
1747        ,  4.723624565072543e-01,  4.784973516512988e-01,  8.302085044781522e-11
3624        ,  3.119165808174699e-01,  3.399207637971131e-01,  0.000000000000000e+00
1613        ,  4.892777101910798e-01,  6.628141380563101e-01,  1.934445273192192e-10
785         ,  1.323171435250627e+00,  7.352264148246699e-01,  2.368265220216543e-10
1473        ,  4.422223937745569e-01,  3.399207637971131e-01,  0.000000000000000e+00
3936        ,  3.696216735678464e-01,  3.399207637971131e-01,  0.000000000000000e+00
3196        ,  4.682934522240256e-01,  9.739108769757853e-01,  3.798217230386955e-10
1713        ,  5.274016633298737e-01,  5.935202285409530e-01,  1.519307378119166e-10
5825        ,  3.327553083664687e-01,  3.399207637971131e-01,  0.000000000000000e+00
199         ,  1.504427135099300e+00,  1.159699327249520e+00,  4.911270696628810e-10
1800        ,  4.375320177361192e-01,  3.571419787524150e-01,  1.031718224176649e-11
4488        ,  3.500270645846581e-01,  5.029982003144857e-01,  9.769924110678649e-11
1941        ,  4.982888367482280e-01,  4.109219793192208e-01,  4.253663181313460e-11
5607        ,  5.615877319607279e-01,  3.961130073404518e-01,  3.366461766577424e-11
3304        ,  4.207482123452428e-01,  3.803140362056742e-01,  2.419949776262098e-11
5772        ,  9.791729170663426e-01,  4.492176955847069e-01,  6.547948949277585e-11
4208        ,  6.603942215445863e-01,  4.991216775131375e-01,  9.537682701987799e-11
5588        ,  8.803208873918648e-01,  4.249111912983204e-01,  5.091753001234321e-11
5685        ,  1.451928416459744e+00,  8.991878082066214e-01,  3.350553392407761e-10
461         ,  2.895131874006477e-01,  3.432017815004336e-01,  1.965648629988126e-12
180         ,  3.677083798565582e-01,  3.873980421829974e-01,  2.844350614759877e-11
3567        ,  6.455865771715684e-01,  3.592360361887813e-01,  1.157172625923528e-11
986         ,  1.667063758544649e-01,  3.918015206315245e-01,  3.108161790504814e-11
350         ,  3.022496124401135e-01,  3.740969755158697e-01,  2.047487390121986e-11
3563        ,  2.963852956512342e-01,  3.399207637971131e-01,  0.000000000000000e+00
795         ,  2.766538255638341e-01,  3.460109595196775e-01,  3.648619410466124e-12
3276        ,  3.528731625859118e-01,  3.399207637971131e-01,  0.000000000000000e+00
4238        ,  2.446030623760792e-01,  3.399207637971131e-01,  0.000000000000000e+00
5282        ,  5.293873330373472e-01,  3.399207637971131e-01,  0.000000000000000e+00
599         ,  1.941897543062212e-01,  3.676565875256924e-01,  1.661645527194149e-11
3382        ,  4.754043303942602e-01,  3.399207637971131e-01,  0.000000000000000e+00
2828        ,  4.609014146704439e-01,  4.938393366195091e-01,  9.221219120270988e-11
4760        ,  2.326804630331917e-01,  1.023895855941868e+00,  4.097675856669978e-10
4099        ,  2.771646182279487e-01,  6.641285681521454e-01,  1.942319987536096e-10
4506        ,  2.830919218734357e-01,  3.557399180004049e-01,  9.477211523669021e-12
2032        ,  3.425223935124700e-01,  5.909394548399124e-01,  1.503846034266538e-10
5625        ,  9.047570655746466e-01,  5.706069777333588e-01,  1.382034726365596e-10
3021        ,  9.436790737277430e-01,  9.153033135561476e-01,  3.447100939163768e-10
6349        ,  6.066079572580644e-01,  9.063600303567549e-01,  3.393521976908579e-10
3265        ,  4.841085563396736e-01,  3.934063261355082e-01,  3.204305244321314e-11
73          ,  3.010695272812237e-01,  1.176408769498466e+00,  5.011376502919546e-10
909         ,  2.859807336003438e-01,  5.015276497181173e-01,  9.681823831239302e-11
3508        ,  7.316706566321051e-01,  3.952743745506350e-01,  3.316219508125167e-11
5286        ,  2.235408342514859e-01,  4.377773319891473e-01,  5.862559930942845e-11
359         ,  4.663407226120941e-01,  4.264084261463997e-01,  5.181451926812170e-11
3172        ,  4.790530319841335e-01,  1.241392850260906e+00,  5.400694333153902e-10
5918        ,  2.241858049594979e+00,  5.872962955270044e-01,  1.482019967601312e-10
4401        ,  3.273613861116079e-01,  3.399207637971131e-01,  0.000000000000000e+00
3615        ,  3.036705797988253e-01,  3.399207637971131e-01,  0.000000000000000e+00
4407        ,  5.372482734277881e-01,  3.831725426000201e-01,  2.591202103616863e-11
5701        ,  9.203994095360772e-01,  4.021474703121218e-01,  3.727984773934950e-11
538         ,  3.775823948370269e-01,  1.024399484927273e+00,  4.100693083989971e-10
423         ,  3.114023315769188e-01,  3.506640265702309e-01,  6.436259008968337e-12
577         ,  3.135900205824857e-01,  3.399207637971131e-01,  0.000000000000000e+00
3422        ,  2.802083413851849e-01,  5.286637901796580e-01,  1.130754249979175e-10
1518        ,  2.969751162456789e-01,  3.439487358232230e-01,  2.413146898518880e-12
5181        ,  5.261236775456994e-01,  4.478365568303642e-01,  6.465205308560569e-11
1015        ,  3.391061495356983e-01,  9.410368612338634e-01,  3.601269911450152e-10
1156        ,  8.470934050524324e-01,  9.183244050729029e-01,  3.465200214870110e-10
4984        ,  4.348768073655889e-01,  1.370323912335621e+00,  6.173116759505307e-10
4680        ,  3.364035952142165e-01,  6.034277373663396e-01,  1.578662989426923e-10
5095        ,  5.893419787698063e-01,  4.329002335444376e-01,  5.570374312241104e-11
827         ,  4.003907365198857e-01,  5.263406545892007e-01,  1.116836408920172e-10
695         ,  3.284722007121098e+00,  1.316859307359496e+00,  5.852811790050810e-10
5396        ,  8.394699154938887e-02,  7.636169279393786e-01,  2.538351998938001e-10
3038        ,  2.698343232194364e-01,  5.323613613835327e-01,  1.152906296778021e-10
4451        ,  3.854058871881627e-01,  8.216493678112688e-01,  2.886022740895912e-10
683         ,  7.567006984040863e-01,  8.108225314565957e-01,  2.821159463790973e-10
4700        ,  2.941516770264208e-01,  3.973114044942649e-01,  3.438257408557361e-11
2132        ,  6.747740069016210e-01,  6.304741608878165e-01,  1.740697364576028e-10
5269        ,  5.468292537176512e-01,  3.468797020048522e-01,  4.169080630187018e-12
1517        ,  4.146991767326453e-01,  8.922248662335931e-01,  3.308838599658798e-10
4066        ,  3.764670136622192e-01,  7.064280074996124e-01,  2.195734758564204e-10
5182        ,  1.517650397507960e-01,  7.180038133366246e-01,  2.265085091119567e-10
1           ,  4.764892223280973e-01,  6.912819439412106e-01,  2.104995110761769e-10
3515        ,  3.510859978507264e-02,  5.679217194564450e-01,  1.365947418309203e-10
1029        ,  3.092915995936308e-01,  4.556328369224987e-01,  6.932278292244829e-11
5743        ,  3.087205345176252e-01,  3.439641319594147e-01,  2.422370681121945e-12
1217        ,  3.172537314486099e-01,  3.527119824674617e-01,  7.663183721868770e-12
2683        ,  3.844169398000933e-01,  1.084109214163585e+00,  4.458412420132343e-10
759         ,  8.184498203592120e-01,  5.236609788097184e-01,  1.100782545451466e-10
711         ,  2.502401932608478e-01,  3.762555628571688e-01,  2.176807760622886e-11
4207        ,  2.013711137722670e+00,  7.414252971725078e-01,  2.405402552886688e-10
1543        ,  3.840654554424733e-01,  3.399207637971131e-01,  0.000000000000000e+00
3822        ,  4.218122849416643e-01,  3.490361871293464e-01,  5.461024902923441e-12
