# c0 + a0 * ((decomposition_energy / ave:atomic_volume) / (min:vdw_radius_uff * ave:mendeleev_number))
# Property Label: $exfoliation_{energy}$; Unit of the Property: J * m^-2
# RMSE: 0.482443633222354; Max AE: 9.55820859812676
# Coefficients
# Task   a0                      c0
# all ,  6.467184055420544e+05,  3.527647066194017e-01, 
# Feature Rung, Units, and Expressions
# 0;  2; atom^-1 * cm^-3 * eV * mol * pm^-1;               2|28|div|20|17|mult|div; ((decomposition_energy / ave:atomic_volume) / (min:vdw_radius_uff * ave:mendeleev_number)); $\left(\frac{ \left(\frac{ decomposition_{energy} }{ ave:atomic_{volume} } \right) }{ \left(min:vdw_{radius, uff} ave:mendeleev_{number}\right) } \right)$; ((decomposition_energy ./ ave:atomic_volume) ./ (min:vdw_radius_uff .* ave:mendeleev_number)); decomposition_energy,ave:atomic_volume,min:vdw_radius_uff,ave:mendeleev_number
# Number of Samples Per Task
# Task, n_mats_train            
# all , 3049                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      
3606        ,  2.839481145196585e-01,  3.527647066194017e-01,  0.000000000000000e+00
3114        ,  1.831950432135623e+00,  1.446064225492822e+00,  1.690534101866266e-06
3034        ,  4.935948125875536e-01,  4.184368542514353e-01,  1.015467428625133e-07
915         ,  7.155608468327842e-01,  5.226837188388943e-01,  2.627403376235643e-07
143         ,  2.878408453797652e-01,  3.527647066194017e-01,  0.000000000000000e+00
1747        ,  4.723624565072543e-01,  4.780638103043960e-01,  1.937459992034299e-07
3624        ,  3.119165808174699e-01,  3.527647066194017e-01,  0.000000000000000e+00
1613        ,  4.892777101910798e-01,  6.224759293137556e-01,  4.170458431104837e-07
785         ,  1.323171435250627e+00,  7.655450147533912e-01,  6.382689971348704e-07
1473        ,  4.422223937745569e-01,  3.527647066194017e-01,  0.000000000000000e+00
3936        ,  3.696216735678464e-01,  3.527647066194017e-01,  0.000000000000000e+00
3196        ,  4.682934522240256e-01,  8.030577182537705e-01,  6.962736915720692e-07
1713        ,  5.274016633298737e-01,  5.808263951910304e-01,  3.526444997038180e-07
5825        ,  3.327553083664687e-01,  3.527647066194017e-01,  0.000000000000000e+00
199         ,  1.504427135099300e+00,  9.984199048458372e-01,  9.983559965102155e-07
1800        ,  4.375320177361192e-01,  3.669554687431471e-01,  2.194272190514073e-08
4488        ,  3.500270645846581e-01,  4.745347516840350e-01,  1.882891286549519e-07
1941        ,  4.982888367482280e-01,  4.972563924815993e-01,  2.234228755884722e-07
5607        ,  5.615877319607279e-01,  4.452475948953594e-01,  1.430033341921699e-07
3304        ,  4.207482123452428e-01,  3.832850416396147e-01,  4.719261854722080e-08
5772        ,  9.791729170663426e-01,  4.609784728096865e-01,  1.673274879189253e-07
4208        ,  6.603942215445863e-01,  4.527009779767236e-01,  1.545282622249774e-07
5588        ,  8.803208873918648e-01,  4.473463669031235e-01,  1.462485982665779e-07
5685        ,  1.451928416459744e+00,  8.063340148229795e-01,  7.013397242396610e-07
461         ,  2.895131874006477e-01,  3.575451161979452e-01,  7.391794539289015e-09
180         ,  3.677083798565582e-01,  4.022791850349203e-01,  7.656265538633839e-08
3567        ,  6.455865771715684e-01,  3.688051217087748e-01,  2.480278116706547e-08
986         ,  1.667063758544649e-01,  4.168181241570943e-01,  9.904375225567522e-08
350         ,  3.022496124401135e-01,  4.150533332688470e-01,  9.631491251163225e-08
3563        ,  2.963852956512342e-01,  3.527647066194017e-01,  0.000000000000000e+00
795         ,  2.766538255638341e-01,  3.684256508325164e-01,  2.421601747979978e-08
3276        ,  3.528731625859118e-01,  3.527647066194017e-01,  0.000000000000000e+00
4238        ,  2.446030623760792e-01,  3.527647066194017e-01,  0.000000000000000e+00
5282        ,  5.293873330373472e-01,  3.527647066194017e-01,  0.000000000000000e+00
599         ,  1.941897543062212e-01,  4.083454430490268e-01,  8.594271626309974e-08
3382        ,  4.754043303942602e-01,  3.527647066194017e-01,  0.000000000000000e+00
2828        ,  4.609014146704439e-01,  5.719073364062656e-01,  3.388532441769412e-07
4760        ,  2.326804630331917e-01,  9.543434817267500e-01,  9.302020322169865e-07
4099        ,  2.771646182279487e-01,  6.443498822657708e-01,  4.508688374223302e-07
4506        ,  2.830919218734357e-01,  3.670370179984426e-01,  2.206881891211738e-08
2032        ,  3.425223935124700e-01,  6.052422813853947e-01,  3.903980041427397e-07
5625        ,  9.047570655746466e-01,  5.278198810637053e-01,  2.706822211091689e-07
3021        ,  9.436790737277430e-01,  8.887507763314751e-01,  8.287781283460311e-07
6349        ,  6.066079572580644e-01,  7.848128560217117e-01,  6.680622442470674e-07
3265        ,  4.841085563396736e-01,  3.871432289902057e-01,  5.315841033160203e-08
73          ,  3.010695272812237e-01,  9.599692765348552e-01,  9.389010189164448e-07
909         ,  2.859807336003438e-01,  4.671492079413939e-01,  1.768690984233231e-07
3508        ,  7.316706566321051e-01,  4.058518033934900e-01,  8.208688096574693e-08
5286        ,  2.235408342514859e-01,  4.129946807163447e-01,  9.313168386859273e-08
359         ,  4.663407226120941e-01,  4.265378714986091e-01,  1.140730869061527e-07
3172        ,  4.790530319841335e-01,  1.151466432331226e+00,  1.235006950269775e-06
5918        ,  2.241858049594979e+00,  6.280567505881091e-01,  4.256752886721511e-07
