# c0 + a0 * ((decomposition_energy / ave:atomic_volume) / (ave:vdw_radius_uff * min:vdw_radius_uff))
# Property Label: $exfoliation_{energy}$; Unit of the Property: J * m^-2
# RMSE: 0.483069423209772; Max AE: 9.56728315385733
# Coefficients
# Task   a0                      c0
# all ,  3.084858614286670e+06,  3.436901508888330e-01, 
# Feature Rung, Units, and Expressions
# 0;  2; atom^-1 * cm^-3 * eV * mol * pm^-2;               2|28|div|24|20|mult|div; ((decomposition_energy / ave:atomic_volume) / (ave:vdw_radius_uff * min:vdw_radius_uff)); $\left(\frac{ \left(\frac{ decomposition_{energy} }{ ave:atomic_{volume} } \right) }{ \left(ave:vdw_{radius, uff} min:vdw_{radius, uff}\right) } \right)$; ((decomposition_energy ./ ave:atomic_volume) ./ (ave:vdw_radius_uff .* min:vdw_radius_uff)); decomposition_energy,ave:atomic_volume,ave:vdw_radius_uff,min:vdw_radius_uff
# Number of Samples Per Task
# Task, n_mats_train            
# all , 3049                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      
3606        ,  2.839481145196585e-01,  3.436901508888330e-01,  0.000000000000000e+00
3114        ,  1.831950432135623e+00,  1.458333268298883e+00,  3.613271325460066e-07
3034        ,  4.935948125875536e-01,  4.098606893275071e-01,  2.145010410922028e-08
915         ,  7.155608468327842e-01,  5.094198728803355e-01,  5.372360380601274e-08
143         ,  2.878408453797652e-01,  3.436901508888330e-01,  0.000000000000000e+00
1747        ,  4.723624565072543e-01,  4.804112806281584e-01,  4.432006352127106e-08
3624        ,  3.119165808174699e-01,  3.436901508888330e-01,  0.000000000000000e+00
1613        ,  4.892777101910798e-01,  6.996402485485459e-01,  1.153861950143285e-07
785         ,  1.323171435250627e+00,  7.703967115131536e-01,  1.383228906012571e-07
1473        ,  4.422223937745569e-01,  3.436901508888330e-01,  0.000000000000000e+00
3936        ,  3.696216735678464e-01,  3.436901508888330e-01,  0.000000000000000e+00
3196        ,  4.682934522240256e-01,  7.446160089409221e-01,  1.299657158338835e-07
1713        ,  5.274016633298737e-01,  6.345372732251761e-01,  9.428215639749745e-08
5825        ,  3.327553083664687e-01,  3.436901508888330e-01,  0.000000000000000e+00
199         ,  1.504427135099300e+00,  1.028501782366197e+00,  2.219912537663310e-07
1800        ,  4.375320177361192e-01,  3.584911492694877e-01,  4.797950321647792e-09
4488        ,  3.500270645846581e-01,  4.696332658617904e-01,  4.082621951932797e-08
1941        ,  4.982888367482280e-01,  5.024464941129543e-01,  5.146308569504132e-08
5607        ,  5.615877319607279e-01,  4.455579648524092e-01,  3.302187448455616e-08
3304        ,  4.207482123452428e-01,  3.901293951407571e-01,  1.505392955024051e-08
5772        ,  9.791729170663426e-01,  4.749125427220998e-01,  4.253757083891838e-08
4208        ,  6.603942215445863e-01,  4.762739847612867e-01,  4.297890128851558e-08
5588        ,  8.803208873918648e-01,  4.648088709839905e-01,  3.926232454681380e-08
5685        ,  1.451928416459744e+00,  9.083487210451650e-01,  1.830419609966149e-07
461         ,  2.895131874006477e-01,  3.476405067616975e-01,  1.280563023073250e-09
180         ,  3.677083798565582e-01,  3.953362310447428e-01,  1.674179812219765e-08
3567        ,  6.455865771715684e-01,  3.638944208142262e-01,  6.549496249786852e-09
986         ,  1.667063758544649e-01,  4.158998186888895e-01,  2.340777222840535e-08
350         ,  3.022496124401135e-01,  4.032556399078768e-01,  1.930898510005699e-08
3563        ,  2.963852956512342e-01,  3.436901508888330e-01,  0.000000000000000e+00
795         ,  2.766538255638341e-01,  3.607236956994325e-01,  5.521661424518257e-09
3276        ,  3.528731625859118e-01,  3.436901508888330e-01,  0.000000000000000e+00
4238        ,  2.446030623760792e-01,  3.436901508888330e-01,  0.000000000000000e+00
5282        ,  5.293873330373472e-01,  3.436901508888330e-01,  0.000000000000000e+00
599         ,  1.941897543062212e-01,  3.897752738139864e-01,  1.493913617684873e-08
3382        ,  4.754043303942602e-01,  3.436901508888330e-01,  0.000000000000000e+00
2828        ,  4.609014146704439e-01,  5.560128267474085e-01,  6.882736047456493e-08
4760        ,  2.326804630331917e-01,  1.043498023013768e+00,  2.268524945953659e-07
4099        ,  2.771646182279487e-01,  6.489581314174745e-01,  9.895687896841600e-08
4506        ,  2.830919218734357e-01,  3.586163813561945e-01,  4.838546051425111e-09
2032        ,  3.425223935124700e-01,  6.098779447530687e-01,  8.628849070471512e-08
5625        ,  9.047570655746466e-01,  5.638319494582351e-01,  7.136203829565356e-08
3021        ,  9.436790737277430e-01,  8.014458152193916e-01,  1.483878911696600e-07
6349        ,  6.066079572580644e-01,  8.354594338249512e-01,  1.594138806422521e-07
3265        ,  4.841085563396736e-01,  3.759900087166575e-01,  1.047044998374857e-08
73          ,  3.010695272812237e-01,  1.067240352222795e+00,  2.345489021710878e-07
909         ,  2.859807336003438e-01,  4.839724332882058e-01,  4.547446088767057e-08
3508        ,  7.316706566321051e-01,  4.109383865168743e-01,  2.179945470323977e-08
