# c0 + a0 * ((decomposition_energy / max:heat_capacity_molar) / (ave:atomic_volume * min:vdw_radius_uff))
# Property Label: $exfoliation_{energy}$; Unit of the Property: J * m^-2
# RMSE: 0.483345036257209; Max AE: 9.56459894786008
# Coefficients
# Task   a0                      c0
# all ,  2.459456385035202e+05,  3.463743568860829e-01, 
# Feature Rung, Units, and Expressions
# 0;  2; J^-1 * K * atom^-1 * cm^-3 * eV * mol^2 * pm^-1;  2|15|div|28|20|mult|div; ((decomposition_energy / max:heat_capacity_molar) / (ave:atomic_volume * min:vdw_radius_uff)); $\left(\frac{ \left(\frac{ decomposition_{energy} }{ max:heat_{capacity, molar} } \right) }{ \left(ave:atomic_{volume} min:vdw_{radius, uff}\right) } \right)$; ((decomposition_energy ./ max:heat_capacity_molar) ./ (ave:atomic_volume .* min:vdw_radius_uff)); decomposition_energy,max:heat_capacity_molar,ave:atomic_volume,min:vdw_radius_uff
# Number of Samples Per Task
# Task, n_mats_train            
# all , 3049                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      
3606        ,  2.839481145196585e-01,  3.463743568860829e-01,  0.000000000000000e+00
3114        ,  1.831950432135623e+00,  1.435873683193722e+00,  4.429837963123894e-06
3034        ,  4.935948125875536e-01,  4.353540374120779e-01,  3.617859664737316e-07
915         ,  7.155608468327842e-01,  5.612891425677662e-01,  8.738304406996317e-07
143         ,  2.878408453797652e-01,  3.463743568860829e-01,  0.000000000000000e+00
1747        ,  4.723624565072543e-01,  4.981046146468897e-01,  6.169259950451818e-07
3624        ,  3.119165808174699e-01,  3.463743568860829e-01,  0.000000000000000e+00
1613        ,  4.892777101910798e-01,  6.478213210936061e-01,  1.225665012974844e-06
785         ,  1.323171435250627e+00,  8.786550389509409e-01,  2.164220863210142e-06
1473        ,  4.422223937745569e-01,  3.463743568860829e-01,  0.000000000000000e+00
3936        ,  3.696216735678464e-01,  3.463743568860829e-01,  0.000000000000000e+00
3196        ,  4.682934522240256e-01,  7.660298777152914e-01,  1.706293811033376e-06
1713        ,  5.274016633298737e-01,  6.144314962403719e-01,  1.089904016941745e-06
5825        ,  3.327553083664687e-01,  3.463743568860829e-01,  0.000000000000000e+00
199         ,  1.504427135099300e+00,  1.175720449948016e+00,  3.372070747455286e-06
1800        ,  4.375320177361192e-01,  3.641435149531305e-01,  7.224831542110610e-08
4488        ,  3.500270645846581e-01,  4.527719950399154e-01,  4.326063222800745e-07
1941        ,  4.982888367482280e-01,  4.077201755080936e-01,  2.494283655334378e-07
5607        ,  5.615877319607279e-01,  3.855229981043435e-01,  1.591759929408154e-07
3304        ,  4.207482123452428e-01,  3.839689215516635e-01,  1.528572122454718e-07
5772        ,  9.791729170663426e-01,  4.796279289296491e-01,  5.418009152524940e-07
4208        ,  6.603942215445863e-01,  4.656510913622898e-01,  4.849719442148177e-07
5588        ,  8.803208873918648e-01,  4.519573581231255e-01,  4.292940581482662e-07
5685        ,  1.451928416459744e+00,  8.526739722094620e-01,  2.058583426825569e-06
461         ,  2.895131874006477e-01,  3.487457798800809e-01,  9.642061589004592e-09
180         ,  3.677083798565582e-01,  4.147394384029218e-01,  2.779682613312959e-07
3567        ,  6.455865771715684e-01,  3.656105744068959e-01,  7.821328988738196e-08
986         ,  1.667063758544649e-01,  4.147189572899591e-01,  2.778849863722956e-07
350         ,  3.022496124401135e-01,  3.713332227104052e-01,  1.014812296578501e-07
3563        ,  2.963852956512342e-01,  3.463743568860829e-01,  0.000000000000000e+00
795         ,  2.766538255638341e-01,  3.539086432728391e-01,  3.063394997609762e-08
3276        ,  3.528731625859118e-01,  3.463743568860829e-01,  0.000000000000000e+00
4238        ,  2.446030623760792e-01,  3.463743568860829e-01,  0.000000000000000e+00
5282        ,  5.293873330373472e-01,  3.463743568860829e-01,  0.000000000000000e+00
599         ,  1.941897543062212e-01,  3.659226001919865e-01,  7.948196774233033e-08
3382        ,  4.754043303942602e-01,  3.463743568860829e-01,  0.000000000000000e+00
2828        ,  4.609014146704439e-01,  6.348735929516919e-01,  1.173020338238199e-06
4760        ,  2.326804630331917e-01,  9.825475240950182e-01,  2.586641385794812e-06
4099        ,  2.771646182279487e-01,  6.593730518306684e-01,  1.272633647211864e-06
4506        ,  2.830919218734357e-01,  3.646169604110804e-01,  7.417331584327505e-08
2032        ,  3.425223935124700e-01,  5.010218461569416e-01,  6.287872808472076e-07
5625        ,  9.047570655746466e-01,  5.602214341514306e-01,  8.694892032504449e-07
3021        ,  9.436790737277430e-01,  8.102906874752697e-01,  1.886255570181810e-06
6349        ,  6.066079572580644e-01,  8.610250379741188e-01,  2.092538352049979e-06
3265        ,  4.841085563396736e-01,  3.877866169880376e-01,  1.683797295773636e-07
73          ,  3.010695272812237e-01,  9.494785270302878e-01,  2.452184856026926e-06
909         ,  2.859807336003438e-01,  4.634033340386247e-01,  4.758326997161479e-07
3508        ,  7.316706566321051e-01,  4.136229471384579e-01,  2.734286757901279e-07
5286        ,  2.235408342514859e-01,  4.050328053770058e-01,  2.385016821108757e-07
359         ,  4.663407226120941e-01,  4.379928195560491e-01,  3.725150940973281e-07
3172        ,  4.790530319841335e-01,  1.311989586105982e+00,  3.926132762895401e-06
5918        ,  2.241858049594979e+00,  6.536872136461004e-01,  1.249515375145061e-06
4401        ,  3.273613861116079e-01,  3.463743568860829e-01,  0.000000000000000e+00
3615        ,  3.036705797988253e-01,  3.463743568860829e-01,  0.000000000000000e+00
4407        ,  5.372482734277881e-01,  3.788393495792090e-01,  1.320006847475012e-07
5701        ,  9.203994095360772e-01,  3.928580784265264e-01,  1.889999831803408e-07
538         ,  3.775823948370269e-01,  1.003839989000368e+00,  2.673215252422031e-06
423         ,  3.114023315769188e-01,  3.544338352942172e-01,  3.276934877631084e-08
577         ,  3.135900205824857e-01,  3.463743568860829e-01,  0.000000000000000e+00
3422        ,  2.802083413851849e-01,  5.381130271569114e-01,  7.795977657399451e-07
1518        ,  2.969751162456789e-01,  3.499622913528401e-01,  1.458832321072377e-08
5181        ,  5.261236775456994e-01,  4.561335088430376e-01,  4.462740328504901e-07
1015        ,  3.391061495356983e-01,  9.378692066770831e-01,  2.404982065915083e-06
1156        ,  8.470934050524324e-01,  6.039903388791409e-01,  1.047450906470825e-06
4984        ,  4.348768073655889e-01,  1.186175946201109e+00,  3.414582158987975e-06
4680        ,  3.364035952142165e-01,  5.238672334206702e-01,  7.216752352859754e-07
5095        ,  5.893419787698063e-01,  4.400064969851472e-01,  3.807025839887956e-07
827         ,  4.003907365198857e-01,  6.241472684169505e-01,  1.129407755392629e-06
695         ,  3.284722007121098e+00,  1.671691663311228e+00,  5.388659520409330e-06
5396        ,  8.394699154938887e-02,  6.385530591218407e-01,  1.187980823785074e-06
3038        ,  2.698343232194364e-01,  5.107212752028575e-01,  6.682245691233199e-07
4451        ,  3.854058871881627e-01,  7.886891592712817e-01,  1.798425070989287e-06
683         ,  7.567006984040863e-01,  7.138613395132519e-01,  1.494179709236476e-06
4700        ,  2.941516770264208e-01,  3.765160461149387e-01,  1.225542742382253e-07
2132        ,  6.747740069016210e-01,  7.820641943718745e-01,  1.771488366847195e-06
5269        ,  5.468292537176512e-01,  3.531535705517572e-01,  2.756387023946877e-08
1517        ,  4.146991767326453e-01,  1.020935616484661e+00,  2.742725033478985e-06
4066        ,  3.764670136622192e-01,  6.258991041184824e-01,  1.136530612753268e-06
5182        ,  1.517650397507960e-01,  6.370109161553097e-01,  1.181710564324836e-06
1           ,  4.764892223280973e-01,  5.672978298098087e-01,  8.982613973882841e-07
3515        ,  3.510859978507264e-02,  6.436383875063649e-01,  1.208657459546807e-06
1029        ,  3.092915995936308e-01,  4.285268319616947e-01,  3.340269645580074e-07
5743        ,  3.087205345176252e-01,  3.492591760614651e-01,  1.172949922159714e-08
1217        ,  3.172537314486099e-01,  3.645099511617900e-01,  7.373822274733118e-08
2683        ,  3.844169398000933e-01,  1.046370960387430e+00,  2.846143594009409e-06
759         ,  8.184498203592120e-01,  4.856517867008434e-01,  5.662935543895284e-07
711         ,  2.502401932608478e-01,  3.904617892454654e-01,  1.792568171878824e-07
4207        ,  2.013711137722670e+00,  7.922427435750924e-01,  1.812873728527729e-06
1543        ,  3.840654554424733e-01,  3.463743568860829e-01,  0.000000000000000e+00
3822        ,  4.218122849416643e-01,  3.605322838216888e-01,  5.756526938941123e-08
905         ,  3.238182016186769e-01,  3.911694609437237e-01,  1.821341672501329e-07
347         ,  2.775346891577328e-01,  3.507640332978615e-01,  1.784815717199974e-08
2342        ,  1.210246062183758e+00,  8.672738108781293e-01,  2.117945482430626e-06
4542        ,  3.048128990006040e-01,  1.033156013672262e+00,  2.792412424814556e-06
559         ,  3.453933368526703e-01,  3.860514498199596e-01,  1.613246454594432e-07
457         ,  3.376524920945591e-01,  3.585187034474746e-01,  4.937817411719594e-08
3113        ,  2.314166087738986e-01,  9.373819205614072e-01,  2.403000790220825e-06
4420        ,  3.179225982353691e-01,  3.618610550210999e-01,  6.296797222852698e-08
1696        ,  3.247424454205921e-01,  3.582372095436909e-01,  4.823363703373127e-08
2686        ,  3.503757653850906e-01,  3.779120269803152e-01,  1.282302474893487e-07
3177        ,  2.627434022730241e-01,  3.711528760193726e-01,  1.007479509864743e-07
246         ,  2.556389493354024e-01,  3.724005769163014e-01,  1.058210269089443e-07
5215        ,  2.936995358011208e-01,  3.481634983053030e-01,  7.274540138651570e-09
286         ,  2.223387257013637e-01,  3.600035403248257e-01,  5.541543050598869e-08
465         ,  3.187608224082913e-01,  3.463743568860829e-01,  0.000000000000000e+00
5237        ,  4.050496152104346e-01,  3.463743568860829e-01,  0.000000000000000e+00
4712        ,  3.442133508674560e-01,  3.772011986451990e-01,  1.253400627337204e-07
1007        ,  8.851170638711574e-01,  6.965746067653054e-01,  1.423892905806541e-06
4773        ,  3.367910301019642e-01,  8.045645845488317e-01,  1.862973584124733e-06
2379        ,  1.925093990386221e-01,  5.158863590171119e-01,  6.892254856091009e-07
