# c0 + a0 * ((perimeter_area_ratio^3) * (sum:thermal_conductivity * min:evaporation_heat)) + a1 * ((decomposition_energy / ave:icsd_volume) / (min:vdw_radius_uff^3))
# Property Label: $exfoliation_{energy}$; Unit of the Property: J * m^-2
# RMSE: 0.450622320557861; Max AE: 9.55327365516592
# Coefficients
# Task   a0                      a1                      c0
# all ,  3.196334878497555e-06,  9.280110210944903e+08,  3.576757533053188e-01, 
# Feature Rung, Units, and Expressions
# 0;  2; AA^-3 * K^-1 * KJ * W * m^-1 * mol^-1;            27|cb|23|3|mult|mult; ((perimeter_area_ratio^3) * (sum:thermal_conductivity * min:evaporation_heat)); $\left(\left(perimeter_{area, ratio}^3\right) \left(sum:thermal_{conductivity} min:evaporation_{heat}\right)\right)$; ((perimeter_area_ratio).^3 .* (sum:thermal_conductivity .* min:evaporation_heat)); perimeter_area_ratio,sum:thermal_conductivity,min:evaporation_heat
# 1;  2; atom^-1 * cm^-3 * eV * mol * pm^-3;               2|16|div|20|cb|div; ((decomposition_energy / ave:icsd_volume) / (min:vdw_radius_uff^3)); $\left(\frac{ \left(\frac{ decomposition_{energy} }{ ave:icsd_{volume} } \right) }{ \left(min:vdw_{radius, uff}^3\right) } \right)$; ((decomposition_energy ./ ave:icsd_volume) ./ (min:vdw_radius_uff).^3); decomposition_energy,ave:icsd_volume,min:vdw_radius_uff
# Number of Samples Per Task
# Task, n_mats_train            
# all , 3049                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      
3606        ,  2.839481145196585e-01,  3.711503946778564e-01,  4.215653830011534e+03,  0.000000000000000e+00
3114        ,  1.831950432135623e+00,  1.545424675911253e+00,  1.606753488881029e+05,  7.264748860902622e-10
3034        ,  4.935948125875536e-01,  3.903833499747529e-01,  6.284240665607350e+02,  3.308036457454209e-11
915         ,  7.155608468327842e-01,  4.388534529381994e-01,  9.840783308418601e+02,  8.408548386505836e-11
143         ,  2.878408453797652e-01,  3.894687614103703e-01,  9.946707498932648e+03,  0.000000000000000e+00
1747        ,  4.723624565072543e-01,  4.703920609213595e-01,  2.833718040157310e+03,  1.116999620179119e-10
3624        ,  3.119165808174699e-01,  3.590546126468320e-01,  4.313876342523299e+02,  0.000000000000000e+00
1613        ,  4.892777101910798e-01,  6.959670198913142e-01,  3.437260196133022e+02,  3.633497829833696e-10
785         ,  1.323171435250627e+00,  7.730164394623985e-01,  5.669873214615796e+04,  2.522734598082830e-10
1473        ,  4.422223937745569e-01,  3.618627193016327e-01,  1.309927199581174e+03,  0.000000000000000e+00
3936        ,  3.696216735678464e-01,  3.623215945535493e-01,  1.453490145692848e+03,  0.000000000000000e+00
3196        ,  4.682934522240256e-01,  7.797948802119156e-01,  7.827551875812989e+03,  4.279040235582008e-10
1713        ,  5.274016633298737e-01,  6.147918678307915e-01,  2.289244320957140e+02,  2.762730070557210e-10
5825        ,  3.327553083664687e-01,  3.639173106976170e-01,  1.952723237570190e+03,  0.000000000000000e+00
199         ,  1.504427135099300e+00,  9.642679757655515e-01,  4.826612317410891e+04,  4.874053424230984e-10
1800        ,  4.375320177361192e-01,  3.713300958782548e-01,  1.071007164963614e+03,  1.102470206051609e-11
4488        ,  3.500270645846581e-01,  4.610234792793605e-01,  1.307564724054433e+03,  1.068611352521386e-10
1941        ,  4.982888367482280e-01,  5.194925255025874e-01,  2.787928326327871e+04,  7.834524058732589e-11
5607        ,  5.615877319607279e-01,  4.767265717013857e-01,  1.458413738446005e+04,  7.805406375011341e-11
3304        ,  4.207482123452428e-01,  3.822891745553201e-01,  6.623251934081148e+02,  2.424153121249699e-11
5772        ,  9.791729170663426e-01,  4.528405769388063e-01,  2.936340443416043e+03,  9.243348872935403e-11
4208        ,  6.603942215445863e-01,  4.870381948444228e-01,  7.507066875064632e+01,  1.391389623691516e-10
5588        ,  8.803208873918648e-01,  4.843376266318378e-01,  8.750529608439881e+03,  1.063481446775708e-10
5685        ,  1.451928416459744e+00,  9.121590257191190e-01,  5.677110001127032e+03,  5.779428428291485e-10
461         ,  2.895131874006477e-01,  3.639855742661149e-01,  1.126749988114084e+03,  2.918446670219687e-12
180         ,  3.677083798565582e-01,  3.845256384204253e-01,  8.347160554673816e+02,  2.605772186288733e-11
3567        ,  6.455865771715684e-01,  3.731697827951292e-01,  2.936149430997086e+01,  1.659482481501118e-11
986         ,  1.667063758544649e-01,  3.954968198947343e-01,  6.291405353550243e+02,  3.858803606723273e-11
350         ,  3.022496124401135e-01,  3.841393889208082e-01,  3.990551791660947e+02,  2.714205009997515e-11
3563        ,  2.963852956512342e-01,  3.698023847274368e-01,  3.793917684813500e+03,  0.000000000000000e+00
795         ,  2.766538255638341e-01,  3.640794974942598e-01,  5.250772174124623e+02,  5.091988626867906e-12
3276        ,  3.528731625859118e-01,  3.840164794987562e-01,  8.240915672083442e+03,  0.000000000000000e+00
4238        ,  2.446030623760792e-01,  3.577052864296848e-01,  9.239684040846383e+00,  0.000000000000000e+00
5282        ,  5.293873330373472e-01,  3.608509358777652e-01,  9.933823248016289e+02,  0.000000000000000e+00
599         ,  1.941897543062212e-01,  3.772385781615784e-01,  4.491034048874886e+02,  1.953353954545328e-11
3382        ,  4.754043303942602e-01,  3.701560674070986e-01,  3.904570258184656e+03,  0.000000000000000e+00
2828        ,  4.609014146704439e-01,  5.743092776473212e-01,  4.009393389629452e+04,  9.534357136055161e-11
4760        ,  2.326804630331917e-01,  9.387015830353519e-01,  4.393200045114634e+02,  6.245848408062971e-10
4099        ,  2.771646182279487e-01,  5.746988332541421e-01,  1.745500254080937e+03,  2.278462990201372e-10
4506        ,  2.830919218734357e-01,  3.811643893759860e-01,  4.045411971274460e+03,  1.137717596989191e-11
2032        ,  3.425223935124700e-01,  5.979971059471459e-01,  3.704905505346773e+03,  2.462031471178896e-10
5625        ,  9.047570655746466e-01,  5.775134195806082e-01,  8.310406182922327e+01,  2.366049894590239e-10
3021        ,  9.436790737277430e-01,  7.176061387793138e-01,  1.132356332660858e+04,  3.488498279712966e-10
6349        ,  6.066079572580644e-01,  7.662007102166223e-01,  3.097450077993252e+03,  4.295471283546542e-10
3265        ,  4.841085563396736e-01,  3.883829608145742e-01,  1.900223715376945e+03,  2.654435735234624e-11
73          ,  3.010695272812237e-01,  1.013503189937207e+00,  2.741673108103186e+03,  6.972591020394085e-10
909         ,  2.859807336003438e-01,  4.923038926030955e-01,  3.056898379656006e+03,  1.345428723891703e-10
3508        ,  7.316706566321051e-01,  4.084137409810810e-01,  5.903669481776416e+00,  5.465357244493574e-11
5286        ,  2.235408342514859e-01,  4.671915575990870e-01,  1.999585408861134e+03,  1.111241756453132e-10
359         ,  4.663407226120941e-01,  4.117023825560475e-01,  9.672842457443332e+02,  5.488605600670851e-11
3172        ,  4.790530319841335e-01,  9.039778482471537e-01,  5.387580057527730e+02,  5.868249746589251e-10
5918        ,  2.241858049594979e+00,  6.665329191328261e-01,  6.757966083212224e+03,  3.095399048054884e-10
4401        ,  3.273613861116079e-01,  3.674574412507637e-01,  3.060282579040282e+03,  0.000000000000000e+00
3615        ,  3.036705797988253e-01,  3.612092168822856e-01,  1.105473522420085e+03,  0.000000000000000e+00
4407        ,  5.372482734277881e-01,  4.012954815600411e-01,  7.730805925511439e+00,  4.697683219180743e-11
5701        ,  9.203994095360772e-01,  4.311284871153816e-01,  3.513181904751551e+02,  7.794067266473963e-11
538         ,  3.775823948370269e-01,  1.116642910776084e+00,  1.040210297703749e+03,  8.142600463128580e-10
423         ,  3.114023315769188e-01,  3.692277508533363e-01,  8.885540757232251e+02,  9.387691488919427e-12
577         ,  3.135900205824857e-01,  3.608105901377567e-01,  9.807598238615875e+02,  0.000000000000000e+00
3422        ,  2.802083413851849e-01,  4.670940150427027e-01,  1.946824089441796e+03,  1.112007914262632e-10
1518        ,  2.969751162456789e-01,  3.619099468981366e-01,  4.170338735025898e+02,  3.126270713902594e-12
5181        ,  5.261236775456994e-01,  4.274167701678767e-01,  5.669745134645834e+02,  7.319824323835842e-11
1015        ,  3.391061495356983e-01,  9.780206026455287e-01,  1.508290393569738e+03,  6.632721316417075e-10
1156        ,  8.470934050524324e-01,  5.833179160958822e-01,  1.013942821763454e+04,  2.082229093600828e-10
4984        ,  4.348768073655889e-01,  1.036822588757751e+00,  1.748181675888130e+04,  6.716182034901233e-10
4680        ,  3.364035952142165e-01,  6.053562147128786e-01,  2.882206608374674e+03,  2.569667369003098e-10
5095        ,  5.893419787698063e-01,  5.027276741960633e-01,  2.156072737726986e+04,  8.204279285304694e-11
827         ,  4.003907365198857e-01,  4.648299655526208e-01,  1.238556476758437e+01,  1.154238704065338e-10
695         ,  3.284722007121098e+00,  2.971428269544877e+00,  5.721856056815116e+05,  8.457396410010742e-10
5396        ,  8.394699154938887e-02,  7.241533194766756e-01,  1.363321791790927e+03,  3.902108110209271e-10
3038        ,  2.698343232194364e-01,  5.189772060427770e-01,  1.785999362030734e+03,  1.676626647171925e-10
4451        ,  3.854058871881627e-01,  6.045064402662659e-01,  1.087299906611420e+03,  2.622332136304224e-10
683         ,  7.567006984040863e-01,  6.813981127552489e-01,  1.419668651109647e+03,  3.439448624737607e-10
4700        ,  2.941516770264208e-01,  4.020998691942750e-01,  1.096647777702397e+03,  4.409307801043113e-11
2132        ,  6.747740069016210e-01,  5.948135253017829e-01,  3.082933137841804e+04,  1.493483392766253e-10
5269        ,  5.468292537176512e-01,  3.684296313761737e-01,  1.779017515658790e+03,  5.460648872596432e-12
1517        ,  4.146991767326453e-01,  7.461421086491123e-01,  8.931690200472085e+02,  4.155246859006432e-10
4066        ,  3.764670136622192e-01,  6.713200717591723e-01,  1.431732455958143e+04,  2.886618245991909e-10
5182        ,  1.517650397507960e-01,  6.402513481021469e-01,  4.680453967197082e+03,  2.883751275051131e-10
1           ,  4.764892223280973e-01,  4.852242577620272e-01,  6.907605573349698e+03,  1.136511112888687e-10
3515        ,  3.510859978507264e-02,  4.638149077366117e-01,  9.950024270552333e+01,  1.140300232752726e-10
1029        ,  3.092915995936308e-01,  5.082294233282384e-01,  1.490327121823698e+04,  1.109015109572507e-10
5743        ,  3.087205345176252e-01,  3.615953144871901e-01,  1.487043642612630e+02,  3.711434624705341e-12
1217        ,  3.172537314486099e-01,  3.775558114249171e-01,  2.691566203183179e+03,  1.215169963528965e-11
2683        ,  3.844169398000933e-01,  8.447574056866541e-01,  1.860214301260874e+04,  4.607951458927704e-10
759         ,  8.184498203592120e-01,  5.384600482892512e-01,  1.417538363534097e+03,  1.899259423267279e-10
711         ,  2.502401932608478e-01,  4.220505330507744e-01,  1.093293750304052e+04,  3.171239307626363e-11
4207        ,  2.013711137722670e+00,  7.267200298555353e-01,  2.116206619913244e+03,  3.903834795987762e-10
1543        ,  3.840654554424733e-01,  3.807258039638456e-01,  7.211400411636960e+03,  0.000000000000000e+00
3822        ,  4.218122849416643e-01,  3.658673108671762e-01,  8.918283071729154e+02,  5.755293327993114e-12
905         ,  3.238182016186769e-01,  4.111361405052557e-01,  1.412899078957257e+03,  5.274106393299529e-11
347         ,  2.775346891577328e-01,  3.608019845644869e-01,  3.644451898887364e+01,  3.243218349329836e-12
2342        ,  1.210246062183758e+00,  8.969608714552649e-01,  2.876380810542244e+03,  5.712122267860383e-10
4542        ,  3.048128990006040e-01,  9.670190290346162e-01,  3.251156811671699e+03,  6.454141989717824e-10
559         ,  3.453933368526703e-01,  3.813568597844717e-01,  3.881414144932993e+02,  2.418126081277837e-11
457         ,  3.376524920945591e-01,  3.651848073414471e-01,  9.332559335555499e+02,  4.877157105097768e-12
