# c0 + a0 * ((perimeter_area_ratio * min:evaporation_heat) * (perimeter_area_ratio * sum:thermal_conductivity)) + a1 * ((decomposition_energy / ave:icsd_volume) / (min:vdw_radius_uff^3))
# Property Label: $exfoliation_{energy}$; Unit of the Property: J * m^-2
# RMSE: 0.450885056554826; Max AE: 9.55808312197097
# Coefficients
# Task   a0                      a1                      c0
# all ,  3.735267170361469e-06,  9.219835987034314e+08,  3.528719753379094e-01, 
# Feature Rung, Units, and Expressions
# 0;  2; AA^-2 * K^-1 * KJ * W * m^-1 * mol^-1;            27|3|mult|27|23|mult|mult; ((perimeter_area_ratio * min:evaporation_heat) * (perimeter_area_ratio * sum:thermal_conductivity)); $\left(\left(perimeter_{area, ratio} min:evaporation_{heat}\right) \left(perimeter_{area, ratio} sum:thermal_{conductivity}\right)\right)$; ((perimeter_area_ratio .* min:evaporation_heat) .* (perimeter_area_ratio .* sum:thermal_conductivity)); perimeter_area_ratio,min:evaporation_heat,perimeter_area_ratio,sum:thermal_conductivity
# 1;  2; atom^-1 * cm^-3 * eV * mol * pm^-3;               2|16|div|20|cb|div; ((decomposition_energy / ave:icsd_volume) / (min:vdw_radius_uff^3)); $\left(\frac{ \left(\frac{ decomposition_{energy} }{ ave:icsd_{volume} } \right) }{ \left(min:vdw_{radius, uff}^3\right) } \right)$; ((decomposition_energy ./ ave:icsd_volume) ./ (min:vdw_radius_uff).^3); decomposition_energy,ave:icsd_volume,min:vdw_radius_uff
# Number of Samples Per Task
# Task, n_mats_train            
# all , 3049                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      
3606        ,  2.839481145196585e-01,  3.668202209238045e-01,  3.734202923038896e+03,  0.000000000000000e+00
3114        ,  1.831950432135623e+00,  1.415557524901791e+00,  1.051832711823651e+05,  7.264748860902622e-10
3034        ,  4.935948125875536e-01,  3.858495105937265e-01,  6.634014558909024e+02,  3.308036457454209e-11
915         ,  7.155608468327842e-01,  4.353785975286784e-01,  1.333555258822652e+03,  8.408548386505836e-11
143         ,  2.878408453797652e-01,  3.880820806031087e-01,  9.426395398054476e+03,  0.000000000000000e+00
1747        ,  4.723624565072543e-01,  4.654425864077565e-01,  2.566102416874363e+03,  1.116999620179119e-10
3624        ,  3.119165808174699e-01,  3.551016773394959e-01,  5.969324013228899e+02,  0.000000000000000e+00
1613        ,  4.892777101910798e-01,  6.891944793976299e-01,  3.533786196275879e+02,  3.633497829833696e-10
785         ,  1.323171435250627e+00,  7.443520207443303e-01,  4.253726596473651e+04,  2.522734598082830e-10
1473        ,  4.422223937745569e-01,  3.596230141786241e-01,  1.807377767856264e+03,  0.000000000000000e+00
3936        ,  3.696216735678464e-01,  3.653360621351170e-01,  3.336866207618942e+03,  0.000000000000000e+00
3196        ,  4.682934522240256e-01,  7.735457621608374e-01,  7.001720115385787e+03,  4.279040235582008e-10
1713        ,  5.274016633298737e-01,  6.086039773368027e-01,  2.711508127391047e+02,  2.762730070557210e-10
5825        ,  3.327553083664687e-01,  3.626475338213345e-01,  2.617097529459751e+03,  0.000000000000000e+00
199         ,  1.504427135099300e+00,  9.484404450095500e-01,  3.913742481316726e+04,  4.874053424230984e-10
1800        ,  4.375320177361192e-01,  3.682859924647430e-01,  1.405367382579450e+03,  1.102470206051609e-11
4488        ,  3.500270645846581e-01,  4.608483283198793e-01,  2.530512145334524e+03,  1.068611352521386e-10
1941        ,  4.982888367482280e-01,  5.260963328860095e-01,  2.703724421413692e+04,  7.834524058732589e-11
5607        ,  5.615877319607279e-01,  5.060666142465390e-01,  2.174679042061993e+04,  7.805406375011341e-11
3304        ,  4.207482123452428e-01,  3.771403426446190e-01,  5.135035952848378e+02,  2.424153121249699e-11
5772        ,  9.791729170663426e-01,  4.605820601689536e-01,  6.020432602539945e+03,  9.243348872935403e-11
4208        ,  6.603942215445863e-01,  4.815829220018009e-01,  1.143440079223097e+02,  1.391389623691516e-10
5588        ,  8.803208873918648e-01,  4.906387910985382e-01,  1.063259167389773e+04,  1.063481446775708e-10
5685        ,  1.451928416459744e+00,  9.157704082264547e-01,  8.043497142703145e+03,  5.779428428291485e-10
461         ,  2.895131874006477e-01,  3.591690404279019e-01,  9.654744793021785e+02,  2.918446670219687e-12
180         ,  3.677083798565582e-01,  3.795432399727787e-01,  7.085095488511710e+02,  2.605772186288733e-11
3567        ,  6.455865771715684e-01,  3.683254701302795e-01,  4.105154533248356e+01,  1.659482481501118e-11
986         ,  1.667063758544649e-01,  3.921468790789877e-01,  9.898535264762512e+02,  3.858803606723273e-11
350         ,  3.022496124401135e-01,  3.799387321007703e-01,  5.467431491117114e+02,  2.714205009997515e-11
3563        ,  2.963852956512342e-01,  3.635721321880988e-01,  2.864629586631101e+03,  0.000000000000000e+00
795         ,  2.766538255638341e-01,  3.619731383093582e-01,  1.179683479579788e+03,  5.091988626867906e-12
3276        ,  3.528731625859118e-01,  3.777691662454997e-01,  6.665437777823244e+03,  0.000000000000000e+00
4238        ,  2.446030623760792e-01,  3.529257214924224e-01,  1.438883808351376e+01,  0.000000000000000e+00
5282        ,  5.293873330373472e-01,  3.574445060294237e-01,  1.224150906204598e+03,  0.000000000000000e+00
599         ,  1.941897543062212e-01,  3.726644866566800e-01,  4.773174586773342e+02,  1.953353954545328e-11
3382        ,  4.754043303942602e-01,  3.703333919956072e-01,  4.674743696046779e+03,  0.000000000000000e+00
2828        ,  4.609014146704439e-01,  6.826544020869463e-01,  6.475499788396424e+04,  9.534357136055161e-11
4760        ,  2.326804630331917e-01,  9.307073011687405e-01,  5.296399208948657e+02,  6.245848408062971e-10
4099        ,  2.771646182279487e-01,  5.720280936719090e-01,  2.432374231285894e+03,  2.278462990201372e-10
4506        ,  2.830919218734357e-01,  3.839238996415794e-01,  5.504922063681186e+03,  1.137717596989191e-11
2032        ,  3.425223935124700e-01,  5.962228064889186e-01,  4.378687470852086e+03,  2.462031471178896e-10
5625        ,  9.047570655746466e-01,  5.714737112558471e-01,  1.220304317014311e+02,  2.366049894590239e-10
3021        ,  9.436790737277430e-01,  7.135187109398217e-01,  1.044447800452460e+04,  3.488498279712966e-10
6349        ,  6.066079572580644e-01,  7.580258125865482e-01,  2.441172108876894e+03,  4.295471283546542e-10
3265        ,  4.841085563396736e-01,  3.857786801537483e-01,  2.257734805630169e+03,  2.654435735234624e-11
73          ,  3.010695272812237e-01,  1.004052851863033e+00,  2.227262473784976e+03,  6.972591020394085e-10
909         ,  2.859807336003438e-01,  4.922143358879482e-01,  4.095032078600890e+03,  1.345428723891703e-10
3508        ,  7.316706566321051e-01,  4.032941431892145e-01,  8.692938160394034e+00,  5.465357244493574e-11
5286        ,  2.235408342514859e-01,  4.629898290292113e-01,  2.051576494364168e+03,  1.111241756453132e-10
359         ,  4.663407226120941e-01,  4.078480928033172e-01,  1.170484956041726e+03,  5.488605600670851e-11
3172        ,  4.790530319841335e-01,  8.954418208622844e-01,  4.087642221162798e+02,  5.868249746589251e-10
5918        ,  2.241858049594979e+00,  6.716936305604897e-01,  8.950079960267833e+03,  3.095399048054884e-10
4401        ,  3.273613861116079e-01,  3.616098023511236e-01,  2.339277651287407e+03,  0.000000000000000e+00
3615        ,  3.036705797988253e-01,  3.567298054834052e-01,  1.032812371791445e+03,  0.000000000000000e+00
4407        ,  5.372482734277881e-01,  3.962323023412214e-01,  1.297315592486371e+01,  4.697683219180743e-11
5701        ,  9.203994095360772e-01,  4.270000229857418e-01,  6.071923842625969e+02,  7.794067266473963e-11
538         ,  3.775823948370269e-01,  1.107626474095588e+00,  1.076252593020904e+03,  8.142600463128580e-10
423         ,  3.114023315769188e-01,  3.667952904583824e-01,  1.410345578437350e+03,  9.387691488919427e-12
577         ,  3.135900205824857e-01,  3.569114031519555e-01,  1.081429421193212e+03,  0.000000000000000e+00
3422        ,  2.802083413851849e-01,  4.653113999025631e-01,  2.654192660022887e+03,  1.112007914262632e-10
1518        ,  2.969751162456789e-01,  3.577667258713767e-01,  5.387513445115758e+02,  3.126270713902594e-12
5181        ,  5.261236775456994e-01,  4.230574570166434e-01,  7.222781761022341e+02,  7.319824323835842e-11
1015        ,  3.391061495356983e-01,  9.678716351357062e-01,  9.299556868760910e+02,  6.632721316417075e-10
1156        ,  8.470934050524324e-01,  5.823846975736102e-01,  1.004870956198854e+04,  2.082229093600828e-10
4984        ,  4.348768073655889e-01,  1.027288118530701e+00,  1.477676762245991e+04,  6.716182034901233e-10
