# c0 + a0 * ((perimeter_area_ratio * min:evaporation_heat) * cbrt(sum:thermal_conductivity)) + a1 * ((decomposition_energy / ave:icsd_volume) / (min:vdw_radius_uff^3))
# Property Label: $exfoliation_{energy}$; Unit of the Property: J * m^-2
# RMSE: 0.45122117735055; Max AE: 9.58794906380329
# Coefficients
# Task   a0                      a1                      c0
# all ,  3.671079908293761e-04,  9.357659201877695e+08,  3.177254033229737e-01, 
# Feature Rung, Units, and Expressions
# 0;  2; AA^-1 * K^-0.333333 * KJ * W^0.333333 * m^-0.333333 * mol^-1; 27|3|mult|23|cbrt|mult; ((perimeter_area_ratio * min:evaporation_heat) * cbrt(sum:thermal_conductivity)); $\left(\left(perimeter_{area, ratio} min:evaporation_{heat}\right) \left(\sqrt[3]{ sum:thermal_{conductivity} }\right)\right)$; ((perimeter_area_ratio .* min:evaporation_heat) .* nthroot(sum:thermal_conductivity, 3)); perimeter_area_ratio,min:evaporation_heat,sum:thermal_conductivity
# 1;  2; atom^-1 * cm^-3 * eV * mol * pm^-3;               2|16|div|20|cb|div; ((decomposition_energy / ave:icsd_volume) / (min:vdw_radius_uff^3)); $\left(\frac{ \left(\frac{ decomposition_{energy} }{ ave:icsd_{volume} } \right) }{ \left(min:vdw_{radius, uff}^3\right) } \right)$; ((decomposition_energy ./ ave:icsd_volume) ./ (min:vdw_radius_uff).^3); decomposition_energy,ave:icsd_volume,min:vdw_radius_uff
# Number of Samples Per Task
# Task, n_mats_train            
# all , 3049                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      
3606        ,  2.839481145196585e-01,  3.547176093612389e-01,  1.007665508851819e+02,  0.000000000000000e+00
3114        ,  1.831950432135623e+00,  1.514412829198160e+00,  1.407969857675640e+03,  7.264748860902622e-10
3034        ,  4.935948125875536e-01,  3.637586693801013e-01,  4.107180621925527e+01,  3.308036457454209e-11
915         ,  7.155608468327842e-01,  4.139188108121922e-01,  4.769462322582943e+01,  8.408548386505836e-11
143         ,  2.878408453797652e-01,  4.245914758300711e-01,  2.911025506845108e+02,  0.000000000000000e+00
1747        ,  4.723624565072543e-01,  4.471603362568778e-01,  6.785446193910684e+01,  1.116999620179119e-10
3624        ,  3.119165808174699e-01,  3.310261473198454e-01,  3.623114813388406e+01,  0.000000000000000e+00
1613        ,  4.892777101910798e-01,  6.667289933435769e-01,  2.449754900956075e+01,  3.633497829833696e-10
785         ,  1.323171435250627e+00,  7.692218259258879e-01,  5.868232828704349e+02,  2.522734598082830e-10
1473        ,  4.422223937745569e-01,  3.369859713294088e-01,  5.246567355540627e+01,  0.000000000000000e+00
3936        ,  3.696216735678464e-01,  3.574812330258410e-01,  1.082946454340323e+02,  0.000000000000000e+00
3196        ,  4.682934522240256e-01,  8.294836175704995e-01,  3.032900799543900e+02,  4.279040235582008e-10
1713        ,  5.274016633298737e-01,  5.841060055614782e-01,  2.139353477493726e+01,  2.762730070557210e-10
5825        ,  3.327553083664687e-01,  3.397276452360378e-01,  5.993397709310617e+01,  0.000000000000000e+00
199         ,  1.504427135099300e+00,  9.779922116285237e-01,  5.561565115684391e+02,  4.874053424230984e-10
1800        ,  4.375320177361192e-01,  3.460521006793406e-01,  4.905956104966054e+01,  1.102470206051609e-11
4488        ,  3.500270645846581e-01,  4.427629110908011e-01,  6.821017202520811e+01,  1.068611352521386e-10
1941        ,  4.982888367482280e-01,  4.974583902979580e-01,  2.898879443730630e+02,  7.834524058732589e-11
5607        ,  5.615877319607279e-01,  4.765136783299178e-01,  2.335768884346573e+02,  7.805406375011341e-11
3304        ,  4.207482123452428e-01,  3.434015836595249e-01,  8.149595349230427e+00,  2.424153121249699e-11
5772        ,  9.791729170663426e-01,  4.370127177314958e-01,  8.932305095688558e+01,  9.243348872935403e-11
4208        ,  6.603942215445863e-01,  4.553527061947901e-01,  2.022784548955012e+01,  1.391389623691516e-10
5588        ,  8.803208873918648e-01,  4.436983484857431e-01,  7.206592163393267e+01,  1.063481446775708e-10
5685        ,  1.451928416459744e+00,  8.993951486876811e-01,  1.112766004805932e+02,  5.779428428291485e-10
461         ,  2.895131874006477e-01,  3.665765671526759e-01,  1.256311005152180e+02,  2.918446670219687e-12
180         ,  3.677083798565582e-01,  3.586835460729294e-01,  4.514806293235196e+01,  2.605772186288733e-11
3567        ,  6.455865771715684e-01,  3.372149727685056e-01,  1.078891778740652e+01,  1.659482481501118e-11
986         ,  1.667063758544649e-01,  3.773277679763969e-01,  6.399478126764447e+01,  3.858803606723273e-11
350         ,  3.022496124401135e-01,  3.689629338250369e-01,  7.038507921361706e+01,  2.714205009997515e-11
3563        ,  2.963852956512342e-01,  3.604867928384935e-01,  1.164817726220358e+02,  0.000000000000000e+00
795         ,  2.766538255638341e-01,  3.508045271309040e-01,  7.712775284720907e+01,  5.091988626867906e-12
3276        ,  3.528731625859118e-01,  4.309920079670649e-01,  3.085375624436764e+02,  0.000000000000000e+00
4238        ,  2.446030623760792e-01,  3.184456122469471e-01,  1.961844857547987e+00,  0.000000000000000e+00
5282        ,  5.293873330373472e-01,  3.305354628011645e-01,  3.489452640148219e+01,  0.000000000000000e+00
599         ,  1.941897543062212e-01,  3.628811073124794e-01,  7.321247168036240e+01,  1.953353954545328e-11
3382        ,  4.754043303942602e-01,  3.537843468294233e-01,  9.822434925751580e+01,  0.000000000000000e+00
2828        ,  4.609014146704439e-01,  5.988717596117508e-01,  5.228082643120283e+02,  9.534357136055161e-11
4760        ,  2.326804630331917e-01,  9.195986129237431e-01,  4.741929280538083e+01,  6.245848408062971e-10
4099        ,  2.771646182279487e-01,  5.585077999327833e-01,  7.510486187882498e+01,  2.278462990201372e-10
4506        ,  2.830919218734357e-01,  3.564201465136451e-01,  7.640359335872785e+01,  1.137717596989191e-11
2032        ,  3.425223935124700e-01,  6.166955041968822e-01,  1.868158364057158e+02,  2.462031471178896e-10
5625        ,  9.047570655746466e-01,  5.491252916237526e-01,  2.722088014499898e+01,  2.366049894590239e-10
3021        ,  9.436790737277430e-01,  7.700900003254825e-01,  3.430130094393110e+02,  3.488498279712966e-10
6349        ,  6.066079572580644e-01,  7.453408582634262e-01,  6.989739191913077e+01,  4.295471283546542e-10
3265        ,  4.841085563396736e-01,  4.041128546437559e-01,  1.676567873069731e+02,  2.654435735234624e-11
73          ,  3.010695272812237e-01,  1.008569883333905e+00,  1.045283015905842e+02,  6.972591020394085e-10
909         ,  2.859807336003438e-01,  4.834168537592555e-01,  1.083899469483847e+02,  1.345428723891703e-10
3508        ,  7.316706566321051e-01,  3.730070409584753e-01,  1.127375929809413e+01,  5.465357244493574e-11
5286        ,  2.235408342514859e-01,  4.378859258459311e-01,  4.405871419080879e+01,  1.111241756453132e-10
359         ,  4.663407226120941e-01,  3.864948071589785e-01,  4.742174936611802e+01,  5.488605600670851e-11
3172        ,  4.790530319841335e-01,  8.811797859877606e-01,  3.901732084761574e+01,  5.868249746589251e-10
5918        ,  2.241858049594979e+00,  6.316549739540913e-01,  6.611862825741810e+01,  3.095399048054884e-10
4401        ,  3.273613861116079e-01,  3.686800703209286e-01,  1.388002121197017e+02,  0.000000000000000e+00
3615        ,  3.036705797988253e-01,  3.457455722089935e-01,  7.632677464393012e+01,  0.000000000000000e+00
4407        ,  5.372482734277881e-01,  3.623633748356748e-01,  1.848646518684435e+00,  4.697683219180743e-11
5701        ,  9.203994095360772e-01,  3.952122827977794e-01,  1.240140316299423e+01,  7.794067266473963e-11
538         ,  3.775823948370269e-01,  1.092690470154458e+00,  3.543443794837748e+01,  8.142600463128580e-10
423         ,  3.114023315769188e-01,  3.602510951045395e-01,  9.191031211489019e+01,  9.387691488919427e-12
577         ,  3.135900205824857e-01,  3.525953283294049e-01,  9.498546988217979e+01,  0.000000000000000e+00
3422        ,  2.802083413851849e-01,  4.437633776524457e-01,  5.987356299493472e+01,  1.112007914262632e-10
1518        ,  2.969751162456789e-01,  3.411347752842295e-01,  5.579806182814772e+01,  3.126270713902594e-12
5181        ,  5.261236775456994e-01,  4.051747578729040e-01,  5.162767791308736e+01,  7.319824323835842e-11
1015        ,  3.391061495356983e-01,  9.531162332799696e-01,  4.010638211150561e+01,  6.632721316417075e-10
1156        ,  8.470934050524324e-01,  6.331296250164539e-01,  3.283947021681686e+02,  2.082229093600828e-10
4984        ,  4.348768073655889e-01,  1.075168935727794e+00,  3.513029120114393e+02,  6.716182034901233e-10
4680        ,  3.364035952142165e-01,  5.907745620376187e-01,  8.877072827495198e+01,  2.569667369003098e-10
5095        ,  5.893419787698063e-01,  4.708074663165027e-01,  2.078658469738672e+02,  8.204279285304694e-11
827         ,  4.003907365198857e-01,  4.298079172298162e-01,  1.109425484048221e+01,  1.154238704065338e-10
695         ,  3.284722007121098e+00,  2.488865413480355e+00,  3.758364599037026e+03,  8.457396410010742e-10
5396        ,  8.394699154938887e-02,  7.320166008347891e-01,  1.338712860991450e+02,  3.902108110209271e-10
