# c0 + a0 * ((min:evaporation_heat^3) * (max:thermal_conductivity / min:boiling_point)) + a1 * ((decomposition_energy / ave:icsd_volume) / (min:vdw_radius_uff^3))
# Property Label: $exfoliation_{energy}$; Unit of the Property: J * m^-2
# RMSE: 0.451572020416969; Max AE: 9.54950204856617
# Coefficients
# Task   a0                      a1                      c0
# all ,  5.282126383946210e-07,  9.646567016880246e+08,  3.614698341268931e-01, 
# Feature Rung, Units, and Expressions
# 0;  2; K^-2 * KJ^3 * W * m^-1 * mol^-3;                  3|cb|22|6|div|mult; ((min:evaporation_heat^3) * (max:thermal_conductivity / min:boiling_point)); $\left(\left(min:evaporation_{heat}^3\right) \left(\frac{ max:thermal_{conductivity} }{ min:boiling_{point} } \right)\right)$; ((min:evaporation_heat).^3 .* (max:thermal_conductivity ./ min:boiling_point)); min:evaporation_heat,max:thermal_conductivity,min:boiling_point
# 1;  2; atom^-1 * cm^-3 * eV * mol * pm^-3;               2|16|div|20|cb|div; ((decomposition_energy / ave:icsd_volume) / (min:vdw_radius_uff^3)); $\left(\frac{ \left(\frac{ decomposition_{energy} }{ ave:icsd_{volume} } \right) }{ \left(min:vdw_{radius, uff}^3\right) } \right)$; ((decomposition_energy ./ ave:icsd_volume) ./ (min:vdw_radius_uff).^3); decomposition_energy,ave:icsd_volume,min:vdw_radius_uff
# Number of Samples Per Task
# Task, n_mats_train            
# all , 3049                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      
3606        ,  2.839481145196585e-01,  3.635514692799790e-01,  3.940903722812329e+03,  0.000000000000000e+00
3114        ,  1.831950432135623e+00,  1.204233001758488e+00,  2.687635430080705e+05,  7.264748860902622e-10
3034        ,  4.935948125875536e-01,  3.934108439547853e-01,  5.644402388329173e+01,  3.308036457454209e-11
915         ,  7.155608468327842e-01,  4.426081630507600e-01,  4.676790550329886e+01,  8.408548386505836e-11
143         ,  2.878408453797652e-01,  3.657053597984156e-01,  8.018599638954868e+03,  0.000000000000000e+00
1747        ,  4.723624565072543e-01,  4.693071351994181e-01,  1.612686396665478e+02,  1.116999620179119e-10
3624        ,  3.119165808174699e-01,  3.616082226281427e-01,  2.619939228834870e+02,  0.000000000000000e+00
1613        ,  4.892777101910798e-01,  7.120767084130617e-01,  1.875590759675332e+02,  3.633497829833696e-10
785         ,  1.323171435250627e+00,  6.517495950785469e-01,  8.883255317816512e+04,  2.522734598082830e-10
1473        ,  4.422223937745569e-01,  3.615158335590633e-01,  8.708506541993580e+01,  0.000000000000000e+00
3936        ,  3.696216735678464e-01,  3.644295315980806e-01,  5.603231077890931e+03,  0.000000000000000e+00
3196        ,  4.682934522240256e-01,  7.842213445556153e-01,  1.887691755036009e+04,  4.279040235582008e-10
1713        ,  5.274016633298737e-01,  6.280288464603951e-01,  9.542479303611340e+01,  2.762730070557210e-10
5825        ,  3.327553083664687e-01,  3.619453007216025e-01,  9.001424050632911e+02,  0.000000000000000e+00
199         ,  1.504427135099300e+00,  8.820903272201682e-01,  9.549499466652751e+04,  4.874053424230984e-10
1800        ,  4.375320177361192e-01,  3.721534418098634e-01,  9.192312460993224e+01,  1.102470206051609e-11
4488        ,  3.500270645846581e-01,  4.666357795509449e-01,  3.940903722812329e+03,  1.068611352521386e-10
1941        ,  4.982888367482280e-01,  4.547220665132986e-01,  3.346374115962640e+04,  7.834524058732589e-11
5607        ,  5.615877319607279e-01,  4.532079735462438e-01,  3.112906154383851e+04,  7.805406375011341e-11
3304        ,  4.207482123452428e-01,  3.848578607794672e-01,  6.192788702169626e+00,  2.424153121249699e-11
5772        ,  9.791729170663426e-01,  4.594944404180940e-01,  1.676980307579715e+04,  9.243348872935403e-11
4208        ,  6.603942215445863e-01,  4.957474391656728e-01,  1.065338452156558e+02,  1.391389623691516e-10
5588        ,  8.803208873918648e-01,  4.647545202118252e-01,  1.316204041877426e+03,  1.063481446775708e-10
5685        ,  1.451928416459744e+00,  9.227509299740706e-01,  7.127166307213786e+03,  5.779428428291485e-10
461         ,  2.895131874006477e-01,  3.656488795114428e-01,  2.581812979234973e+03,  2.918446670219687e-12
