# c0 + a0 * ((min:evaporation_heat^2) * (ave:vdw_radius_uff * max:thermal_conductivity)) + a1 * ((decomposition_energy / ave:icsd_volume) / (min:vdw_radius_uff^3))
# Property Label: $exfoliation_{energy}$; Unit of the Property: J * m^-2
# RMSE: 0.451631937483289; Max AE: 9.55612428562918
# Coefficients
# Task   a0                      a1                      c0
# all ,  1.667597007866498e-10,  9.763215345152256e+08,  3.548483849859848e-01, 
# Feature Rung, Units, and Expressions
# 0;  2; K^-1 * KJ^2 * W * m^-1 * mol^-2 * pm;             3|sq|24|22|mult|mult; ((min:evaporation_heat^2) * (ave:vdw_radius_uff * max:thermal_conductivity)); $\left(\left(min:evaporation_{heat}^2\right) \left(ave:vdw_{radius, uff} max:thermal_{conductivity}\right)\right)$; ((min:evaporation_heat).^2 .* (ave:vdw_radius_uff .* max:thermal_conductivity)); min:evaporation_heat,ave:vdw_radius_uff,max:thermal_conductivity
# 1;  2; atom^-1 * cm^-3 * eV * mol * pm^-3;               2|16|div|20|cb|div; ((decomposition_energy / ave:icsd_volume) / (min:vdw_radius_uff^3)); $\left(\frac{ \left(\frac{ decomposition_{energy} }{ ave:icsd_{volume} } \right) }{ \left(min:vdw_{radius, uff}^3\right) } \right)$; ((decomposition_energy ./ ave:icsd_volume) ./ (min:vdw_radius_uff).^3); decomposition_energy,ave:icsd_volume,min:vdw_radius_uff
# Number of Samples Per Task
# Task, n_mats_train            
# all , 3049                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      
3606        ,  2.839481145196585e-01,  3.561761726415815e-01,  7.962281350549150e+06,  0.000000000000000e+00
3114        ,  1.831950432135623e+00,  1.206521543795156e+00,  8.539238350933335e+08,  7.264748860902622e-10
3034        ,  4.935948125875536e-01,  3.874135327222128e-01,  1.607555250000000e+06,  3.308036457454209e-11
915         ,  7.155608468327842e-01,  4.371685912235687e-01,  1.353669975000000e+06,  8.408548386505836e-11
143         ,  2.878408453797652e-01,  3.699955369826163e-01,  9.083220901199996e+07,  0.000000000000000e+00
1747        ,  4.723624565072543e-01,  4.645383981595050e-01,  3.807483750000000e+06,  1.116999620179119e-10
3624        ,  3.119165808174699e-01,  3.552282118938723e-01,  2.277690030000000e+06,  0.000000000000000e+00
1613        ,  4.892777101910798e-01,  7.097297910128550e-01,  8.106775086240000e+05,  3.633497829833696e-10
785         ,  1.323171435250627e+00,  6.954910104959061e-01,  5.657398860000000e+08,  2.522734598082830e-10
1473        ,  4.422223937745569e-01,  3.552273878666531e-01,  2.272748625000000e+06,  0.000000000000000e+00
3936        ,  3.696216735678464e-01,  3.588314836744103e-01,  2.388525926609454e+07,  0.000000000000000e+00
3196        ,  4.682934522240256e-01,  7.900772971107406e-01,  1.046835604575000e+08,  4.279040235582008e-10
1713        ,  5.274016633298737e-01,  6.246545231407947e-01,  4.488612097500000e+05,  2.762730070557210e-10
5825        ,  3.327553083664687e-01,  3.579274025867786e-01,  1.846379902500000e+07,  0.000000000000000e+00
