# c0 + a0 * ((min:evaporation_heat / max:heat_capacity_molar) * (max:thermal_conductivity * min:evaporation_heat)) + a1 * ((decomposition_energy / ave:icsd_volume) / (min:vdw_radius_uff^3))
# Property Label: $exfoliation_{energy}$; Unit of the Property: J * m^-2
# RMSE: 0.451648440218201; Max AE: 9.55124804479988
# Coefficients
# Task   a0                      a1                      c0
# all ,  1.530136381313898e-06,  9.614531081019868e+08,  3.597247140804528e-01, 
# Feature Rung, Units, and Expressions
# 0;  2; J^-1 * KJ^2 * W * m^-1 * mol^-1;                  3|15|div|22|3|mult|mult; ((min:evaporation_heat / max:heat_capacity_molar) * (max:thermal_conductivity * min:evaporation_heat)); $\left(\left(\frac{ min:evaporation_{heat} }{ max:heat_{capacity, molar} } \right) \left(max:thermal_{conductivity} min:evaporation_{heat}\right)\right)$; ((min:evaporation_heat ./ max:heat_capacity_molar) .* (max:thermal_conductivity .* min:evaporation_heat)); min:evaporation_heat,max:heat_capacity_molar,max:thermal_conductivity,min:evaporation_heat
# 1;  2; atom^-1 * cm^-3 * eV * mol * pm^-3;               2|16|div|20|cb|div; ((decomposition_energy / ave:icsd_volume) / (min:vdw_radius_uff^3)); $\left(\frac{ \left(\frac{ decomposition_{energy} }{ ave:icsd_{volume} } \right) }{ \left(min:vdw_{radius, uff}^3\right) } \right)$; ((decomposition_energy ./ ave:icsd_volume) ./ (min:vdw_radius_uff).^3); decomposition_energy,ave:icsd_volume,min:vdw_radius_uff
# Number of Samples Per Task
# Task, n_mats_train            
# all , 3049                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      
3606        ,  2.839481145196585e-01,  3.607530032167303e-01,  6.720244997995181e+02,  0.000000000000000e+00
3114        ,  1.831950432135623e+00,  1.227903298756231e+00,  1.109097525937749e+05,  7.264748860902622e-10
3034        ,  4.935948125875536e-01,  3.917689785093476e-01,  1.562246963562753e+02,  3.308036457454209e-11
915         ,  7.155608468327842e-01,  4.407569096646142e-01,  1.228294275835574e+02,  8.408548386505836e-11
143         ,  2.878408453797652e-01,  3.713617205632996e-01,  7.605208676140614e+03,  0.000000000000000e+00
1747        ,  4.723624565072543e-01,  4.677989475610670e-01,  4.443772672309553e+02,  1.116999620179119e-10
3624        ,  3.119165808174699e-01,  3.599930479620443e-01,  1.753659901617132e+02,  0.000000000000000e+00
1613        ,  4.892777101910798e-01,  7.091876605346085e-01,  7.788082034244826e+01,  3.633497829833696e-10
785         ,  1.323171435250627e+00,  6.882816822921599e-01,  5.620928123644679e+04,  2.522734598082830e-10
1473        ,  4.422223937745569e-01,  3.600950257449305e-01,  2.420121951219512e+02,  0.000000000000000e+00
3936        ,  3.696216735678464e-01,  3.609965555806851e-01,  8.311948632580261e+02,  0.000000000000000e+00
3196        ,  4.682934522240256e-01,  7.887464959534229e-01,  1.151016907294833e+04,  4.279040235582008e-10
1713        ,  5.274016633298737e-01,  6.254088848729239e-01,  3.962357526194736e+01,  2.762730070557210e-10
5825        ,  3.327553083664687e-01,  3.625671882378642e-01,  1.857660658307210e+03,  0.000000000000000e+00
199         ,  1.504427135099300e+00,  9.208005516101001e-01,  6.042497732918030e+04,  4.874053424230984e-10
