# c0 + a0 * ((ave:heat_capacity_molar * min:evaporation_heat) * (max:thermal_conductivity * min:evaporation_heat)) + a1 * ((decomposition_energy / ave:icsd_volume) / (min:vdw_radius_uff^3))
# Property Label: $exfoliation_{energy}$; Unit of the Property: J * m^-2
# RMSE: 0.451699796132383; Max AE: 9.55707480752919
# Coefficients
# Task   a0                      a1                      c0
# all ,  2.484876150909583e-09,  9.796483133600085e+08,  3.538977453126838e-01, 
# Feature Rung, Units, and Expressions
# 0;  2; J * K^-2 * KJ^2 * W * m^-1 * mol^-3;              21|3|mult|22|3|mult|mult; ((ave:heat_capacity_molar * min:evaporation_heat) * (max:thermal_conductivity * min:evaporation_heat)); $\left(\left(ave:heat_{capacity, molar} min:evaporation_{heat}\right) \left(max:thermal_{conductivity} min:evaporation_{heat}\right)\right)$; ((ave:heat_capacity_molar .* min:evaporation_heat) .* (max:thermal_conductivity .* min:evaporation_heat)); ave:heat_capacity_molar,min:evaporation_heat,max:thermal_conductivity,min:evaporation_heat
# 1;  2; atom^-1 * cm^-3 * eV * mol * pm^-3;               2|16|div|20|cb|div; ((decomposition_energy / ave:icsd_volume) / (min:vdw_radius_uff^3)); $\left(\frac{ \left(\frac{ decomposition_{energy} }{ ave:icsd_{volume} } \right) }{ \left(min:vdw_{radius, uff}^3\right) } \right)$; ((decomposition_energy ./ ave:icsd_volume) ./ (min:vdw_radius_uff).^3); decomposition_energy,ave:icsd_volume,min:vdw_radius_uff
# Number of Samples Per Task
# Task, n_mats_train            
# all , 3049                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      
3606        ,  2.839481145196585e-01,  3.555356908500366e-01,  6.591658649680503e+05,  0.000000000000000e+00
3114        ,  1.831950432135623e+00,  1.237784127093252e+00,  6.929781384106666e+07,  7.264748860902622e-10
3034        ,  4.935948125875536e-01,  3.865321164990496e-01,  9.145237500000000e+04,  3.308036457454209e-11
915         ,  7.155608468327842e-01,  4.364674118072200e-01,  7.866148500000000e+04,  8.408548386505836e-11
143         ,  2.878408453797652e-01,  3.671551451408392e-01,  5.335235650800000e+06,  0.000000000000000e+00
1747        ,  4.723624565072543e-01,  4.639752109743457e-01,  2.618988750000000e+05,  1.116999620179119e-10
3624        ,  3.119165808174699e-01,  3.543057499215350e-01,  1.641951486000000e+05,  0.000000000000000e+00
1613        ,  4.892777101910798e-01,  7.100351877032447e-01,  7.342029143424000e+04,  3.633497829833696e-10
785         ,  1.323171435250627e+00,  6.897962570585762e-01,  3.571978519200001e+07,  2.522734598082830e-10
1473        ,  4.422223937745569e-01,  3.542405895457447e-01,  1.379723625000000e+05,  0.000000000000000e+00
3936        ,  3.696216735678464e-01,  3.607744775640422e-01,  2.767434605882181e+06,  0.000000000000000e+00
3196        ,  4.682934522240256e-01,  7.922715882244679e-01,  7.718045805225001e+06,  4.279040235582008e-10
1713        ,  5.274016633298737e-01,  6.246405514621187e-01,  3.719330654220000e+04,  2.762730070557210e-10
5825        ,  3.327553083664687e-01,  3.566627648067988e-01,  1.112739358500000e+06,  0.000000000000000e+00
199         ,  1.504427135099300e+00,  9.279549120857127e-01,  3.886364522040001e+07,  4.874053424230984e-10
1800        ,  4.375320177361192e-01,  3.650629341872234e-01,  1.468315012500000e+05,  1.102470206051609e-11
4488        ,  3.500270645846581e-01,  4.602516807909636e-01,  6.711016821406261e+05,  1.068611352521386e-10
1941        ,  4.982888367482280e-01,  4.778163047001758e-01,  1.898194264896000e+07,  7.834524058732589e-11
5607        ,  5.615877319607279e-01,  4.636870434400426e-01,  1.341063465536000e+07,  7.805406375011341e-11
3304        ,  4.207482123452428e-01,  3.776555598670300e-01,  3.879223017216000e+03,  2.424153121249699e-11
