# c0 + a0 * ((min:evaporation_heat^2) * (max:thermal_conductivity / min:vdw_radius_uff)) + a1 * ((decomposition_energy / ave:icsd_volume) / (min:vdw_radius_uff^3))
# Property Label: $exfoliation_{energy}$; Unit of the Property: J * m^-2
# RMSE: 0.451798662544882; Max AE: 9.54925175300302
# Coefficients
# Task   a0                      a1                      c0
# all ,  1.843457560092924e-05,  9.499323577889904e+08,  3.617210284333666e-01, 
# Feature Rung, Units, and Expressions
# 0;  2; K^-1 * KJ^2 * W * m^-1 * mol^-2 * pm^-1;          3|sq|22|20|div|mult; ((min:evaporation_heat^2) * (max:thermal_conductivity / min:vdw_radius_uff)); $\left(\left(min:evaporation_{heat}^2\right) \left(\frac{ max:thermal_{conductivity} }{ min:vdw_{radius, uff} } \right)\right)$; ((min:evaporation_heat).^2 .* (max:thermal_conductivity ./ min:vdw_radius_uff)); min:evaporation_heat,max:thermal_conductivity,min:vdw_radius_uff
# 1;  2; atom^-1 * cm^-3 * eV * mol * pm^-3;               2|16|div|20|cb|div; ((decomposition_energy / ave:icsd_volume) / (min:vdw_radius_uff^3)); $\left(\frac{ \left(\frac{ decomposition_{energy} }{ ave:icsd_{volume} } \right) }{ \left(min:vdw_{radius, uff}^3\right) } \right)$; ((decomposition_energy ./ ave:icsd_volume) ./ (min:vdw_radius_uff).^3); decomposition_energy,ave:icsd_volume,min:vdw_radius_uff
# Number of Samples Per Task
# Task, n_mats_train            
# all , 3049                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      
3606        ,  2.839481145196585e-01,  3.631122845577366e-01,  7.546992968472986e+01,  0.000000000000000e+00
3114        ,  1.831950432135623e+00,  1.221425909460653e+00,  9.200259516716318e+03,  7.264748860902622e-10
3034        ,  4.935948125875536e-01,  3.933214306287436e-01,  9.563197026022305e+00,  3.308036457454209e-11
915         ,  7.155608468327842e-01,  4.417426221165102e-01,  7.923791821561339e+00,  8.408548386505836e-11
143         ,  2.878408453797652e-01,  3.701210189321633e-01,  4.556649787138695e+02,  0.000000000000000e+00
1747        ,  4.723624565072543e-01,  4.685361010494595e-01,  3.838788300835655e+01,  1.116999620179119e-10
3624        ,  3.119165808174699e-01,  3.620677906635092e-01,  1.881042654028436e+01,  0.000000000000000e+00
1613        ,  4.892777101910798e-01,  7.070205209793408e-01,  7.690792429022082e+00,  3.633497829833696e-10
785         ,  1.323171435250627e+00,  6.765597298047791e-01,  4.079072961373391e+03,  2.522734598082830e-10
1473        ,  4.422223937745569e-01,  3.620677906635092e-01,  1.881042654028436e+01,  0.000000000000000e+00
3936        ,  3.696216735678464e-01,  3.657216390607353e-01,  2.170166926526389e+02,  0.000000000000000e+00
3196        ,  4.682934522240256e-01,  7.909863464926429e-01,  1.236016523867809e+03,  4.279040235582008e-10
1713        ,  5.274016633298737e-01,  6.242296695135529e-01,  3.687206896551724e+00,  2.762730070557210e-10
5825        ,  3.327553083664687e-01,  3.644971947065593e-01,  1.505956162642948e+02,  0.000000000000000e+00
199         ,  1.504427135099300e+00,  9.144692248335177e-01,  4.868356734434562e+03,  4.874053424230984e-10
1800        ,  4.375320177361192e-01,  3.725591991247825e-01,  1.982413249211356e+01,  1.102470206051609e-11
4488        ,  3.500270645846581e-01,  4.646231347238088e-01,  7.546992968472986e+01,  1.068611352521386e-10
1941        ,  4.982888367482280e-01,  4.581463952743901e-01,  1.193555425667090e+03,  7.834524058732589e-11
5607        ,  5.615877319607279e-01,  4.596867235589944e-01,  1.292116229205176e+03,  7.805406375011341e-11
3304        ,  4.207482123452428e-01,  3.847577173993439e-01,  4.813815661815662e-01,  2.424153121249699e-11
5772        ,  9.791729170663426e-01,  4.546473004707303e-01,  2.777774905633439e+02,  9.243348872935403e-11
4208        ,  6.603942215445863e-01,  4.939559933802913e-01,  3.382902033271719e+00,  1.391389623691516e-10
5588        ,  8.803208873918648e-01,  4.636821183815644e-01,  5.085802615933412e+01,  1.063481446775708e-10
5685        ,  1.451928416459744e+00,  9.134805039902346e-01,  1.493317915474219e+02,  5.779428428291485e-10
461         ,  2.895131874006477e-01,  3.660686494286706e-01,  8.545323216995449e+01,  2.918446670219687e-12
180         ,  3.677083798565582e-01,  3.865949885579177e-01,  6.557620817843866e+00,  2.605772186288733e-11
3567        ,  6.455865771715684e-01,  3.774920210929466e-01,  3.814351961950060e-01,  1.659482481501118e-11
986         ,  1.667063758544649e-01,  3.995444084024982e-01,  6.332426146440335e+01,  3.858803606723273e-11
350         ,  3.022496124401135e-01,  3.883227835510337e-01,  4.440804544095665e+01,  2.714205009997515e-11
3563        ,  2.963852956512342e-01,  3.638307141840220e-01,  1.144417857142857e+02,  0.000000000000000e+00
795         ,  2.766538255638341e-01,  3.684807294594045e-01,  1.042962043447124e+02,  5.091988626867906e-12
3276        ,  3.528731625859118e-01,  3.788981491009525e-01,  9.317882352941177e+02,  0.000000000000000e+00
4238        ,  2.446030623760792e-01,  3.617219680402357e-01,  5.096981288981289e-02,  0.000000000000000e+00
