# c0 + a0 * ((perimeter_area_ratio^3) * (sum:thermal_conductivity * min:evaporation_heat)) + a1 * ((decomposition_energy / min:vdw_radius_uff) / (min:vdw_radius_uff^3))
# Property Label: $exfoliation_{energy}$; Unit of the Property: J * m^-2
# RMSE: 0.45182076995676; Max AE: 9.56317197578199
# Coefficients
# Task   a0                      a1                      c0
# all ,  3.578189415030454e-06,  1.328701898161422e+10,  3.477745778879451e-01, 
# Feature Rung, Units, and Expressions
# 0;  2; AA^-3 * K^-1 * KJ * W * m^-1 * mol^-1;            27|cb|23|3|mult|mult; ((perimeter_area_ratio^3) * (sum:thermal_conductivity * min:evaporation_heat)); $\left(\left(perimeter_{area, ratio}^3\right) \left(sum:thermal_{conductivity} min:evaporation_{heat}\right)\right)$; ((perimeter_area_ratio).^3 .* (sum:thermal_conductivity .* min:evaporation_heat)); perimeter_area_ratio,sum:thermal_conductivity,min:evaporation_heat
# 1;  2; atom^-1 * eV * pm^-4;                             2|20|div|20|cb|div; ((decomposition_energy / min:vdw_radius_uff) / (min:vdw_radius_uff^3)); $\left(\frac{ \left(\frac{ decomposition_{energy} }{ min:vdw_{radius, uff} } \right) }{ \left(min:vdw_{radius, uff}^3\right) } \right)$; ((decomposition_energy ./ min:vdw_radius_uff) ./ (min:vdw_radius_uff).^3); decomposition_energy,min:vdw_radius_uff,min:vdw_radius_uff
# Number of Samples Per Task
# Task, n_mats_train            
# all , 3049                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      
3606        ,  2.839481145196585e-01,  3.628589857999249e-01,  4.215653830011534e+03,  0.000000000000000e+00
3114        ,  1.831950432135623e+00,  1.611053027441950e+00,  1.606753488881029e+05,  5.180632449300854e-11
3034        ,  4.935948125875536e-01,  3.805676484760675e-01,  6.284240665607350e+02,  2.298818891375861e-12
915         ,  7.155608468327842e-01,  4.128758167410402e-01,  9.840783308418601e+02,  4.634600151570999e-12
143         ,  2.878408453797652e-01,  3.833657813750299e-01,  9.946707498932648e+03,  0.000000000000000e+00
1747        ,  4.723624565072543e-01,  4.532062938124482e-01,  2.833718040157310e+03,  7.171822073852004e-12
3624        ,  3.119165808174699e-01,  3.493181645546018e-01,  4.313876342523299e+02,  0.000000000000000e+00
1613        ,  4.892777101910798e-01,  6.028237559993525e-01,  3.437260196133022e+02,  1.910279963154839e-11
785         ,  1.323171435250627e+00,  7.790088064191685e-01,  5.669873214615796e+04,  1.718635501583753e-11
1473        ,  4.422223937745569e-01,  3.524617455279469e-01,  1.309927199581174e+03,  0.000000000000000e+00
3936        ,  3.696216735678464e-01,  3.529754409421143e-01,  1.453490145692848e+03,  0.000000000000000e+00
3196        ,  4.682934522240256e-01,  9.177214460381795e-01,  7.827551875812989e+03,  4.078705732508554e-11
1713        ,  5.274016633298737e-01,  5.364462435415327e-01,  2.289244320957140e+02,  1.413804939495909e-11
5825        ,  3.327553083664687e-01,  3.547617915071027e-01,  1.952723237570190e+03,  0.000000000000000e+00
199         ,  1.504427135099300e+00,  1.046239647053192e+00,  4.826612317410891e+04,  3.956942778862659e-11
1800        ,  4.375320177361192e-01,  3.625736120916896e-01,  1.071007164963614e+03,  8.253745793413189e-13
4488        ,  3.500270645846581e-01,  4.982365276750488e-01,  1.307564724054433e+03,  1.097185423861824e-11
1941        ,  4.982888367482280e-01,  5.834241045763554e-01,  2.787928326327871e+04,  1.022743857031816e-11
5607        ,  5.615877319607279e-01,  5.251213791378597e-01,  1.458413738446005e+04,  9.419870281413873e-12
3304        ,  4.207482123452428e-01,  3.822716822705968e-01,  6.623251934081148e+02,  2.417937344015725e-12
5772        ,  9.791729170663426e-01,  4.314134336098111e-01,  2.936340443416043e+03,  5.504024155418509e-12
4208        ,  6.603942215445863e-01,  4.856770843588566e-01,  7.507066875064632e+01,  1.035852282510157e-11
5588        ,  8.803208873918648e-01,  4.420418629068155e-01,  8.750529608439881e+03,  4.738175860601641e-12
5685        ,  1.451928416459744e+00,  8.414416864020824e-01,  5.677110001127032e+03,  3.562524703661063e-11
461         ,  2.895131874006477e-01,  3.561206625506095e-01,  1.126749988114084e+03,  3.247048708050188e-13
180         ,  3.677083798565582e-01,  3.743924749878253e-01,  8.347160554673816e+02,  1.778512168782942e-12
