# c0 + a0 * ((min:heat_of_formation * max:num_p_valence) * (var:electron_affinity + ave:electron_affinity)) + a1 * ((min:evaporation_heat^3) * (ave:thermal_conductivity - min:thermal_conductivity)) + a2 * ((decomposition_energy / ave:icsd_volume) / (min:vdw_radius_uff^3))
# Property Label: $exfoliation_{energy}$; Unit of the Property: J * m^-2
# RMSE: 0.439154345577723; Max AE: 8.96460229903728
# Coefficients
# Task   a0                      a1                      a2                      c0
# all , -1.596985058952041e-04,  4.104090876878239e-10,  8.895122710103749e+08,  6.294895647833332e-01, 
# Feature Rung, Units, and Expressions
# 0;  2; KJ * eV * mol^-1;                                 14|5|mult|25|8|add|mult; ((min:heat_of_formation * max:num_p_valence) * (var:electron_affinity + ave:electron_affinity)); $\left(\left(min:heat_{of, formation} max:num_{p, valence}\right) \left(var:electron_{affinity} + ave:electron_{affinity}\right)\right)$; ((min:heat_of_formation .* max:num_p_valence) .* (var:electron_affinity + ave:electron_affinity)); min:heat_of_formation,max:num_p_valence,var:electron_affinity,ave:electron_affinity
# 1;  2; K^-1 * KJ^3 * W * m^-1 * mol^-3;                  3|cb|7|1|sub|mult; ((min:evaporation_heat^3) * (ave:thermal_conductivity - min:thermal_conductivity)); $\left(\left(min:evaporation_{heat}^3\right) \left(ave:thermal_{conductivity} - min:thermal_{conductivity}\right)\right)$; ((min:evaporation_heat).^3 .* (ave:thermal_conductivity - min:thermal_conductivity)); min:evaporation_heat,ave:thermal_conductivity,min:thermal_conductivity
# 2;  2; atom^-1 * cm^-3 * eV * mol * pm^-3;               2|16|div|20|cb|div; ((decomposition_energy / ave:icsd_volume) / (min:vdw_radius_uff^3)); $\left(\frac{ \left(\frac{ decomposition_{energy} }{ ave:icsd_{volume} } \right) }{ \left(min:vdw_{radius, uff}^3\right) } \right)$; ((decomposition_energy ./ ave:icsd_volume) ./ (min:vdw_radius_uff).^3); decomposition_energy,ave:icsd_volume,min:vdw_radius_uff
# Number of Samples Per Task
# Task, n_mats_train            
# all , 3049                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      
3606        ,  2.839481145196585e-01,  2.941449874951533e-01,  2.100164956867118e+03,  1.184877684816280e+05,  0.000000000000000e+00
3114        ,  1.831950432135623e+00,  1.362145109600267e+00,  0.000000000000000e+00,  2.106367077440000e+08,  7.264748860902622e-10
3034        ,  4.935948125875536e-01,  4.149205172548370e-01,  1.527895968270901e+03,  2.013978093750000e+04,  3.308036457454209e-11
915         ,  7.155608468327842e-01,  3.915331105420899e-01,  1.958436239763426e+03,  1.904789250000000e+04,  8.408548386505836e-11
143         ,  2.878408453797652e-01,  4.012413800179892e-01,  1.441781554210121e+03,  4.878486683999998e+06,  0.000000000000000e+00
1747        ,  4.723624565072543e-01,  3.977569898360229e-01,  2.073374238981246e+03,  5.776259343750000e+04,  1.116999620179119e-10
3624        ,  3.119165808174699e-01,  2.880206540689663e-01,  2.138242160121745e+03,  1.259109353250000e+04,  0.000000000000000e+00
1613        ,  4.892777101910798e-01,  6.801462288312401e-01,  1.706645489048542e+03,  3.187329726097440e+03,  3.633497829833696e-10
785         ,  1.323171435250627e+00,  5.903509268903636e-01,  1.723041853928960e+03,  2.833327519667999e+07,  2.522734598082830e-10
1473        ,  4.422223937745569e-01,  2.684201008908350e-01,  2.260984543137467e+03,  1.556860921875000e+04,  0.000000000000000e+00
3936        ,  3.696216735678464e-01,  3.268232996548059e-01,  1.897022580177119e+03,  6.954197257951418e+05,  0.000000000000000e+00
3196        ,  4.682934522240256e-01,  7.751059263713328e-01,  1.484126345845345e+03,  4.881085408620001e+06,  4.279040235582008e-10
1713        ,  5.274016633298737e-01,  6.019766464364313e-01,  1.711111686744080e+03,  2.026078309621800e+03,  2.762730070557210e-10
5825        ,  3.327553083664687e-01,  2.697358177026582e-01,  2.252838359272237e+03,  5.158978965000000e+04,  0.000000000000000e+00
199         ,  1.504427135099300e+00,  8.003862527691388e-01,  1.722983129292515e+03,  3.046103692667999e+07,  4.874053424230984e-10
1800        ,  4.375320177361192e-01,  2.469675559077077e-01,  2.456725316664601e+03,  1.643682796875000e+04,  1.102470206051609e-11
