# c0 + a0 * ((max:electron_affinity * ave:num_p_valence) * (ave:evaporation_heat + min:heat_of_formation)) + a1 * ((min:evaporation_heat^3) * (ave:thermal_conductivity - min:thermal_conductivity)) + a2 * ((decomposition_energy / ave:icsd_volume) / (min:vdw_radius_uff^3))
# Property Label: $exfoliation_{energy}$; Unit of the Property: J * m^-2
# RMSE: 0.439500566533231; Max AE: 9.00546990754247
# Coefficients
# Task   a0                      a1                      a2                      c0
# all , -1.310919434186150e-04,  4.145662780480243e-10,  8.894059633598878e+08,  6.343419941065873e-01, 
# Feature Rung, Units, and Expressions
# 0;  2; KJ * eV * mol^-1;                                 9|4|mult|29|14|add|mult; ((max:electron_affinity * ave:num_p_valence) * (ave:evaporation_heat + min:heat_of_formation)); $\left(\left(max:electron_{affinity} ave:num_{p, valence}\right) \left(ave:evaporation_{heat} + min:heat_{of, formation}\right)\right)$; ((max:electron_affinity .* ave:num_p_valence) .* (ave:evaporation_heat + min:heat_of_formation)); max:electron_affinity,ave:num_p_valence,ave:evaporation_heat,min:heat_of_formation
# 1;  2; K^-1 * KJ^3 * W * m^-1 * mol^-3;                  3|cb|7|1|sub|mult; ((min:evaporation_heat^3) * (ave:thermal_conductivity - min:thermal_conductivity)); $\left(\left(min:evaporation_{heat}^3\right) \left(ave:thermal_{conductivity} - min:thermal_{conductivity}\right)\right)$; ((min:evaporation_heat).^3 .* (ave:thermal_conductivity - min:thermal_conductivity)); min:evaporation_heat,ave:thermal_conductivity,min:thermal_conductivity
# 2;  2; atom^-1 * cm^-3 * eV * mol * pm^-3;               2|16|div|20|cb|div; ((decomposition_energy / ave:icsd_volume) / (min:vdw_radius_uff^3)); $\left(\frac{ \left(\frac{ decomposition_{energy} }{ ave:icsd_{volume} } \right) }{ \left(min:vdw_{radius, uff}^3\right) } \right)$; ((decomposition_energy ./ ave:icsd_volume) ./ (min:vdw_radius_uff).^3); decomposition_energy,ave:icsd_volume,min:vdw_radius_uff
# Number of Samples Per Task
# Task, n_mats_train            
# all , 3049                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      
3606        ,  2.839481145196585e-01,  2.830302370260093e-01,  2.680262943327902e+03,  1.184877684816280e+05,  0.000000000000000e+00
3114        ,  1.831950432135623e+00,  1.367795965976181e+00,  0.000000000000000e+00,  2.106367077440000e+08,  7.264748860902622e-10
3034        ,  4.935948125875536e-01,  4.274094900725368e-01,  1.803030153241500e+03,  2.013978093750000e+04,  3.308036457454209e-11
915         ,  7.155608468327842e-01,  4.409414614814053e-01,  2.045850820627788e+03,  1.904789250000000e+04,  8.408548386505836e-11
143         ,  2.878408453797652e-01,  4.205965735886618e-01,  1.645927819500000e+03,  4.878486683999998e+06,  0.000000000000000e+00
1747        ,  4.723624565072543e-01,  4.739627001595298e-01,  1.981432618378200e+03,  5.776259343750000e+04,  1.116999620179119e-10
3624        ,  3.119165808174699e-01,  1.745783042258738e-01,  3.507224759460000e+03,  1.259109353250000e+04,  0.000000000000000e+00
1613        ,  4.892777101910798e-01,  5.363110111170026e-01,  3.212995071519600e+03,  3.187329726097440e+03,  3.633497829833696e-10
785         ,  1.323171435250627e+00,  6.101359190256944e-01,  1.985824668444444e+03,  2.833327519667999e+07,  2.522734598082830e-10
1473        ,  4.422223937745569e-01,  2.626336495340936e-01,  2.835527409994050e+03,  1.556860921875000e+04,  0.000000000000000e+00
3936        ,  3.696216735678464e-01,  2.862412972655156e-01,  2.657592719454678e+03,  6.954197257951418e+05,  0.000000000000000e+00
3196        ,  4.682934522240256e-01,  8.273327813858892e-01,  1.446413345359049e+03,  4.881085408620001e+06,  4.279040235582008e-10
1713        ,  5.274016633298737e-01,  6.093035476144694e-01,  2.065406457222000e+03,  2.026078309621800e+03,  2.762730070557210e-10
5825        ,  3.327553083664687e-01,  3.467335914663999e-01,  2.194107300009900e+03,  5.158978965000000e+04,  0.000000000000000e+00
199         ,  1.504427135099300e+00,  8.320364933216950e-01,  1.895119037333333e+03,  3.046103692667999e+07,  4.874053424230984e-10
1800        ,  4.375320177361192e-01,  2.565103863926411e-01,  2.957037995749050e+03,  1.643682796875000e+04,  1.102470206051609e-11
