# c0 + a0 * ((perimeter_area_ratio / max:thermal_conductivity) / (bandgap + max:electron_affinity)) + a1 * ((perimeter_area_ratio^3) * (sum:thermal_conductivity * min:evaporation_heat)) + a2 * ((decomposition_energy / ave:icsd_volume) / (min:vdw_radius_uff^3))
# Property Label: $exfoliation_{energy}$; Unit of the Property: J * m^-2
# RMSE: 0.439521400571641; Max AE: 6.67487307698234
# Coefficients
# Task   a0                      a1                      a2                      c0
# all , -6.774031612266493e-02,  3.185969797352907e-06,  9.232430341781353e+08,  3.630107072541892e-01, 
# Feature Rung, Units, and Expressions
# 0;  2; AA^-1 * K * W^-1 * eV^-1 * m;                     27|22|div|19|9|add|div; ((perimeter_area_ratio / max:thermal_conductivity) / (bandgap + max:electron_affinity)); $\left(\frac{ \left(\frac{ perimeter_{area, ratio} }{ max:thermal_{conductivity} } \right) }{ \left(bandgap + max:electron_{affinity}\right) } \right)$; ((perimeter_area_ratio ./ max:thermal_conductivity) ./ (bandgap + max:electron_affinity)); perimeter_area_ratio,max:thermal_conductivity,bandgap,max:electron_affinity
# 1;  2; AA^-3 * K^-1 * KJ * W * m^-1 * mol^-1;            27|cb|23|3|mult|mult; ((perimeter_area_ratio^3) * (sum:thermal_conductivity * min:evaporation_heat)); $\left(\left(perimeter_{area, ratio}^3\right) \left(sum:thermal_{conductivity} min:evaporation_{heat}\right)\right)$; ((perimeter_area_ratio).^3 .* (sum:thermal_conductivity .* min:evaporation_heat)); perimeter_area_ratio,sum:thermal_conductivity,min:evaporation_heat
# 2;  2; atom^-1 * cm^-3 * eV * mol * pm^-3;               2|16|div|20|cb|div; ((decomposition_energy / ave:icsd_volume) / (min:vdw_radius_uff^3)); $\left(\frac{ \left(\frac{ decomposition_{energy} }{ ave:icsd_{volume} } \right) }{ \left(min:vdw_{radius, uff}^3\right) } \right)$; ((decomposition_energy ./ ave:icsd_volume) ./ (min:vdw_radius_uff).^3); decomposition_energy,ave:icsd_volume,min:vdw_radius_uff
# Number of Samples Per Task
# Task, n_mats_train            
# all , 3049                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      
3606        ,  2.839481145196585e-01,  3.762930919319122e-01,  2.193097246841073e-03,  4.215653830011534e+03,  0.000000000000000e+00
3114        ,  1.831950432135623e+00,  1.545324350304163e+00,  4.517897057010338e-03,  1.606753488881029e+05,  7.264748860902622e-10
3034        ,  4.935948125875536e-01,  3.950687569787926e-01,  7.164220078764882e-03,  6.284240665607350e+02,  3.308036457454209e-11
915         ,  7.155608468327842e-01,  4.432706389643972e-01,  7.479288745556271e-03,  9.840783308418601e+02,  8.408548386505836e-11
143         ,  2.878408453797652e-01,  3.944321930729688e-01,  3.962542120963663e-03,  9.946707498932648e+03,  0.000000000000000e+00
1747        ,  4.723624565072543e-01,  4.748049189799505e-01,  5.316482650320163e-03,  2.833718040157310e+03,  1.116999620179119e-10
3624        ,  3.119165808174699e-01,  3.642182467221559e-01,  2.463060630106495e-03,  4.313876342523299e+02,  0.000000000000000e+00
1613        ,  4.892777101910798e-01,  6.992260934425196e-01,  5.017257930115891e-03,  3.437260196133022e+02,  3.633497829833696e-10
785         ,  1.323171435250627e+00,  7.764491589810923e-01,  1.649105309329202e-03,  5.669873214615796e+04,  2.522734598082830e-10
1473        ,  4.422223937745569e-01,  3.667463787275956e-01,  6.461691445278027e-03,  1.309927199581174e+03,  0.000000000000000e+00
3936        ,  3.696216735678464e-01,  3.675415570009531e-01,  1.475132740487862e-03,  1.453490145692848e+03,  0.000000000000000e+00
3196        ,  4.682934522240256e-01,  7.826617942280297e-01,  5.117571875373530e-03,  7.827551875812989e+03,  4.279040235582008e-10
1713        ,  5.274016633298737e-01,  6.185589814224335e-01,  3.664013812404398e-03,  2.289244320957140e+02,  2.762730070557210e-10
5825        ,  3.327553083664687e-01,  3.692035028099011e-01,  4.210447102766737e-04,  1.952723237570190e+03,  0.000000000000000e+00
199         ,  1.504427135099300e+00,  9.666825586220570e-01,  1.419339604477845e-03,  4.826612317410891e+04,  4.874053424230984e-10
1800        ,  4.375320177361192e-01,  3.761907562849350e-01,  6.061779075462989e-03,  1.071007164963614e+03,  1.102470206051609e-11
4488        ,  3.500270645846581e-01,  4.657772505889766e-01,  8.579400475972574e-04,  1.307564724054433e+03,  1.068611352521386e-10
1941        ,  4.982888367482280e-01,  5.241273290774656e-01,  5.555075734594054e-04,  2.787928326327871e+04,  7.834524058732589e-11
5607        ,  5.615877319607279e-01,  4.815118126423788e-01,  3.895241009212609e-04,  1.458413738446005e+04,  7.805406375011341e-11
3304        ,  4.207482123452428e-01,  3.868895069008155e-01,  9.037059175202759e-03,  6.623251934081148e+02,  2.424153121249699e-11
5772        ,  9.791729170663426e-01,  4.576697022176927e-01,  5.118310647144945e-04,  2.936340443416043e+03,  9.243348872935403e-11
4208        ,  6.603942215445863e-01,  4.900141430317750e-01,  2.501929416368265e-02,  7.507066875064632e+01,  1.391389623691516e-10
5588        ,  8.803208873918648e-01,  4.890338359917560e-01,  6.049289322267061e-04,  8.750529608439881e+03,  1.063481446775708e-10
5685        ,  1.451928416459744e+00,  9.145732536959410e-01,  1.568613187703569e-03,  5.677110001127032e+03,  5.779428428291485e-10
461         ,  2.895131874006477e-01,  3.677254874078189e-01,  2.316857857185479e-02,  1.126749988114084e+03,  2.918446670219687e-12
180         ,  3.677083798565582e-01,  3.885346431141755e-01,  1.761217760483869e-02,  8.347160554673816e+02,  2.605772186288733e-11
3567        ,  6.455865771715684e-01,  3.760118917411038e-01,  3.562748004685110e-02,  2.936149430997086e+01,  1.659482481501118e-11
986         ,  1.667063758544649e-01,  4.005291452013018e-01,  1.655148734515588e-03,  6.291405353550243e+02,  3.858803606723273e-11
350         ,  3.022496124401135e-01,  3.888700246929582e-01,  6.949613237630469e-03,  3.990551791660947e+02,  2.714205009997515e-11
3563        ,  2.963852956512342e-01,  3.747876000840905e-01,  4.582416282135386e-03,  3.793917684813500e+03,  0.000000000000000e+00
795         ,  2.766538255638341e-01,  3.692886093063826e-01,  1.418964940417245e-03,  5.250772174124623e+02,  5.091988626867906e-12
3276        ,  3.528731625859118e-01,  3.889317189091429e-01,  4.934975181265233e-03,  8.240915672083442e+03,  0.000000000000000e+00
4238        ,  2.446030623760792e-01,  3.626796782406054e-01,  5.321297397287486e-03,  9.239684040846383e+00,  0.000000000000000e+00
5282        ,  5.293873330373472e-01,  3.660858533531476e-01,  1.324764781452153e-03,  9.933823248016289e+02,  0.000000000000000e+00
599         ,  1.941897543062212e-01,  3.820510451246858e-01,  6.269476669950661e-03,  4.491034048874886e+02,  1.953353954545328e-11
3382        ,  4.754043303942602e-01,  3.754304227775109e-01,  2.971257302744382e-04,  3.904570258184656e+03,  0.000000000000000e+00
2828        ,  4.609014146704439e-01,  5.787115539149822e-01,  9.226987079199000e-04,  4.009393389629452e+04,  9.534357136055161e-11
4760        ,  2.326804630331917e-01,  9.398393616139891e-01,  1.793037740509575e-02,  4.393200045114634e+02,  6.245848408062971e-10
4099        ,  2.771646182279487e-01,  5.784327596289672e-01,  7.330452203773845e-03,  1.745500254080937e+03,  2.278462990201372e-10
4506        ,  2.830919218734357e-01,  3.863692705030951e-01,  5.003751707410287e-04,  4.045411971274460e+03,  1.137717596989191e-11
2032        ,  3.425223935124700e-01,  6.018595313623509e-01,  3.841634024478265e-03,  3.704905505346773e+03,  2.462031471178896e-10
5625        ,  9.047570655746466e-01,  5.799871196065138e-01,  2.557211344273447e-02,  8.310406182922327e+01,  2.366049894590239e-10
3021        ,  9.436790737277430e-01,  7.209562955769591e-01,  3.013214207456699e-03,  1.132356332660858e+04,  3.488498279712966e-10
6349        ,  6.066079572580644e-01,  7.688945016415919e-01,  8.281362512867173e-03,  3.097450077993252e+03,  4.295471283546542e-10
3265        ,  4.841085563396736e-01,  3.923139127032175e-01,  1.856712531998845e-02,  1.900223715376945e+03,  2.654435735234624e-11
73          ,  3.010695272812237e-01,  1.015201377018928e+00,  4.189926225978662e-03,  2.741673108103186e+03,  6.972591020394085e-10
909         ,  2.859807336003438e-01,  4.969139707984134e-01,  7.630920774344328e-04,  3.056898379656006e+03,  1.345428723891703e-10
3508        ,  7.316706566321051e-01,  3.843354024653515e-01,  4.303588383238011e-01,  5.903669481776416e+00,  5.465357244493574e-11
5286        ,  2.235408342514859e-01,  4.718585227806418e-01,  1.733447575249613e-03,  1.999585408861134e+03,  1.111241756453132e-10
359         ,  4.663407226120941e-01,  4.162665192179680e-01,  7.367773563660050e-03,  9.672842457443332e+02,  5.488605600670851e-11
3172        ,  4.790530319841335e-01,  9.045554124302218e-01,  2.884296687445439e-02,  5.387580057527730e+02,  5.868249746589251e-10
5918        ,  2.241858049594979e+00,  6.702843476676277e-01,  5.550067255813958e-04,  6.757966083212224e+03,  3.095399048054884e-10
4401        ,  3.273613861116079e-01,  3.716151718845823e-01,  1.691021393700360e-02,  3.060282579040282e+03,  0.000000000000000e+00
3615        ,  3.036705797988253e-01,  3.654662153768344e-01,  1.574390544070109e-02,  1.105473522420085e+03,  0.000000000000000e+00
4407        ,  5.372482734277881e-01,  4.060846387577684e-01,  4.749486241950705e-03,  7.730805925511439e+00,  4.697683219180743e-11
5701        ,  9.203994095360772e-01,  4.360199414020131e-01,  1.007348608265775e-03,  3.513181904751551e+02,  7.794067266473963e-11
538         ,  3.775823948370269e-01,  1.117871502854048e+00,  3.147295017727997e-03,  1.040210297703749e+03,  8.142600463128580e-10
423         ,  3.114023315769188e-01,  3.737623651221436e-01,  1.101809671837575e-02,  8.885540757232251e+02,  9.387691488919427e-12
577         ,  3.135900205824857e-01,  3.653639105275620e-01,  1.138860796737872e-02,  9.807598238615875e+02,  0.000000000000000e+00
3422        ,  2.802083413851849e-01,  4.717956088193772e-01,  1.224931749292244e-03,  1.946824089441796e+03,  1.112007914262632e-10
1518        ,  2.969751162456789e-01,  3.665661881322022e-01,  9.735474304707725e-03,  4.170338735025898e+02,  3.126270713902594e-12
5181        ,  5.261236775456994e-01,  4.313570284536273e-01,  1.534995287499330e-02,  5.669745134645834e+02,  7.319824323835842e-11
1015        ,  3.391061495356983e-01,  9.795792517036869e-01,  8.830760276632904e-03,  1.508290393569738e+03,  6.632721316417075e-10
1156        ,  8.470934050524324e-01,  5.872786801662276e-01,  4.078660841711304e-03,  1.013942821763454e+04,  2.082229093600828e-10
4984        ,  4.348768073655889e-01,  1.038327233801441e+00,  6.596391550382824e-03,  1.748181675888130e+04,  6.716182034901233e-10
4680        ,  3.364035952142165e-01,  6.092801656949152e-01,  2.301651821360323e-03,  2.882206608374674e+03,  2.569667369003098e-10
5095        ,  5.893419787698063e-01,  5.074112651260221e-01,  5.418540878618784e-04,  2.156072737726986e+04,  8.204279285304694e-11
827         ,  4.003907365198857e-01,  3.749702464745189e-01,  1.397162141585999e+00,  1.238556476758437e+01,  1.154238704065338e-10
695         ,  3.284722007121098e+00,  2.966621102324190e+00,  2.640899897922141e-03,  5.721856056815116e+05,  8.457396410010742e-10
5396        ,  8.394699154938887e-02,  7.273598495964311e-01,  3.746260145719312e-03,  1.363321791790927e+03,  3.902108110209271e-10
3038        ,  2.698343232194364e-01,  5.216976660801591e-01,  2.652140695934243e-02,  1.785999362030734e+03,  1.676626647171925e-10
4451        ,  3.854058871881627e-01,  6.084665884070664e-01,  1.671254744082503e-03,  1.087299906611420e+03,  2.622332136304224e-10
683         ,  7.567006984040863e-01,  6.850432175543042e-01,  5.197726677505919e-04,  1.419668651109647e+03,  3.439448624737607e-10
4700        ,  2.941516770264208e-01,  4.071727106777429e-01,  5.980250087800785e-04,  1.096647777702397e+03,  4.409307801043113e-11
2132        ,  6.747740069016210e-01,  5.982508071274495e-01,  1.278459747091680e-02,  3.082933137841804e+04,  1.493483392766253e-10
5269        ,  5.468292537176512e-01,  3.736217515295927e-01,  1.451983660460187e-03,  1.779017515658790e+03,  5.460648872596432e-12
1517        ,  4.146991767326453e-01,  7.483201621824004e-01,  1.721908675927558e-02,  8.931690200472085e+02,  4.155246859006432e-10
4066        ,  3.764670136622192e-01,  6.750396613316090e-01,  1.337878944869654e-03,  1.431732455958143e+04,  2.886618245991909e-10
5182        ,  1.517650397507960e-01,  6.435668275397912e-01,  8.798193236011994e-03,  4.680453967197082e+03,  2.883751275051131e-10
1           ,  4.764892223280973e-01,  4.874295937418481e-01,  3.714380459275819e-02,  6.907605573349698e+03,  1.136511112888687e-10
3515        ,  3.510859978507264e-02,  4.666198751291741e-01,  2.930694278980479e-02,  9.950024270552333e+01,  1.140300232752726e-10
1029        ,  3.092915995936308e-01,  5.128427993297195e-01,  5.657986386419498e-04,  1.490327121823698e+04,  1.109015109572507e-10
5743        ,  3.087205345176252e-01,  3.667983306275154e-01,  1.663712401450066e-03,  1.487043642612630e+02,  3.711434624705341e-12
1217        ,  3.172537314486099e-01,  3.827142665923829e-01,  1.338365977886190e-03,  2.691566203183179e+03,  1.215169963528965e-11
2683        ,  3.844169398000933e-01,  8.474950740027907e-01,  3.061805673176913e-03,  1.860214301260874e+04,  4.607951458927704e-10
759         ,  8.184498203592120e-01,  5.427503866401756e-01,  1.835809113539388e-03,  1.417538363534097e+03,  1.899259423267279e-10
711         ,  2.502401932608478e-01,  4.270812040776675e-01,  5.869158074634559e-04,  1.093293750304052e+04,  3.171239307626363e-11
4207        ,  2.013711137722670e+00,  7.298402756111658e-01,  4.892658254167122e-03,  2.116206619913244e+03,  3.903834795987762e-10
1543        ,  3.840654554424733e-01,  3.855330875341687e-01,  6.686175294693454e-03,  7.211400411636960e+03,  0.000000000000000e+00
3822        ,  4.218122849416643e-01,  3.709788776252351e-01,  2.756145312560420e-03,  8.918283071729154e+02,  5.755293327993114e-12
905         ,  3.238182016186769e-01,  4.159918358420592e-01,  3.146502819549498e-03,  1.412899078957257e+03,  5.274106393299529e-11
347         ,  2.775346891577328e-01,  3.445253013903586e-01,  3.188027010508740e-01,  3.644451898887364e+01,  3.243218349329836e-12
2342        ,  1.210246062183758e+00,  8.993532795798509e-01,  2.793011471333822e-03,  2.876380810542244e+03,  5.712122267860383e-10
4542        ,  3.048128990006040e-01,  9.691480756770711e-01,  1.400677637073739e-03,  3.251156811671699e+03,  6.454141989717824e-10
559         ,  3.453933368526703e-01,  3.863448427585466e-01,  3.360656332783778e-03,  3.881414144932993e+02,  2.418126081277837e-11
457         ,  3.376524920945591e-01,  3.702865804843813e-01,  2.956190975363975e-03,  9.332559335555499e+02,  4.877157105097768e-12
3113        ,  2.314166087738986e-01,  9.607466882824025e-01,  2.777961817854271e-03,  1.453240546117727e+03,  6.426197204724738e-10
4420        ,  3.179225982353691e-01,  3.850034330206540e-01,  1.163248385005563e-02,  6.116705676640120e+01,  2.446358831660661e-11
1696        ,  3.247424454205921e-01,  4.149204672049223e-01,  9.277992818358568e-04,  1.518550219164776e+04,  3.890696050964138e-12
2686        ,  3.503757653850906e-01,  4.012007030788820e-01,  4.979350307608944e-03,  3.146458013556240e+03,  3.087245430902120e-11
3177        ,  2.627434022730241e-01,  4.045207287926972e-01,  1.221068217334710e-03,  1.967592358270769e+03,  3.826083268535014e-11
246         ,  2.556389493354024e-01,  3.777620423208169e-01,  1.253686257721824e-03,  4.013962626740285e+02,  1.468456657510922e-11
5215        ,  2.936995358011208e-01,  3.683583214554541e-01,  2.752501936656043e-03,  1.041845580554043e+03,  2.398914389213990e-12
286         ,  2.223387257013637e-01,  3.918499964366328e-01,  6.071280082211365e-04,  5.960231660057613e+03,  1.071364505910672e-11
465         ,  3.187608224082913e-01,  3.917619099022614e-01,  1.065625224042111e-02,  9.250891382589132e+03,  0.000000000000000e+00
5237        ,  4.050496152104346e-01,  3.662177891274614e-01,  3.136332484797643e-04,  1.013295069951110e+03,  0.000000000000000e+00
4712        ,  3.442133508674560e-01,  3.818290896609524e-01,  1.130371488124463e-02,  7.471809828265884e+02,  1.863388397731239e-11
1007        ,  8.851170638711574e-01,  5.511034483170895e-01,  2.869081774880434e-02,  9.517947472162410e+03,  1.729906070616563e-10
4773        ,  3.367910301019642e-01,  7.558728182213000e-01,  1.200686634114129e-03,  2.940355199738638e+02,  4.245974711547605e-10
2379        ,  1.925093990386221e-01,  4.017365045990344e-01,  1.116308766588690e+00,  1.702013455671653e+01,  1.237926268798351e-10
877         ,  6.907271953905234e-01,  5.528159416591749e-01,  9.886514167379925e-04,  2.688903593083546e+04,  1.128679510717068e-10
4038        ,  4.295673667432552e-01,  6.039045257422113e-01,  4.692362960065307e-03,  8.048671279030990e+02,  2.584881655677587e-10
56          ,  2.848354288519700e-01,  4.701475820972727e-01,  1.272143011761370e-03,  3.352739350920709e+04,  4.395236070370970e-13
293         ,  3.141382424198136e-01,  8.921155927368521e-01,  1.968085990684441e-02,  5.502482794492694e+02,  5.726390334757083e-10
2482        ,  2.685476051705485e-01,  5.093256451665095e-01,  3.001260913820686e-04,  1.389962703031675e+03,  1.537048037233727e-10
698         ,  3.526971622512460e-01,  4.479613107345273e-01,  7.982197047132470e-03,  1.517891073387811e+03,  8.736092440489198e-11
5638        ,  8.721344321156084e-01,  7.400250128493672e-01,  9.556117127821526e-04,  1.757983229376112e+02,  4.078221410276467e-10
3735        ,  4.120303000763381e-01,  4.370659933544137e-01,  5.573725431368458e-04,  3.957933430428732e+02,  7.888719910072367e-11
416         ,  6.071117165413150e-01,  4.164878147617421e-01,  6.788388405293454e-03,  1.228907735286166e+04,  1.601347126729311e-11
3708        ,  4.867280057715314e-01,  3.641312908080060e-01,  1.967377087345818e-03,  3.935549862048164e+02,  0.000000000000000e+00
5819        ,  7.652967829040024e-01,  6.261037967682664e-01,  4.174131253591709e-03,  1.187799224318671e+04,  2.442833724118113e-10
2404        ,  8.926809959705674e-01,  1.340776020623602e+00,  9.071028792496516e-04,  1.309117024082331e+04,  1.013946115108539e-09
5860        ,  5.228726533292852e-01,  6.977528973545536e-01,  6.543343927017008e-04,  1.814281888001150e+03,  3.563593284110712e-10
1770        ,  7.267589887161684e-01,  4.964117981782202e-01,  2.257657914147985e-02,  1.942228979165630e+02,  1.454781051934933e-10
4280        ,  1.996358645314295e-01,  3.670789241259780e-01,  1.397814283018554e-03,  1.306636759915324e+03,  0.000000000000000e+00
4123        ,  6.986549779679445e-01,  4.374945466228367e-01,  6.307164505608318e-03,  4.089529137123962e+02,  7.972784448895785e-11
1823        ,  1.515492379722413e+00,  1.900303067969801e+00,  1.353696638373497e-03,  2.211649249919191e+05,  9.019935796613632e-10
3445        ,  2.252985427404290e-02,  5.374256797849982e-01,  2.969055639894138e-02,  4.163422547403672e+02,  1.896572840260194e-10
5375        ,  4.917466885534617e-01,  4.035017137630690e-01,  3.378572585135620e-03,  5.119393730031067e+01,  4.392859544496561e-11
5658        ,  2.914387417132949e-01,  3.648671929331551e-01,  1.470306051947224e-03,  6.139683676057126e+02,  0.000000000000000e+00
722         ,  3.444202719318335e-01,  4.292275156167579e-01,  9.198140150595759e-03,  7.378534970592788e+03,  4.693466629581863e-11
748         ,  3.334604743545695e-01,  3.671969025202413e-01,  2.003172971326253e-01,  1.170476832012911e+01,  1.919154610906318e-11
1752        ,  7.809780495391134e-01,  7.022865700972004e-01,  9.453637106453599e-03,  1.198339680311523e+04,  3.268234947402507e-10
3395        ,  3.436035898879734e-01,  3.623689366891445e-01,  2.198971561329881e-02,  2.661104078111833e+02,  0.000000000000000e+00
2138        ,  9.287432598310735e-01,  6.073333649415847e-01,  3.062703046283292e-03,  4.778163140649007e+03,  2.483712676057563e-10
