# c0 + a0 * ((max:electron_affinity * ave:num_p_valence) * (ave:evaporation_heat + min:heat_of_formation)) + a1 * ((min:evaporation_heat^3) * (max:thermal_conductivity / min:boiling_point)) + a2 * ((decomposition_energy / ave:icsd_volume) / (min:vdw_radius_uff^3))
# Property Label: $exfoliation_{energy}$; Unit of the Property: J * m^-2
# RMSE: 0.439646254358528; Max AE: 9.03694394181228
# Coefficients
# Task   a0                      a1                      a2                      c0
# all , -1.242512607362938e-04,  4.808169843181188e-07,  8.619001133563069e+08,  6.170164984375600e-01, 
# Feature Rung, Units, and Expressions
# 0;  2; KJ * eV * mol^-1;                                 9|4|mult|29|14|add|mult; ((max:electron_affinity * ave:num_p_valence) * (ave:evaporation_heat + min:heat_of_formation)); $\left(\left(max:electron_{affinity} ave:num_{p, valence}\right) \left(ave:evaporation_{heat} + min:heat_{of, formation}\right)\right)$; ((max:electron_affinity .* ave:num_p_valence) .* (ave:evaporation_heat + min:heat_of_formation)); max:electron_affinity,ave:num_p_valence,ave:evaporation_heat,min:heat_of_formation
# 1;  2; K^-2 * KJ^3 * W * m^-1 * mol^-3;                  3|cb|22|6|div|mult; ((min:evaporation_heat^3) * (max:thermal_conductivity / min:boiling_point)); $\left(\left(min:evaporation_{heat}^3\right) \left(\frac{ max:thermal_{conductivity} }{ min:boiling_{point} } \right)\right)$; ((min:evaporation_heat).^3 .* (max:thermal_conductivity ./ min:boiling_point)); min:evaporation_heat,max:thermal_conductivity,min:boiling_point
# 2;  2; atom^-1 * cm^-3 * eV * mol * pm^-3;               2|16|div|20|cb|div; ((decomposition_energy / ave:icsd_volume) / (min:vdw_radius_uff^3)); $\left(\frac{ \left(\frac{ decomposition_{energy} }{ ave:icsd_{volume} } \right) }{ \left(min:vdw_{radius, uff}^3\right) } \right)$; ((decomposition_energy ./ ave:icsd_volume) ./ (min:vdw_radius_uff).^3); decomposition_energy,ave:icsd_volume,min:vdw_radius_uff
# Number of Samples Per Task
# Task, n_mats_train            
# all , 3049                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      
3606        ,  2.839481145196585e-01,  2.858853020677894e-01,  2.680262943327902e+03,  3.940903722812329e+03,  0.000000000000000e+00
3114        ,  1.831950432135623e+00,  1.372391361353061e+00,  0.000000000000000e+00,  2.687635430080705e+05,  7.264748860902622e-10
3034        ,  4.935948125875536e-01,  4.215268379737628e-01,  1.803030153241500e+03,  5.644402388329173e+01,  3.308036457454209e-11
915         ,  7.155608468327842e-01,  4.353127295743769e-01,  2.045850820627788e+03,  4.676790550329886e+01,  8.408548386505836e-11
143         ,  2.878408453797652e-01,  4.163633706806026e-01,  1.645927819500000e+03,  8.018599638954868e+03,  0.000000000000000e+00
1747        ,  4.723624565072543e-01,  4.671727481661759e-01,  1.981432618378200e+03,  1.612686396665478e+02,  1.116999620179119e-10
3624        ,  3.119165808174699e-01,  1.813653715170209e-01,  3.507224759460000e+03,  2.619939228834870e+02,  0.000000000000000e+00
1613        ,  4.892777101910798e-01,  5.310592107923953e-01,  3.212995071519600e+03,  1.875590759675332e+02,  3.633497829833696e-10
785         ,  1.323171435250627e+00,  6.304220037160564e-01,  1.985824668444444e+03,  8.883255317816512e+04,  2.522734598082830e-10
1473        ,  4.422223937745569e-01,  2.647405148720158e-01,  2.835527409994050e+03,  8.708506541993580e+01,  0.000000000000000e+00
3936        ,  3.696216735678464e-01,  2.895013811910298e-01,  2.657592719454678e+03,  5.603231077890931e+03,  0.000000000000000e+00
3196        ,  4.682934522240256e-01,  8.151846857111168e-01,  1.446413345359049e+03,  1.887691755036009e+04,  4.279040235582008e-10
1713        ,  5.274016633298737e-01,  5.985527601546750e-01,  2.065406457222000e+03,  9.542479303611340e+01,  2.762730070557210e-10
5825        ,  3.327553083664687e-01,  3.448287039772838e-01,  2.194107300009900e+03,  9.001424050632911e+02,  0.000000000000000e+00
199         ,  1.504427135099300e+00,  8.475559040415147e-01,  1.895119037333333e+03,  9.549499466652751e+04,  4.874053424230984e-10
1800        ,  4.375320177361192e-01,  2.591471895758596e-01,  2.957037995749050e+03,  9.192312460993224e+01,  1.102470206051609e-11
