# c0 + a0 * ((perimeter_area_ratio / max:thermal_conductivity) / (bandgap + max:electron_affinity)) + a1 * ((perimeter_area_ratio * min:evaporation_heat) * sqrt(sum:thermal_conductivity)) + a2 * ((decomposition_energy / ave:icsd_volume) / (min:vdw_radius_uff^3))
# Property Label: $exfoliation_{energy}$; Unit of the Property: J * m^-2
# RMSE: 0.439760316370704; Max AE: 6.73533347199231
# Coefficients
# Task   a0                      a1                      a2                      c0
# all , -6.701074485987357e-02,  1.228669369391399e-04,  9.220462886124901e+08,  3.323025500670229e-01, 
# Feature Rung, Units, and Expressions
# 0;  2; AA^-1 * K * W^-1 * eV^-1 * m;                     27|22|div|19|9|add|div; ((perimeter_area_ratio / max:thermal_conductivity) / (bandgap + max:electron_affinity)); $\left(\frac{ \left(\frac{ perimeter_{area, ratio} }{ max:thermal_{conductivity} } \right) }{ \left(bandgap + max:electron_{affinity}\right) } \right)$; ((perimeter_area_ratio ./ max:thermal_conductivity) ./ (bandgap + max:electron_affinity)); perimeter_area_ratio,max:thermal_conductivity,bandgap,max:electron_affinity
# 1;  2; AA^-1 * K^-0.5 * KJ * W^0.5 * m^-0.5 * mol^-1;    27|3|mult|23|sqrt|mult; ((perimeter_area_ratio * min:evaporation_heat) * sqrt(sum:thermal_conductivity)); $\left(\left(perimeter_{area, ratio} min:evaporation_{heat}\right) \left(\sqrt{ sum:thermal_{conductivity} }\right)\right)$; ((perimeter_area_ratio .* min:evaporation_heat) .* sqrt(sum:thermal_conductivity)); perimeter_area_ratio,min:evaporation_heat,sum:thermal_conductivity
# 2;  2; atom^-1 * cm^-3 * eV * mol * pm^-3;               2|16|div|20|cb|div; ((decomposition_energy / ave:icsd_volume) / (min:vdw_radius_uff^3)); $\left(\frac{ \left(\frac{ decomposition_{energy} }{ ave:icsd_{volume} } \right) }{ \left(min:vdw_{radius, uff}^3\right) } \right)$; ((decomposition_energy ./ ave:icsd_volume) ./ (min:vdw_radius_uff).^3); decomposition_energy,ave:icsd_volume,min:vdw_radius_uff
# Number of Samples Per Task
# Task, n_mats_train            
# all , 3049                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      
3606        ,  2.839481145196585e-01,  3.617905969660787e-01,  2.193097246841073e-03,  2.411959532595491e+02,  0.000000000000000e+00
3114        ,  1.831950432135623e+00,  1.459316913308851e+00,  4.517897057010338e-03,  3.723325817308462e+03,  7.264748860902622e-10
3034        ,  4.935948125875536e-01,  3.725786780469233e-01,  7.164220078764882e-03,  8.346086080825236e+01,  3.308036457454209e-11
915         ,  7.155608468327842e-01,  4.238710875301677e-01,  7.479288745556271e-03,  1.183314422190393e+02,  8.408548386505836e-11
143         ,  2.878408453797652e-01,  4.162196548278178e-01,  3.962542120963663e-03,  6.851528959459436e+02,  0.000000000000000e+00
1747        ,  4.723624565072543e-01,  4.551070024023246e-01,  5.316482650320163e-03,  1.641465058329930e+02,  1.116999620179119e-10
3624        ,  3.119165808174699e-01,  3.418647973593694e-01,  2.463060630106495e-03,  7.916937674309646e+01,  0.000000000000000e+00
1613        ,  4.892777101910798e-01,  6.728983468696951e-01,  5.017257930115891e-03,  4.807386163357823e+01,  3.633497829833696e-10
785         ,  1.323171435250627e+00,  7.605972779789394e-01,  1.649105309329202e-03,  1.593572959765184e+03,  2.522734598082830e-10
1473        ,  4.422223937745569e-01,  3.487955399985928e-01,  6.461691445278027e-03,  1.377587259032645e+02,  0.000000000000000e+00
3936        ,  3.696216735678464e-01,  3.707920889143266e-01,  1.475132740487862e-03,  3.140664978905199e+02,  0.000000000000000e+00
3196        ,  4.682934522240256e-01,  8.059442520894678e-01,  5.117571875373530e-03,  6.465312760327465e+02,  4.279040235582008e-10
1713        ,  5.274016633298737e-01,  5.919675575564837e-01,  3.664013812404398e-03,  4.211088119849482e+01,  2.762730070557210e-10
5825        ,  3.327553083664687e-01,  3.526419251122298e-01,  4.210447102766737e-04,  1.657694907373711e+02,  0.000000000000000e+00
199         ,  1.504427135099300e+00,  9.694275563665324e-01,  1.419339604477845e-03,  1.528562809094244e+03,  4.874053424230984e-10
1800        ,  4.375320177361192e-01,  3.569869845065150e-01,  6.061779075462989e-03,  1.214757486788381e+02,  1.102470206051609e-11
4488        ,  3.500270645846581e-01,  4.551715046354877e-01,  8.579400475972574e-04,  1.985524602605798e+02,  1.068611352521386e-10
