# c0 + a0 * ((perimeter_area_ratio / ave:thermal_conductivity) / (bandgap + max:electron_affinity)) + a1 * ((perimeter_area_ratio^3) * (sum:thermal_conductivity * min:evaporation_heat)) + a2 * ((decomposition_energy / ave:icsd_volume) / (min:vdw_radius_uff^3))
# Property Label: $exfoliation_{energy}$; Unit of the Property: J * m^-2
# RMSE: 0.439771988072893; Max AE: 6.75457300551252
# Coefficients
# Task   a0                      a1                      a2                      c0
# all , -6.581705084966032e-02,  3.181116420575475e-06,  9.222180478103764e+08,  3.648821422102859e-01, 
# Feature Rung, Units, and Expressions
# 0;  2; AA^-1 * K * W^-1 * eV^-1 * m;                     27|7|div|19|9|add|div; ((perimeter_area_ratio / ave:thermal_conductivity) / (bandgap + max:electron_affinity)); $\left(\frac{ \left(\frac{ perimeter_{area, ratio} }{ ave:thermal_{conductivity} } \right) }{ \left(bandgap + max:electron_{affinity}\right) } \right)$; ((perimeter_area_ratio ./ ave:thermal_conductivity) ./ (bandgap + max:electron_affinity)); perimeter_area_ratio,ave:thermal_conductivity,bandgap,max:electron_affinity
# 1;  2; AA^-3 * K^-1 * KJ * W * m^-1 * mol^-1;            27|cb|23|3|mult|mult; ((perimeter_area_ratio^3) * (sum:thermal_conductivity * min:evaporation_heat)); $\left(\left(perimeter_{area, ratio}^3\right) \left(sum:thermal_{conductivity} min:evaporation_{heat}\right)\right)$; ((perimeter_area_ratio).^3 .* (sum:thermal_conductivity .* min:evaporation_heat)); perimeter_area_ratio,sum:thermal_conductivity,min:evaporation_heat
# 2;  2; atom^-1 * cm^-3 * eV * mol * pm^-3;               2|16|div|20|cb|div; ((decomposition_energy / ave:icsd_volume) / (min:vdw_radius_uff^3)); $\left(\frac{ \left(\frac{ decomposition_{energy} }{ ave:icsd_{volume} } \right) }{ \left(min:vdw_{radius, uff}^3\right) } \right)$; ((decomposition_energy ./ ave:icsd_volume) ./ (min:vdw_radius_uff).^3); decomposition_energy,ave:icsd_volume,min:vdw_radius_uff
# Number of Samples Per Task
# Task, n_mats_train            
# all , 3049                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      
3606        ,  2.839481145196585e-01,  3.778597616373205e-01,  6.576809344825831e-03,  4.215653830011534e+03,  0.000000000000000e+00
3114        ,  1.831950432135623e+00,  1.545560044299197e+00,  6.340908150189949e-03,  1.606753488881029e+05,  7.264748860902622e-10
3034        ,  4.935948125875536e-01,  3.964509773394666e-01,  1.424500512749728e-02,  6.284240665607350e+02,  3.308036457454209e-11
915         ,  7.155608468327842e-01,  4.447008406075158e-01,  1.301972829694227e-02,  9.840783308418601e+02,  8.408548386505836e-11
143         ,  2.878408453797652e-01,  3.960205807052349e-01,  7.645375386329892e-03,  9.946707498932648e+03,  0.000000000000000e+00
1747        ,  4.723624565072543e-01,  4.762098514112243e-01,  1.061121231539377e-02,  2.833718040157310e+03,  1.116999620179119e-10
3624        ,  3.119165808174699e-01,  3.654502505037004e-01,  1.221850543525099e-02,  4.313876342523299e+02,  0.000000000000000e+00
1613        ,  4.892777101910798e-01,  6.994153999199499e-01,  2.503762003129056e-02,  3.437260196133022e+02,  3.633497829833696e-10
785         ,  1.323171435250627e+00,  7.775737743516686e-01,  4.934486263701980e-03,  5.669873214615796e+04,  2.522734598082830e-10
1473        ,  4.422223937745569e-01,  3.673671713681467e-01,  2.555571458720230e-02,  1.309927199581174e+03,  0.000000000000000e+00
3936        ,  3.696216735678464e-01,  3.692473776373775e-01,  3.927340091657881e-03,  1.453490145692848e+03,  0.000000000000000e+00
3196        ,  4.682934522240256e-01,  7.831829343136066e-01,  1.854192708468670e-02,  7.827551875812989e+03,  4.279040235582008e-10
1713        ,  5.274016633298737e-01,  6.194324686087410e-01,  1.461417807038831e-02,  2.289244320957140e+02,  2.762730070557210e-10
5825        ,  3.327553083664687e-01,  3.708278201638525e-01,  4.043967313502502e-03,  1.952723237570190e+03,  0.000000000000000e+00
199         ,  1.504427135099300e+00,  9.676367285171034e-01,  4.247745197142771e-03,  4.826612317410891e+04,  4.874053424230984e-10
1800        ,  4.375320177361192e-01,  3.768774810548342e-01,  2.398829522182698e-02,  1.071007164963614e+03,  1.102470206051609e-11
4488        ,  3.500270645846581e-01,  4.673815248773272e-01,  3.181553775777423e-03,  1.307564724054433e+03,  1.068611352521386e-10
1941        ,  4.982888367482280e-01,  5.257476794831671e-01,  1.110705182681783e-03,  2.787928326327871e+04,  7.834524058732589e-11
5607        ,  5.615877319607279e-01,  4.831585399802476e-01,  1.524034238455562e-03,  1.458413738446005e+04,  7.805406375011341e-11
3304        ,  4.207482123452428e-01,  3.863836676126158e-01,  4.499420284979291e-02,  6.623251934081148e+02,  2.424153121249699e-11
5772        ,  9.791729170663426e-01,  4.592013864595018e-01,  4.032816368943226e-03,  2.936340443416043e+03,  9.243348872935403e-11
4208        ,  6.603942215445863e-01,  4.880276131141584e-01,  8.219450452119575e-02,  7.507066875064632e+01,  1.391389623691516e-10
5588        ,  8.803208873918648e-01,  4.906753465235934e-01,  1.814537176849157e-03,  8.750529608439881e+03,  1.063481446775708e-10
5685        ,  1.451928416459744e+00,  9.154907205895263e-01,  6.689599745820341e-03,  5.677110001127032e+03,  5.779428428291485e-10
461         ,  2.895131874006477e-01,  3.668263552204389e-01,  6.581203523784057e-02,  1.126749988114084e+03,  2.918446670219687e-12
180         ,  3.677083798565582e-01,  3.887070789000117e-01,  4.347344055498596e-02,  8.347160554673816e+02,  2.605772186288733e-11
3567        ,  6.455865771715684e-01,  3.722532369154694e-01,  1.219494715660723e-01,  2.936149430997086e+01,  1.659482481501118e-11
986         ,  1.667063758544649e-01,  4.020345405768441e-01,  6.617650083775074e-03,  6.291405353550243e+02,  3.858803606723273e-11
350         ,  3.022496124401135e-01,  3.893908007254726e-01,  2.722198733634055e-02,  3.990551791660947e+02,  2.714205009997515e-11
3563        ,  2.963852956512342e-01,  3.760464339533587e-01,  1.374419076396118e-02,  3.793917684813500e+03,  0.000000000000000e+00
795         ,  2.766538255638341e-01,  3.708774998938377e-01,  5.635285704595889e-03,  5.250772174124623e+02,  5.091988626867906e-12
3276        ,  3.528731625859118e-01,  3.901369123341374e-01,  1.459412156562555e-02,  8.240915672083442e+03,  0.000000000000000e+00
