# c0 + a0 * ((var:num_p_valence^3) * (min:boiling_point * decomposition_energy)) + a1 * ((perimeter_area_ratio^3) * (sum:thermal_conductivity * min:evaporation_heat)) + a2 * ((decomposition_energy / min:vdw_radius_uff) / (min:vdw_radius_uff^3))
# Property Label: $exfoliation_{energy}$; Unit of the Property: J * m^-2
# RMSE: 0.439823634010268; Max AE: 9.54477932497049
# Coefficients
# Task   a0                      a1                      a2                      c0
# all , -2.791538544698708e-05,  3.335876414647939e-06,  1.562030201925961e+10,  3.661690402674717e-01, 
# Feature Rung, Units, and Expressions
# 0;  2; K * atom^-1 * eV;                                 10|cb|6|2|mult|mult; ((var:num_p_valence^3) * (min:boiling_point * decomposition_energy)); $\left(\left(var:num_{p, valence}^3\right) \left(min:boiling_{point} decomposition_{energy}\right)\right)$; ((var:num_p_valence).^3 .* (min:boiling_point .* decomposition_energy)); var:num_p_valence,min:boiling_point,decomposition_energy
# 1;  2; AA^-3 * K^-1 * KJ * W * m^-1 * mol^-1;            27|cb|23|3|mult|mult; ((perimeter_area_ratio^3) * (sum:thermal_conductivity * min:evaporation_heat)); $\left(\left(perimeter_{area, ratio}^3\right) \left(sum:thermal_{conductivity} min:evaporation_{heat}\right)\right)$; ((perimeter_area_ratio).^3 .* (sum:thermal_conductivity .* min:evaporation_heat)); perimeter_area_ratio,sum:thermal_conductivity,min:evaporation_heat
# 2;  2; atom^-1 * eV * pm^-4;                             2|20|div|20|cb|div; ((decomposition_energy / min:vdw_radius_uff) / (min:vdw_radius_uff^3)); $\left(\frac{ \left(\frac{ decomposition_{energy} }{ min:vdw_{radius, uff} } \right) }{ \left(min:vdw_{radius, uff}^3\right) } \right)$; ((decomposition_energy ./ min:vdw_radius_uff) ./ (min:vdw_radius_uff).^3); decomposition_energy,min:vdw_radius_uff,min:vdw_radius_uff
# Number of Samples Per Task
# Task, n_mats_train            
# all , 3049                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      
3606        ,  2.839481145196585e-01,  3.802319404513274e-01,  0.000000000000000e+00,  4.215653830011534e+03,  0.000000000000000e+00
3114        ,  1.831950432135623e+00,  1.711392582127183e+00,  0.000000000000000e+00,  1.606753488881029e+05,  5.180632449300854e-11
3034        ,  4.935948125875536e-01,  4.029525607847657e-01,  4.374182394623990e+01,  6.284240665607350e+02,  2.298818891375861e-12
915         ,  7.155608468327842e-01,  4.154865289442909e-01,  9.442509462498781e+02,  9.840783308418601e+02,  4.634600151570999e-12
143         ,  2.878408453797652e-01,  3.993500272165629e-01,  0.000000000000000e+00,  9.946707498932648e+03,  0.000000000000000e+00
1747        ,  4.723624565072543e-01,  4.250718521900596e-01,  2.241636541044080e+03,  2.833718040157310e+03,  7.171822073852004e-12
3624        ,  3.119165808174699e-01,  3.676080961021448e-01,  0.000000000000000e+00,  4.313876342523299e+02,  0.000000000000000e+00
1613        ,  4.892777101910798e-01,  6.364098613710981e-01,  1.049503906443520e+03,  3.437260196133022e+02,  1.910279963154839e-11
785         ,  1.323171435250627e+00,  5.154822028675100e-01,  1.104347483396987e+04,  5.669873214615796e+04,  1.718635501583753e-11
1473        ,  4.422223937745569e-01,  3.705387955174603e-01,  0.000000000000000e+00,  1.309927199581174e+03,  0.000000000000000e+00
3936        ,  3.696216735678464e-01,  3.710177037634116e-01,  0.000000000000000e+00,  1.453490145692848e+03,  0.000000000000000e+00
3196        ,  4.682934522240256e-01,  7.774278323664509e-01,  9.025815099746864e+03,  7.827551875812989e+03,  4.078705732508554e-11
1713        ,  5.274016633298737e-01,  5.761724275876989e-01,  4.155729043412232e+02,  2.289244320957140e+02,  1.413804939495909e-11
5825        ,  3.327553083664687e-01,  3.726830836600170e-01,  0.000000000000000e+00,  1.952723237570190e+03,  0.000000000000000e+00
199         ,  1.504427135099300e+00,  6.780946357539923e-01,  1.673523871312101e+04,  4.826612317410891e+04,  3.956942778862659e-11
1800        ,  4.375320177361192e-01,  3.781250425820555e-01,  1.615362053241772e+02,  1.071007164963614e+03,  8.253745793413189e-13
4488        ,  3.500270645846581e-01,  5.255582587751358e-01,  5.859253767248485e+02,  1.307564724054433e+03,  1.097185423861824e-11
1941        ,  4.982888367482280e-01,  3.917326416754134e-01,  8.138663242553733e+03,  2.787928326327871e+04,  1.022743857031816e-11
5607        ,  5.615877319607279e-01,  4.967323657880083e-01,  2.336660309064148e+03,  1.458413738446005e+04,  9.419870281413873e-12
3304        ,  4.207482123452428e-01,  4.061473868361610e-01,  0.000000000000000e+00,  6.623251934081148e+02,  2.417937344015725e-12
5772        ,  9.791729170663426e-01,  4.608307127583880e-01,  3.969552814142456e+01,  2.936340443416043e+03,  5.504024155418509e-12
4208        ,  6.603942215445863e-01,  5.229262488600305e-01,  1.897331094459534e+02,  7.507066875064632e+01,  1.035852282510157e-11
5588        ,  8.803208873918648e-01,  4.481280149917247e-01,  7.609942773502269e+02,  8.750529608439881e+03,  4.738175860601641e-12
5685        ,  1.451928416459744e+00,  9.131944360281400e-01,  1.016996876935799e+03,  5.677110001127032e+03,  3.562524703661063e-11
461         ,  2.895131874006477e-01,  3.666181124568363e-01,  3.002507232510275e+02,  1.126749988114084e+03,  3.247048708050188e-13
180         ,  3.677083798565582e-01,  3.967213875978839e-01,  4.678242144312408e-01,  8.347160554673816e+02,  1.778512168782942e-12
3567        ,  6.455865771715684e-01,  3.830869189010260e-01,  9.964321319576116e-03,  2.936149430997086e+01,  1.076817237868909e-12
986         ,  1.667063758544649e-01,  4.079503285215637e-01,  7.439329016492668e+01,  6.291405353550243e+02,  2.673397127586722e-12
350         ,  3.022496124401135e-01,  3.845186545831692e-01,  1.982801331680776e+03,  3.990551791660947e+02,  4.633014067513696e-12
3563        ,  2.963852956512342e-01,  3.788250807913567e-01,  0.000000000000000e+00,  3.793917684813500e+03,  0.000000000000000e+00
795         ,  2.766538255638341e-01,  3.781391254564294e-01,  2.842426170755850e+00,  5.250772174124623e+02,  6.592599741661039e-13
3276        ,  3.528731625859118e-01,  3.936597164930773e-01,  0.000000000000000e+00,  8.240915672083442e+03,  0.000000000000000e+00
4238        ,  2.446030623760792e-01,  3.661998627115423e-01,  0.000000000000000e+00,  9.239684040846383e+00,  0.000000000000000e+00
5282        ,  5.293873330373472e-01,  3.694828409355055e-01,  0.000000000000000e+00,  9.933823248016289e+02,  0.000000000000000e+00
599         ,  1.941897543062212e-01,  3.192660005484654e-01,  3.634358471829266e+03,  4.491034048874886e+02,  3.396433971194306e-12
3382        ,  4.754043303942602e-01,  3.791942041010857e-01,  0.000000000000000e+00,  3.904570258184656e+03,  0.000000000000000e+00
