# c0 + a0 * ((min:melting_point * decomposition_energy) * (var:num_p_valence^3)) + a1 * ((perimeter_area_ratio^3) * (sum:thermal_conductivity * min:evaporation_heat)) + a2 * ((decomposition_energy / min:vdw_radius_uff) / (min:vdw_radius_uff^3))
# Property Label: $exfoliation_{energy}$; Unit of the Property: J * m^-2
# RMSE: 0.439839444862673; Max AE: 9.5455427787811
# Coefficients
# Task   a0                      a1                      a2                      c0
# all , -4.085196864282528e-05,  3.335503620376609e-06,  1.545920259582861e+10,  3.654055892439244e-01, 
# Feature Rung, Units, and Expressions
# 0;  2; K * atom^-1 * eV;                                 12|2|mult|10|cb|mult; ((min:melting_point * decomposition_energy) * (var:num_p_valence^3)); $\left(\left(min:melting_{point} decomposition_{energy}\right) \left(var:num_{p, valence}^3\right)\right)$; ((min:melting_point .* decomposition_energy) .* (var:num_p_valence).^3); min:melting_point,decomposition_energy,var:num_p_valence
# 1;  2; AA^-3 * K^-1 * KJ * W * m^-1 * mol^-1;            27|cb|23|3|mult|mult; ((perimeter_area_ratio^3) * (sum:thermal_conductivity * min:evaporation_heat)); $\left(\left(perimeter_{area, ratio}^3\right) \left(sum:thermal_{conductivity} min:evaporation_{heat}\right)\right)$; ((perimeter_area_ratio).^3 .* (sum:thermal_conductivity .* min:evaporation_heat)); perimeter_area_ratio,sum:thermal_conductivity,min:evaporation_heat
# 2;  2; atom^-1 * eV * pm^-4;                             2|20|div|20|cb|div; ((decomposition_energy / min:vdw_radius_uff) / (min:vdw_radius_uff^3)); $\left(\frac{ \left(\frac{ decomposition_{energy} }{ min:vdw_{radius, uff} } \right) }{ \left(min:vdw_{radius, uff}^3\right) } \right)$; ((decomposition_energy ./ min:vdw_radius_uff) ./ (min:vdw_radius_uff).^3); decomposition_energy,min:vdw_radius_uff,min:vdw_radius_uff
# Number of Samples Per Task
# Task, n_mats_train            
# all , 3049                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      
3606        ,  2.839481145196585e-01,  3.794669178561824e-01,  0.000000000000000e+00,  4.215653830011534e+03,  0.000000000000000e+00
3114        ,  1.831950432135623e+00,  1.702223263248123e+00,  0.000000000000000e+00,  1.606753488881029e+05,  5.180632449300854e-11
3034        ,  4.935948125875536e-01,  4.020787047205567e-01,  2.352156523499995e+01,  6.284240665607350e+02,  2.298818891375861e-12
915         ,  7.155608468327842e-01,  4.240563210113717e-01,  3.984847805972990e+02,  9.840783308418601e+02,  4.634600151570999e-12
143         ,  2.878408453797652e-01,  3.985828681174414e-01,  0.000000000000000e+00,  9.946707498932648e+03,  0.000000000000000e+00
1747        ,  4.723624565072543e-01,  4.364847746893604e-01,  1.205409271413348e+03,  2.833718040157310e+03,  7.171822073852004e-12
3624        ,  3.119165808174699e-01,  3.668444842597587e-01,  0.000000000000000e+00,  4.313876342523299e+02,  0.000000000000000e+00
1613        ,  4.892777101910798e-01,  6.348685931046928e-01,  6.608627704025602e+02,  3.437260196133022e+02,  1.910279963154839e-11
785         ,  1.323171435250627e+00,  5.894818077400077e-01,  5.647951851210975e+03,  5.669873214615796e+04,  1.718635501583753e-11
1473        ,  4.422223937745569e-01,  3.697748561605572e-01,  0.000000000000000e+00,  1.309927199581174e+03,  0.000000000000000e+00
3936        ,  3.696216735678464e-01,  3.702537108870646e-01,  0.000000000000000e+00,  1.453490145692848e+03,  0.000000000000000e+00
3196        ,  4.682934522240256e-01,  8.334745623495423e-01,  4.616062414023550e+03,  7.827551875812989e+03,  4.078705732508554e-11
1713        ,  5.274016633298737e-01,  5.740418977873185e-01,  2.616823617149239e+02,  2.289244320957140e+02,  1.413804939495909e-11
5825        ,  3.327553083664687e-01,  3.719189046724333e-01,  0.000000000000000e+00,  1.952723237570190e+03,  0.000000000000000e+00
199         ,  1.504427135099300e+00,  7.884619489198175e-01,  8.558884218170644e+03,  4.826612317410891e+04,  3.956942778862659e-11
1800        ,  4.375320177361192e-01,  3.781890100023066e-01,  8.686387645875928e+01,  1.071007164963614e+03,  8.253745793413189e-13
4488        ,  3.500270645846581e-01,  5.248393078514579e-01,  3.560118709892637e+02,  1.307564724054433e+03,  1.097185423861824e-11
1941        ,  4.982888367482280e-01,  3.501400874023350e-01,  6.520248738159197e+03,  2.787928326327871e+04,  1.022743857031816e-11
5607        ,  5.615877319607279e-01,  4.922938577632264e-01,  1.649390711682882e+03,  1.458413738446005e+04,  9.419870281413873e-12
3304        ,  4.207482123452428e-01,  4.049941605895627e-01,  0.000000000000000e+00,  6.623251934081148e+02,  2.417937344015725e-12
5772        ,  9.791729170663426e-01,  4.593022691874013e-01,  2.411924761226373e+01,  2.936340443416043e+03,  5.504024155418509e-12
4208        ,  6.603942215445863e-01,  5.210809528927440e-01,  1.152830069590669e+02,  7.507066875064632e+01,  1.035852282510157e-11
5588        ,  8.803208873918648e-01,  4.482655388495216e-01,  4.791909618463433e+02,  8.750529608439881e+03,  4.738175860601641e-12
5685        ,  1.451928416459744e+00,  9.098357187658501e-01,  6.179335719711918e+02,  5.677110001127032e+03,  3.562524703661063e-11
461         ,  2.895131874006477e-01,  3.638159011057955e-01,  2.537856932921800e+02,  1.126749988114084e+03,  3.247048708050188e-13
180         ,  3.677083798565582e-01,  3.956738906369838e-01,  2.515660479037466e-01,  8.347160554673816e+02,  1.778512168782942e-12
3567        ,  6.455865771715684e-01,  3.821500041301765e-01,  6.274439715761787e-03,  2.936149430997086e+01,  1.076817237868909e-12
986         ,  1.667063758544649e-01,  4.066393198890103e-01,  5.369037957418430e+01,  6.291405353550243e+02,  2.673397127586722e-12
350         ,  3.022496124401135e-01,  3.734655317679120e-01,  1.588511220530034e+03,  3.990551791660947e+02,  4.633014067513696e-12
3563        ,  2.963852956512342e-01,  3.780602154170307e-01,  0.000000000000000e+00,  3.793917684813500e+03,  0.000000000000000e+00
795         ,  2.766538255638341e-01,  3.772555917967021e-01,  2.277195296185540e+00,  5.250772174124623e+02,  6.592599741661039e-13
3276        ,  3.528731625859118e-01,  3.928931933033771e-01,  0.000000000000000e+00,  8.240915672083442e+03,  0.000000000000000e+00
4238        ,  2.446030623760792e-01,  3.654364082434938e-01,  0.000000000000000e+00,  9.239684040846383e+00,  0.000000000000000e+00
5282        ,  5.293873330373472e-01,  3.687190195847184e-01,  0.000000000000000e+00,  9.933823248016289e+02,  0.000000000000000e+00
599         ,  1.941897543062212e-01,  3.004631899360063e-01,  2.911647838684549e+03,  4.491034048874886e+02,  3.396433971194306e-12
3382        ,  4.754043303942602e-01,  3.784292974761141e-01,  0.000000000000000e+00,  3.904570258184656e+03,  0.000000000000000e+00
2828        ,  4.609014146704439e-01,  5.500417332987687e-01,  8.587056050750824e+02,  4.009393389629452e+04,  5.561897278179145e-12
4760        ,  2.326804630331917e-01,  9.573786913486654e-01,  9.301123611521033e+02,  4.393200045114634e+02,  4.065569784439399e-11
4099        ,  2.771646182279487e-01,  6.300058127673687e-01,  1.208357029217890e+02,  1.745500254080937e+03,  1.705873739726022e-11
4506        ,  2.830919218734357e-01,  3.839438763347152e-01,  1.596200278082772e+02,  4.045411971274460e+03,  7.481364652405389e-13
2032        ,  3.425223935124700e-01,  2.740578620661288e-01,  1.322339624734229e+04,  3.704905505346773e+03,  2.823537069511131e-11
5625        ,  9.047570655746466e-01,  5.768705444326033e-01,  1.933288361989166e+01,  8.310406182922327e+01,  1.371206220573066e-11
3021        ,  9.436790737277430e-01,  6.662144697912680e-01,  5.997733407299182e+03,  1.132356332660858e+04,  3.286445778878526e-11
6349        ,  6.066079572580644e-01,  6.833548597439570e-01,  4.528332134399987e+03,  3.097450077993252e+03,  3.186509743023088e-11
3265        ,  4.841085563396736e-01,  3.919556891947710e-01,  4.985391798090063e+02,  1.900223715376945e+03,  2.624857495586992e-12
73          ,  3.010695272812237e-01,  9.009072066291194e-01,  1.049280152663467e+04,  2.741673108103186e+03,  6.177604244648354e-11
909         ,  2.859807336003438e-01,  4.758768242320416e-01,  2.047115981824414e+03,  3.056898379656006e+03,  1.189606359923065e-11
3508        ,  7.316706566321051e-01,  4.084557934638930e-01,  1.945637587351175e-02,  5.903669481776416e+00,  2.783539905991462e-12
5286        ,  2.235408342514859e-01,  4.776955137444487e-01,  2.480257617363346e+02,  1.999585408861134e+03,  7.487620403028755e-12
359         ,  4.663407226120941e-01,  4.022468696779597e-01,  7.011604880110739e+02,  9.672842457443332e+02,  4.027289649275810e-12
3172        ,  4.790530319841335e-01,  7.191526886272628e-01,  7.515736834617359e+03,  5.387580057527730e+02,  4.262721259490922e-11
5918        ,  2.241858049594979e+00,  5.441675764591450e-01,  1.394746708212678e+03,  6.757966083212224e+03,  1.379106809327927e-11
4401        ,  3.273613861116079e-01,  3.756131728656887e-01,  0.000000000000000e+00,  3.060282579040282e+03,  0.000000000000000e+00
3615        ,  3.036705797988253e-01,  3.690929001801871e-01,  0.000000000000000e+00,  1.105473522420085e+03,  0.000000000000000e+00
4407        ,  5.372482734277881e-01,  4.396226102483259e-01,  3.324330700900449e+01,  7.730805925511439e+00,  4.887010758831110e-12
5701        ,  9.203994095360772e-01,  4.667431177670139e-01,  8.816728147607400e+01,  3.513181904751551e+02,  6.712345724289757e-12
538         ,  3.775823948370269e-01,  9.171105607000709e-01,  2.149522365780002e+03,  1.040210297703749e+03,  4.114362060936605e-11
423         ,  3.114023315769188e-01,  3.469082434657673e-01,  1.076463576224370e+03,  8.885540757232251e+02,  1.456383989204225e-12
577         ,  3.135900205824857e-01,  3.686769171871346e-01,  0.000000000000000e+00,  9.807598238615875e+02,  0.000000000000000e+00
3422        ,  2.802083413851849e-01,  5.036534100420533e-01,  1.726094022019737e+02,  1.946824089441796e+03,  8.978834129725781e-12
1518        ,  2.969751162456789e-01,  3.688856983907134e-01,  4.650492245292413e+01,  4.170338735025898e+02,  2.580281072687164e-13
5181        ,  5.261236775456994e-01,  4.509842526528466e-01,  5.019832855788926e+00,  5.669745134645834e+02,  5.426708615854069e-12
1015        ,  3.391061495356983e-01,  7.870579996582852e-01,  3.280623401793856e+03,  1.508290393569738e+03,  3.561900578452940e-11
1156        ,  8.470934050524324e-01,  9.031300881685634e-01,  0.000000000000000e+00,  1.013942821763454e+04,  3.259575623468056e-11
4984        ,  4.348768073655889e-01,  8.913552632125586e-01,  1.004201688237635e+04,  1.748181675888130e+04,  5.678657513066457e-11
4680        ,  3.364035952142165e-01,  6.600809213530032e-01,  1.825661984646384e+02,  2.882206608374674e+03,  1.892205683532605e-11
5095        ,  5.893419787698063e-01,  4.288674415267711e-01,  2.480211608642581e+03,  2.156072737726986e+04,  6.007262945561411e-12
827         ,  4.003907365198857e-01,  4.673563219425550e-01,  7.667232948636939e-01,  1.238556476758437e+01,  6.594178588875881e-12
695         ,  3.284722007121098e+00,  3.008429486550029e+00,  0.000000000000000e+00,  5.721856056815116e+05,  4.751194206007956e-11
5396        ,  8.394699154938887e-02,  1.203390687312580e-01,  2.260340806315507e+04,  1.363321791790927e+03,  4.358438463791654e-11
3038        ,  2.698343232194364e-01,  5.487246401652519e-01,  4.142044517637211e+01,  1.785999362030734e+03,  1.158235356583756e-11
4451        ,  3.854058871881627e-01,  6.423818827774685e-01,  1.980903538514987e+03,  1.087299906611420e+03,  2.291666777781131e-11
683         ,  7.567006984040863e-01,  6.499212291309810e-01,  3.085852470638999e+03,  1.419668651109647e+03,  2.625254930276832e-11
4700        ,  2.941516770264208e-01,  4.302329724356375e-01,  3.048262032537655e+02,  1.096647777702397e+03,  4.762358252269026e-12
2132        ,  6.747740069016210e-01,  6.285759320431279e-01,  2.785406797004847e+00,  3.082933137841804e+04,  1.037911138878043e-11
5269        ,  5.468292537176512e-01,  3.718199995775437e-01,  1.507878627710426e+02,  1.779017515658790e+03,  4.295481587684950e-13
1517        ,  4.146991767326453e-01,  5.150357887296533e-01,  6.322886278399996e+03,  8.931690200472085e+02,  2.619497224729881e-11
4066        ,  3.764670136622192e-01,  7.457050560773616e-01,  4.732153288544009e+02,  1.431732455958143e+04,  2.276157224315426e-11
5182        ,  1.517650397507960e-01,  7.143056674328234e-01,  4.890364459217291e+02,  4.680453967197082e+03,  2.285153496116437e-11
