# c0 + a0 * ((perimeter_area_ratio / max:thermal_conductivity) / (bandgap + max:electron_affinity)) + a1 * ((perimeter_area_ratio * min:evaporation_heat) * (perimeter_area_ratio * sum:thermal_conductivity)) + a2 * ((decomposition_energy / ave:icsd_volume) / (min:vdw_radius_uff^3))
# Property Label: $exfoliation_{energy}$; Unit of the Property: J * m^-2
# RMSE: 0.439840726151144; Max AE: 6.6860465368
# Coefficients
# Task   a0                      a1                      a2                      c0
# all , -6.759009102757986e-02,  3.719794933644687e-06,  9.174452010343035e+08,  3.582144215664657e-01, 
# Feature Rung, Units, and Expressions
# 0;  2; AA^-1 * K * W^-1 * eV^-1 * m;                     27|22|div|19|9|add|div; ((perimeter_area_ratio / max:thermal_conductivity) / (bandgap + max:electron_affinity)); $\left(\frac{ \left(\frac{ perimeter_{area, ratio} }{ max:thermal_{conductivity} } \right) }{ \left(bandgap + max:electron_{affinity}\right) } \right)$; ((perimeter_area_ratio ./ max:thermal_conductivity) ./ (bandgap + max:electron_affinity)); perimeter_area_ratio,max:thermal_conductivity,bandgap,max:electron_affinity
# 1;  2; AA^-2 * K^-1 * KJ * W * m^-1 * mol^-1;            27|3|mult|27|23|mult|mult; ((perimeter_area_ratio * min:evaporation_heat) * (perimeter_area_ratio * sum:thermal_conductivity)); $\left(\left(perimeter_{area, ratio} min:evaporation_{heat}\right) \left(perimeter_{area, ratio} sum:thermal_{conductivity}\right)\right)$; ((perimeter_area_ratio .* min:evaporation_heat) .* (perimeter_area_ratio .* sum:thermal_conductivity)); perimeter_area_ratio,min:evaporation_heat,perimeter_area_ratio,sum:thermal_conductivity
# 2;  2; atom^-1 * cm^-3 * eV * mol * pm^-3;               2|16|div|20|cb|div; ((decomposition_energy / ave:icsd_volume) / (min:vdw_radius_uff^3)); $\left(\frac{ \left(\frac{ decomposition_{energy} }{ ave:icsd_{volume} } \right) }{ \left(min:vdw_{radius, uff}^3\right) } \right)$; ((decomposition_energy ./ ave:icsd_volume) ./ (min:vdw_radius_uff).^3); decomposition_energy,ave:icsd_volume,min:vdw_radius_uff
# Number of Samples Per Task
# Task, n_mats_train            
# all , 3049                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      
3606        ,  2.839481145196585e-01,  3.719566590382407e-01,  2.193097246841073e-03,  3.734202923038896e+03,  0.000000000000000e+00
3114        ,  1.831950432135623e+00,  1.415670153656920e+00,  4.517897057010338e-03,  1.051832711823651e+05,  7.264748860902622e-10
3034        ,  4.935948125875536e-01,  3.905473303811747e-01,  7.164220078764882e-03,  6.634014558909024e+02,  3.308036457454209e-11
915         ,  7.155608468327842e-01,  4.398132715034809e-01,  7.479288745556271e-03,  1.333555258822652e+03,  8.408548386505836e-11
143         ,  2.878408453797652e-01,  3.930108508280238e-01,  3.962542120963663e-03,  9.426395398054476e+03,  0.000000000000000e+00
1747        ,  4.723624565072543e-01,  4.698790488987339e-01,  5.316482650320163e-03,  2.566102416874363e+03,  1.116999620179119e-10
3624        ,  3.119165808174699e-01,  3.602684091964396e-01,  2.463060630106495e-03,  5.969324013228899e+02,  0.000000000000000e+00
1613        ,  4.892777101910798e-01,  6.925433153401575e-01,  5.017257930115891e-03,  3.533786196275879e+02,  3.633497829833696e-10
785         ,  1.323171435250627e+00,  7.477799398646471e-01,  1.649105309329202e-03,  4.253726596473651e+04,  2.522734598082830e-10
1473        ,  4.422223937745569e-01,  3.645007499175410e-01,  6.461691445278027e-03,  1.807377767856264e+03,  0.000000000000000e+00
3936        ,  3.696216735678464e-01,  3.705271752236095e-01,  1.475132740487862e-03,  3.336866207618942e+03,  0.000000000000000e+00
3196        ,  4.682934522240256e-01,  7.764919803463201e-01,  5.117571875373530e-03,  7.001720115385787e+03,  4.279040235582008e-10
1713        ,  5.274016633298737e-01,  6.124407404574270e-01,  3.664013812404398e-03,  2.711508127391047e+02,  2.762730070557210e-10
5825        ,  3.327553083664687e-01,  3.679210292471098e-01,  4.210447102766737e-04,  2.617097529459751e+03,  0.000000000000000e+00
199         ,  1.504427135099300e+00,  9.508693751738726e-01,  1.419339604477845e-03,  3.913742481316726e+04,  4.874053424230984e-10
1800        ,  4.375320177361192e-01,  3.731469438348481e-01,  6.061779075462989e-03,  1.405367382579450e+03,  1.102470206051609e-11
4488        ,  3.500270645846581e-01,  4.656086552924463e-01,  8.579400475972574e-04,  2.530512145334524e+03,  1.068611352521386e-10
