# c0 + a0 * ((min:heat_of_formation * max:num_p_valence) * (var:electron_affinity + ave:electron_affinity)) + a1 * ((min:evaporation_heat^3) * (max:thermal_conductivity / min:boiling_point)) + a2 * ((decomposition_energy / ave:icsd_volume) / (min:vdw_radius_uff^3))
# Property Label: $exfoliation_{energy}$; Unit of the Property: J * m^-2
# RMSE: 0.439866364562531; Max AE: 9.00843380108127
# Coefficients
# Task   a0                      a1                      a2                      c0
# all , -1.485630078402757e-04,  4.712984688745708e-07,  8.662037840507003e+08,  6.077523836549606e-01, 
# Feature Rung, Units, and Expressions
# 0;  2; KJ * eV * mol^-1;                                 14|5|mult|25|8|add|mult; ((min:heat_of_formation * max:num_p_valence) * (var:electron_affinity + ave:electron_affinity)); $\left(\left(min:heat_{of, formation} max:num_{p, valence}\right) \left(var:electron_{affinity} + ave:electron_{affinity}\right)\right)$; ((min:heat_of_formation .* max:num_p_valence) .* (var:electron_affinity + ave:electron_affinity)); min:heat_of_formation,max:num_p_valence,var:electron_affinity,ave:electron_affinity
# 1;  2; K^-2 * KJ^3 * W * m^-1 * mol^-3;                  3|cb|22|6|div|mult; ((min:evaporation_heat^3) * (max:thermal_conductivity / min:boiling_point)); $\left(\left(min:evaporation_{heat}^3\right) \left(\frac{ max:thermal_{conductivity} }{ min:boiling_{point} } \right)\right)$; ((min:evaporation_heat).^3 .* (max:thermal_conductivity ./ min:boiling_point)); min:evaporation_heat,max:thermal_conductivity,min:boiling_point
# 2;  2; atom^-1 * cm^-3 * eV * mol * pm^-3;               2|16|div|20|cb|div; ((decomposition_energy / ave:icsd_volume) / (min:vdw_radius_uff^3)); $\left(\frac{ \left(\frac{ decomposition_{energy} }{ ave:icsd_{volume} } \right) }{ \left(min:vdw_{radius, uff}^3\right) } \right)$; ((decomposition_energy ./ ave:icsd_volume) ./ (min:vdw_radius_uff).^3); decomposition_energy,ave:icsd_volume,min:vdw_radius_uff
# Number of Samples Per Task
# Task, n_mats_train            
# all , 3049                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      
3606        ,  2.839481145196585e-01,  2.976029025925823e-01,  2.100164956867118e+03,  3.940903722812329e+03,  0.000000000000000e+00
3114        ,  1.831950432135623e+00,  1.363695525313156e+00,  0.000000000000000e+00,  2.687635430080705e+05,  7.264748860902622e-10
3034        ,  4.935948125875536e-01,  4.094445018958837e-01,  1.527895968270901e+03,  5.644402388329173e+01,  3.308036457454209e-11
915         ,  7.155608468327842e-01,  3.896584111622107e-01,  1.958436239763426e+03,  4.676790550329886e+01,  8.408548386505836e-11
143         ,  2.878408453797652e-01,  3.973361330452352e-01,  1.441781554210121e+03,  8.018599638954868e+03,  0.000000000000000e+00
1747        ,  4.723624565072543e-01,  3.965566057745514e-01,  2.073374238981246e+03,  1.612686396665478e+02,  1.116999620179119e-10
3624        ,  3.119165808174699e-01,  2.902121741910953e-01,  2.138242160121745e+03,  2.619939228834870e+02,  0.000000000000000e+00
1613        ,  4.892777101910798e-01,  6.690313497443936e-01,  1.706645489048542e+03,  1.875590759675332e+02,  3.633497829833696e-10
785         ,  1.323171435250627e+00,  6.121589750011747e-01,  1.723041853928960e+03,  8.883255317816512e+04,  2.522734598082830e-10
1473        ,  4.422223937745569e-01,  2.718947623040813e-01,  2.260984543137467e+03,  8.708506541993580e+01,  0.000000000000000e+00
3936        ,  3.696216735678464e-01,  3.285657974306878e-01,  1.897022580177119e+03,  5.603231077890931e+03,  0.000000000000000e+00
3196        ,  4.682934522240256e-01,  7.668148564563687e-01,  1.484126345845345e+03,  1.887691755036009e+04,  4.279040235582008e-10
1713        ,  5.274016633298737e-01,  5.928981824231945e-01,  1.711111686744080e+03,  9.542479303611340e+01,  2.762730070557210e-10
5825        ,  3.327553083664687e-01,  2.734881765608010e-01,  2.252838359272237e+03,  9.001424050632911e+02,  0.000000000000000e+00
199         ,  1.504427135099300e+00,  8.189798242541489e-01,  1.722983129292515e+03,  9.549499466652751e+04,  4.874053424230984e-10
1800        ,  4.375320177361192e-01,  2.523668430446472e-01,  2.456725316664601e+03,  9.192312460993224e+01,  1.102470206051609e-11
4488        ,  3.500270645846581e-01,  5.485697161908686e-01,  1.033928508253786e+03,  3.940903722812329e+03,  1.068611352521386e-10
1941        ,  4.982888367482280e-01,  4.092895599579647e-01,  1.898838624960648e+03,  3.346374115962640e+04,  7.834524058732589e-11
5607        ,  5.615877319607279e-01,  5.627994800102335e-01,  8.564359992328440e+02,  3.112906154383851e+04,  7.805406375011341e-11
3304        ,  4.207482123452428e-01,  6.287534083742421e-01,  0.000000000000000e+00,  6.192788702169626e+00,  2.424153121249699e-11
5772        ,  9.791729170663426e-01,  5.062463010733724e-01,  1.275390863172511e+03,  1.676980307579715e+04,  9.243348872935403e-11
4208        ,  6.603942215445863e-01,  6.597252812977792e-01,  4.617569898834843e+02,  1.065338452156558e+02,  1.391389623691516e-10
5588        ,  8.803208873918648e-01,  4.902986612088795e-01,  1.414842199265462e+03,  1.316204041877426e+03,  1.063481446775708e-10
5685        ,  1.451928416459744e+00,  9.837951512854326e-01,  8.611331597345135e+02,  7.127166307213786e+03,  5.779428428291485e-10
461         ,  2.895131874006477e-01,  2.995464632585478e-01,  2.099787147451460e+03,  2.581812979234973e+03,  2.918446670219687e-12
180         ,  3.677083798565582e-01,  3.286986349301788e-01,  2.030406436638449e+03,  3.870447351997147e+01,  2.605772186288733e-11
3567        ,  6.455865771715684e-01,  4.558997466580802e-01,  1.118931232619796e+03,  9.871530314080696e+00,  1.659482481501118e-11
986         ,  1.667063758544649e-01,  2.745742004246278e-01,  2.474444563893994e+03,  2.138010457921207e+03,  3.858803606723273e-11
350         ,  3.022496124401135e-01,  2.703716765794088e-01,  2.433410441090768e+03,  1.322985115613136e+03,  2.714205009997515e-11
3563        ,  2.963852956512342e-01,  1.475940705459386e-01,  3.106438414414738e+03,  2.850680610561610e+03,  0.000000000000000e+00
