# FEAT_ID     Score                   Feature Expression
0             0.906683228337854308    ((min:vdw_radius * mp_bandgap) / cbrt(min:period))
1             0.906290637017746703    ((min:vdw_radius * mp_bandgap) / cbrt(min:covalent_radius_pyykko))
2             0.906057445651849314    ((min:vdw_radius * mp_bandgap) / (min:atomic_radius_rahm + min:vdw_radius))
3             0.906019170579483779    ((min:vdw_radius * mp_bandgap) / (max:mendeleev_number * min:vdw_radius_alvarez))
4             0.905951398885984638    ((min:atomic_radius_rahm + min:vdw_radius) * (mp_bandgap / min:atomic_radius_rahm))
5             0.905920186241132686    ((min:vdw_radius * mp_bandgap) / (min:vdw_radius_mm3 + min:vdw_radius))
6             0.905829210393230166    ((min:vdw_radius_mm3 + min:vdw_radius) * (mp_bandgap / min:vdw_radius_mm3))
7             0.9057280646532051      ((max:mendeleev_number * mp_bandgap) * cbrt(min:vdw_radius))
8             0.905631855563143406    ((max:mendeleev_number / min:covalent_radius_cordero) * (min:covalent_radius_slater * mp_bandgap))
9             0.905619071452936963    ((min:vdw_radius_mm3 + min:vdw_radius) * (mp_bandgap / min:atomic_radius_rahm))
10            0.905588136958357715    ((mp_bandgap / min:atomic_radius_rahm) * min:vdw_radius_alvarez)
11            0.905508179971926563    (cbrt(min:covalent_radius_cordero) * (mp_bandgap / min:atomic_radius_rahm))
12            0.905492510593571609    (cbrt(min:covalent_radius_cordero) * (mp_bandgap / min:vdw_radius_mm3))
13            0.905488315210774886    ((min:covalent_radius_slater * mp_bandgap) / (min:covalent_radius_cordero + min:covalent_radius_slater))
14            0.905448556543316796    ((min:vdw_radius * mp_bandgap) / cbrt(min:covalent_radius_cordero))
15            0.90541360528314363     (cbrt(min:vdw_radius) * mp_bandgap)
16            0.90538920933420719     ((min:vdw_radius_alvarez * mp_bandgap) / (min:atomic_radius_rahm + min:vdw_radius_alvarez))
17            0.905345922656809909    ((min:atomic_radius_rahm + min:vdw_radius) * (mp_bandgap / min:vdw_radius_mm3))
18            0.905324621207618918    ((min:vdw_radius_alvarez * mp_bandgap) / (min:vdw_radius_mm3 + min:atomic_radius_rahm))
19            0.905202973354022666    ((min:vdw_radius_mm3 + min:covalent_radius_pyykko) * (mp_bandgap / min:atomic_radius_rahm))
20            0.90519382422158523     ((min:covalent_radius_cordero + min:covalent_radius_slater) * (mp_bandgap / min:covalent_radius_cordero))
21            0.905150794160135219    ((min:covalent_radius_pyykko + min:covalent_radius_slater) * (mp_bandgap / min:covalent_radius_pyykko))
22            0.905125418363570411    ((min:vdw_radius_alvarez * mp_bandgap) / (min:vdw_radius_mm3 + min:vdw_radius_alvarez))
23            0.905090455650096493    ((mp_bandgap / min:vdw_radius_alvarez) * min:vdw_radius)
24            0.90505825717973265     ((min:covalent_radius_slater * mp_bandgap) / (min:covalent_radius_pyykko + min:covalent_radius_slater))
25            0.905055362591388524    ((min:vdw_radius_alvarez * mp_bandgap) / (min:atomic_radius_rahm * max:mendeleev_number))
26            0.905032289693594838    ((min:vdw_radius * mp_bandgap) / (min:vdw_radius_mm3 + min:vdw_radius_alvarez))
27            0.905022637819111408    (cbrt(min:covalent_radius_slater) * (mp_bandgap / min:atomic_radius_rahm))
28            0.90502152731381047     ((min:vdw_radius * mp_bandgap) / (min:atomic_radius_rahm + min:vdw_radius_alvarez))
29            0.905000354675661201    ((min:atomic_radius_rahm + min:vdw_radius_alvarez) * (mp_bandgap / min:atomic_radius_rahm))
30            0.904993708623838433    ((min:vdw_radius_mm3 + min:covalent_radius_cordero) * (mp_bandgap / min:atomic_radius_rahm))
31            0.904834914945666258    ((min:vdw_radius + min:vdw_radius_alvarez) * (mp_bandgap / min:atomic_radius_rahm))
32            0.904813326272331575    ((max:mendeleev_number * mp_bandgap) * cbrt(min:vdw_radius_alvarez))
33            0.904809619107885044    ((min:vdw_radius_mm3 + min:vdw_radius_alvarez) * (mp_bandgap / min:atomic_radius_rahm))
34            0.904759597649382408    ((max:mendeleev_number * mp_bandgap) * sqrt(min:vdw_radius))
35            0.904750986919805933    ((min:covalent_radius_slater * mp_bandgap) / min:covalent_radius_cordero)
36            0.904744740149117321    (cbrt(min:covalent_radius_slater) * (mp_bandgap / min:vdw_radius_alvarez))
37            0.904734069998441082    ((min:vdw_radius_mm3 * mp_bandgap) / sqrt(min:atomic_radius_rahm))
