# c0 + a0 * ((min:vdw_radius * mp_bandgap) / cbrt(min:period))
# Property Label: $bandgap$; Unit of the Property: eV
# RMSE: 0.466023552184145; Max AE: 4.34667552737997
# Coefficients
# Task   a0                      c0
# all ,  8.053583366667507e-03,  1.425913288785347e-01, 
# Feature Rung, Units, and Expressions
# 0;  2; eV * pm;                                          20|0|mult|10|cbrt|div; ((min:vdw_radius * mp_bandgap) / cbrt(min:period)); $\left(\frac{ \left(min:vdw_{radius} mp_{bandgap}\right) }{ \left(\sqrt[3]{ min:period }\right) } \right)$; ((min:vdw_radius .* mp_bandgap) ./ nthroot(min:period, 3)); min:vdw_radius,mp_bandgap,min:period
# Number of Samples Per Task
# Task, n_mats_train            
# all , 1268                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      
3266        ,  1.678000000000000e+00,  5.813678171362381e-01,  5.448214394523177e+01
4239        ,  4.587000000000003e-01,  5.722347369997844e-01,  5.334810463370568e+01
3034        ,  1.700700000000000e+00,  2.052434488210373e+00,  2.371420363308554e+02
3402        ,  0.000000000000000e+00,  1.425913288785347e-01,  0.000000000000000e+00
5237        ,  1.472900000000000e+00,  1.332461510456888e+00,  1.477441937837306e+02
3895        ,  0.000000000000000e+00,  1.622331995196992e-01,  2.438898282528386e+00
5388        ,  1.719900000000000e+00,  1.658926990247943e+00,  1.882808673273662e+02
3975        ,  1.985400000000000e+00,  1.837943619314466e+00,  2.105090632640277e+02
4837        ,  2.507100000000000e+00,  2.519268209049049e+00,  2.951080000000000e+02
5529        ,  0.000000000000000e+00,  1.425913288785347e-01,  0.000000000000000e+00
4451        ,  1.030000000000000e-01,  1.425913288785347e-01,  0.000000000000000e+00
4189        ,  1.018400000000000e+00,  1.095249315452224e+00,  1.182899515905663e+02
3912        ,  4.126200000000000e+00,  3.974501408682689e+00,  4.758018766731610e+02
4305        ,  7.780300000000000e+00,  6.511025848648706e+00,  7.907578812840137e+02
4944        ,  2.979200000000000e+00,  3.126680947839773e+00,  3.705294256109533e+02
4056        ,  2.421900000000000e+00,  2.360327999965763e+00,  2.753726596121281e+02
3594        ,  6.517999999999999e-01,  8.303873892998509e-01,  8.540248844607409e+01
5230        ,  2.302000000000000e-01,  1.001361275120088e+00,  1.066320303823841e+02
5512        ,  0.000000000000000e+00,  1.425913288785347e-01,  0.000000000000000e+00
4489        ,  1.591999999999998e-01,  1.425913288785347e-01,  0.000000000000000e+00
3914        ,  1.235300000000000e+00,  2.086005753681498e+00,  2.413105243122514e+02
4426        ,  3.982600000000000e+00,  3.904740222108501e+00,  4.671397466127810e+02
5849        ,  0.000000000000000e+00,  1.425913288785347e-01,  0.000000000000000e+00
5700        ,  2.603800000000000e+00,  2.135837488446025e+00,  2.474980476165699e+02
3327        ,  1.875800000000000e+00,  1.349548681505066e+00,  1.498658792832436e+02
4149        ,  0.000000000000000e+00,  1.488554723881626e+00,  1.671260274741575e+02
3977        ,  3.184500000000000e+00,  3.272168313245416e+00,  3.885943488608685e+02
5832        ,  3.573500000000000e+00,  3.419222537125022e+00,  4.068538263113957e+02
4713        ,  3.813500000000000e+00,  4.825959449763223e+00,  5.815260000000000e+02
3772        ,  6.627000000000001e-01,  3.357462577218282e-01,  2.398372501397711e+01
3860        ,  1.860999999999999e-01,  1.425913288785347e-01,  0.000000000000000e+00
5825        ,  2.044100000000000e+00,  2.187925703345330e+00,  2.539657542916992e+02
3683        ,  2.536900000000000e+00,  2.316070080500507e+00,  2.698772276472176e+02
4119        ,  3.041100000000000e+00,  2.509523373175381e+00,  2.938980000000000e+02
5350        ,  5.800999999999998e-01,  6.198618700601694e-01,  5.926188622532687e+01
5125        ,  9.231000000000000e-01,  1.156266063597892e+00,  1.258662993314001e+02
3088        ,  1.459500000000000e+00,  9.945537480505361e-01,  1.057867511123232e+02
5236        ,  1.808000000000001e-01,  1.425913288785347e-01,  0.000000000000000e+00
3447        ,  1.737800000000000e+00,  1.668696273172382e+00,  1.894939028768426e+02
5393        ,  0.000000000000000e+00,  1.425913288785347e-01,  0.000000000000000e+00
