# c0 + a0 * ((ave:period / ave:covalent_radius_cordero) / (max:en_pauling * min:covalent_radius_pyykko_double)) + a1 * ((min:covalent_radius_pyykko_double + min:vdw_radius) * (mp_bandgap / min:atomic_radius_rahm))
# Property Label: $bandgap$; Unit of the Property: eV
# RMSE: 0.457557521206668; Max AE: 4.57308377983854
# Coefficients
# Task   a0                      a1                      c0
# all ,  4.882925789716719e+03,  7.777891721138368e-01, -5.301549126125391e-01, 
# Feature Rung, Units, and Expressions
# 0;  2; Pauling^-1 * pm^-2;                               14|12|div|29|23|mult|div; ((ave:period / ave:covalent_radius_cordero) / (max:en_pauling * min:covalent_radius_pyykko_double)); $\left(\frac{ \left(\frac{ ave:period }{ ave:covalent_{radius, cordero} } \right) }{ \left(max:en_{pauling} min:covalent_{radius, pyykko, double}\right) } \right)$; ((ave:period ./ ave:covalent_radius_cordero) ./ (max:en_pauling .* min:covalent_radius_pyykko_double)); ave:period,ave:covalent_radius_cordero,max:en_pauling,min:covalent_radius_pyykko_double
# 1;  2; eV;                                               23|20|add|0|25|div|mult; ((min:covalent_radius_pyykko_double + min:vdw_radius) * (mp_bandgap / min:atomic_radius_rahm)); $\left(\left(min:covalent_{radius, pyykko, double} + min:vdw_{radius}\right) \left(\frac{ mp_{bandgap} }{ min:atomic_{radius, rahm} } \right)\right)$; ((min:covalent_radius_pyykko_double + min:vdw_radius) .* (mp_bandgap ./ min:atomic_radius_rahm)); min:covalent_radius_pyykko_double,min:vdw_radius,mp_bandgap,min:atomic_radius_rahm
# Number of Samples Per Task
# Task, n_mats_train            
# all , 1268                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      
3266        ,  1.678000000000000e+00,  6.939178751497393e-01,  1.627646553295659e-04,  5.519555555555556e-01
4239        ,  4.587000000000003e-01,  6.684242806647784e-01,  1.593737250101999e-04,  5.404666666666668e-01
3034        ,  1.700700000000000e+00,  2.084020799443240e+00,  1.478499657973746e-04,  2.432838317757009e+00
3402        ,  0.000000000000000e+00,  1.554222516725951e-01,  1.404029456537998e-04,  0.000000000000000e+00
5237        ,  1.472900000000000e+00,  1.268528914963173e+00,  1.269287549623703e-04,  1.515706542056074e+00
3895        ,  0.000000000000000e+00, -5.590362896874489e-02,  9.292803367140077e-05,  2.634466019417506e-02
5388        ,  1.719900000000000e+00,  1.628994277349757e+00,  1.345081741081226e-04,  1.931571962616823e+00
3975        ,  1.985400000000000e+00,  1.952355659311619e+00,  1.687009404688121e-04,  2.132655555555556e+00
4837        ,  2.507100000000000e+00,  2.427142124789874e+00,  1.422299378577083e-04,  2.909270129870130e+00
5529        ,  0.000000000000000e+00,  2.571191702655967e-01,  1.612299913580725e-04,  0.000000000000000e+00
4451        ,  1.030000000000000e-01,  4.510554186741166e-02,  1.178106076671143e-04,  0.000000000000000e+00
4189        ,  1.018400000000000e+00,  1.250019315349697e+00,  1.736828210637473e-04,  1.198388888888889e+00
3912        ,  4.126200000000000e+00,  3.906375802379806e+00,  1.407632051045503e-04,  4.820322222222223e+00
4305        ,  7.780300000000000e+00,  6.772864656587702e+00,  1.312576348190920e-04,  8.565429447852761e+00
4944        ,  2.979200000000000e+00,  3.130579318047656e+00,  9.957616401548450e-05,  4.081454621848740e+00
4056        ,  2.421900000000000e+00,  2.227569329881006e+00,  1.138226188308141e-04,  2.831020179372198e+00
