# FEAT_ID     Score                   Feature Expression
0             0.939556862552112682    ((ave:gs_volume_per + min:gs_volume_per) * (ave:covalent_radius_pyykko_triple / ave:covalent_radius_pyykko))
1             0.9379732096848864      ((ave:covalent_radius_pyykko_triple^2) * cbrt(min:gs_volume_per))
2             0.936049700693690312    ((max:mendeleev_number * ave:covalent_radius_pyykko_triple) * cbrt(min:gs_volume_per))
3             0.934915094936302427    ((ave:gs_volume_per + min:gs_volume_per) * (min:covalent_radius_pyykko_triple / ave:covalent_radius_slater))
4             0.934858754085954313    ((ave:gs_volume_per + min:gs_volume_per) * (min:covalent_radius_pyykko_double / ave:covalent_radius_slater))
5             0.934784972202060804    ((ave:gs_volume_per + min:gs_volume_per) * (min:covalent_radius_pyykko_double / ave:covalent_radius_pyykko))
6             0.934516020083769439    ((ave:gs_volume_per + min:gs_volume_per) * (min:covalent_radius_pyykko / ave:covalent_radius_pyykko))
7             0.933946079894301451    ((ave:gs_volume_per + min:gs_volume_per) * (min:covalent_radius_pyykko_triple / ave:covalent_radius_pyykko))
8             0.933660886724681616    (cbrt(min:gs_volume_per) * ave:covalent_radius_pyykko_triple)
9             0.933316536775997463    ((ave:gs_volume_per + min:gs_volume_per) * (min:covalent_radius_pyykko / ave:covalent_radius_slater))
10            0.932952576468529471    ((ave:gs_volume_per + min:gs_volume_per) * (ave:covalent_radius_pyykko_triple / ave:covalent_radius_slater))
11            0.932516262371629989    ((ave:covalent_radius_pyykko_triple^2) * sqrt(min:gs_volume_per))
12            0.931178742225212353    ((ave:covalent_radius_pyykko_triple^3) * cbrt(min:gs_volume_per))
13            0.930430335239557538    ((ave:covalent_radius_pyykko_triple / max:mendeleev_number) * cbrt(min:gs_volume_per))
14            0.929808587971571732    ((min:vdw_radius * ave:covalent_radius_pyykko_triple) * cbrt(min:gs_volume_per))
15            0.928404206670039533    ((ave:gs_volume_per * min:fusion_enthalpy) / (ave:heat_capacity_mass * min:dipole_polarizability))
16            0.926139391726837902    ((min:vdw_radius_alvarez * ave:covalent_radius_pyykko_triple) * cbrt(min:gs_volume_per))
17            0.926134263001257119    ((ave:covalent_radius_pyykko_triple + min:covalent_radius_pyykko_double) * cbrt(min:gs_volume_per))
18            0.926059469794676016    ((ave:covalent_radius_pyykko + ave:covalent_radius_pyykko_triple) * cbrt(min:gs_volume_per))
19            0.925962215463419058    ((ave:covalent_radius_pyykko * ave:covalent_radius_pyykko_triple) * cbrt(min:gs_volume_per))
20            0.925757596499609203    ((ave:covalent_radius_pyykko_triple^3) * sqrt(min:gs_volume_per))
21            0.925539641865312679    ((min:atomic_radius_rahm * ave:covalent_radius_pyykko_triple) * cbrt(min:gs_volume_per))
22            0.925137426432710797    ((min:vdw_radius * ave:covalent_radius_pyykko_triple) * sqrt(min:gs_volume_per))
23            0.925113985776502723    ((max:mendeleev_number * ave:covalent_radius_pyykko_triple) * sqrt(min:gs_volume_per))
24            0.924913840042205448    ((ave:covalent_radius_pyykko_triple + min:covalent_radius_pyykko_triple) * cbrt(min:gs_volume_per))
25            0.924717159883742812    ((ave:covalent_radius_pyykko_triple + min:covalent_radius_pyykko) * cbrt(min:gs_volume_per))
26            0.924665886614516985    ((ave:covalent_radius_slater + ave:covalent_radius_pyykko_triple) * cbrt(min:gs_volume_per))
27            0.924295993063691479    ((ave:covalent_radius_pyykko / ave:covalent_radius_slater) * (ave:covalent_radius_pyykko_triple^2))
28            0.924114172108990717    ((ave:gs_volume_per + min:gs_volume_per) * cbrt(min:fusion_enthalpy))
29            0.92406002409544008     (sqrt(min:gs_volume_per) * ave:covalent_radius_pyykko_triple)
30            0.923571146454103875    ((min:vdw_radius_mm3 * ave:covalent_radius_pyykko_triple) * cbrt(min:gs_volume_per))
31            0.923544299530638546    ((max:en_ghosh * min:covalent_radius_pyykko_triple) * (ave:gs_volume_per + min:gs_volume_per))
32            0.923500700815612863    ((min:vdw_radius_alvarez * min:gs_volume_per) + (ave:gs_volume_per * ave:covalent_radius_pyykko_triple))
33            0.923315274185870227    ((min:vdw_radius * min:gs_volume_per) + (ave:gs_volume_per * ave:covalent_radius_pyykko_triple))
34            0.923192350636190762    ((ave:gs_volume_per * ave:covalent_radius_pyykko_triple) + (min:atomic_radius_rahm * min:gs_volume_per))
35            0.92293299746956925     ((ave:gs_volume_per + min:gs_volume_per) * (min:atomic_radius_rahm / ave:covalent_radius_pyykko))
36            0.922663857047376079    ((min:vdw_radius_alvarez * ave:covalent_radius_pyykko_triple) * sqrt(min:gs_volume_per))
37            0.922339390772324741    ((ave:gs_volume_per + min:gs_volume_per) * (min:covalent_radius_pyykko_triple / min:vdw_radius_mm3))
38            0.922320249347619248    ((ave:covalent_radius_pyykko_triple / max:mendeleev_number) * sqrt(min:gs_volume_per))
39            0.922110606526733823    ((ave:covalent_radius_pyykko_triple * min:covalent_radius_pyykko_double) * cbrt(min:gs_volume_per))
40            0.922045780167682127    ((min:atomic_radius_rahm * ave:covalent_radius_pyykko_triple) * sqrt(min:gs_volume_per))
41            0.922035718129910364    ((ave:covalent_radius_pyykko_triple^2) / cbrt(ave:heat_capacity_mass))
