# FEAT_ID     Feature Postfix Expression (RPN)
0             22|7|add|18|25|div|mult
1             18|sq|7|cbrt|mult
2             24|18|mult|7|cbrt|mult
3             22|7|add|8|23|div|mult
4             22|7|add|11|23|div|mult
5             22|7|add|11|25|div|mult
6             22|7|add|13|25|div|mult
7             22|7|add|8|25|div|mult
8             7|cbrt|18|mult
9             22|7|add|13|23|div|mult
10            22|7|add|18|23|div|mult
11            18|sq|7|sqrt|mult
12            18|cb|7|cbrt|mult
13            18|24|div|7|cbrt|mult
14            29|18|mult|7|cbrt|mult
15            22|4|mult|21|5|mult|div
16            26|18|mult|7|cbrt|mult
17            18|11|add|7|cbrt|mult
18            25|18|add|7|cbrt|mult
19            25|18|mult|7|cbrt|mult
20            18|cb|7|sqrt|mult
21            19|18|mult|7|cbrt|mult
22            29|18|mult|7|sqrt|mult
23            24|18|mult|7|sqrt|mult
24            18|8|add|7|cbrt|mult
25            18|13|add|7|cbrt|mult
26            23|18|add|7|cbrt|mult
27            25|23|div|18|sq|mult
28            22|7|add|4|cbrt|mult
29            7|sqrt|18|mult
30            27|18|mult|7|cbrt|mult
31            28|8|mult|22|7|add|mult
32            26|7|mult|22|18|mult|add
33            29|7|mult|22|18|mult|add
34            22|18|mult|19|7|mult|add
35            22|7|add|19|25|div|mult
36            26|18|mult|7|sqrt|mult
37            22|7|add|8|27|div|mult
38            18|24|div|7|sqrt|mult
39            18|11|mult|7|cbrt|mult
40            19|18|mult|7|sqrt|mult
41            18|sq|21|cbrt|div
42            27|7|mult|22|18|mult|add
43            25|23|div|18|cb|mult
44            23|18|mult|7|cbrt|mult
45            18|13|mult|7|cbrt|mult
46            25|18|add|21|cbrt|div
47            18|8|add|7|sqrt|mult
48            7|21|div|cbrt
49            18|cb|11|14|div|mult
50            22|7|add|18|8|add|mult
51            22|8|mult|18|7|mult|add
52            25|18|mult|21|cbrt|div
53            22|4|mult|7|sqrt|mult
54            22|7|add|8|19|div|mult
55            18|11|add|7|sqrt|mult
56            22|7|add|20|4|mult|mult
57            25|11|add|7|cbrt|mult
58            28|26|mult|18|cb|mult
59            18|sq|11|8|div|mult
60            27|18|mult|7|sqrt|mult
61            25|8|add|7|cbrt|mult
62            18|cb|13|14|div|mult
63            29|25|div|22|7|add|mult
64            22|7|add|18|mult
65            22|7|add|8|29|div|mult
66            18|8|mult|7|sqrt|mult
67            24|18|mult|22|7|add|mult
68            22|7|add|10|23|div|mult
69            22|11|mult|18|7|mult|add
70            29|7|mult|22|8|mult|add
71            18|8|mult|7|cbrt|mult
72            26|7|mult|22|8|mult|add
73            26|17|mult|18|cb|mult
74            22|7|add|18|11|add|mult
75            28|25|mult|18|cb|mult
76            22|7|add|18|24|div|mult
77            22|7|add|14|23|div|mult
78            18|11|mult|7|sqrt|mult
79            29|28|mult|18|cb|mult
80            22|7|add|14|25|div|mult
81            18|13|add|7|sqrt|mult
82            26|18|mult|22|7|add|mult
83            18|13|mult|7|sqrt|mult
84            29|7|mult|22|11|mult|add
85            22|13|mult|18|7|mult|add
86            22|7|add|18|13|add|mult
87            18|sq|16|log|mult
88            26|7|mult|22|11|mult|add
89            18|cb|14|cbrt|div
90            29|7|mult|22|13|mult|add
91            25|23|div|24|18|mult|mult
92            28|19|mult|18|cb|mult
93            26|7|mult|22|13|mult|add
94            22|7|add|18|sq|mult
95            23|11|add|7|cbrt|mult
96            25|13|add|7|cbrt|mult
97            22|8|mult|19|7|mult|add
98            18|cb|14|sqrt|div
99            22|20|mult|4|14|div|mult
100           18|cb|11|8|div|mult
101           22|cbrt|18|sq|mult
102           24|sp|18|cb|mult
103           22|7|add|10|25|div|mult
104           18|26|div|7|cbrt|mult
105           23|8|add|7|cbrt|mult
106           25|18|mult|25|23|add|div
107           22|7|add|11|27|div|mult
108           22|4|mult|20|8|div|mult
109           22|10|div|20|4|mult|mult
110           18|sq|13|8|div|mult
111           22|18|mult|8|7|mult|add
112           24|8|mult|22|7|add|mult
113           25|18|mult|7|sqrt|mult
114           22|7|add|17|8|mult|mult
115           29|18|mult|22|7|add|mult
116           25|18|add|23|18|sub|sub
117           25|18|mult|23|div
118           18|27|div|7|cbrt|mult
119           24|27|div|18|cb|mult
120           28|18|mult|18|cb|mult
121           25|18|add|24|18|mult|mult
122           18|sqrt|7|cbrt|mult
123           25|19|abd|22|7|add|mult
124           18|29|div|7|cbrt|mult
125           22|13|mult|19|7|mult|add
126           18|27|div|18|sq|mult
127           29|18|add|7|cbrt|mult
128           22|11|mult|19|7|mult|add
129           25|23|add|18|23|div|mult
130           22|7|add|8|sqrt|mult
131           28|sqrt|18|cb|mult
132           22|12|div|22|7|add|abd
133           27|7|mult|22|8|mult|add
134           22|7|add|8|26|div|mult
135           28|11|mult|22|7|add|mult
136           11|8|abd|18|add
137           24|18|mult|21|cbrt|div
138           25|11|add|21|cbrt|div
139           24|18|mult|cb
140           22|18|mult|13|7|mult|add
141           25|19|add|18|27|div|mult
142           23|13|add|7|cbrt|mult
143           22|7|add|13|27|div|mult
144           26|25|div|22|7|add|mult
