# FEAT_ID     Score                   Feature Expression
0             0.939556862552112682    ((ave:gs_volume_per + min:gs_volume_per) * (ave:covalent_radius_pyykko_triple / ave:covalent_radius_pyykko))
1             0.937973209684886178    ((ave:covalent_radius_pyykko_triple^2) * cbrt(min:gs_volume_per))
2             0.936049700693690312    ((max:mendeleev_number * ave:covalent_radius_pyykko_triple) * cbrt(min:gs_volume_per))
3             0.934915094936302427    ((ave:gs_volume_per + min:gs_volume_per) * (min:covalent_radius_pyykko_triple / ave:covalent_radius_slater))
4             0.934858754085954313    ((ave:gs_volume_per + min:gs_volume_per) * (min:covalent_radius_pyykko_double / ave:covalent_radius_slater))
5             0.93478497220206036     ((ave:gs_volume_per + min:gs_volume_per) * (min:covalent_radius_pyykko_double / ave:covalent_radius_pyykko))
6             0.934516020083769439    ((ave:gs_volume_per + min:gs_volume_per) * (min:covalent_radius_pyykko / ave:covalent_radius_pyykko))
7             0.934061452007357795    ((ave:covalent_radius_pyykko_double * ave:covalent_radius_pyykko_triple) * cbrt(min:gs_volume_per))
8             0.933946079894301451    ((ave:gs_volume_per + min:gs_volume_per) * (min:covalent_radius_pyykko_triple / ave:covalent_radius_pyykko))
9             0.933819226093003274    ((ave:covalent_radius_pyykko_double + ave:covalent_radius_pyykko_triple) * cbrt(min:gs_volume_per))
10            0.933660886724681616    (cbrt(min:gs_volume_per) * ave:covalent_radius_pyykko_triple)
11            0.933316536775997463    ((ave:gs_volume_per + min:gs_volume_per) * (min:covalent_radius_pyykko / ave:covalent_radius_slater))
12            0.932952576468529471    ((ave:gs_volume_per + min:gs_volume_per) * (ave:covalent_radius_pyykko_triple / ave:covalent_radius_slater))
13            0.932516262371629989    ((ave:covalent_radius_pyykko_triple^2) * sqrt(min:gs_volume_per))
14            0.931178742225212353    ((ave:covalent_radius_pyykko_triple^3) * cbrt(min:gs_volume_per))
15            0.930430335239557538    ((ave:covalent_radius_pyykko_triple / max:mendeleev_number) * cbrt(min:gs_volume_per))
16            0.928404206670039533    ((ave:gs_volume_per * min:fusion_enthalpy) / (ave:heat_capacity_mass * min:dipole_polarizability))
17            0.927653298418215977    ((ave:gs_volume_per + min:gs_volume_per) * (min:covalent_radius_pyykko_triple / ave:covalent_radius_pyykko_double))
18            0.927378205795393207    ((ave:covalent_radius_pyykko_double * ave:covalent_radius_pyykko_triple) * sqrt(min:gs_volume_per))
19            0.92737026626860708     ((ave:gs_volume_per + min:gs_volume_per) * (min:covalent_radius_pyykko_double / ave:covalent_radius_pyykko_double))
20            0.926139391726837902    ((min:vdw_radius_alvarez * ave:covalent_radius_pyykko_triple) * cbrt(min:gs_volume_per))
21            0.926134263001257119    ((ave:covalent_radius_pyykko_triple + min:covalent_radius_pyykko_double) * cbrt(min:gs_volume_per))
22            0.926070609110112963    ((ave:covalent_radius_pyykko_double + min:covalent_radius_pyykko_double) * cbrt(min:gs_volume_per))
23            0.926059469794676016    ((ave:covalent_radius_pyykko + ave:covalent_radius_pyykko_triple) * cbrt(min:gs_volume_per))
24            0.925962215463419058    ((ave:covalent_radius_pyykko * ave:covalent_radius_pyykko_triple) * cbrt(min:gs_volume_per))
25            0.925757596499609203    ((ave:covalent_radius_pyykko_triple^3) * sqrt(min:gs_volume_per))
