# FEAT_ID     Feature Postfix Expression (RPN)
0             22|7|add|18|26|div|mult
1             18|sq|7|cbrt|mult
2             24|18|mult|7|cbrt|mult
3             22|7|add|8|23|div|mult
4             22|7|add|11|23|div|mult
5             22|7|add|11|26|div|mult
6             22|7|add|13|26|div|mult
7             29|18|mult|7|cbrt|mult
8             22|7|add|8|26|div|mult
9             29|18|add|7|cbrt|mult
10            7|cbrt|18|mult
11            22|7|add|13|23|div|mult
12            22|7|add|18|23|div|mult
13            18|sq|7|sqrt|mult
14            18|cb|7|cbrt|mult
15            18|24|div|7|cbrt|mult
16            22|4|mult|20|5|mult|div
17            22|7|add|8|29|div|mult
18            29|18|mult|7|sqrt|mult
19            22|7|add|11|29|div|mult
20            25|18|mult|7|cbrt|mult
21            18|11|add|7|cbrt|mult
22            29|11|add|7|cbrt|mult
23            26|18|add|7|cbrt|mult
24            26|18|mult|7|cbrt|mult
25            18|cb|7|sqrt|mult
26            29|8|add|7|cbrt|mult
27            19|18|mult|7|cbrt|mult
28            24|18|mult|7|sqrt|mult
29            29|13|add|7|cbrt|mult
30            18|8|add|7|cbrt|mult
31            18|13|add|7|cbrt|mult
32            23|18|add|7|cbrt|mult
33            22|7|add|13|29|div|mult
34            26|23|div|18|sq|mult
35            22|7|add|18|29|div|mult
36            22|7|add|4|cbrt|mult
37            7|sqrt|18|mult
38            27|18|mult|7|cbrt|mult
39            28|8|mult|22|7|add|mult
40            25|7|mult|22|18|mult|add
41            22|18|mult|19|7|mult|add
42            29|18|add|7|sqrt|mult
43            22|7|add|19|26|div|mult
44            25|18|mult|7|sqrt|mult
45            22|7|add|8|27|div|mult
46            18|24|div|7|sqrt|mult
47            18|11|mult|7|cbrt|mult
48            7|cbrt|29|mult
49            19|18|mult|7|sqrt|mult
50            18|sq|20|cbrt|div
51            27|7|mult|22|18|mult|add
52            26|23|div|18|cb|mult
53            23|18|mult|7|cbrt|mult
54            18|13|mult|7|cbrt|mult
55            26|18|add|20|cbrt|div
56            29|24|mult|7|cbrt|mult
57            18|8|add|7|sqrt|mult
58            7|20|div|cbrt
59            29|24|div|7|cbrt|mult
60            18|cb|11|14|div|mult
61            22|7|add|18|8|add|mult
62            22|8|mult|18|7|mult|add
63            29|18|mult|20|cbrt|div
64            26|18|mult|20|cbrt|div
65            29|18|add|20|cbrt|div
66            29|8|add|7|sqrt|mult
67            22|4|mult|7|sqrt|mult
68            22|7|add|8|19|div|mult
69            18|11|add|7|sqrt|mult
70            22|7|add|21|4|mult|mult
71            26|11|add|7|cbrt|mult
72            28|25|mult|18|cb|mult
73            18|11|mult|18|8|div|mult
74            27|18|mult|7|sqrt|mult
75            29|25|mult|7|cbrt|mult
76            26|8|add|7|cbrt|mult
77            18|cb|13|14|div|mult
78            22|7|add|18|mult
79            18|8|mult|7|sqrt|mult
80            29|19|mult|7|cbrt|mult
81            24|18|mult|22|7|add|mult
82            22|7|add|10|23|div|mult
83            22|11|mult|18|7|mult|add
84            18|8|mult|7|cbrt|mult
85            25|7|mult|22|8|mult|add
86            25|17|mult|18|cb|mult
87            22|7|add|18|11|add|mult
88            28|26|mult|18|cb|mult
89            22|7|add|18|24|div|mult
90            22|7|add|14|23|div|mult
91            18|11|mult|7|sqrt|mult
92            29|11|add|7|sqrt|mult
93            22|7|add|14|26|div|mult
94            18|13|add|7|sqrt|mult
95            25|18|mult|22|7|add|mult
96            18|13|mult|7|sqrt|mult
97            22|13|mult|18|7|mult|add
98            22|7|add|18|13|add|mult
99            18|sq|16|log|mult
100           25|7|mult|22|11|mult|add
101           18|cb|14|cbrt|div
102           26|23|div|24|18|mult|mult
103           28|19|mult|18|cb|mult
104           25|7|mult|22|13|mult|add
105           22|7|add|18|sq|mult
106           23|11|add|7|cbrt|mult
107           26|13|add|7|cbrt|mult
108           22|8|mult|19|7|mult|add
109           18|cb|14|sqrt|div
110           22|21|mult|4|14|div|mult
111           18|cb|11|8|div|mult
112           22|cbrt|18|sq|mult
113           24|sp|18|cb|mult
114           22|7|add|10|26|div|mult
115           18|25|div|7|cbrt|mult
