# c0 + a0 * ((ave:atomic_number / min:Polarizability) / (min:period * var:covalent_radius_pyykko_triple)) + a1 * ((ave:covalent_radius_slater / ave:heat_capacity_mass) / (ave:covalent_radius_slater - ave:covalent_radius_pyykko_triple)) + a2 * ((ave:gs_volume_per + min:gs_volume_per) * (ave:covalent_radius_pyykko_triple / ave:covalent_radius_pyykko))
# Property Label: $Volume$; Unit of the Property: AA^3
# RMSE: 8.15114574544272; Max AE: 23.0706099143927
# Coefficients
# Task   a0                      a1                      a2                      c0
# all ,  1.353263818163325e+03,  1.256758938625020e+00,  3.070947843358018e+00, -2.862395484370417e+01, 
# Feature Rung, Units, and Expressions
# 0;  2; AA_polar^-1 * pm^-1;                              21|2|div|12|9|mult|div; ((ave:atomic_number / min:Polarizability) / (min:period * var:covalent_radius_pyykko_triple)); $\left(\frac{ \left(\frac{ ave:atomic_{number} }{ min:Polarizability } \right) }{ \left(min:period var:covalent_{radius, pyykko, triple}\right) } \right)$; ((ave:atomic_number ./ min:Polarizability) ./ (min:period .* var:covalent_radius_pyykko_triple)); ave:atomic_number,min:Polarizability,min:period,var:covalent_radius_pyykko_triple
# 1;  2; J^-1 * K * g;                                     23|20|div|23|18|sub|div; ((ave:covalent_radius_slater / ave:heat_capacity_mass) / (ave:covalent_radius_slater - ave:covalent_radius_pyykko_triple)); $\left(\frac{ \left(\frac{ ave:covalent_{radius, slater} }{ ave:heat_{capacity, mass} } \right) }{ \left(ave:covalent_{radius, slater} - ave:covalent_{radius, pyykko, triple}\right) } \right)$; ((ave:covalent_radius_slater ./ ave:heat_capacity_mass) ./ (ave:covalent_radius_slater - ave:covalent_radius_pyykko_triple)); ave:covalent_radius_slater,ave:heat_capacity_mass,ave:covalent_radius_slater,ave:covalent_radius_pyykko_triple
# 2;  2; cm^3 * mol^-1;                                    22|7|add|18|26|div|mult; ((ave:gs_volume_per + min:gs_volume_per) * (ave:covalent_radius_pyykko_triple / ave:covalent_radius_pyykko)); $\left(\left(ave:gs_{volume, per} + min:gs_{volume, per}\right) \left(\frac{ ave:covalent_{radius, pyykko, triple} }{ ave:covalent_{radius, pyykko} } \right)\right)$; ((ave:gs_volume_per + min:gs_volume_per) .* (ave:covalent_radius_pyykko_triple ./ ave:covalent_radius_pyykko)); ave:gs_volume_per,min:gs_volume_per,ave:covalent_radius_pyykko_triple,ave:covalent_radius_pyykko
# Number of Samples Per Task
# Task, n_mats_train            
# all , 129                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      
64          ,  9.806170819706537e+01,  9.768543098452746e+01,  1.823038609918398e-02,  7.488028054402871e+00,  3.003249239106677e+01
27          ,  9.195581102005919e+01,  8.437267428228688e+01,  8.090440687240146e-03,  6.103081900767473e+00,  3.073253944808194e+01
69          ,  7.310044637476960e+01,  7.167022759054360e+01,  1.593884204455282e-02,  1.140413399857449e+01,  2.096827433628318e+01
125         ,  2.012029980198631e+02,  1.909452509887736e+02,  1.173419826329718e-02,  1.351321674810756e+01,  6.079780363370848e+01
73          ,  1.013508525385564e+02,  1.050724662869433e+02,  1.047584927016337e-02,  8.976683977330172e+00,  3.524589509235190e+01
11          ,  1.617034912836585e+02,  1.637680042297289e+02,  6.799220117977262e-03,  1.370162974571589e+01,  5.404558569705350e+01
119         ,  1.887146035400442e+02,  1.881580791498487e+02,  9.719455915538569e-03,  4.558750785086863e+01,  4.765191252144083e+01
110         ,  1.562326241405194e+02,  1.531135150371136e+02,  1.588332179121761e-02,  1.243454334188189e+01,  4.709162417351678e+01
113         ,  7.050822380170608e+01,  8.330802928506090e+01,  1.297166648551749e-02,  6.671426416541058e+00,  2.800227383094635e+01
55          ,  1.465164071687489e+02,  1.568854011848750e+02,  2.042797888934978e-02,  1.296472933267334e+01,  4.610022021374396e+01
45          ,  6.922252251530169e+01,  8.376826086770477e+01,  8.541205656577462e-03,  6.428741101314212e+00,  3.020381264055045e+01
9           ,  7.063457799019668e+01,  7.172697971103467e+01,  1.651470689698199e-02,  1.122719107497400e+01,  2.080540268456376e+01
4           ,  7.851117738952721e+01,  8.130904720939783e+01,  1.238088566478789e-02,  6.500362421050150e+00,  2.768168435456560e+01
26          ,  5.966202570927710e+01,  6.589199450947044e+01,  8.436714470827791e-03,  4.111964148992790e+00,  2.537688856703605e+01
124         ,  1.885207260436857e+02,  1.906473097230505e+02,  1.454845105277380e-02,  1.002541845311155e+01,  6.088798880017729e+01
31          ,  8.459240483249847e+01,  8.226163814076023e+01,  1.403621989493446e-02,  1.632450504100716e+01,  2.324198275862069e+01
98          ,  1.892571838929967e+02,  1.842255113798143e+02,  1.094809382742388e-02,  1.385455003163401e+01,  5.881636113318632e+01
36          ,  1.804786609572536e+02,  1.844363160523558e+02,  1.929860087921806e-02,  1.397188669304338e+01,  5.515719827689490e+01
16          ,  1.473017585346737e+02,  1.432976523314038e+02,  1.179197147888670e-02,  1.066790678077095e+01,  4.642116339849044e+01
10          ,  1.071503545301096e+02,  9.709212824784083e+01,  1.260898237758712e-02,  7.768867831226070e+00,  3.220152682830143e+01
93          ,  1.586721939022781e+02,  1.585859686199666e+02,  1.017776763191976e-02,  1.236834512625818e+01,  5.141496975462905e+01
111         ,  9.534692245017716e+01,  8.861936733757352e+01,  1.544428667737882e-02,  1.895143541839877e+01,  2.361672866520788e+01
42          ,  1.922420330482679e+02,  1.949704157355251e+02,  9.710015162900883e-03,  1.006232161861900e+01,  6.441276629812111e+01
118         ,  5.345461156622450e+01,  5.155329875556580e+01,  7.974144451763443e-03,  6.125949522175936e+00,  2.008737815126050e+01
127         ,  1.258768321724361e+02,  1.405466963037392e+02,  8.671932895006543e-03,  1.188752625901323e+01,  4.640114079147640e+01
