material_id,Formula,Volume
64,F6Hg2Rb2,98.06170819706537
27,I3K3O9,91.95581102005919
69,F6Fe2Tl2,73.1004463747696
125,Br6Rb2Tl2,201.20299801986306
73,CsF3In,101.35085253855638
11,Cl6In2Rb2,161.70349128365854
119,Cl3InPb,188.71460354004418
110,AgBr3K,156.23262414051945
113,F3NiRb,70.50822380170608
55,Br3PdRb,146.51640716874894
45,F6Mg2Rb2,69.22252251530169
9,CoF3Tl,70.63457799019668
4,F3MnRb,78.5111773895272
26,KO3Tc,59.6620257092771
124,Br6Ca2Rb2,188.52072604368567
31,Ag2F6Tl2,84.59240483249847
98,Br9Cs3Ge3,189.25718389299675
36,Br6Ge2Rb2,180.4786609572536
16,Cd2Cl6Rb2,147.30175853467367
10,F3RbTl,107.15035453010964
93,Cl6Ge2Rb2,158.67219390227805
111,F3GeTl,95.34692245017716
42,Br6Ca2Cs2,192.24203304826787
118,CaFeO3,53.4546115662245
127,Ba3Hf3S9,125.87683217243614
96,I2O6Tl2,94.58888504929534
60,K2Nb2O6,67.00355961656858
0,AgCl3K,132.4521624992106
84,Cl6Cs2Pb2,187.4396857101914
28,Cs2F6Na2,93.62157646373184
40,Br6In2Rb2,187.65813437794742
86,KO3Ta,65.40869502383295
24,I3O9Rb3,98.09953691058023
25,AgCl3Cs,139.757090909741
23,Cl6Cs2Sn2,177.6115625775598
115,AgCl3Rb,134.84725792156624
67,Cl3CuRb,117.84079756393193
44,Br3CuRb,140.87164651875094
15,Cl3MnRb,130.49084769010804
95,BaNbO3,70.35268214247002
39,NbO3Sr,66.90965549992833
22,Cd2F6Tl2,89.42508557141944
68,Cl6Ge2In2,172.84383277490593
80,AgBr3Cs,163.55606623731336
140,CaF3Rb,92.31264108905833
47,CrO3Sr,56.730591818187804
30,Ca2Cl6K2,157.5095787725395
112,Ba2Hf2O6,74.23809586689029
76,Ag2F6Mg2,62.215863534407745
137,Br3InSn,209.17711987829728
33,F6Hg2K2,96.3983133618557
81,F3KNi,67.79890223639997
142,KO3W,62.17869364696995
62,Cl6Mg2Rb2,128.4855607921225
139,F6In2Mn2,77.73399964038569
135,Cd2F6K2,88.71171279800387
53,Br3CsIn,191.20366066853614
5,FeO3Sr,56.46241061036604
85,F3KMg,66.0474316617167
109,Cs2F6Pb2,115.63604009548429
49,O6Pb2Zr2,75.17971112473752
35,Cs2F6Sn2,114.29816418447948
77,Br3CsSe,173.54368977247577
34,O3OsRb,62.88448403712296
131,BaO3Sn,73.32445965687805
7,O3SrTi,61.54031610112789
43,AgCsF3,90.03176998171779
70,NaO3Re,58.76522370994315
89,Cl6In2Sn2,184.5971359160373
83,Ba2Bi2O6,86.85815788108755
123,Ge2I6Rb2,221.8543389191891
129,CuF3Rb,70.58438955216727
8,Cl9Li3Sn3,137.97712887801308
13,Na2Nb2O6,63.590445555501454
108,Cs3Ge3I9,227.61176691219194
114,Cl3CrRb,124.58256338633535
3,Cl6Cs2Tl2,176.62575498366118
17,Cl3CuTl,115.42014132932273
38,Br6Cs2Pb2,214.23360897107594
72,Br6Cs2Pd2,150.57443242225364
120,Cs2I6Sr2,271.7063705144595
6,Cl6Rb2Sn2,175.23952406125755
101,Ag2Cu2F6,64.65769186928596
2,O3SrV,57.71548700058894
122,Br3RbSn,201.40007298384913
54,Ca2F6K2,89.98190321387162
50,Cl3CuK,114.48840874923887
104,Cl6Ge2K2,153.17208619691428
46,BaF3Li,66.38274984747244
105,LaN3Re,62.6054213694049
61,Cl6Ge2Tl2,151.3414191693852
141,MoNaO3,59.086370359150216
79,KMoO3,61.723442194155446
136,Cl6Cs2Sr2,187.84814555634821
91,CuF3Tl,70.5924838492545
41,Ag2F6Rb2,85.88925575648324
58,Ca2Cs2I6,241.35898237610192
90,Ag2Cl6Tl2,132.31413582130907
48,Cd2Cl6Cs2,150.66491369320212
88,Cl3KMg,125.28028867280602
126,BaO3Zr,76.03223118739854
21,HfO3Pb,72.98106977000764
57,Cl3KMn,128.03730151269548
75,Cd2Cs2F6,94.16246053996997
32,Cs2I6Sn2,247.05285935135086
138,CuF3K,67.19447744045841
59,F3RbZn,73.7097811903136
63,F3HgTl,95.27186437700378
128,F3PbRb,112.79282718486571
37,BaMoO3,67.40982957627959
29,F6K2Mn2,76.0439350575542
107,NaO3Tc,56.84900711217347
134,Br6Cs2Sr2,218.9143114936079
1,La2N6W2,65.89429488532184
52,Cl9Cs3Ge3,168.55364823384346
130,F3RbV,75.83037174302696
103,NaO3W,59.81199781507478
99,Cs2F6Tl2,110.35918464198421
116,F3MgTl,69.28383831454539
87,Cs3I3O9,107.3098314779565
74,CaCl3Cs,163.4935249887072
121,F6Mn2Tl2,77.59315330331438
143,F3TlZn,72.59770851342745
20,Cs2F6Sr2,112.6975075036733
71,Br6Cs2Sn2,203.33613640248274
106,Br6Cs2Tl2,203.87993540567467
14,Br3CsSc,165.1217664757107
92,HfKO3,73.15017953780705
102,Ag2F6K2,83.68680399312422
