# c0 + a0 * (ave:atomic_radius_rahm^6)
# Property Label: $Volume$; Unit of the Property: length^3
# RMSE: 24.8212749847826; Max AE: 98.8635651262031
# Coefficients
# Task   a0                      c0
# all ,  1.102291647518964e-12,  1.514024726221378e+01, 
# Feature Rung, Units, and Expressions
# 0;  1; length^6;                                         2|sp; (ave:atomic_radius_rahm^6); $\left(ave:atomic_{radius, rahm}^6\right)$; (ave:atomic_radius_rahm).^6; ave:atomic_radius_rahm
# Number of Samples Per Task
# Task, n_mats_train            
# all , 116                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      
64          ,  9.806170819706537e+01,  6.967452241773118e+01,  4.947354475402498e+13
27          ,  9.195581102005919e+01,  7.957109916041446e+01,  5.845172830912900e+13
69          ,  7.310044637476960e+01,  6.933386170639550e+01,  4.916449704228513e+13
125         ,  2.012029980198631e+02,  1.691750423139938e+02,  1.397405082388869e+14
11          ,  1.617034912836585e+02,  1.428696645684468e+02,  1.158762452693224e+14
119         ,  1.887146035400442e+02,  1.492460211250142e+02,  1.216608818225607e+14
110         ,  1.562326241405194e+02,  1.514295150205745e+02,  1.236417494998899e+14
113         ,  7.050822380170608e+01,  6.634691493928483e+01,  4.645473617833077e+13
9           ,  7.063457799019668e+01,  6.798889684110713e+01,  4.794434367514712e+13
4           ,  7.851117738952721e+01,  7.426806765347328e+01,  5.364081323154746e+13
26          ,  5.966202570927710e+01,  8.075751733397531e+01,  5.952804797119960e+13
124         ,  1.885207260436857e+02,  1.933377554710455e+02,  1.616609439161753e+14
31          ,  8.459240483249847e+01,  6.899497618966997e+01,  4.885705978873405e+13
98          ,  1.892571838929967e+02,  1.699882466156498e+02,  1.404782479319040e+14
36          ,  1.804786609572536e+02,  1.627965943717440e+02,  1.339539743786273e+14
16          ,  1.473017585346737e+02,  1.374158509019402e+02,  1.109285404774173e+14
10          ,  1.071503545301096e+02,  7.426806765347328e+01,  5.364081323154746e+13
93          ,  1.586721939022781e+02,  1.347625947460324e+02,  1.085215040439292e+14
42          ,  1.922420330482679e+02,  2.017440204349087e+02,  1.692871152500359e+14
118         ,  5.345461156622450e+01,  8.958318237402808e+01,  6.753469944126885e+13
127         ,  1.258768321724361e+02,  2.247403972986392e+02,  1.901494495655420e+14
96          ,  9.458888504929534e+01,  8.277532313750325e+01,  6.135860325851363e+13
60          ,  6.700355961656858e+01,  8.484457424751056e+01,  6.323582977534770e+13
0           ,  1.324521624992106e+02,  1.252360368229821e+02,  9.987900190350862e+13
84          ,  1.874396857101914e+02,  1.514295150205744e+02,  1.236417494998898e+14
28          ,  9.362157646373184e+01,  7.140471481165112e+01,  5.104317689068704e+13
40          ,  1.876581343779474e+02,  1.724493568962115e+02,  1.427109694499352e+14
86          ,  6.540869502383295e+01,  8.782994469556679e+01,  6.594416060120100e+13
24          ,  9.809953691058023e+01,  8.196208531562417e+01,  6.062083315591917e+13
25          ,  1.397570909097410e+02,  1.347625947460324e+02,  1.085215040439292e+14
23          ,  1.776115625775598e+02,  1.506984165002632e+02,  1.229784962474890e+14
115         ,  1.348472579215662e+02,  1.289677558664298e+02,  1.032644208639508e+14
67          ,  1.178407975639319e+02,  1.240150236660843e+02,  9.877129764062500e+13
44          ,  1.408716465187509e+02,  1.499705891081454e+02,  1.223182105656044e+14
15          ,  1.304908476901080e+02,  1.401179684379158e+02,  1.133799040000000e+14
95          ,  7.035268214247002e+01,  1.135246864606349e+02,  8.925445404568253e+13
39          ,  6.690965549992833e+01,  1.059604236746965e+02,  8.239214786476933e+13
22          ,  8.942508557141944e+01,  7.354109521386249e+01,  5.298130316336627e+13
68          ,  1.728438327749059e+02,  1.387607573552253e+02,  1.121486408531321e+14
80          ,  1.635560662373134e+02,  1.627965943717440e+02,  1.339539743786273e+14
140         ,  9.231264108905833e+01,  8.526468950088632e+01,  6.361695872095964e+13
47          ,  5.673059181818780e+01,  9.695275085125610e+01,  7.422037876562500e+13
30          ,  1.575095787725395e+02,  1.558854600955440e+02,  1.276841869845601e+14
112         ,  7.423809586689029e+01,  1.210117693115801e+02,  9.604674251833600e+13
76          ,  6.221586353440775e+01,  6.832250113043891e+01,  4.824698979433223e+13
137         ,  2.091771198782973e+02,  1.791721914411291e+02,  1.488099311539901e+14
33          ,  9.639831336185570e+01,  6.765703825263610e+01,  4.764328125739409e+13
81          ,  6.779890223639997e+01,  6.443286782708802e+01,  4.471831087155742e+13
142         ,  6.217869364696995e+01,  8.568691270342748e+01,  6.400000000000000e+13
62          ,  1.284855607921225e+02,  1.387607573552253e+02,  1.121486408531321e+14
139         ,  7.773399964038569e+01,  7.649438725105685e+01,  5.566053242527859e+13
135         ,  8.871171279800387e+01,  7.070723015063963e+01,  5.041041816246716e+13
53          ,  1.912036606685361e+02,  1.800291261337895e+02,  1.495873430980878e+14
