# c0 + a0 * cbrt(var:melting_point) + a1 * (ave:atomic_radius_rahm^6)
# Property Label: $Volume$; Unit of the Property: length^3
# RMSE: 14.7617182033373; Max AE: 63.6413820911818
# Coefficients
# Task   a0                      a1                      c0
# all , -7.428520613144478e-01,  9.533719627047374e-13,  7.334876186165420e+01, 
# Feature Rung, Units, and Expressions
# 0;  1; temperature^0.333333;                             14|cbrt; cbrt(var:melting_point); $\left(\sqrt[3]{ var:melting_{point} }\right)$; nthroot(var:melting_point, 3); var:melting_point
# 1;  1; length^6;                                         2|sp; (ave:atomic_radius_rahm^6); $\left(ave:atomic_{radius, rahm}^6\right)$; (ave:atomic_radius_rahm).^6; ave:atomic_radius_rahm
# Number of Samples Per Task
# Task, n_mats_train            
# all , 116                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      
64          ,  9.806170819706537e+01,  1.034179042364310e+02,  2.301608756267735e+01,  4.947354475402498e+13
27          ,  9.195581102005919e+01,  1.079917989664785e+02,  2.838142738599684e+01,  5.845172830912900e+13
69          ,  7.310044637476960e+01,  6.275793393437352e+01,  7.735440737176792e+01,  4.916449704228513e+13
125         ,  2.012029980198631e+02,  1.884018497262437e+02,  2.446192948878910e+01,  1.397405082388869e+14
11          ,  1.617034912836585e+02,  1.673845865620662e+02,  2.212733805136409e+01,  1.158762452693224e+14
119         ,  1.887146035400442e+02,  1.659670063630169e+02,  3.145960064356431e+01,  1.216608818225607e+14
110         ,  1.562326241405194e+02,  1.521449502382490e+02,  5.260857585454031e+01,  1.236417494998899e+14
113         ,  7.050822380170608e+01,  6.184586124309018e+01,  7.510451479007682e+01,  4.645473617833077e+13
9           ,  7.063457799019668e+01,  6.245701374740484e+01,  7.619355736088608e+01,  4.794434367514712e+13
4           ,  7.851117738952721e+01,  7.351448038348009e+01,  6.861921979406826e+01,  5.364081323154746e+13
26          ,  5.966202570927710e+01,  5.910705067587154e+01,  9.556961178844374e+01,  5.952804797119960e+13
124         ,  1.885207260436857e+02,  1.916907812048065e+02,  4.816704955708021e+01,  1.616609439161753e+14
31          ,  8.459240483249847e+01,  7.523927469288454e+01,  6.015792440888337e+01,  4.885705978873405e+13
98          ,  1.892571838929967e+02,  1.686767811650253e+02,  5.196189881534381e+01,  1.404782479319040e+14
36          ,  1.804786609572536e+02,  1.625175317443988e+02,  5.188003855641706e+01,  1.339539743786273e+14
16          ,  1.473017585346737e+02,  1.568494844960443e+02,  2.995944802408840e+01,  1.109285404774173e+14
10          ,  1.071503545301096e+02,  9.833131156670012e+01,  3.521171852213584e+01,  5.364081323154746e+13
93          ,  1.586721939022781e+02,  1.361461338077060e+02,  5.474035743809575e+01,  1.085215040439292e+14
42          ,  1.922420330482679e+02,  1.988997312765661e+02,  4.825001070632530e+01,  1.692871152500359e+14
118         ,  5.345461156622450e+01,  7.790879735475781e+01,  8.053508441241213e+01,  6.753469944126885e+13
127         ,  1.258768321724361e+02,  1.895182142636179e+02,  8.765365936031247e+01,  1.901494495655420e+14
96          ,  9.458888504929534e+01,  1.049746616520043e+02,  3.617365236826828e+01,  6.135860325851363e+13
60          ,  6.700355961656858e+01,  5.679912279255345e+01,  1.034350043793737e+02,  6.323582977534770e+13
0           ,  1.324521624992106e+02,  1.273305960753461e+02,  5.551577226705650e+01,  9.987900190350862e+13
84          ,  1.874396857101914e+02,  1.687718713790893e+02,  3.022602890243282e+01,  1.236417494998898e+14
28          ,  9.362157646373184e+01,  1.019598176976714e+02,  2.699336643619306e+01,  5.104317689068704e+13
40          ,  1.876581343779474e+02,  1.976028933186619e+02,  1.588809697329075e+01,  1.427109694499352e+14
86          ,  6.540869502383295e+01,  4.945711313136659e+01,  1.167944023713832e+02,  6.594416060120100e+13
24          ,  9.809953691058023e+01,  1.105216645111569e+02,  2.775963224853120e+01,  6.062083315591917e+13
25          ,  1.397570909097410e+02,  1.354629497859762e+02,  5.566003452766444e+01,  1.085215040439292e+14
23          ,  1.776115625775598e+02,  1.715054979342991e+02,  2.569490650874173e+01,  1.229784962474890e+14
115         ,  1.348472579215662e+02,  1.304865471898675e+02,  5.561217424007704e+01,  1.032644208639508e+14
67          ,  1.178407975639319e+02,  1.230593310568709e+02,  5.984397030097486e+01,  9.877129764062500e+13
44          ,  1.408716465187509e+02,  1.475107036541346e+02,  5.714840531486526e+01,  1.223182105656044e+14
15          ,  1.304908476901080e+02,  1.329926354440343e+02,  6.522072233284968e+01,  1.133799040000000e+14
95          ,  7.035268214247002e+01,  8.188615093021325e+01,  1.030559231802513e+02,  8.925445404568253e+13
