# c0 + a0 * cbrt(var:melting_point) + a1 * (ave:atomic_volume * ave:atomic_number) + a2 * (ave:atomic_radius_rahm^3)
# Property Label: $Volume$; Unit of the Property: length^3
# RMSE: 13.5378041530962; Max AE: 41.5069453951721
# Coefficients
# Task   a0                      a1                      a2                      c0
# all , -6.272338282227730e-01,  3.588588809984958e-02,  1.484181970909784e-05, -7.845104274964440e+00, 
# Feature Rung, Units, and Expressions
# 0;  1; temperature^0.333333;                             14|cbrt; cbrt(var:melting_point); $\left(\sqrt[3]{ var:melting_{point} }\right)$; nthroot(var:melting_point, 3); var:melting_point
# 1;  1; length^3;                                         3|0|mult; (ave:atomic_volume * ave:atomic_number); $\left(ave:atomic_{volume} ave:atomic_{number}\right)$; (ave:atomic_volume .* ave:atomic_number); ave:atomic_volume,ave:atomic_number
# 2;  1; length^3;                                         2|cb; (ave:atomic_radius_rahm^3); $\left(ave:atomic_{radius, rahm}^3\right)$; (ave:atomic_radius_rahm).^3; ave:atomic_radius_rahm
# Number of Samples Per Task
# Task, n_mats_train            
# all , 116                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      
64          ,  9.806170819706537e+01,  1.073297081772209e+02,  2.301608756267735e+01,  7.027199999999999e+02,  7.033743296000003e+06
27          ,  9.195581102005919e+01,  1.033959566143813e+02,  2.838142738599684e+01,  4.339200000000001e+02,  7.645373000000000e+06
69          ,  7.310044637476960e+01,  6.224411078753414e+01,  7.735440737176792e+01,  4.052160000000000e+02,  7.011739944000001e+06
125         ,  2.012029980198631e+02,  1.982261659165846e+02,  2.446192948878910e+01,  1.280912000000000e+03,  1.182118895200000e+07
11          ,  1.617034912836585e+02,  1.631546805429608e+02,  2.212733805136409e+01,  6.997960000000000e+02,  1.076458291200000e+07
119         ,  1.887146035400442e+02,  1.596661879502610e+02,  3.145960064356431e+01,  6.559280000000001e+02,  1.102999917600000e+07
110         ,  1.562326241405194e+02,  1.551420497050581e+02,  5.260857585454031e+01,  8.625240000000000e+02,  1.111943116800000e+07
113         ,  7.050822380170608e+01,  6.123368553743424e+01,  7.510451479007682e+01,  4.187839999999999e+02,  6.815771136000003e+06
9           ,  7.063457799019668e+01,  6.170377207187914e+01,  7.619355736088608e+01,  4.060800000000000e+02,  6.924185416000002e+06
4           ,  7.851117738952721e+01,  7.245522597688209e+01,  6.861921979406826e+01,  4.079404000000000e+02,  7.323988887999998e+06
26          ,  5.966202570927710e+01,  5.854787020844891e+01,  9.556961178844374e+01,  3.295520000000001e+02,  7.715442175999999e+06
124         ,  1.885207260436857e+02,  1.869967186788321e+02,  4.816704955708021e+01,  1.012824000000000e+03,  1.271459570400000e+07
31          ,  8.459240483249847e+01,  7.569531207655609e+01,  6.015792440888337e+01,  4.885600000000000e+02,  6.989782527999999e+06
98          ,  1.892571838929967e+02,  1.779436244576431e+02,  5.196189881534381e+01,  1.183488000000000e+03,  1.185235200000000e+07
36          ,  1.804786609572536e+02,  1.663581660587899e+02,  5.188003855641706e+01,  9.743999999999999e+02,  1.157384872800000e+07
16          ,  1.473017585346737e+02,  1.541031743511679e+02,  2.995944802408840e+01,  6.805440000000000e+02,  1.053226188800000e+07
10          ,  1.071503545301096e+02,  1.046626233270290e+02,  3.521171852213584e+01,  7.215200000000000e+02,  7.323988887999998e+06
93          ,  1.586721939022781e+02,  1.340674366426363e+02,  5.474035743809575e+01,  6.028799999999999e+02,  1.041736550400000e+07
42          ,  1.922420330482679e+02,  1.990260185011803e+02,  4.825001070632530e+01,  1.226880000000000e+03,  1.301103820800000e+07
118         ,  5.345461156622450e+01,  7.154785465543578e+01,  8.053508441241213e+01,  2.212000000000000e+02,  8.217949832000001e+06
127         ,  1.258768321724361e+02,  1.668726573371206e+02,  8.765365936031247e+01,  6.976640000000001e+02,  1.378946879200000e+07
96          ,  9.458888504929534e+01,  1.049793216909259e+02,  3.617365236826828e+01,  5.365680000000000e+02,  7.833173255999999e+06
60          ,  6.700355961656858e+01,  5.712909903940341e+01,  1.034350043793737e+02,  3.296160000000000e+02,  7.952095936000000e+06
0           ,  1.324521624992106e+02,  1.244214669950904e+02,  5.551577226705650e+01,  5.227560000000000e+02,  9.993948264000000e+06
84          ,  1.874396857101914e+02,  1.771967558247391e+02,  3.022602890243282e+01,  1.085888000000000e+03,  1.111943116800000e+07
28          ,  9.362157646373184e+01,  1.006172415376171e+02,  2.699336643619306e+01,  5.394000000000000e+02,  7.144450776000002e+06
40          ,  1.876581343779474e+02,  1.984515391862243e+02,  1.588809697329075e+01,  1.085644000000000e+03,  1.194616965600000e+07
86          ,  6.540869502383295e+01,  5.577332472308189e+01,  1.167944023713832e+02,  4.556480000000001e+02,  8.120601000000000e+06
24          ,  9.809953691058023e+01,  1.105264665826573e+02,  2.775963224853120e+01,  5.636160000000000e+02,  7.785938167999999e+06
25          ,  1.397570909097410e+02,  1.418120908807153e+02,  5.566003452766444e+01,  8.347679999999999e+02,  1.041736550400000e+07
23          ,  1.776115625775598e+02,  1.725148741199042e+02,  2.569490650874173e+01,  8.885760000000000e+02,  1.108956700000000e+07
