# c0 + a0 * (var:melting_point + ave:boiling_point) + a1 * (var:melting_point * ave:atomic_radius_rahm) + a2 * sqrt(var:melting_point) + a3 * (ave:atomic_radius_rahm^3)
# Property Label: $Volume$; Unit of the Property: length^3
# RMSE: 12.5731397937344; Max AE: 35.4224181258769
# Coefficients
# Task   a0                      a1                      a2                      a3                      c0
# all ,  4.156799948231139e-04, -1.912204993566662e-06, -9.310746788328456e-02,  2.171628749439707e-05, -4.891999568544996e+01, 
# Feature Rung, Units, and Expressions
# 0;  1; temperature;                                      14|5|add; (var:melting_point + ave:boiling_point); $\left(var:melting_{point} + ave:boiling_{point}\right)$; (var:melting_point + ave:boiling_point); var:melting_point,ave:boiling_point
# 1;  1; length * temperature;                             14|2|mult; (var:melting_point * ave:atomic_radius_rahm); $\left(var:melting_{point} ave:atomic_{radius, rahm}\right)$; (var:melting_point .* ave:atomic_radius_rahm); var:melting_point,ave:atomic_radius_rahm
# 2;  1; temperature^0.5;                                  14|sqrt; sqrt(var:melting_point); $\left(\sqrt{ var:melting_{point} }\right)$; sqrt(var:melting_point); var:melting_point
# 3;  1; length^3;                                         2|cb; (ave:atomic_radius_rahm^3); $\left(ave:atomic_{radius, rahm}^3\right)$; (ave:atomic_radius_rahm).^3; ave:atomic_radius_rahm
# Number of Samples Per Task
# Task, n_mats_train            
# all , 116                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      
64          ,  9.806170819706537e+01,  9.430044118225625e+01,  1.256170082400000e+04,  2.336092354678400e+06,  1.104198751312462e+02,  7.033743296000003e+06
27          ,  9.195581102005919e+01,  1.040698965304589e+02,  2.321640760000000e+04,  4.503694539200000e+06,  1.511998465607687e+02,  7.645373000000000e+06
69          ,  7.310044637476960e+01,  6.341735643240143e+01,  4.638675090960000e+05,  8.859253385257439e+07,  6.803424895565468e+02,  7.011739944000001e+06
125         ,  2.012029980198631e+02,  1.965425280120503e+02,  1.537501600000001e+04,  3.334462592800002e+06,  1.209862636831141e+02,  1.182118895200000e+07
11          ,  1.617034912836585e+02,  1.754197885208171e+02,  1.163992710400000e+04,  2.392139936563200e+06,  1.040863444645838e+02,  1.076458291200000e+07
119         ,  1.887146035400442e+02,  1.742933606709116e+02,  3.215213038400000e+04,  6.930822487478399e+06,  1.764533093597283e+02,  1.102999917600000e+07
110         ,  1.562326241405194e+02,  1.557815914038514e+02,  1.465083096000000e+05,  3.249853817472000e+07,  3.815793097116247e+02,  1.111943116800000e+07
113         ,  7.050822380170608e+01,  6.134896920792762e+01,  4.244853519760000e+05,  8.032236127704962e+07,  6.508772126722521e+02,  6.815771136000003e+06
9           ,  7.063457799019668e+01,  6.260331932439808e+01,  4.433641170960000e+05,  8.430972021489760e+07,  6.650853412126897e+02,  6.924185416000002e+06
4           ,  7.851117738952721e+01,  7.181565995340942e+01,  3.237904807760000e+05,  6.274607336149918e+07,  5.684191013468846e+02,  7.323988887999998e+06
