# c0 + a0 * ((ave:atomic_radius_rahm^6) / cbrt(ave:boiling_point))
# Property Label: $Volume$; Unit of the Property: length^3
# RMSE: 19.9502785914765; Max AE: 54.4058094239157
# Coefficients
# Task   a0                      c0
# all ,  1.110330538545055e-11,  1.001962366216614e+01, 
# Feature Rung, Units, and Expressions
# 0;  2; length^6 * temperature^-0.333333;                 2|sp|5|cbrt|div; ((ave:atomic_radius_rahm^6) / cbrt(ave:boiling_point)); $\left(\frac{ \left(ave:atomic_{radius, rahm}^6\right) }{ \left(\sqrt[3]{ ave:boiling_{point} }\right) } \right)$; ((ave:atomic_radius_rahm).^6 ./ nthroot(ave:boiling_point, 3)); ave:atomic_radius_rahm,ave:boiling_point
# Number of Samples Per Task
# Task, n_mats_train            
# all , 116                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      
64          ,  9.806170819706537e+01,  8.659519363156284e+01,  6.896646296853107e+12
27          ,  9.195581102005919e+01,  1.016770830754692e+02,  8.254970590416107e+12
69          ,  7.310044637476960e+01,  6.457927416272135e+01,  4.913820579234773e+12
125         ,  2.012029980198631e+02,  1.817651124790416e+02,  1.546796047255674e+13
11          ,  1.617034912836585e+02,  1.482729332300551e+02,  1.245154526228307e+13
119         ,  1.887146035400442e+02,  1.443746927599077e+02,  1.210045697507307e+13
110         ,  1.562326241405194e+02,  1.519193463613089e+02,  1.277995315566876e+13
113         ,  7.050822380170608e+01,  6.459534333703006e+01,  4.915267821632499e+12
55          ,  1.465164071687489e+02,  1.412197669878512e+02,  1.181631404082661e+13
9           ,  7.063457799019668e+01,  6.280692722971182e+01,  4.754197217408487e+12
4           ,  7.851117738952721e+01,  7.741364868156634e+01,  6.069726327415202e+12
26          ,  5.966202570927710e+01,  7.068164560597705e+01,  5.463420111213068e+12
31          ,  8.459240483249847e+01,  6.633143121129122e+01,  5.071625574030814e+12
98          ,  1.892571838929967e+02,  1.654773491624783e+02,  1.400103123381795e+13
16          ,  1.473017585346737e+02,  1.609950640043026e+02,  1.359734197169523e+13
10          ,  1.071503545301096e+02,  8.106327126068952e+01,  6.398423274173555e+12
93          ,  1.586721939022781e+02,  1.323370070713658e+02,  1.101630362878074e+13
111         ,  9.534692245017716e+01,  6.707145450537844e+01,  5.138274492384166e+12
