# c0 + a0 * ((ave:boiling_point / var:boiling_point) * (var:melting_point * ave:atomic_radius_rahm)) + a1 * ((ave:atomic_radius_rahm^3) * cbrt(ave:atomic_volume))
# Property Label: $Volume$; Unit of the Property: length^3
# RMSE: 13.7379480232624; Max AE: 45.3532971155214
# Coefficients
# Task   a0                      a1                      c0
# all , -5.112592050263478e-04,  5.845391819889824e-06, -1.587863822825712e+01, 
# Feature Rung, Units, and Expressions
# 0;  2; length * temperature;                             5|10|div|14|2|mult|mult; ((ave:boiling_point / var:boiling_point) * (var:melting_point * ave:atomic_radius_rahm)); $\left(\left(\frac{ ave:boiling_{point} }{ var:boiling_{point} } \right) \left(var:melting_{point} ave:atomic_{radius, rahm}\right)\right)$; ((ave:boiling_point ./ var:boiling_point) .* (var:melting_point .* ave:atomic_radius_rahm)); ave:boiling_point,var:boiling_point,var:melting_point,ave:atomic_radius_rahm
# 1;  2; length^4;                                         2|cb|3|cbrt|mult; ((ave:atomic_radius_rahm^3) * cbrt(ave:atomic_volume)); $\left(\left(ave:atomic_{radius, rahm}^3\right) \left(\sqrt[3]{ ave:atomic_{volume} }\right)\right)$; ((ave:atomic_radius_rahm).^3 .* nthroot(ave:atomic_volume, 3)); ave:atomic_radius_rahm,ave:atomic_volume
# Number of Samples Per Task
# Task, n_mats_train            
# all , 116                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      
64          ,  9.806170819706537e+01,  1.000346176144951e+02,  6.529222617226739e+03,  2.040092173149195e+07
27          ,  9.195581102005919e+01,  1.046322693804578e+02,  1.142472325680708e+04,  2.161564295975930e+07
69          ,  7.310044637476960e+01,  5.368882598454631e+01,  6.216502965945278e+04,  1.733842845437260e+07
125         ,  2.012029980198631e+02,  1.916196442743235e+02,  8.042408782818527e+03,  3.620117257210138e+07
11          ,  1.617034912836585e+02,  1.679684172631106e+02,  2.849443711440610e+03,  3.170084496090099e+07
119         ,  1.887146035400442e+02,  1.492361893517322e+02,  7.665700293134689e+03,  2.891747766893299e+07
110         ,  1.562326241405194e+02,  1.532486228764685e+02,  4.201830714498401e+04,  3.260850825493777e+07
113         ,  7.050822380170608e+01,  6.999364605206885e+01,  5.287793027787529e+04,  1.931549096391613e+07
55          ,  1.465164071687489e+02,  1.443546120423950e+02,  6.418005885948952e+04,  3.302531328778189e+07
9           ,  7.063457799019668e+01,  5.507315327894267e+01,  5.663613943935297e+04,  1.709167532495843e+07
4           ,  7.851117738952721e+01,  7.461631525151034e+01,  6.085100701028887e+04,  2.080366803387228e+07
26          ,  5.966202570927710e+01,  7.521669421101258e+01,  5.786862378967835e+04,  2.064552775116178e+07
31          ,  8.459240483249847e+01,  6.824284408886629e+01,  3.582702486554105e+04,  1.752463850580164e+07
98          ,  1.892571838929967e+02,  1.870088401843137e+02,  2.802976010211157e+04,  3.716054594327430e+07
16          ,  1.473017585346737e+02,  1.524614749808742e+02,  2.293476207519668e+04,  3.080473080050240e+07
10          ,  1.071503545301096e+02,  1.033040760491979e+02,  1.134161805880614e+04,  2.138115369523140e+07
93          ,  1.586721939022781e+02,  1.482332930036927e+02,  2.782623260854394e+04,  3.050922064581697e+07
111         ,  9.534692245017716e+01,  7.683768888561683e+01,  2.756563930353065e+04,  1.827243018796527e+07
42          ,  1.922420330482679e+02,  1.990078077825118e+02,  6.199219474804788e+04,  4.218374641310906e+07
118         ,  5.345461156622450e+01,  6.658469503280980e+01,  7.447531759832801e+04,  2.062129086373971e+07
127         ,  1.258768321724361e+02,  1.557847657132229e+02,  9.089997888505053e+04,  3.731774731351957e+07
96          ,  9.458888504929534e+01,  9.595523287571683e+01,  1.144956788654736e+04,  2.013339254335282e+07
60          ,  6.700355961656858e+01,  7.030776674023195e+01,  7.664207156315022e+04,  2.144772727139457e+07
0           ,  1.324521624992106e+02,  1.277724113670325e+02,  4.083829954633552e+04,  2.814695938707460e+07
84          ,  1.874396857101914e+02,  1.787446653412527e+02,  9.376029445703216e+03,  3.411522975272209e+07
28          ,  9.362157646373184e+01,  1.084393132879023e+02,  7.801315541877052e+03,  2.195001632938911e+07
40          ,  1.876581343779474e+02,  1.965647049511701e+02,  1.284596391480748e+03,  3.645608566122296e+07
86          ,  6.540869502383295e+01,  6.381812771334301e+01,  9.461676399889389e+04,  2.190964462810880e+07
24          ,  9.809953691058023e+01,  1.104590294410134e+02,  1.220736381262021e+04,  2.268090811918867e+07
25          ,  1.397570909097410e+02,  1.464087152421068e+02,  4.111948343190651e+04,  3.135975714358694e+07
23          ,  1.776115625775598e+02,  1.800431421174249e+02,  3.984377416848576e+03,  3.386579310265572e+07
115         ,  1.348472579215662e+02,  1.357194355753998e+02,  4.074240696639926e+04,  2.949810888868833e+07
67          ,  1.178407975639319e+02,  1.303246778976696e+02,  4.097318914114999e+04,  2.859538614073192e+07
44          ,  1.408716465187509e+02,  1.557309601148279e+02,  4.227842650334770e+04,  3.305592490985375e+07
15          ,  1.304908476901080e+02,  1.230548377795137e+02,  7.882110532927241e+04,  3.066201499920853e+07
95          ,  7.035268214247002e+01,  8.371623788422090e+01,  9.015324655867068e+04,  2.492331699354831e+07
39          ,  6.690965549992833e+01,  7.686368216076481e+01,  8.700941673361449e+04,  2.347604572051466e+07
68          ,  1.728438327749059e+02,  1.290186558596183e+02,  2.840369062824424e+04,  2.727258450594176e+07
80          ,  1.635560662373134e+02,  1.729638606757326e+02,  4.253472806054527e+04,  3.602645924293322e+07
140         ,  9.231264108905833e+01,  1.021729420970616e+02,  4.408506236174893e+04,  2.405150562936486e+07
47          ,  5.673059181818780e+01,  6.059458312119346e+01,  1.016189216225307e+05,  2.197061110545725e+07
