# c0 + a0 * (sqrt(var:c6_gb) / (ave:atomic_volume^2)) + a1 * ((var:melting_point * ave:atomic_radius_rahm) / (var:melting_point + var:boiling_point)) + a2 * ((ave:atomic_radius_rahm^2) * cbrt(ave:atomic_volume))
# Property Label: $Volume$; Unit of the Property: length^3
# RMSE: 9.97556265804152; Max AE: 26.3570987996694
# Coefficients
# Task   a0                      a1                      a2                      c0
# all , -1.074707812407143e+01, -5.480235819708654e-01,  1.712927094179335e-03, -4.680483259631612e+01, 
# Feature Rung, Units, and Expressions
# 0;  2; energy^0.5 * length^-9;                           11|sqrt|3|sq|div; (sqrt(var:c6_gb) / (ave:atomic_volume^2)); $\left(\frac{ \left(\sqrt{ var:c6_{gb} }\right) }{ \left(ave:atomic_{volume}^2\right) } \right)$; (sqrt(var:c6_gb) ./ (ave:atomic_volume).^2); var:c6_gb,ave:atomic_volume
# 1;  2; length;                                           14|2|mult|14|10|add|div; ((var:melting_point * ave:atomic_radius_rahm) / (var:melting_point + var:boiling_point)); $\left(\frac{ \left(var:melting_{point} ave:atomic_{radius, rahm}\right) }{ \left(var:melting_{point} + var:boiling_{point}\right) } \right)$; ((var:melting_point .* ave:atomic_radius_rahm) ./ (var:melting_point + var:boiling_point)); var:melting_point,ave:atomic_radius_rahm,var:melting_point,var:boiling_point
# 2;  2; length^3;                                         2|sq|3|cbrt|mult; ((ave:atomic_radius_rahm^2) * cbrt(ave:atomic_volume)); $\left(\left(ave:atomic_{radius, rahm}^2\right) \left(\sqrt[3]{ ave:atomic_{volume} }\right)\right)$; ((ave:atomic_radius_rahm).^2 .* nthroot(ave:atomic_volume, 3)); ave:atomic_radius_rahm,ave:atomic_volume
# Number of Samples Per Task
# Task, n_mats_train            
# all , 116                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      
64          ,  9.806170819706537e+01,  9.355028278410023e+01,  3.085285619406128e+00,  1.619232929848704e+01,  1.064766269910853e+05
27          ,  9.195581102005919e+01,  9.385662159613271e+01,  2.989493021833603e+00,  2.766226455762981e+01,  1.097240759378645e+05
69          ,  7.310044637476960e+01,  7.072975972811439e+01,  1.111974753249943e+00,  4.686758320485550e+01,  9.058740049306479e+04
125         ,  2.012029980198631e+02,  1.967530599415620e+02,  2.135473246612784e+00,  1.040893552831354e+01,  1.589164730996549e+05
11          ,  1.617034912836585e+02,  1.678387523534414e+02,  2.733667980345541e+00,  3.479747456288534e+00,  1.435726673953849e+05
119         ,  1.887146035400442e+02,  1.636711186205812e+02,  7.489242288488723e-01,  7.295128843673556e+00,  1.299078062395912e+05
110         ,  1.562326241405194e+02,  1.574709755065795e+02,  2.319015952916244e+00,  3.841519031559278e+01,  1.460954670920151e+05
113         ,  7.050822380170608e+01,  6.397967005688912e+01,  3.528187402741299e+00,  4.708220344107993e+01,  1.018749523413298e+05
55          ,  1.465164071687489e+02,  1.560073217447414e+02,  2.394610730842727e+00,  4.710395961779195e+01,  1.484951137040553e+05
9           ,  7.063457799019668e+01,  7.225908534385657e+01,  1.030489099696733e+00,  4.281688050025204e+01,  8.967300800083122e+04
4           ,  7.851117738952721e+01,  6.635245915349984e+01,  3.453038356278633e+00,  6.063587386161642e+01,  1.071249641291055e+05
26          ,  5.966202570927710e+01,  6.802592634637527e+01,  4.107828186997722e+00,  3.647860992929827e+01,  1.044814157447459e+05
31          ,  8.459240483249847e+01,  8.295071196650868e+01,  8.456456931845582e-01,  3.313065848868244e+01,  9.165605913076170e+04
98          ,  1.892571838929967e+02,  1.897146464511370e+02,  2.708073169548812e+00,  2.473947118680075e+01,  1.629848506283961e+05
16          ,  1.473017585346737e+02,  1.436351480120640e+02,  2.872726804454956e+00,  3.541559275635873e+01,  1.405325310241898e+05
10          ,  1.071503545301096e+02,  1.005848391117455e+02,  2.940674775324755e+00,  1.751309835365206e+01,  1.100986287087096e+05
93          ,  1.586721939022781e+02,  1.477255270925929e+02,  2.854706101006728e+00,  2.568489593464627e+01,  1.396942337262682e+05
111         ,  9.534692245017716e+01,  9.382006795121738e+01,  7.936819386367329e-01,  2.375461213177051e+01,  9.467580408272160e+04
42          ,  1.922420330482679e+02,  2.033391531806214e+02,  2.163451234542818e+00,  6.171864189130316e+01,  1.793526633210419e+05
118         ,  5.345461156622450e+01,  6.173532348855993e+01,  3.433955597939930e+00,  5.400013531449576e+01,  1.021867733584723e+05
127         ,  1.258768321724361e+02,  1.405394396419102e+02,  5.343608832021769e+00,  3.976794192040769e+01,  1.556202973874878e+05
96          ,  9.458888504929534e+01,  1.074023268649513e+02,  7.462383284893918e-01,  2.084523784431696e+01,  1.013765989091280e+05
60          ,  6.700355961656858e+01,  6.967652950479639e+01,  3.920206332205557e+00,  4.643588515523553e+01,  1.074535434438606e+05
0           ,  1.324521624992106e+02,  1.231098522149871e+02,  3.013050319149349e+00,  3.929960795376437e+01,  1.306729776558710e+05
