# c0 + a0 * (cbrt(var:c6_gb) / (ave:atomic_volume * ave:atomic_radius_rahm)) + a1 * (cbrt(var:c6_gb) / ave:atomic_volume) + a2 * ((var:melting_point * ave:atomic_radius_rahm) / (var:melting_point + var:boiling_point)) + a3 * ((ave:atomic_radius_rahm^2) * cbrt(ave:atomic_volume))
# Property Label: $Volume$; Unit of the Property: length^3
# RMSE: 9.27453133483869; Max AE: 22.3173272639586
# Coefficients
# Task   a0                      a1                      a2                      a3                      c0
# all ,  5.625990315322635e+03, -3.567568953522600e+01, -5.442067807826219e-01,  2.187059985842607e-03, -8.843615884778849e+01, 
# Feature Rung, Units, and Expressions
# 0;  2; energy^0.333333 * length^-6;                      11|cbrt|3|2|mult|div; (cbrt(var:c6_gb) / (ave:atomic_volume * ave:atomic_radius_rahm)); $\left(\frac{ \left(\sqrt[3]{ var:c6_{gb} }\right) }{ \left(ave:atomic_{volume} ave:atomic_{radius, rahm}\right) } \right)$; (nthroot(var:c6_gb, 3) ./ (ave:atomic_volume .* ave:atomic_radius_rahm)); var:c6_gb,ave:atomic_volume,ave:atomic_radius_rahm
# 1;  2; energy^0.333333 * length^-5;                      11|cbrt|3|div; (cbrt(var:c6_gb) / ave:atomic_volume); $\left(\frac{ \left(\sqrt[3]{ var:c6_{gb} }\right) }{ ave:atomic_{volume} } \right)$; (nthroot(var:c6_gb, 3) ./ ave:atomic_volume); var:c6_gb,ave:atomic_volume
# 2;  2; length;                                           14|2|mult|14|10|add|div; ((var:melting_point * ave:atomic_radius_rahm) / (var:melting_point + var:boiling_point)); $\left(\frac{ \left(var:melting_{point} ave:atomic_{radius, rahm}\right) }{ \left(var:melting_{point} + var:boiling_{point}\right) } \right)$; ((var:melting_point .* ave:atomic_radius_rahm) ./ (var:melting_point + var:boiling_point)); var:melting_point,ave:atomic_radius_rahm,var:melting_point,var:boiling_point
# 3;  2; length^3;                                         2|sq|3|cbrt|mult; ((ave:atomic_radius_rahm^2) * cbrt(ave:atomic_volume)); $\left(\left(ave:atomic_{radius, rahm}^2\right) \left(\sqrt[3]{ ave:atomic_{volume} }\right)\right)$; ((ave:atomic_radius_rahm).^2 .* nthroot(ave:atomic_volume, 3)); ave:atomic_radius_rahm,ave:atomic_volume
# Number of Samples Per Task
# Task, n_mats_train            
# all , 116                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      
64          ,  9.806170819706537e+01,  9.682007116853222e+01,  3.208224029237099e-02,  6.146957240018282e+00,  1.619232929848704e+01,  1.064766269910853e+05
27          ,  9.195581102005919e+01,  9.472364488546023e+01,  2.978298912358481e-02,  5.867248857346209e+00,  2.766226455762981e+01,  1.097240759378645e+05
69          ,  7.310044637476960e+01,  6.750586660472604e+01,  1.386666259061318e-02,  2.654079219843362e+00,  4.686758320485550e+01,  9.058740049306479e+04
125         ,  2.012029980198631e+02,  1.977055588481329e+02,  2.229310263085857e-02,  5.078368779309583e+00,  1.040893552831354e+01,  1.589164730996549e+05
11          ,  1.617034912836585e+02,  1.649701801892933e+02,  2.607584590032144e-02,  5.757546774790974e+00,  3.479747456288534e+00,  1.435726673953849e+05
119         ,  1.887146035400442e+02,  1.692203787024202e+02,  9.712961996362303e-03,  2.162105340390249e+00,  7.295128843673556e+00,  1.299078062395912e+05
110         ,  1.562326241405194e+02,  1.563858034177112e+02,  2.301918772312465e-02,  5.137882699801422e+00,  3.841519031559278e+01,  1.460954670920151e+05
113         ,  7.050822380170608e+01,  6.932271329581803e+01,  3.464071516759895e-02,  6.567879595776762e+00,  4.708220344107993e+01,  1.018749523413298e+05
55          ,  1.465164071687489e+02,  1.549247623751494e+02,  2.416190082633565e-02,  5.373606743777049e+00,  4.710395961779195e+01,  1.484951137040553e+05
9           ,  7.063457799019668e+01,  6.887394060208803e+01,  1.321261105344846e-02,  2.518323666787277e+00,  4.281688050025204e+01,  8.967300800083122e+04
4           ,  7.851117738952721e+01,  6.933989283630348e+01,  3.341519099386495e-02,  6.489230091008571e+00,  6.063587386161642e+01,  1.071249641291055e+05
26          ,  5.966202570927710e+01,  7.077450440302702e+01,  3.473386204784101e-02,  6.863411140653383e+00,  3.647860992929827e+01,  1.044814157447459e+05
31          ,  8.459240483249847e+01,  7.997606588306803e+01,  1.172617786498048e-02,  2.242045207784269e+00,  3.313065848868244e+01,  9.165605913076170e+04
98          ,  1.892571838929967e+02,  1.875508047092897e+02,  2.671670903694075e-02,  6.091409660422491e+00,  2.473947118680075e+01,  1.629848506283961e+05
16          ,  1.473017585346737e+02,  1.404811751824292e+02,  2.696402801890565e-02,  5.910514941744117e+00,  3.541559275635873e+01,  1.405325310241898e+05
10          ,  1.071503545301096e+02,  1.026445183869451e+02,  3.085547458226243e-02,  5.992133163875363e+00,  1.751309835365206e+01,  1.100986287087096e+05
