,Volume,ave:atomic_number,ave:atomic_radius,ave:atomic_radius_rahm,ave:atomic_volume,ave:atomic_weight,ave:boiling_point,ave:bulk_modulus,sum:hhi_p,sum:hhi_r,sum:sound_velocity,var:boiling_point,var:c6_gb,var:hhi_p,var:hhi_r,var:melting_point,var:sound_velocity,r1_1term,r1_2term,r1_3term,r1_4term,r2_1term,r2_2term,r2_3term,r2_4term
64,98.06170819706537,28.799999999999997,161.4141685010688,191.60000000000002,24.4,68.611001896,369.15200000000004,33.5793636983576,32000.0,27200.0,22375.4952999072,132078.99553600003,3374038.6655999995,4360000.0,3073600.0,12192.548824,522173.9476512086,69.67452241773117,103.41790423643096,107.32970817722082,94.30044118225621,86.59519363156282,100.03461761449508,102.4232660979381,96.82007116853231
27,91.95581102005919,19.200000000000003,164.86877047679093,197.0,22.6,42.799954,355.01399999999995,47.823624510313365,24300.0,40500.0,18725.144809483256,139948.65146400002,2331464.7016000003,2905600.0,7836000.0,22861.393600000003,1465910.5157532955,79.57109916041445,107.9917989664785,103.39595661438132,104.06989653045889,101.6770830754692,104.63226938045776,109.01542347402014,94.72364488546029
69,73.1004463747696,26.799999999999997,139.81416850106882,191.4,15.12,63.444041896,1001.606,70.6793636983576,26800.0,24800.0,28417.4952999072,1427407.240824,64624.473600000005,3769600.0,4041600.0,462865.90309599997,1674776.4556104224,69.33386170639548,62.757933934373504,62.244110787534105,63.41735643240135,64.57927416272133,53.68882598454633,96.41422707027286,67.50586660472612
125,201.20299801986306,44.6,178.333184882848,227.8,28.72,105.91196,737.34,10.24,44800.0,66400.0,19041.67534649392,305708.4904,3102601.6,2113600.0,126400.0,14637.676000000007,499437.84108355443,169.1750423139938,188.40184972624365,198.2261659165846,196.5425280120502,181.7651124790416,191.61964427432352,202.45699371215676,197.70555884813302
73,101.35085253855638,26.2,167.0141685010688,196.8,27.4,60.943732296,711.926,44.237949466464755,13800.0,12500.0,11873.025618914893,785927.7025840001,6802604.6656,3110400.0,3100000.0,24983.317816000002,399475.4237413681,79.17962174106863,107.02011845726247,112.70630973795653,103.16652056167001,82.26186828961139,116.1638421020329,115.86337077050044,114.61138634350664
11,161.70349128365854,27.400000000000002,171.2122904358975,220.8,25.54,61.32715999999999,805.96,16.99858576810716,27600.0,22000.0,6266.0,676612.4544,3179619.1464000004,3110400.0,3760000.0,10833.967104,266079.04000000004,142.86966456844675,167.38458656206626,163.1546805429608,175.41978852081712,148.27293323005506,167.9684172631106,169.74555718139837,164.9701801892933
119,188.71460354004418,36.400000000000006,156.6122904358975,222.6,18.02,85.6736,1016.36,25.69858576810716,10500.0,6800.0,3093.0,918925.9264,59141.85040000001,576000.0,198400.0,31135.770383999996,255560.64,149.24602112501415,165.96700636301688,159.66618795026096,174.2933606709115,144.37469275990762,149.23618935173218,167.66888850756519,169.22037870242033
110,156.23262414051945,34.2,170.33318488284797,223.20000000000002,25.22,77.3357,905.54,21.76,12800.0,29300.0,12002.83767324696,700378.6744,2175643.84,846400.0,4986400.0,145602.76959999997,42742.552683637805,151.42951502057446,152.14495023824895,155.142049705058,155.78159140385134,151.91934636130884,153.24862287646852,178.52323105866708,156.38580341771126
113,70.50822380170608,18.4,154.81416850106882,189.60000000000002,22.759999999999998,40.231281896,844.206,64.5793636983576,11500.0,12000.0,14750.7476499536,1282361.449624,3340352.6656,3460000.0,3240000.0,423641.145976,1369669.7975084346,66.34691493928482,61.84586124309016,61.233685537434205,61.348969207927496,64.59534333703004,69.99364605206887,89.78174680724202,69.32271329581809
55,146.51640716874894,37.6,171.533184882848,222.4,27.060000000000002,86.31996000000001,1073.94,37.64,19100.0,34700.0,11772.83767324696,1427165.4424,3074546.16,1189600.0,402400.0,383494.9336,332458.7658713819,148.52470086318021,134.74257736183446,146.36122584976874,129.0739638608634,141.21976698785113,144.35461204239505,181.82131701913323,154.92476237514944
45,69.22252251530169,15.2,162.0141685010688,193.8,24.240000000000002,33.353601896,515.806,37.5793636983576,31600.0,22000.0,28765.4952999072,294538.19042400003,3290384.8576,4182400.0,3760000.0,113412.27877599999,1094015.6483230686,73.54109521386249,87.90218926830497,83.0469912199918,83.122214942701,83.37176410167352,87.5787294665593,106.20733987038122,79.19226360575132
9,70.63457799019668,27.0,139.6141685010688,190.60000000000002,15.04,64.061680696,1025.606,72.6793636983576,14100.0,13700.0,14018.7476499536,1526738.1528240002,54334.80960000001,3769600.0,3750400.0,442338.511096,1523365.4198897174,67.98889684110712,62.45701374740483,61.7037720718791,62.603319324398,62.8069272297118,55.07315327894268,95.72367714843804,68.87394060208806
4,78.5111773895272,17.8,157.0141685010688,194.2,22.918,39.480210696,690.206,52.5793636983576,12100.0,12300.0,14930.7476499536,711700.897624,3289346.8096000003,3205600.0,3146400.0,323100.27477599995,1520283.031349103,74.26806765347327,73.51448038348008,72.45522597688206,71.81565995340934,77.41364868156634,74.61631525151037,99.58219840528605,69.33989283630353
26,59.6620257092771,17.2,161.92085218684497,197.6,19.160000000000004,37.000502,1293.5140000000001,87.16316529382729,9264.675592658521,13193.216996573206,8347.618683153423,3855443.8734640004,2274084.3016,4650689.455349496,7593360.806912143,872889.8944,3894635.3638889417,80.7575173339753,59.10705067587152,58.54787020844887,65.19940100396195,70.68164560597702,75.2166942110126,88.01703673773025,70.77450440302704
124,188.52072604368567,32.4,183.533184882848,233.4,31.259999999999998,73.05156,742.74,5.04,39600.0,56400.0,25025.67534649392,316545.8584,3137985.3600000003,1094400.0,4406400.0,111750.66960000001,631842.7756151619,193.33775547104548,191.6907812048065,186.9967186788321,192.95477396576416,208.2233387900152,186.95626589985295,227.66038464273964,199.54161759450915
31,84.59240483249847,31.0,143.4141685010688,191.2,15.76,73.848681896,894.006,56.679363698357605,24400.0,24800.0,23797.4952999072,1038714.2920240001,44116.5696,4134400.0,4041600.0,217710.07677599997,617489.0213218479,68.99497618966997,75.23927469288452,75.69531207655605,70.70031398756089,66.3314312112912,68.2428440888663,101.10699322779246,79.97606588306809
98,189.25718389299675,38.4,175.333184882848,228.0,30.82,89.0494904,1010.0600000000001,20.76758774072156,63600.0,85800.0,44940.34692662476,1152703.6744000001,6616850.5600000005,1374400.0,3769600.0,140299.1496,1457420.3257638447,169.98824661564973,168.67678116502532,177.94362445764304,171.16566703517356,165.47734916247825,187.00884018431373,203.27235167020382,187.5508047092898
36,180.4786609572536,34.8,171.533184882848,226.20000000000002,28.0,79.56196,1011.94,20.94758774072156,42400.0,57200.0,28205.67534649392,1152498.0024,3142610.56,1374400.0,3769600.0,139637.116,1867865.8235781484,162.79659437174394,162.51753174439875,166.35816605878983,165.69483882440016,158.16552274265175,175.37866519721288,195.0342746997053,181.5494199777407
