material_id,Volume,ave:atomic_number,ave:atomic_radius,ave:atomic_radius_rahm,ave:atomic_volume,ave:atomic_weight,ave:boiling_point,ave:bulk_modulus,sum:hhi_p,sum:hhi_r,sum:sound_velocity,var:boiling_point,var:c6_gb,var:hhi_p,var:hhi_r,var:melting_point,var:sound_velocity
64,98.06170819706537,28.799999999999997,161.4141685010688,191.60000000000002,24.4,68.611001896,369.15200000000004,33.5793636983576,32000.0,27200.0,22375.4952999072,132078.99553600003,3374038.6655999995,4360000.0,3073600.0,12192.548824,522173.9476512086
27,91.95581102005919,19.200000000000003,164.86877047679093,197.0,22.6,42.799954,355.01399999999995,47.823624510313365,24300.0,40500.0,18725.144809483256,139948.65146400002,2331464.7016000003,2905600.0,7836000.0,22861.393600000003,1465910.5157532955
69,73.1004463747696,26.799999999999997,139.81416850106882,191.4,15.12,63.444041896,1001.606,70.6793636983576,26800.0,24800.0,28417.4952999072,1427407.240824,64624.473600000005,3769600.0,4041600.0,462865.90309599997,1674776.4556104224
125,201.20299801986306,44.6,178.333184882848,227.8,28.72,105.91196,737.34,10.24,44800.0,66400.0,19041.67534649392,305708.4904,3102601.6,2113600.0,126400.0,14637.676000000007,499437.84108355443
73,101.35085253855638,26.2,167.0141685010688,196.8,27.4,60.943732296,711.926,44.237949466464755,13800.0,12500.0,11873.025618914893,785927.7025840001,6802604.6656,3110400.0,3100000.0,24983.317816000002,399475.4237413681
11,161.70349128365854,27.400000000000002,171.2122904358975,220.8,25.54,61.32715999999999,805.96,16.99858576810716,27600.0,22000.0,6266.0,676612.4544,3179619.1464000004,3110400.0,3760000.0,10833.967104,266079.04000000004
119,188.71460354004418,36.400000000000006,156.6122904358975,222.6,18.02,85.6736,1016.36,25.69858576810716,10500.0,6800.0,3093.0,918925.9264,59141.85040000001,576000.0,198400.0,31135.770383999996,255560.64
110,156.23262414051945,34.2,170.33318488284797,223.20000000000002,25.22,77.3357,905.54,21.76,12800.0,29300.0,12002.83767324696,700378.6744,2175643.84,846400.0,4986400.0,145602.76959999997,42742.552683637805
113,70.50822380170608,18.4,154.81416850106882,189.60000000000002,22.759999999999998,40.231281896,844.206,64.5793636983576,11500.0,12000.0,14750.7476499536,1282361.449624,3340352.6656,3460000.0,3240000.0,423641.145976,1369669.7975084346
55,146.51640716874894,37.6,171.533184882848,222.4,27.060000000000002,86.31996000000001,1073.94,37.64,19100.0,34700.0,11772.83767324696,1427165.4424,3074546.16,1189600.0,402400.0,383494.9336,332458.7658713819
45,69.22252251530169,15.2,162.0141685010688,193.8,24.240000000000002,33.353601896,515.806,37.5793636983576,31600.0,22000.0,28765.4952999072,294538.19042400003,3290384.8576,4182400.0,3760000.0,113412.27877599999,1094015.6483230686
9,70.63457799019668,27.0,139.6141685010688,190.60000000000002,15.04,64.061680696,1025.606,72.6793636983576,14100.0,13700.0,14018.7476499536,1526738.1528240002,54334.80960000001,3769600.0,3750400.0,442338.511096,1523365.4198897174
4,78.5111773895272,17.8,157.0141685010688,194.2,22.918,39.480210696,690.206,52.5793636983576,12100.0,12300.0,14930.7476499536,711700.897624,3289346.8096000003,3205600.0,3146400.0,323100.27477599995,1520283.031349103
26,59.6620257092771,17.2,161.92085218684497,197.6,19.160000000000004,37.000502,1293.5140000000001,87.16316529382729,9264.675592658521,13193.216996573206,8347.618683153423,3855443.8734640004,2274084.3016,4650689.455349496,7593360.806912143,872889.8944,3894635.3638889417
124,188.52072604368567,32.4,183.533184882848,233.4,31.259999999999998,73.05156,742.74,5.04,39600.0,56400.0,25025.67534649392,316545.8584,3137985.3600000003,1094400.0,4406400.0,111750.66960000001,631842.7756151619
31,84.59240483249847,31.0,143.4141685010688,191.2,15.76,73.848681896,894.006,56.679363698357605,24400.0,24800.0,23797.4952999072,1038714.2920240001,44116.5696,4134400.0,4041600.0,217710.07677599997,617489.0213218479
98,189.25718389299675,38.4,175.333184882848,228.0,30.82,89.0494904,1010.0600000000001,20.76758774072156,63600.0,85800.0,44940.34692662476,1152703.6744000001,6616850.5600000005,1374400.0,3769600.0,140299.1496,1457420.3257638447
36,180.4786609572536,34.8,171.533184882848,226.20000000000002,28.0,79.56196,1011.94,20.94758774072156,42400.0,57200.0,28205.67534649392,1152498.0024,3142610.56,1374400.0,3769600.0,139637.116,1867865.8235781484
16,147.30175853467367,27.2,168.81229043589752,219.2,25.02,60.846360000000004,542.96,9.56,24400.0,20600.0,8456.0,139545.4144,3233984.0584,3174400.0,3894400.0,26890.657600000006,715642.24
10,107.15035453010964,29.0,164.2141685010688,194.2,24.88,69.368601896,589.206,37.1793636983576,17000.0,17000.0,10598.7476499536,440456.509624,3313565.0176,5440000.0,5440000.0,43657.78165600001,773358.7769170223
93,158.67219390227805,24.0,165.4122904358975,218.4,25.119999999999997,52.88956,955.96,20.46758774072156,31600.0,21800.0,14636.0,1230724.4544,3244900.2183999997,4182400.0,3769600.0,164029.84959999996,4053336.6400000006
111,95.34692245017716,28.0,142.0141685010688,193.0,16.42,66.801041896,1017.606,55.986951439079164,16300.0,12900.0,14698.7476499536,1493115.8488240002,45791.577600000004,4790400.0,3865600.0,209567.82517599998,2118569.547732241
42,192.24203304826787,36.0,187.333184882848,235.20000000000002,34.08,82.53909039999999,740.86,4.86,39600.0,56400.0,26780.231284416506,315739.3384,6313825.360000001,1094400.0,4406400.0,112329.0904,332987.0354527346
118,53.4546115662245,14.0,152.320852186845,201.8,15.8,28.784000000000002,1010.114,83.06362451031336,7800.0,4400.0,9672.5,1429665.8486640002,734882.1496,1910400.0,217600.0,522342.48960000003,4043033.5
127,125.87683217243614,35.2,154.0,239.8,19.82,82.3994,1906.6943999999999,28.540000000000003,25500.0,23700.0,48328.26238106898,3387479.24199424,4406400.0,1516000.0,513600.0,673457.4400000001,741502.584913204
96,94.58888504929534,31.6,152.06877047679092,198.6,16.98,75.856294,491.614,55.80362451031336,25800.0,25600.0,10119.429872988836,403637.466664,46291.98960000001,6745600.0,6654400.0,47334.4224,1334066.9201482078
