# c0 + a0 * (ave:covalent_radius_pyykko_triple^3)
# Property Label: $Volume$; Unit of the Property: AA^3
# RMSE: 15.9246841912428; Max AE: 40.3139961733254
# Coefficients
# Task   a0                      c0
# all ,  9.603640435800090e-05,  2.057683829393551e+01, 
# Feature Rung, Units, and Expressions
# 0;  1; pm^3;                                             18|cb; (ave:covalent_radius_pyykko_triple^3); $\left(ave:covalent_{radius, pyykko, triple}^3\right)$; (ave:covalent_radius_pyykko_triple).^3; ave:covalent_radius_pyykko_triple
# Number of Samples Per Task
# Task, n_samples               
# all , 103                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      
64          ,  9.806170819706536e+01,  7.545760086164431e+01,  5.714579063489961e+05
27          ,  9.195581102005920e+01,  7.800162377963861e+01,  5.979480996772550e+05
69          ,  7.310044637476960e+01,  7.391663352824979e+01,  5.554122480000000e+05
125         ,  2.012029980198630e+02,  2.046995171740966e+02,  1.917217539650854e+06
73          ,  1.013508525385564e+02,  9.449059996242616e+01,  7.696431594102348e+05
119         ,  1.887146035400442e+02,  1.569518576467613e+02,  1.420034624000000e+06
55          ,  1.465164071687489e+02,  1.729323362168133e+02,  1.586434841468374e+06
45          ,  6.922252251530169e+01,  8.045319773051101e+01,  6.234756479779340e+05
9           ,  7.063457799019668e+01,  7.161452106235586e+01,  5.314410000000000e+05
26          ,  5.966202570927710e+01,  7.208286569484817e+01,  5.363177406029324e+05
31          ,  8.459240483249847e+01,  8.873697529023266e+01,  7.097322880000001e+05
98          ,  1.892571838929967e+02,  1.842251368228998e+02,  1.704023590043233e+06
36          ,  1.804786609572536e+02,  1.745053067971407e+02,  1.602813740603995e+06
10          ,  1.071503545301096e+02,  9.065561580035238e+01,  7.297105506488959e+05
93          ,  1.586721939022781e+02,  1.376631704144693e+02,  1.219186962519586e+06
42          ,  1.922420330482679e+02,  2.003464873581682e+02,  1.871890667564918e+06
118         ,  5.345461156622450e+01,  6.756782279926303e+01,  4.893038720000000e+05
127         ,  1.258768321724361e+02,  1.526304407185269e+02,  1.375036928000000e+06
96          ,  9.458888504929534e+01,  8.338196079791102e+01,  6.539720320000000e+05
60          ,  6.700355961656858e+01,  7.439893638029274e+01,  5.604343316074312e+05
0           ,  1.324521624992106e+02,  1.506701411700217e+02,  1.354624881530646e+06
84          ,  1.874396857101914e+02,  1.622697291766358e+02,  1.475408120804928e+06
28          ,  9.362157646373184e+01,  7.843130778071075e+01,  6.024222780260235e+05
40          ,  1.876581343779474e+02,  2.011652856404721e+02,  1.880416583208861e+06
86          ,  6.540869502383295e+01,  7.558256353407079e+01,  5.727591074222958e+05
25          ,  1.397570909097410e+02,  1.622697291766358e+02,  1.475408120804928e+06
23          ,  1.776115625775598e+02,  1.585685100326469e+02,  1.436868369460306e+06
67          ,  1.178407975639319e+02,  1.416533077524056e+02,  1.260735137553940e+06
95          ,  7.035268214247002e+01,  7.913985611043410e+01,  6.098001919999999e+05
39          ,  6.690965549992833e+01,  7.509320471310657e+01,  5.676635519999999e+05
22          ,  8.942508557141944e+01,  7.734444507488888e+01,  5.911050831238664e+05
68          ,  1.728438327749059e+02,  1.408841919918117e+02,  1.252726552000000e+06
80          ,  1.635560662373134e+02,  2.038700624106387e+02,  1.908580661073374e+06
112         ,  7.423809586689029e+01,  8.166136950426814e+01,  6.360560000000000e+05
