# c0 + a0 * (ave:covalent_radius_pyykko * ave:covalent_radius_pyykko_triple)
# Property Label: $Volume$; Unit of the Property: AA^3
# RMSE: 14.9587090581678; Max AE: 51.1199415623066
# Coefficients
# Task   a0                      c0
# all ,  1.306249292543698e-02, -3.360028030417148e+01, 
# Feature Rung, Units, and Expressions
# 0;  1; pm^2;                                             27|18|mult; (ave:covalent_radius_pyykko * ave:covalent_radius_pyykko_triple); $\left(ave:covalent_{radius, pyykko} ave:covalent_{radius, pyykko, triple}\right)$; (ave:covalent_radius_pyykko .* ave:covalent_radius_pyykko_triple); ave:covalent_radius_pyykko,ave:covalent_radius_pyykko_triple
# Number of Samples Per Task
# Task, n_samples               
# all , 103                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      
64          ,  9.806170819706536e+01,  8.238545884952487e+01,  8.879295844657177e+03
27          ,  9.195581102005920e+01,  8.040903049668481e+01,  8.727990242876425e+03
125         ,  2.012029980198630e+02,  1.922856085799565e+02,  1.729270899310910e+04
73          ,  1.013508525385564e+02,  1.019089774114615e+02,  1.037392008471460e+04
11          ,  1.617034912836585e+02,  1.583811927075205e+02,  1.469715421914915e+04
119         ,  1.887146035400442e+02,  1.375946619777375e+02,  1.310584000000000e+04
110         ,  1.562326241405194e+02,  1.766643398075857e+02,  1.609682174084112e+04
113         ,  7.050822380170608e+01,  7.371428132482100e+01,  8.215473282287156e+03
9           ,  7.063457799019668e+01,  6.099045596608786e+01,  7.241400000000001e+03
4           ,  7.851117738952721e+01,  7.614511480858785e+01,  8.401565898577359e+03
124         ,  1.885207260436857e+02,  1.946263792130825e+02,  1.747190684197971e+04
31          ,  8.459240483249847e+01,  7.452790113429373e+01,  8.277760000000000e+03
36          ,  1.804786609572536e+02,  1.721618655447712e+02,  1.575213452925636e+04
16          ,  1.473017585346737e+02,  1.447204692456384e+02,  1.365135664131619e+04
10          ,  1.071503545301096e+02,  9.481959636208191e+01,  9.831192054939036e+03
111         ,  9.534692245017716e+01,  6.740466249219442e+01,  7.732440000000000e+03
42          ,  1.922420330482679e+02,  2.062678203932821e+02,  1.836311813270738e+04
118         ,  5.345461156622450e+01,  6.439140662415463e+01,  7.501760000000000e+03
127         ,  1.258768321724361e+02,  1.572646863245775e+02,  1.461168000000000e+04
96          ,  9.458888504929534e+01,  7.207215246431157e+01,  8.089760000000000e+03
60          ,  6.700355961656858e+01,  8.098863457595257e+01,  8.772361871062274e+03
40          ,  1.876581343779474e+02,  1.901860519836652e+02,  1.713197730060017e+04
86          ,  6.540869502383295e+01,  8.160558392801835e+01,  8.819592469049001e+03
24          ,  9.809953691058024e+01,  8.457753277533270e+01,  9.047110207376498e+03
25          ,  1.397570909097410e+02,  1.618001383947532e+02,  1.495889182978355e+04
23          ,  1.776115625775598e+02,  1.636213342604882e+02,  1.509831359836407e+04
115         ,  1.348472579215662e+02,  1.512537499339125e+02,  1.415151237158661e+04
44          ,  1.408716465187509e+02,  1.714918561073533e+02,  1.570084191296616e+04
15          ,  1.304908476901080e+02,  1.375128875755852e+02,  1.309957975529640e+04
95          ,  7.035268214247002e+01,  8.425893586402725e+01,  9.022719999999999e+03
22          ,  8.942508557141944e+01,  6.988683802478842e+01,  7.922463110195174e+03
140         ,  9.231264108905832e+01,  9.608036008013265e+01,  9.927709903809646e+03
47          ,  5.673059181818781e+01,  7.032282341173705e+01,  7.955840000000000e+03
30          ,  1.575095787725395e+02,  1.569512248564866e+02,  1.458768293681457e+04
112         ,  7.423809586689029e+01,  8.705012935233462e+01,  9.236400000000000e+03
76          ,  6.221586353440775e+01,  6.784669725279120e+01,  7.766279999999999e+03
137         ,  2.091771198782973e+02,  1.646319323345240e+02,  1.517568000000000e+04
33          ,  9.639831336185570e+01,  7.828562752728942e+01,  8.565432989715322e+03
81          ,  6.779890223639997e+01,  6.976220998696692e+01,  7.912922202610926e+03
142         ,  6.217869364696995e+01,  7.856196275223857e+01,  8.586587850929527e+03
62          ,  1.284855607921225e+02,  1.510805975613794e+02,  1.413825668038574e+04
139         ,  7.773399964038569e+01,  6.297020739386707e+01,  7.392959999999999e+03
135         ,  8.871171279800387e+01,  7.779304755370804e+01,  8.527723497630379e+03
53          ,  1.912036606685361e+02,  2.017941002153530e+02,  1.802063219197111e+04
5           ,  5.646241061036604e+01,  6.880966423125443e+01,  7.840000000000000e+03
85          ,  6.604743166171670e+01,  8.294060194978746e+01,  8.921794860995900e+03
109         ,  1.156360400954843e+02,  9.971679015741668e+01,  1.020609704614468e+04
49          ,  7.517971112473752e+01,  7.250843972802117e+01,  8.123160000000001e+03
35          ,  1.142981641844795e+02,  9.730448834654298e+01,  1.002142312328451e+04
77          ,  1.735436897724758e+02,  1.791857921970222e+02,  1.628985169337998e+04
34          ,  6.288448403712296e+01,  7.927490018040884e+01,  8.641166822358628e+03
131         ,  7.332445965687805e+01,  8.709715432686620e+01,  9.240000000000000e+03
43          ,  9.003176998171779e+01,  9.596137972187901e+01,  9.918601354703989e+03
70          ,  5.876522370994315e+01,  6.048036761340502e+01,  7.202350152808158e+03
129         ,  7.058438955216727e+01,  7.923621106757693e+01,  8.638204974796088e+03
13          ,  6.359044555550145e+01,  6.518868413064635e+01,  7.562795631639590e+03
108         ,  2.276117669121920e+02,  2.187375290951490e+02,  1.931773749771268e+04
114         ,  1.245825633863354e+02,  1.383329187315585e+02,  1.316235729405980e+04
3           ,  1.766257549836612e+02,  1.711300983111504e+02,  1.567314752122425e+04
17          ,  1.154201413293227e+02,  1.250290662831841e+02,  1.214388000000000e+04
38          ,  2.142336089710760e+02,  1.990752332465546e+02,  1.781248915340120e+04
72          ,  1.505744324222536e+02,  1.822324086643551e+02,  1.652308561624016e+04
120         ,  2.717063705144595e+02,  2.508720815690562e+02,  2.177780026347546e+04
6           ,  1.752395240612576e+02,  1.530567678577972e+02,  1.428954252664021e+04
101         ,  6.465769186928596e+01,  6.029918884047374e+01,  7.188480000000000e+03
2           ,  5.771548700058894e+01,  7.363338161875978e+01,  8.209279999999999e+03
122         ,  2.014000729838492e+02,  1.844791573410849e+02,  1.669508560809123e+04
54          ,  8.998190321387162e+01,  9.176955220963313e+01,  9.597695725420699e+03
50          ,  1.144884087492389e+02,  1.359102302380495e+02,  1.297688821803134e+04
104         ,  1.531720861969143e+02,  1.365069852390364e+02,  1.302257283615082e+04
61          ,  1.513414191693852e+02,  1.258488683391845e+02,  1.220664000000000e+04
136         ,  1.878481455563482e+02,  1.794988157316567e+02,  1.631381523054103e+04
91          ,  7.059248384925451e+01,  6.681998530885187e+01,  7.687679999999999e+03
41          ,  8.588925575648324e+01,  8.745635348278375e+01,  9.267498514867562e+03
58          ,  2.413589823761019e+02,  2.434771596633354e+02,  2.121168153346485e+04
90          ,  1.323141358213091e+02,  1.346728435601757e+02,  1.288216000000000e+04
48          ,  1.506649136932021e+02,  1.550140778824208e+02,  1.443938452355430e+04
88          ,  1.252802886728060e+02,  1.457867008615727e+02,  1.373298207238977e+04
126         ,  7.603223118739854e+01,  8.721785176149724e+01,  9.249240000000000e+03
