# c0 + a0 * (min:gs_volume_per * min:fusion_enthalpy) + a1 * (ave:gs_volume_per * ave:atomic_number)
# Property Label: $Volume$; Unit of the Property: AA^3
# RMSE: 10.4839130633587; Max AE: 24.7662633314139
# Coefficients
# Task   a0                      a1                      c0
# all ,  1.106562900294744e+00,  4.236997369788459e-02,  5.475584314823193e+01, 
# Feature Rung, Units, and Expressions
# 0;  1; KJ * cm^3 * mol^-2;                               7|4|mult; (min:gs_volume_per * min:fusion_enthalpy); $\left(min:gs_{volume, per} min:fusion_{enthalpy}\right)$; (min:gs_volume_per .* min:fusion_enthalpy); min:gs_volume_per,min:fusion_enthalpy
# 1;  1; cm^3 * mol^-1;                                    21|19|mult; (ave:gs_volume_per * ave:atomic_number); $\left(ave:gs_{volume, per} ave:atomic_{number}\right)$; (ave:gs_volume_per .* ave:atomic_number); ave:gs_volume_per,ave:atomic_number
# Number of Samples Per Task
# Task, n_samples               
# all , 103                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      
64          ,  9.806170819706536e+01,  9.290260006727313e+01,  2.475412500000000e+00,  8.356756965696001e+02
27          ,  9.195581102005920e+01,  8.030964522323367e+01,  2.003100000000000e+00,  5.507968000128001e+02
125         ,  2.012029980198630e+02,  1.978518786263393e+02,  5.893290000000000e+01,  1.838166700000000e+03
73          ,  1.013508525385564e+02,  9.504894444422757e+01,  2.475412500000000e+00,  8.863329000000001e+02
11          ,  1.617034912836585e+02,  1.573083968471957e+02,  5.312940000000000e+01,  1.032843000000000e+03
119         ,  1.887146035400442e+02,  1.794832513538375e+02,  7.763200000000001e+01,  9.162790000000001e+02
110         ,  1.562326241405194e+02,  1.485002422138686e+02,  3.813054999999999e+01,  1.216676400022800e+03
113         ,  7.050822380170608e+01,  7.779056524875514e+01,  2.475412500000000e+00,  4.790072000000000e+02
9           ,  7.063457799019668e+01,  7.265919281517014e+01,  2.475412500000000e+00,  3.578985000000000e+02
4           ,  7.851117738952721e+01,  7.715403295257191e+01,  2.475412500000000e+00,  4.639840069076000e+02
124         ,  1.885207260436857e+02,  1.857573014552629e+02,  6.456120000000000e+01,  1.405722600000000e+03
31          ,  8.459240483249847e+01,  7.650422555827947e+01,  2.475412500000000e+00,  4.486475000000000e+02
36          ,  1.804786609572536e+02,  1.701237216365033e+02,  5.038095000000000e+01,  1.407085800000000e+03
