# FEAT_ID     Score                   Feature Expression
0             0.777485717913016128    (max:en_allen / ave:covalent_radius_pyykko_triple)
1             0.777617165837532598    (min:vdw_radius_alvarez / max:mendeleev_number)
2             0.777687272252408746    cbrt(min:vdw_radius_alvarez)
3             0.777760318040047416    (ave:covalent_radius_pyykko * max:mendeleev_number)
4             0.777896859730931589    (min:fusion_enthalpy / ave:heat_capacity_mass)
5             0.778695791656747405    (min:period^2)
6             0.779106709798930264    (min:covalent_radius_slater / min:vdw_radius)
7             0.779185417131850966    sqrt(min:vdw_radius_alvarez)
8             0.779393671105520491    (max:en_allen * min:melting_point)
9             0.779419070644045697    (max:en_ghosh / min:covalent_radius_pyykko_double)
10            0.77956485957900945     min:melting_point
11            0.779760553854421556    (min:vdw_radius_mm3 * min:melting_point)
12            0.779769946423777505    (min:covalent_radius_cordero / min:vdw_radius)
13            0.780087093176260016    (max:mendeleev_number / ave:covalent_radius_slater)
14            0.780094357672470817    (min:c6_gb / ave:covalent_radius_pyykko_triple)
15            0.780496794050661191    (ave:atomic_number * min:covalent_radius_cordero)
16            0.780783637569194111    (min:gs_volume_per * min:atomic_number)
17            0.780876937485415867    (1.0 / min:atomic_radius_rahm)
18            0.780932601811305194    (max:mendeleev_number * min:c6_gb)
19            0.780978688296568579    (min:vdw_radius - min:covalent_radius_slater)
20            0.781068373303579699    cbrt(min:boiling_point)
21            0.781120381679235809    cbrt(min:covalent_radius_slater)
22            0.781615000531381443    (min:covalent_radius_slater / min:vdw_radius_alvarez)
23            0.781768860469051918    (ave:atomic_number * min:covalent_radius_pyykko)
24            0.782015675941454491    (ave:heat_capacity_mass / min:covalent_radius_pyykko_double)
25            0.782444555076291737    (ave:covalent_radius_slater * min:fusion_enthalpy)
26            0.783209444751430062    (min:vdw_radius_mm3 + min:vdw_radius_alvarez)
27            0.783285791082985017    (min:vdw_radius * min:melting_point)
28            0.783540432288161504    min:vdw_radius_alvarez
29            0.783603024664066172    (min:Polarizability / max:en_ghosh)
30            0.783850171666402029    (max:mendeleev_number / min:vdw_radius)
31            0.78412039287124069     (min:c6_gb / ave:covalent_radius_pyykko)
32            0.784446254367433093    (min:vdw_radius_alvarez * min:melting_point)
33            0.784752013654505309    (min:Polarizability / max:en_allen)
34            0.784800730098207833    (min:covalent_radius_pyykko_double / min:melting_point)
35            0.784963063973074582    (min:atomic_radius_rahm * min:melting_point)
36            0.785427132690644236    (min:vdw_radius_mm3^3)
37            0.785864737895672794    (min:c6_gb / min:boiling_point)
38            0.786137711593236643    (min:gs_volume_per * min:boiling_point)
39            0.786274052875105989    (ave:heat_capacity_mass / min:melting_point)
40            0.786389196239690502    (ave:heat_capacity_mass / min:covalent_radius_pyykko_triple)
41            0.786469361852431992    (min:vdw_radius_alvarez * max:mendeleev_number)
42            0.786891345876089332    (min:c6_gb / min:covalent_radius_pyykko_double)
43            0.786917204648131308    (max:mendeleev_number * min:melting_point)
44            0.78695033806393444     cbrt(ave:covalent_radius_pyykko)
45            0.787079944570140744    (min:period / min:vdw_radius)
46            0.787129572849175951    (min:covalent_radius_cordero * min:melting_point)
47            0.7872008969601898      cbrt(min:covalent_radius_cordero)
48            0.78734194255745249     (max:en_ghosh * min:melting_point)
49            0.787839314615043307    (ave:heat_capacity_mass / min:boiling_point)
50            0.788170693911253051    sqrt(min:covalent_radius_slater)
51            0.788213832094023403    (min:vdw_radius / ave:covalent_radius_pyykko_triple)
52            0.788358161599687524    (min:c6_gb / ave:covalent_radius_slater)
53            0.788471780380775367    (ave:gs_volume_per * min:Polarizability)
54            0.788560115234023806    (min:c6_gb / min:covalent_radius_pyykko_triple)
55            0.788709919428347006    (min:dipole_polarizability * min:atomic_number)
56            0.789304493671472818    (min:covalent_radius_cordero / min:boiling_point)
57            0.789741566261281891    (min:c6_gb / min:vdw_radius_alvarez)
58            0.789834227294359481    sqrt(ave:covalent_radius_pyykko)
59            0.790064331909934747    (min:vdw_radius + min:vdw_radius_mm3)
60            0.79056690752039771     (min:covalent_radius_pyykko * min:melting_point)
61            0.790749797616169148    (min:vdw_radius_mm3 + min:covalent_radius_cordero)
62            0.790844508140634228    (min:vdw_radius_mm3 + min:atomic_radius_rahm)
63            0.791488763100265613    (min:vdw_radius_alvarez^2)
64            0.791924860486608928    (min:vdw_radius_mm3 + min:covalent_radius_slater)
65            0.792027235914622874    (max:mendeleev_number / min:boiling_point)
66            0.792336352293976254    (min:covalent_radius_pyykko_triple * min:melting_point)
67            0.792341138684926061    (min:c6_gb / min:atomic_radius_rahm)
68            0.792355791969189482    (min:atomic_weight * min:fusion_enthalpy)
69            0.792419359111695032    (min:covalent_radius_slater / min:vdw_radius_mm3)
70            0.792426807698514479    (max:mendeleev_number * ave:covalent_radius_slater)
71            0.792488222904685014    sqrt(min:covalent_radius_cordero)
72            0.79300484991760356     (min:vdw_radius_mm3 * ave:gs_volume_per)
73            0.79305278939768209     (ave:covalent_radius_pyykko * min:fusion_enthalpy)
74            0.793095723885386183    (ave:covalent_radius_slater * min:melting_point)
75            0.793144883984826077    (min:c6_gb / min:vdw_radius)
76            0.79323976010411712     (min:vdw_radius * ave:gs_volume_per)
77            0.793332087663889962    (ave:covalent_radius_pyykko * min:melting_point)
78            0.793503448186433924    (min:vdw_radius_mm3^6)
79            0.793761008465829421    (min:vdw_radius_mm3 - min:covalent_radius_slater)
80            0.793847683822997752    (min:covalent_radius_pyykko_triple / min:melting_point)
81            0.794459922815594077    (max:mendeleev_number / min:melting_point)
82            0.794762554278979128    (min:vdw_radius_mm3 * min:vdw_radius_alvarez)
83            0.794815517088074075    cbrt(min:Polarizability)
84            0.794834158332014762    (1.0 / min:boiling_point)
85            0.795151488653467187    (min:covalent_radius_slater * min:melting_point)
86            0.795165820629797571    (min:vdw_radius_mm3 * min:Polarizability)
87            0.795196175579445885    sin(min:period)
88            0.795370195960863002    (min:c6_gb / min:covalent_radius_cordero)
89            0.79551040123163741     (min:c6_gb / min:vdw_radius_mm3)
90            0.795550617616852862    (min:covalent_radius_slater * min:Polarizability)
91            0.795638231264562568    (ave:covalent_radius_slater * min:dipole_polarizability)
92            0.795722198128706926    (min:covalent_radius_pyykko / min:melting_point)
93            0.795967124970298978    (min:period / min:vdw_radius_mm3)
94            0.795979119313084627    (ave:atomic_number * min:covalent_radius_slater)
95            0.79619477804610328     (min:c6_gb / min:covalent_radius_pyykko)
