# FEAT_ID     Feature Postfix Expression (RPN)
0             17|18|div
1             25|24|div
2             25|cbrt
3             27|24|mult
4             4|23|div
5             12|sq
6             10|29|div
7             25|sqrt
8             17|1|mult
9             28|11|div
10            1
11            26|1|mult
12            14|29|div
13            24|22|div
14            0|18|div
15            19|14|mult
16            7|3|mult
17            20|inv
18            24|0|mult
19            29|10|sub
20            6|cbrt
21            10|cbrt
22            10|25|div
23            19|13|mult
24            23|11|div
25            22|4|mult
26            26|25|add
27            29|1|mult
28            25
29            2|28|div
30            24|29|div
31            0|27|div
32            25|1|mult
33            2|17|div
34            11|1|div
35            20|1|mult
36            26|cb
37            0|6|div
38            7|6|mult
39            23|1|div
40            23|8|div
41            25|24|mult
42            0|11|div
43            24|1|mult
44            27|cbrt
45            12|29|div
46            14|1|mult
47            14|cbrt
48            28|1|mult
49            23|6|div
50            10|sqrt
51            29|18|div
52            0|22|div
53            21|2|mult
54            0|8|div
55            5|3|mult
56            14|6|div
57            0|25|div
58            27|sqrt
59            29|26|add
60            13|1|mult
61            26|14|add
62            26|20|add
63            25|sq
64            26|10|add
65            24|6|div
66            8|1|mult
67            0|20|div
68            15|4|mult
69            10|26|div
70            24|22|mult
71            14|sqrt
72            26|21|mult
73            27|4|mult
74            22|1|mult
75            0|29|div
76            29|21|mult
77            27|1|mult
78            26|sp
79            26|10|sub
80            8|1|div
81            24|1|div
82            26|25|mult
83            2|cbrt
84            6|inv
85            10|1|mult
86            26|2|mult
87            12|sin
88            0|14|div
89            0|26|div
90            10|2|mult
91            22|5|mult
92            13|1|div
93            12|26|div
94            19|10|mult
95            0|13|div
96            5|1|mult
97            27
98            19|11|mult
99            1|inv
100           14|28|div
101           22|cbrt
102           25|2|mult
103           11|1|mult
104           0|12|div
105           29|2|mult
106           25|cb
107           29|13|sub
108           0|10|div
109           14|26|div
110           25|6|div
111           20|24|div
112           28|18|div
113           22|sqrt
114           20|2|mult
115           28|11|mult
116           29|inv
117           13|2|mult
118           20|cbrt
119           14|2|mult
120           21|28|div
121           12|28|div
122           22|cb
123           16|4|mult
124           2|24|div
125           29|6|div
126           29|26|mult
127           25|20|add
128           2|20|div
129           18|1|mult
130           20|sqrt
131           10|5|mult
132           26|20|mult
133           25|21|mult
134           25|10|add
135           22|28|div
136           29|12|div
137           17|0|mult
138           14|17|div
139           29|24|div
140           22|2|mult
141           20|6|div
142           22
143           27|5|mult
144           2|sqrt
145           17|7|div
146           2
147           19|8|mult
148           2|25|div
149           10|28|div
150           17|8|mult
151           27|cb
152           26|12|div
153           2|29|div
154           26|6|div
155           13|5|mult
156           27|sq
157           21|23|div
158           25|23|div
159           29|25|add
160           14|24|div
161           21|1|mult
162           28|0|mult
163           25|14|add
164           22|sq
165           25|sp
166           18|5|mult
167           8|2|mult
168           29|1|div
169           27|22|add
170           11|5|mult
171           14
172           11|2|mult
173           24|2|mult
174           10|24|div
175           27|24|div
176           24|10|mult
177           10|17|div
178           12|23|div
179           10
180           24|14|mult
181           7|sq
182           14|10|add
183           1|sqrt
184           4|1|mult
185           14|5|mult
186           21|20|mult
187           29|23|div
188           27|2|mult
189           28|10|mult
190           20|10|add
191           2|26|div
192           22|24|div
193           20
194           4|3|mult
195           27|28|div
196           26|23|div
197           20|14|add
198           10|1|div
199           22|17|div
200           21|12|mult
201           28|13|mult
202           27|22|mult
203           25|20|mult
204           20|1|div
205           26|14|mult
206           26|12|mult
207           25|1|div
208           29|10|add
209           29|cbrt
210           29|14|add
211           23|7|div
212           1|23|div
213           1|cbrt
214           26|1|div
215           29|20|add
216           12|17|div
217           29|sqrt
218           8|5|mult
219           12|24|div
220           12|4|mult
221           29|25|mult
222           24|12|mult
223           4|0|mult
224           12
225           14|12|mult
226           26|10|mult
227           28|7|div
228           20|23|div
229           29
230           24|20|mult
231           21|17|div
232           27|17|div
233           14|1|div
234           18|2|mult
235           26|22|add
236           18|29|div
237           19|4|mult
238           25|10|mult
239           17|2|mult
240           28|14|mult
241           20|sq
242           25|14|mult
243           24|8|div
244           29|12|mult
245           29|14|mult
246           28|2|mult
247           26|13|add
248           17|14|mult
249           29|20|mult
250           20|14|mult
251           26|8|add
252           0|cbrt
253           22|12|mult
254           29|10|mult
255           14|cb
256           14|sq
257           29|sq
258           12|10|mult
259           24|13|div
260           26|11|div
261           20|10|mult
262           20|12|mult
263           17|10|mult
264           8|inv
265           12|sqrt
266           26|22|mult
267           13|28|div
268           0|sqrt
269           29|8|sub
270           12|nexp
271           21|18|mult
272           26|11|add
273           13|17|div
274           27|26|add
275           29|sp
276           12|cbrt
277           29|cb
278           21|5|mult
279           13|12|mult
280           19|7|mult
281           4|2|mult
282           20|cb
283           14|10|mult
284           27|12|mult
285           12|8|mult
286           25|13|add
287           13|inv
288           29|24|mult
289           20|11|div
290           24|12|div
291           22|23|div
292           24|11|div
293           24|7|mult
294           14|8|add
295           12|log
296           25|8|add
297           10|8|add
298           25|12|mult
299           14|13|add
300           10|sq
301           13|10|add
302           10|23|div
303           29|8|div
304           12|11|mult
305           0|2|div
306           26|8|div
307           8|28|div
308           12|inv
309           26|13|div
310           25|22|add
311           29|11|div
312           7|inv
313           25|11|add
314           8|17|div
315           20|13|add
316           22|14|add
317           12|5|mult
318           20|8|add
319           28|8|mult
320           27|26|mult
321           29|13|div
322           10|cb
323           20|sp
324           11|inv
325           11|10|add
326           14|11|add
327           7
328           22|14|mult
329           22|10|add
330           11|17|div
331           24|7|div
332           20|8|div
333           11|28|div
334           20|13|div
335           22|20|add
336           25|22|mult
337           29|22|mult
338           20|11|add
339           22|10|mult
340           14|23|div
341           29|22|add
342           7|24|div
343           25|8|div
344           21|14|mult
345           13|23|div
346           14|13|mult
347           22|20|mult
348           29|8|add
349           27|23|div
350           14|8|mult
351           29|13|add
352           7|sqrt
353           21|7|mult
354           7|cbrt
355           26|13|mult
356           19|5|mult
357           13|10|mult
358           8|cbrt
359           14|11|mult
360           21|13|mult
361           8|cb
362           18|23|div
363           26|8|mult
364           27|25|add
365           10|8|mult
366           25|11|div
367           11|23|div
368           8|sqrt
369           27|14|add
370           8|29|div
371           7|2|mult
372           29|11|add
373           7|1|mult
374           27|14|mult
375           8|25|div
376           11|10|mult
377           21|10|mult
378           18|12|mult
379           8|20|div
380           25|13|mult
381           13|cbrt
382           8|24|div
383           11|20|div
384           27|10|add
385           11|26|div
386           13|24|div
387           13|sqrt
388           18|17|div
389           13|cb
390           25|8|mult
391           21|11|mult
392           27|20|add
393           26|18|add
394           8|26|div
395           11|29|div
396           20|13|mult
397           27|10|mult
398           26|11|mult
399           8
400           29|27|mult
401           13|29|div
402           27|25|mult
403           20|8|mult
404           29|8|mult
405           18|28|div
406           29|13|mult
407           11|cbrt
408           29|27|add
409           13|20|div
410           11|cb
411           21|8|mult
412           13|8|add
413           7|4|mult
414           25|11|mult
415           24|8|mult
416           11|sqrt
417           13
418           27|20|mult
419           8|sq
420           8|23|div
421           11|8|add
422           11|24|div
423           25|13|div
424           11|25|div
425           13|26|div
426           13|25|div
427           13|8|mult
428           20|11|mult
429           13|11|add
430           13|sq
431           29|11|mult
432           11|8|mult
433           24|13|mult
434           11
435           22|8|add
436           18|10|add
437           18|14|add
438           22|13|add
439           22|8|mult
440           13|11|mult
441           24|11|mult
442           7|28|div
443           22|13|mult
444           11|sq
445           18|14|mult
446           7|23|div
447           18|10|mult
448           25|18|add
449           22|11|add
450           18|sp
451           21|7|add
452           27|7|mult
453           20|18|add
454           22|11|mult
455           26|7|mult
456           25|7|mult
457           7|17|div
458           29|7|mult
459           7|5|mult
460           27|13|add
461           27|8|add
462           22|7|mult
463           27|8|mult
464           20|7|mult
465           22|18|add
466           27|13|mult
467           12|7|mult
468           27|11|add
469           22|18|mult
470           29|18|add
471           27|11|mult
472           21|4|mult
473           26|18|mult
474           18|8|mult
475           24|18|div
476           18|8|add
477           27|18|add
478           18|13|mult
479           18|13|add
480           25|18|mult
481           20|18|mult
482           18|11|mult
483           18|inv
484           18|11|add
485           14|7|mult
486           27|18|mult
487           29|18|mult
488           18|7|mult
489           10|7|mult
490           13|7|mult
491           18|24|div
492           11|7|mult
493           18|cbrt
494           18|sqrt
495           8|7|mult
496           18|cb
497           18
498           18|sq
499           24|18|mult
#-----------------------------------------------------------------------
500           13|14|div
501           12|3|abd
502           16|5|mult
503           13|15|div
504           10|15|div
505           14|13|div
506           3|exp
507           21|16|mult
508           24|3|mult
509           19|exp
510           11|21|div
511           19|cb
512           26|16|mult
513           20|16|mult
514           20|12|div
515           29|27|sub
516           15|9|mult
517           24|4|div
518           21|6|div
519           15|25|div
520           11|4|div
521           19|8|div
522           18|16|mult
523           19|12|div
524           17|15|div
525           4|inv
526           0|4|div
527           15|29|div
528           3|25|div
529           19|11|div
530           21|sq
531           16|9|div
532           29|16|mult
533           15|22|div
534           3|sp
535           4|sp
536           27|21|mult
537           4|21|div
538           29|3|div
539           25|16|mult
540           20|3|div
541           25|3|div
542           3|29|div
543           25|18|sub
544           3|22|div
545           27|inv
546           29|28|mult
547           12|4|div
548           28|15|div
549           15|sp
550           5|9|div
551           12|11|div
552           8|4|div
553           21|cb
554           22|21|mult
555           15|26|div
556           15|20|div
557           15|27|div
558           23|1|mult
559           13|4|div
560           24|3|div
561           29|4|div
562           3|27|div
563           24|12|add
564           3|11|div
565           16|24|div
566           15|11|div
567           3|20|div
568           3|26|div
569           3|1|div
570           3|inv
571           3|8|div
572           21|2|div
573           5|23|div
574           15|8|div
575           14|11|sub
576           19|16|abd
577           24|3|add
578           25|13|sub
579           7|9|div
580           3|2|div
581           16|3|sub
582           16|5|div
583           14|15|div
584           24|16|sub
585           25|4|div
586           0|cb
587           16|12|add
588           16
589           16|12|sub
590           19|16|mult
591           24|16|add
592           16|3|add
593           22|15|div
594           4|cbrt
595           16|sp
596           20|4|div
597           19|16|add
598           2|1|div
599           26|22|sub
600           3|sqrt
601           26|3|div
602           12|3|div
603           9|4|mult
604           27|15|div
605           24|16|mult
606           19|22|div
607           4|sqrt
608           26|4|div
609           6|19|div
610           23|3|div
611           15|13|div
612           26|19|mult
613           6|sp
614           22|inv
615           4|12|div
616           14|4|mult
617           19|13|div
618           15|sqrt
619           18|19|div
620           26|14|sub
621           20|19|mult
622           22|19|div
