# c0 + a0 * (max:mendeleev_number * ave:covalent_radius_pyykko_triple)
# Property Label: $Volume$; Unit of the Property: AA^3
# RMSE: 15.7494687512315; Max AE: 37.0367918121646
# Coefficients
# Task   a0                      c0
# all ,  3.208268537933178e-02, -1.962882734689250e+02, 
# Feature Rung, Units, and Expressions
# 0;  1; pm;                                               24|18|mult; (max:mendeleev_number * ave:covalent_radius_pyykko_triple); $\left(max:mendeleev_{number} ave:covalent_{radius, pyykko, triple}\right)$; (max:mendeleev_number .* ave:covalent_radius_pyykko_triple); max:mendeleev_number,ave:covalent_radius_pyykko_triple
# Number of Samples Per Task
# Task, n_samples               
# all , 103                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      
64          ,  9.806170819706536e+01,  7.527162192698823e+01,  8.464375478084412e+03
27          ,  9.195581102005920e+01,  7.670162866007381e+01,  8.508948016703851e+03
69          ,  7.310044637476960e+01,  7.270579382554439e+01,  8.384400000000000e+03
125         ,  2.012029980198630e+02,  1.943012460300803e+02,  1.217446466468888e+04
73          ,  1.013508525385564e+02,  1.036054354646385e+02,  9.347525164672163e+03
11          ,  1.617034912836585e+02,  1.633488089938146e+02,  1.120969389596121e+04
119         ,  1.887146035400442e+02,  1.607150163581273e+02,  1.112760000000000e+04
110         ,  1.562326241405194e+02,  1.836671936243343e+02,  1.184300698650473e+04
113         ,  7.050822380170608e+01,  6.625658341494560e+01,  8.183381589778221e+03
55          ,  1.465164071687489e+02,  1.704060619595540e+02,  1.142966466468888e+04
45          ,  6.922252251530169e+01,  8.327323974014317e+01,  8.713781589778220e+03
9           ,  7.063457799019668e+01,  6.877887313511420e+01,  8.262000000000000e+03
4           ,  7.851117738952721e+01,  6.756555697842231e+01,  8.224181589778220e+03
26          ,  5.966202570927710e+01,  6.698057499013628e+01,  8.205948016703851e+03
124         ,  1.885207260436857e+02,  1.836112952616870e+02,  1.184126466468888e+04
98          ,  1.892571838929967e+02,  1.792509659068523e+02,  1.170535555037129e+04
36          ,  1.804786609572536e+02,  1.716637032264238e+02,  1.146886466468888e+04
16          ,  1.473017585346737e+02,  1.408753799705422e+02,  1.050920923398369e+04
93          ,  1.586721939022781e+02,  1.430212195374699e+02,  1.057609389596121e+04
111         ,  9.534692245017716e+01,  8.055963520640478e+01,  8.629199999999999e+03
42          ,  1.922420330482679e+02,  1.911985579421154e+02,  1.207775555037129e+04
127         ,  1.258768321724361e+02,  1.390656202641543e+02,  1.045280000000000e+04
96          ,  9.458888504929534e+01,  8.497421271460085e+01,  8.766799999999999e+03
60          ,  6.700355961656858e+01,  7.086899645811125e+01,  8.327148016703850e+03
0           ,  1.324521624992106e+02,  1.551471945312776e+02,  1.095405399657110e+04
84          ,  1.874396857101914e+02,  1.652963581874056e+02,  1.127039795394651e+04
28          ,  9.362157646373184e+01,  8.009041959396602e+01,  8.614574802424080e+03
40          ,  1.876581343779474e+02,  1.917859634963407e+02,  1.209606466468888e+04
86          ,  6.540869502383295e+01,  7.281320719209883e+01,  8.387748016703852e+03
24          ,  9.809953691058024e+01,  7.923630010170966e+01,  8.587952358505885e+03
23          ,  1.776115625775598e+02,  1.621201723348517e+02,  1.117139795394651e+04
115         ,  1.348472579215662e+02,  1.576316744592176e+02,  1.103149389596121e+04
67          ,  1.178407975639319e+02,  1.468326425605345e+02,  1.069489389596121e+04
44          ,  1.408716465187509e+02,  1.754366270270332e+02,  1.158646466468888e+04
15          ,  1.304908476901080e+02,  1.360336106618514e+02,  1.035829389596121e+04
95          ,  7.035268214247002e+01,  7.849351026797584e+01,  8.564799999999999e+03
39          ,  6.690965549992833e+01,  7.201280782135080e+01,  8.362799999999999e+03
68          ,  1.728438327749059e+02,  1.461045614363796e+02,  1.067220000000000e+04
80          ,  1.635560662373134e+02,  1.937138404758550e+02,  1.215615555037129e+04
140         ,  9.231264108905832e+01,  8.720016043057336e+01,  8.836181589778220e+03
47          ,  5.673059181818781e+01,  6.358789464073833e+01,  8.100200000000001e+03
30          ,  1.575095787725395e+02,  1.526062458492345e+02,  1.087485399657110e+04
112         ,  7.423809586689029e+01,  8.238193173595087e+01,  8.686000000000000e+03
76          ,  6.221586353440775e+01,  8.055963520640478e+01,  8.629199999999999e+03
137         ,  2.091771198782973e+02,  1.860346716594960e+02,  1.191680000000000e+04
33          ,  9.639831336185570e+01,  7.271185472850452e+01,  8.384588915076418e+03
142         ,  6.217869364696995e+01,  7.022092621344879e+01,  8.306948016703851e+03
62          ,  1.284855607921225e+02,  1.512793027541099e+02,  1.083349389596121e+04
135         ,  8.871171279800387e+01,  6.999427937071091e+01,  8.299883556853994e+03
53          ,  1.912036606685361e+02,  1.993732261767691e+02,  1.233255555037129e+04
5           ,  5.646241061036604e+01,  6.293982439607581e+01,  8.080000000000000e+03
85          ,  6.604743166171670e+01,  8.071347254165946e+01,  8.633995026770226e+03
77          ,  1.735436897724758e+02,  1.748492214728079e+02,  1.156815555037129e+04
34          ,  6.288448403712296e+01,  6.886717618710961e+01,  8.264752358505884e+03
7           ,  6.154031610112789e+01,  6.682824586405084e+01,  8.201200000000001e+03
43          ,  9.003176998171779e+01,  9.771505442899324e+01,  9.163925164672164e+03
70          ,  5.876522370994315e+01,  4.937640156662192e+01,  7.657235425617094e+03
89          ,  1.845971359160373e+02,  1.575388305055735e+02,  1.102860000000000e+04
83          ,  8.685815788108755e+01,  9.080684491656335e+01,  8.948599999999999e+03
123         ,  2.218543389191891e+02,  1.959172755554850e+02,  1.222483543341654e+04
129         ,  7.058438955216727e+01,  7.869183226797460e+01,  8.570981589778221e+03
8           ,  1.379771288780131e+02,  1.350459471104867e+02,  1.032750895574542e+04
114         ,  1.245825633863354e+02,  1.360336106618514e+02,  1.035829389596121e+04
17          ,  1.154201413293227e+02,  1.524569331414873e+02,  1.087020000000000e+04
72          ,  1.505744324222536e+02,  1.779933246399824e+02,  1.166615555037129e+04
6           ,  1.752395240612576e+02,  1.544554886066638e+02,  1.093249389596121e+04
101         ,  6.465769186928596e+01,  7.597822773423623e+01,  8.486400000000000e+03
2           ,  5.771548700058894e+01,  6.553210537472579e+01,  8.160799999999999e+03
122         ,  2.014000729838492e+02,  1.829824746282520e+02,  1.182166466468888e+04
54          ,  8.998190321387162e+01,  8.464039323208965e+01,  8.756395026770226e+03
50          ,  1.144884087492389e+02,  1.443481626325945e+02,  1.061745399657110e+04
104         ,  1.531720861969143e+02,  1.405367396095298e+02,  1.049865399657110e+04
46          ,  6.638274984747244e+01,  7.767423951808351e+01,  8.539263772586190e+03
105         ,  6.260542136940490e+01,  6.743140034918220e+01,  8.219999999999998e+03
61          ,  1.513414191693852e+02,  1.486455101184227e+02,  1.075140000000000e+04
141         ,  5.908637035915022e+01,  5.132061230060947e+01,  7.717835425617095e+03
79          ,  6.172344219415545e+01,  6.892478572412379e+01,  8.266548016703851e+03
136         ,  1.878481455563482e+02,  1.665668325284271e+02,  1.130999795394651e+04
41          ,  8.588925575648324e+01,  8.981810755752684e+01,  8.917781589778220e+03
90          ,  1.323141358213091e+02,  1.632559650401705e+02,  1.120680000000000e+04
88          ,  1.252802886728060e+02,  1.487948228261698e+02,  1.075605399657110e+04
126         ,  7.603223118739854e+01,  8.173386149128834e+01,  8.665799999999999e+03
57          ,  1.280373015126955e+02,  1.335491307339114e+02,  1.028085399657110e+04
75          ,  9.416246053996996e+01,  8.045099344066095e+01,  8.625813694755931e+03
32          ,  2.470528593513509e+02,  2.146303909226167e+02,  1.280811314679608e+04
59          ,  7.370978119031361e+01,  6.711146397920547e+01,  8.210027755900293e+03
63          ,  9.527186437700378e+01,  8.106634555584867e+01,  8.644993888306191e+03
128         ,  1.127928271848657e+02,  8.981810755752684e+01,  8.917781589778220e+03
37          ,  6.740982957627959e+01,  7.654929953398837e+01,  8.504200000000001e+03
107         ,  5.684900711217347e+01,  4.937640156662192e+01,  7.657235425617094e+03
134         ,  2.189143114936079e+02,  1.949714817427248e+02,  1.219535555037129e+04
1           ,  6.589429488532184e+01,  7.063966888711538e+01,  8.319999999999998e+03
