# c0 + a0 * (ave:gs_volume_per * ave:atomic_number) + a1 * (min:gs_volume_per * min:fusion_enthalpy)
# Property Label: $Volume$; Unit of the Property: AA^3
# RMSE: 10.507614232705; Max AE: 23.728617353566
# Coefficients
# Task   a0                      a1                      c0
# all ,  4.184763055075322e-02,  1.205577385170399e+00,  5.244236851146712e+01, 
# Feature Rung, Units, and Expressions
# 0;  1; cm^3 * mol^-1;                                    21|19|mult; (ave:gs_volume_per * ave:atomic_number); $\left(ave:gs_{volume, per} ave:atomic_{number}\right)$; (ave:gs_volume_per .* ave:atomic_number); ave:gs_volume_per,ave:atomic_number
# 1;  1; KJ * cm^3 * mol^-2;                               7|4|mult; (min:gs_volume_per * min:fusion_enthalpy); $\left(min:gs_{volume, per} min:fusion_{enthalpy}\right)$; (min:gs_volume_per .* min:fusion_enthalpy); min:gs_volume_per,min:fusion_enthalpy
# Number of Samples Per Task
# Task, n_samples               
# all , 103                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      
64          ,  9.806170819706536e+01,  9.039771765072321e+01,  8.356756965696001e+02,  2.475412500000000e+00
27          ,  9.195581102005920e+01,  7.790680156717470e+01,  5.507968000128001e+02,  2.003100000000000e+00
69          ,  7.310044637476960e+01,  7.040171889013062e+01,  3.578470000000000e+02,  2.475412500000000e+00
125         ,  2.012029980198630e+02,  2.004134609462729e+02,  1.838166700000000e+03,  5.893290000000000e+01
73          ,  1.013508525385564e+02,  9.251760158461293e+01,  8.863329000000001e+02,  2.475412500000000e+00
11          ,  1.617034912836585e+02,  1.597160039200709e+02,  1.032843000000000e+03,  5.312940000000000e+01
119         ,  1.887146035400442e+02,  1.843778571504291e+02,  9.162790000000001e+02,  7.763200000000001e+01
110         ,  1.562326241405194e+02,  1.493267217635508e+02,  1.216676400022800e+03,  3.813054999999999e+01
113         ,  7.050822380170608e+01,  7.547198617718600e+01,  4.790072000000000e+02,  2.475412500000000e+00
55          ,  1.465164071687489e+02,  1.514039985701243e+02,  1.455665200000000e+03,  3.155790000000000e+01
45          ,  6.922252251530169e+01,  7.358495934228699e+01,  4.339144000000000e+02,  2.475412500000000e+00
9           ,  7.063457799019668e+01,  7.040387404310398e+01,  3.578985000000000e+02,  2.475412500000000e+00
4           ,  7.851117738952721e+01,  7.484330114296260e+01,  4.639840069076000e+02,  2.475412500000000e+00
26          ,  5.966202570927710e+01,  7.136995616899202e+01,  3.945909333448000e+02,  2.003100000000000e+00
124         ,  1.885207260436857e+02,  1.891020512125745e+02,  1.405722600000000e+03,  6.456120000000000e+01
98          ,  1.892571838929967e+02,  1.834300487557966e+02,  1.744972800000000e+03,  4.808044999999999e+01
36          ,  1.804786609572536e+02,  1.720637091864787e+02,  1.407085800000000e+03,  5.038095000000000e+01
16          ,  1.473017585346737e+02,  1.457351351269265e+02,  9.993823999999998e+02,  4.269405000000000e+01
93          ,  1.586721939022781e+02,  1.507871267550854e+02,  8.986560000000001e+02,  5.038095000000000e+01
111         ,  9.534692245017716e+01,  7.394884959850411e+01,  4.426100000000000e+02,  2.475412500000000e+00
42          ,  1.922420330482679e+02,  1.996296279575812e+02,  1.742220000000000e+03,  6.161320000000000e+01
127         ,  1.258768321724361e+02,  1.465682674418008e+02,  1.148580400000000e+03,  3.820620000000000e+01
96          ,  9.458888504929534e+01,  8.057500649055508e+01,  6.145568000000001e+02,  2.003100000000000e+00
60          ,  6.700355961656858e+01,  7.153360830285467e+01,  3.985016000112000e+02,  2.003100000000000e+00
0           ,  1.324521624992106e+02,  1.303208712760381e+02,  7.625085000155999e+02,  3.813054999999999e+01
84          ,  1.874396857101914e+02,  1.825719469270111e+02,  1.634603600000000e+03,  5.119977500000000e+01
28          ,  9.362157646373184e+01,  8.253417138459692e+01,  6.477666999876001e+02,  2.475412500000000e+00
40          ,  1.876581343779474e+02,  1.815313787795683e+02,  1.554147900000000e+03,  5.312940000000000e+01
86          ,  6.540869502383295e+01,  7.787485229628182e+01,  5.500333333488001e+02,  2.003100000000000e+00
24          ,  9.809953691058024e+01,  8.559013533959678e+01,  7.343994000000001e+02,  2.003100000000000e+00
23          ,  1.776115625775598e+02,  1.722800076255677e+02,  1.388665200000000e+03,  5.119977500000000e+01
115         ,  1.348472579215662e+02,  1.363561253361435e+02,  9.749430000000001e+02,  3.576270000000000e+01
67          ,  1.178407975639319e+02,  1.159985685240641e+02,  8.203338000000000e+02,  2.424330000000000e+01
44          ,  1.408716465187509e+02,  1.361212736839924e+02,  1.301190300000000e+03,  2.424330000000000e+01
15          ,  1.304908476901080e+02,  1.131770649790081e+02,  7.896556896692000e+02,  2.296781379990000e+01
95          ,  7.035268214247002e+01,  7.695161266026589e+01,  5.279714000000001e+02,  2.003100000000000e+00
39          ,  6.690965549992833e+01,  7.205107099319827e+01,  4.108670000000000e+02,  2.003100000000000e+00
68          ,  1.728438327749059e+02,  1.678741857982792e+02,  6.375995999999999e+02,  7.361600000000000e+01
80          ,  1.635560662373134e+02,  1.700033834391830e+02,  1.826029800000000e+03,  3.412969999999999e+01
140         ,  9.231264108905832e+01,  7.758860585233865e+01,  5.295864000000000e+02,  2.475412500000000e+00
47          ,  5.673059181818781e+01,  6.820700623748884e+01,  3.190084000000001e+02,  2.003100000000000e+00
30          ,  1.575095787725395e+02,  1.491788851939398e+02,  6.637290000119999e+02,  5.720166250000000e+01
112         ,  7.423809586689029e+01,  8.363497219263503e+01,  6.876783999999999e+02,  2.003100000000000e+00
76          ,  6.221586353440775e+01,  6.526497245718232e+01,  2.350982000000000e+02,  2.475412500000000e+00
137         ,  2.091771198782973e+02,  1.985457280301268e+02,  1.191237600000000e+03,  7.983966000000001e+01
