# c0 + a0 * (ave:covalent_radius_pyykko_triple^2)
# Property Label: $Volume$; Unit of the Property: AA^3
# RMSE: 15.7213088098109; Max AE: 38.8698395121313
# Coefficients
# Task   a0                      c0
# all ,  1.473259641834869e-02, -2.619297320153941e+01, 
# Feature Rung, Units, and Expressions
# 0;  1; pm^2;                                             18|sq; (ave:covalent_radius_pyykko_triple^2); $\left(ave:covalent_{radius, pyykko, triple}^2\right)$; (ave:covalent_radius_pyykko_triple).^2; ave:covalent_radius_pyykko_triple
# Number of Samples Per Task
# Task, n_samples               
# all , 104                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      
27          ,  9.195581102005920e+01,  7.837249475658781e+01,  7.097558705123852e+03
69          ,  7.310044637476960e+01,  7.335282358181576e+01,  6.756840000000000e+03
125         ,  2.012029980198630e+02,  2.011737420921859e+02,  1.543290190251542e+04
73          ,  1.013508525385564e+02,  9.753623523663974e+01,  8.398330133042999e+03
11          ,  1.617034912836585e+02,  1.626915654494717e+02,  1.282085881452404e+04
119         ,  1.887146035400442e+02,  1.599351141247376e+02,  1.263376000000000e+04
110         ,  1.562326241405194e+02,  1.889618625640166e+02,  1.460399984198248e+04
113         ,  7.050822380170608e+01,  6.863676552077115e+01,  6.436729550549896e+03
55          ,  1.465164071687489e+02,  1.742053661203150e+02,  1.360237758717592e+04
45          ,  6.922252251530169e+01,  8.132777773493596e+01,  7.298153555782185e+03
9           ,  7.063457799019668e+01,  7.046759189924634e+01,  6.561000000000000e+03
4           ,  7.851117738952721e+01,  6.958471064442982e+01,  6.501072935567763e+03
26          ,  5.966202570927710e+01,  7.105802493179019e+01,  6.601076644725603e+03
124         ,  1.885207260436857e+02,  1.888985608384423e+02,  1.459970312986354e+04
31          ,  8.459240483249847e+01,  9.102899276455051e+01,  7.956640000000000e+03
98          ,  1.892571838929967e+02,  1.839894334480661e+02,  1.426648777182508e+04
16          ,  1.473017585346737e+02,  1.398226577620346e+02,  1.126859287048752e+04
10          ,  1.071503545301096e+02,  9.321858783246707e+01,  8.105262483487671e+03
93          ,  1.586721939022781e+02,  1.419425573399488e+02,  1.141248465423814e+04
111         ,  9.534692245017716e+01,  7.925057658000908e+01,  7.157159999999999e+03
118         ,  5.345461156622450e+01,  6.528820030241167e+01,  6.209440000000000e+03
127         ,  1.258768321724361e+02,  1.559820638537662e+02,  1.236544000000000e+04
0           ,  1.324521624992106e+02,  1.541746812508723e+02,  1.224276083662844e+04
84          ,  1.874396857101914e+02,  1.647428443281000e+02,  1.296009285178264e+04
28          ,  9.362157646373184e+01,  7.889345751752366e+01,  7.132919937193375e+03
40          ,  1.876581343779474e+02,  1.982548203495785e+02,  1.523477513247968e+04
86          ,  6.540869502383295e+01,  7.541488441840512e+01,  6.896805880964552e+03
24          ,  9.809953691058024e+01,  8.032325944103081e+01,  7.229970170764316e+03
25          ,  1.397570909097410e+02,  1.647428443281000e+02,  1.296009285178264e+04
23          ,  1.776115625775598e+02,  1.614031885501815e+02,  1.273340804463221e+04
115         ,  1.348472579215662e+02,  1.567339210203245e+02,  1.241647358194363e+04
67          ,  1.178407975639319e+02,  1.457410649588339e+02,  1.167031480929175e+04
44          ,  1.408716465187509e+02,  1.797414860308822e+02,  1.397815112724739e+04
15          ,  1.304908476901080e+02,  1.350888265265355e+02,  1.094727603663986e+04
95          ,  7.035268214247002e+01,  7.974971694666274e+01,  7.191040000000000e+03
39          ,  6.690965549992833e+01,  7.481135062723226e+01,  6.855839999999999e+03
22          ,  8.942508557141944e+01,  7.757318902408620e+01,  7.043304471192207e+03
68          ,  1.728438327749059e+02,  1.450121725606638e+02,  1.162084000000000e+04
80          ,  1.635560662373134e+02,  2.004903850777014e+02,  1.538651788471708e+04
140         ,  9.231264108905832e+01,  8.436961920177458e+01,  7.504623710835789e+03
47          ,  5.673059181818781e+01,  6.856767626513610e+01,  6.432040000000001e+03
30          ,  1.575095787725395e+02,  1.515759217218523e+02,  1.206636562052224e+04
112         ,  7.423809586689029e+01,  8.276930990856749e+01,  7.396000000000000e+03
76          ,  6.221586353440775e+01,  7.925057658000908e+01,  7.157159999999999e+03
33          ,  9.639831336185570e+01,  7.335730951132030e+01,  6.757144490082886e+03
81          ,  6.779890223639997e+01,  6.679663266996613e+01,  6.311827408486653e+03
139         ,  7.773399964038569e+01,  7.190490400582043e+01,  6.658559999999999e+03
135         ,  8.871171279800387e+01,  7.135605505642509e+01,  6.621305945533960e+03
53          ,  1.912036606685361e+02,  2.071169987043851e+02,  1.583631053758786e+04
5           ,  5.646241061036604e+01,  6.809564387589219e+01,  6.400000000000000e+03
85          ,  6.604743166171670e+01,  7.936779373102308e+01,  7.165116313176950e+03
109         ,  1.156360400954843e+02,  9.272349888098319e+01,  8.071657480172216e+03
49          ,  7.517971112473752e+01,  7.628048514207002e+01,  6.955560000000001e+03
35          ,  1.142981641844795e+02,  9.009100773114537e+01,  7.892972673021782e+03
34          ,  6.288448403712296e+01,  7.245683260052908e+01,  6.696023090621368e+03
131         ,  7.332445965687805e+01,  8.789625346215284e+01,  7.744000000000000e+03
7           ,  6.154031610112789e+01,  7.094551732705757e+01,  6.593440000000001e+03
43          ,  9.003176998171779e+01,  9.272349888098319e+01,  8.071657480172216e+03
89          ,  1.845971359160373e+02,  1.566379590463111e+02,  1.240996000000000e+04
