# FEAT_ID     Score                   Feature Expression
0             0.541141554381385892    (min:covalent_radius_slater / max:heat_of_formation)
1             0.541156061455511095    (min:atomic_volume - sum:gs_volume_per)
2             0.541168438836037158    (var:c6_gb / var:covalent_radius_slater)
3             0.541170980275814784    (var:en_ghosh / var:en_pauling)
4             0.541187003387667787    (|max:covalent_radius_slater - var:covalent_radius_pyykko_triple|)
5             0.541188328034101884    (min:fusion_enthalpy / min:heat_capacity_mass)
6             0.541208383494248491    (min:covalent_radius_pyykko_triple / ave:period)
7             0.54121598222915035     (min:vdw_radius_alvarez * sum:hhi_r)
8             0.54121891212068407     (var:en_allen / max:electron_affinity)
9             0.541239267395269841    (min:density / min:c6_gb)
10            0.541239795064568985    (min:vdw_radius_mm3 * sum:covalent_radius_cordero)
11            0.54125435963004731     (max:en_ghosh / ave:hhi_p)
12            0.541270916434409832    (sum:vdw_radius_uff * ave:covalent_radius_slater)
13            0.541324999477145519    (ave:dipole_polarizability / max:en_ghosh)
14            0.541342183801204802    (ave:covalent_radius_pyykko / var:electron_negativity)
15            0.541362950113654651    (min:vdw_radius + var:covalent_radius_pyykko_triple)
16            0.541383082407691285    (var:Polarizability / var:first_ion_en)
17            0.541383606392762173    (max:gs_volume_per * sum:atomic_weight)
18            0.54139099324126061     (ave:heat_capacity_mass / sum:atomic_volume)
19            0.54139791404849924     (max:molar_volume * ave:num_d_valence)
20            0.541436458244664576    (max:num_d_valence / max:heat_capacity_mass)
21            0.541515796159219964    (max:Polarizability * ave:atomic_number)
22            0.541518839118128037    (ave:bulk_modulus / sum:atomic_radius_rahm)
23            0.541532152408002898    (ave:covalent_radius_pyykko_triple / var:en_ghosh)
24            0.541538766868374655    (|min:vdw_radius_alvarez - var:covalent_radius_pyykko_triple|)
25            0.541549852251988151    (sum:gs_est_bcc_latcnt * ave:hhi_r)
26            0.541583041996592573    (min:atomic_volume * sum:num_valance)
27            0.541630816209543009    (var:covalent_radius_pyykko_triple * ave:num_s_valence)
28            0.54163605641713819     (ave:covalent_radius_slater / var:en_ghosh)
29            0.541648857310412235    (max:heat_capacity_molar * ave:dipole_polarizability)
30            0.541698092540594534    (max:dipole_polarizability * ave:atomic_number)
31            0.541703527569224352    min:vdw_radius_uff
32            0.541705156266620635    (ave:hhi_r * ave:atomic_number)
33            0.54171571210279168     (ave:heat_capacity_molar * ave:dipole_polarizability)
