# c0 + a0 * ((ave:covalent_radius_pyykko_triple^2) * cbrt(min:gs_volume_per))
# Property Label: $Volume$; Unit of the Property: AA^3
# RMSE: 13.8269862704207; Max AE: 32.9231460076304
# Coefficients
# Task   a0                      c0
# all ,  4.096444517022822e-03,  1.643571773504856e+01, 
# Feature Rung, Units, and Expressions
# 0;  2; cm * mol^-0.333333 * pm^2;                        18|sq|7|cbrt|mult; ((ave:covalent_radius_pyykko_triple^2) * cbrt(min:gs_volume_per)); $\left(\left(ave:covalent_{radius, pyykko, triple}^2\right) \left(\sqrt[3]{ min:gs_{volume, per} }\right)\right)$; ((ave:covalent_radius_pyykko_triple).^2 .* nthroot(min:gs_volume_per, 3)); ave:covalent_radius_pyykko_triple,min:gs_volume_per
# Number of Samples Per Task
# Task, n_samples               
# all , 103                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      
64          ,  9.806170819706536e+01,  7.661297281239179e+01,  1.469011842520409e+04
27          ,  9.195581102005920e+01,  7.714792937995965e+01,  1.482070888367236e+04
69          ,  7.310044637476960e+01,  7.548117794199901e+01,  1.441383130214174e+04
125         ,  2.012029980198630e+02,  2.058848288718923e+02,  4.624720543622300e+04
73          ,  1.013508525385564e+02,  8.982553718843553e+01,  1.791549211722867e+04
119         ,  1.887146035400442e+02,  1.662557771789243e+02,  3.657319385659852e+04
55          ,  1.465164071687489e+02,  1.520305787360180e+02,  3.310062187770478e+04
45          ,  6.922252251530169e+01,  8.021151165086584e+01,  1.556857261237062e+04
9           ,  7.063457799019668e+01,  7.376980651290948e+01,  1.399606135018025e+04
26          ,  5.966202570927710e+01,  7.290104320668438e+01,  1.378398394925002e+04
31          ,  8.459240483249847e+01,  8.596577475889849e+01,  1.697326955971623e+04
98          ,  1.892571838929967e+02,  1.826486806954409e+02,  4.057493327926021e+04
36          ,  1.804786609572536e+02,  1.760003102704580e+02,  3.895197209978969e+04
10          ,  1.071503545301096e+02,  8.726453023255621e+01,  1.729031412562228e+04
93          ,  1.586721939022781e+02,  1.493978678773652e+02,  3.245793995006911e+04
42          ,  1.922420330482679e+02,  2.086430228048548e+02,  4.692051955569923e+04
118         ,  5.345461156622450e+01,  6.955100020593842e+01,  1.296619110796416e+04
127         ,  1.258768321724361e+02,  1.587999781800665e+02,  3.475312795118344e+04
96          ,  9.458888504929534e+01,  8.088328237911908e+01,  1.573256134100143e+04
60          ,  6.700355961656858e+01,  7.458132112897297e+01,  1.419416353676943e+04
0           ,  1.324521624992106e+02,  1.436732304917991e+02,  3.106047506026593e+04
84          ,  1.874396857101914e+02,  1.706255652247397e+02,  3.763992087503040e+04
28          ,  9.362157646373184e+01,  7.876759777230190e+01,  1.521609282836189e+04
40          ,  1.876581343779474e+02,  1.971004538042937e+02,  4.410281533619966e+04
86          ,  6.540869502383295e+01,  7.543069836362804e+01,  1.440150852365391e+04
25          ,  1.397570909097410e+02,  1.511283742005562e+02,  3.288038100010649e+04
23          ,  1.776115625775598e+02,  1.679286327071653e+02,  3.698156153283322e+04
67          ,  1.178407975639319e+02,  1.229821361619895e+02,  2.600948651548582e+04
95          ,  7.035268214247002e+01,  7.794756435237120e+01,  1.501591108135591e+04
39          ,  6.690965549992833e+01,  7.508027798125845e+01,  1.431596595596785e+04
22          ,  8.942508557141944e+01,  7.798448222839390e+01,  1.502492325663847e+04
68          ,  1.728438327749059e+02,  1.518253300475644e+02,  3.305051777215651e+04
80          ,  1.635560662373134e+02,  1.763459121563426e+02,  3.903633840438591e+04
112         ,  7.423809586689029e+01,  7.970078336974370e+01,  1.544389662103232e+04
137         ,  2.091771198782973e+02,  1.917852018292877e+02,  4.280528721079277e+04
33          ,  9.639831336185570e+01,  7.548383876526438e+01,  1.441448084670515e+04
81          ,  6.779890223639997e+01,  7.159238180892596e+01,  1.346452120727456e+04
142         ,  6.217869364696995e+01,  7.429956401720068e+01,  1.412538264382643e+04
62          ,  1.284855607921225e+02,  1.557158075057622e+02,  3.400023830224811e+04
139         ,  7.773399964038569e+01,  7.462234632409194e+01,  1.420417836669047e+04
5           ,  5.646241061036604e+01,  7.118104224316767e+01,  1.336410740597713e+04
85          ,  6.604743166171670e+01,  7.904894968191441e+01,  1.528477480573113e+04
109         ,  1.156360400954843e+02,  8.697086886333375e+01,  1.721862723519763e+04
49          ,  7.517971112473752e+01,  7.593327856875059e+01,  1.452419545448724e+04
35          ,  1.142981641844795e+02,  8.540941015331730e+01,  1.683745309661775e+04
77          ,  1.735436897724758e+02,  1.853610690565825e+02,  4.123706561130334e+04
34          ,  6.288448403712296e+01,  7.371321101784942e+01,  1.398224558999483e+04
131         ,  7.332445965687805e+01,  8.267756038987270e+01,  1.617056996123233e+04
7           ,  6.154031610112789e+01,  7.283571967642557e+01,  1.376803755232279e+04
43          ,  9.003176998171779e+01,  8.697086886333375e+01,  1.721862723519763e+04
70          ,  5.876522370994315e+01,  6.560210670866847e+01,  1.200221039716477e+04
89          ,  1.845971359160373e+02,  1.636017985293743e+02,  3.592532016063573e+04
83          ,  8.685815788108755e+01,  8.358393766876023e+01,  1.639182946447254e+04
123         ,  2.218543389191891e+02,  2.014862750646375e+02,  4.517345628888886e+04
129         ,  7.058438955216727e+01,  7.813834518996440e+01,  1.506248338004088e+04
8           ,  1.379771288780131e+02,  1.301388409750298e+02,  2.775653930316562e+04
13          ,  6.359044555550145e+01,  6.717085202380090e+01,  1.238516329903210e+04
108         ,  2.276117669121920e+02,  2.086407132373519e+02,  4.691995575763159e+04
114         ,  1.245825633863354e+02,  1.167408546165261e+02,  2.448590148472861e+04
3           ,  1.766257549836612e+02,  1.777489483069041e+02,  3.937883935728082e+04
17          ,  1.154201413293227e+02,  1.265036896280786e+02,  2.686914748525004e+04
38          ,  2.142336089710760e+02,  2.080822821725066e+02,  4.678363484262230e+04
72          ,  1.505744324222536e+02,  1.576998083962040e+02,  3.448456095868770e+04
120         ,  2.717063705144595e+02,  2.720203662014076e+02,  6.239182476517723e+04
6           ,  1.752395240612576e+02,  1.615184626628348e+02,  3.541674843266966e+04
101         ,  6.465769186928596e+01,  7.692654576456542e+01,  1.476666601442947e+04
2           ,  5.771548700058894e+01,  7.228142326578086e+01,  1.363272596483727e+04
122         ,  2.014000729838492e+02,  2.005784956938402e+02,  4.495185451519828e+04
54          ,  8.998190321387162e+01,  8.083680871920485e+01,  1.572121646382291e+04
50          ,  1.144884087492389e+02,  1.214447535258027e+02,  2.563418968678518e+04
46          ,  6.638274984747244e+01,  7.768251607377626e+01,  1.495120905073068e+04
105         ,  6.260542136940490e+01,  8.417064254989435e+01,  1.653505241762034e+04
61          ,  1.513414191693852e+02,  1.538422797416952e+02,  3.354288369722868e+04
141         ,  5.908637035915022e+01,  6.638339994173113e+01,  1.219293511705685e+04
79          ,  6.172344219415545e+01,  7.373810274332510e+01,  1.398832201196814e+04
136         ,  1.878481455563482e+02,  1.717110007083105e+02,  3.790489101659102e+04
91          ,  7.059248384925451e+01,  8.076629559065778e+01,  1.570400321261103e+04
58          ,  2.413589823761019e+02,  2.567968310964465e+02,  5.867554469798738e+04
90          ,  1.323141358213091e+02,  1.496125433894388e+02,  3.251034527648853e+04
48          ,  1.506649136932021e+02,  1.463855047700529e+02,  3.172257954306388e+04
88          ,  1.252802886728060e+02,  1.537317224772726e+02,  3.351589510652200e+04
21          ,  7.298106977000764e+01,  7.621898073102733e+01,  1.459393939001218e+04
57          ,  1.280373015126955e+02,  1.131343324001025e+02,  2.360549844217876e+04
75          ,  9.416246053996996e+01,  7.893034480989164e+01,  1.525582168027565e+04
32          ,  2.470528593513509e+02,  2.461828539325080e+02,  5.608452286922051e+04
138         ,  6.719447744045841e+01,  7.699492271684991e+01,  1.478335779482595e+04
59          ,  7.370978119031361e+01,  7.305075323859428e+01,  1.382053028383060e+04
63          ,  9.527186437700378e+01,  7.920857750612571e+01,  1.532374221357663e+04
128         ,  1.127928271848657e+02,  8.323260064264781e+01,  1.630606313109430e+04
37          ,  6.740982957627959e+01,  7.708019311719568e+01,  1.480417350464245e+04
29          ,  7.604393505755419e+01,  7.214918580173642e+01,  1.360044493100539e+04
1           ,  6.589429488532184e+01,  8.600779586142771e+01,  1.698352750471087e+04
52          ,  1.685536482338435e+02,  1.554726948549190e+02,  3.394089106836446e+04
130         ,  7.583037174302696e+01,  7.409477844466322e+01,  1.407539159141831e+04
99          ,  1.103591846419842e+02,  9.111245499679626e+01,  1.822964694173878e+04
116         ,  6.928383831454539e+01,  8.288278946384753e+01,  1.622066927860914e+04
87          ,  1.073098314779565e+02,  8.184076050937220e+01,  1.596629528424765e+04
121         ,  7.759315330331438e+01,  7.576885332724017e+01,  1.448405692927906e+04
20          ,  1.126975075036733e+02,  8.760034597479277e+01,  1.737229149425039e+04
71          ,  2.033361364024828e+02,  2.080196940129645e+02,  4.676835618834491e+04
106         ,  2.038799354056747e+02,  2.133164723758839e+02,  4.806137464396138e+04
14          ,  1.651217664757107e+02,  1.807731600460892e+02,  4.011709218277813e+04
92          ,  7.315017953780705e+01,  7.628623444729025e+01,  1.461035697262155e+04
