# c0 + a0 * ((ave:atomic_number / ave:heat_capacity_mass) / (ave:covalent_radius_slater - ave:covalent_radius_pyykko_triple)) + a1 * ((max:en_ghosh * min:covalent_radius_pyykko_triple) * (ave:gs_volume_per + min:gs_volume_per))
# Property Label: $Volume$; Unit of the Property: AA^3
# RMSE: 9.29042013739166; Max AE: 26.3657634959225
# Coefficients
# Task   a0                      a1                      c0
# all ,  5.444492719558765e+00,  8.142235613708476e-02,  2.128682989239376e+01, 
# Feature Rung, Units, and Expressions
# 0;  2; J^-1 * K * g * pm^-1;                             19|23|div|22|18|sub|div; ((ave:atomic_number / ave:heat_capacity_mass) / (ave:covalent_radius_slater - ave:covalent_radius_pyykko_triple)); $\left(\frac{ \left(\frac{ ave:atomic_{number} }{ ave:heat_{capacity, mass} } \right) }{ \left(ave:covalent_{radius, slater} - ave:covalent_{radius, pyykko, triple}\right) } \right)$; ((ave:atomic_number ./ ave:heat_capacity_mass) ./ (ave:covalent_radius_slater - ave:covalent_radius_pyykko_triple)); ave:atomic_number,ave:heat_capacity_mass,ave:covalent_radius_slater,ave:covalent_radius_pyykko_triple
# 1;  2; cm^3 * ghosh * mol^-1 * pm;                       28|8|mult|21|7|add|mult; ((max:en_ghosh * min:covalent_radius_pyykko_triple) * (ave:gs_volume_per + min:gs_volume_per)); $\left(\left(max:en_{ghosh} min:covalent_{radius, pyykko, triple}\right) \left(ave:gs_{volume, per} + min:gs_{volume, per}\right)\right)$; ((max:en_ghosh .* min:covalent_radius_pyykko_triple) .* (ave:gs_volume_per + min:gs_volume_per)); max:en_ghosh,min:covalent_radius_pyykko_triple,ave:gs_volume_per,min:gs_volume_per
# Number of Samples Per Task
# Task, n_samples               
# all , 103                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      
64          ,  9.806170819706536e+01,  8.981957594433509e+01,  2.015469233334604e+00,  7.069254835569690e+02
27          ,  9.195581102005920e+01,  7.686673159939811e+01,  1.084992337914218e+00,  6.100617960357616e+02
69          ,  7.310044637476960e+01,  7.289669015950830e+01,  3.183654074602044e+00,  4.209713457400000e+02
125         ,  2.012029980198630e+02,  1.897987070177572e+02,  3.913567967309072e+00,  1.807912369571000e+03
73          ,  1.013508525385564e+02,  9.733213541201705e+01,  2.081319647841155e+00,  7.947887892230002e+02
11          ,  1.617034912836585e+02,  1.598590861981620e+02,  2.720468514729098e+00,  1.519984082445000e+03
119         ,  1.887146035400442e+02,  1.955132323987339e+02,  1.386364924075184e+01,  1.212761087167500e+03
110         ,  1.562326241405194e+02,  1.494124961149195e+02,  2.932837119257661e+00,  1.377482318127025e+03
113         ,  7.050822380170608e+01,  8.083795029953485e+01,  1.180329289080341e+00,  6.524599471995000e+02
55          ,  1.465164071687489e+02,  1.545099668319868e+02,  3.385234881309151e+00,  1.409836999571000e+03
45          ,  6.922252251530169e+01,  8.312061394886321e+01,  9.132417265418319e-01,  6.983542214055001e+02
9           ,  7.063457799019668e+01,  7.279188249674212e+01,  3.190885884466295e+00,  4.192005642770001e+02
4           ,  7.851117738952721e+01,  8.046112320281635e+01,  1.101966200901835e+00,  6.530718205069689e+02
26          ,  5.966202570927710e+01,  6.700594342637083e+01,  6.609886295577194e-01,  5.173071346857615e+02
124         ,  1.885207260436857e+02,  1.903727675653247e+02,  2.136997091321145e+00,  1.933757263207000e+03
98          ,  1.892571838929967e+02,  1.890275632094379e+02,  3.643936446676343e+00,  1.816470990026000e+03
36          ,  1.804786609572536e+02,  1.771404154145531e+02,  3.448380545517089e+00,  1.683553623983000e+03
16          ,  1.473017585346737e+02,  1.450732122958739e+02,  2.102659887224418e+00,  1.379700505923000e+03
