# c0 + a0 * ((ave:covalent_radius_pyykko_triple / ave:covalent_radius_pyykko) * (ave:gs_volume_per + min:gs_volume_per))
# Property Label: $Volume$; Unit of the Property: AA^3
# RMSE: 12.3190259433772; Max AE: 38.3060689171832
# Coefficients
# Task   a0                      c0
# all ,  3.329981584142030e+00, -8.271456522684035e+00, 
# Feature Rung, Units, and Expressions
# 0;  2; cm^3 * mol^-1;                                    18|27|div|21|7|add|mult; ((ave:covalent_radius_pyykko_triple / ave:covalent_radius_pyykko) * (ave:gs_volume_per + min:gs_volume_per)); $\left(\left(\frac{ ave:covalent_{radius, pyykko, triple} }{ ave:covalent_{radius, pyykko} } \right) \left(ave:gs_{volume, per} + min:gs_{volume, per}\right)\right)$; ((ave:covalent_radius_pyykko_triple ./ ave:covalent_radius_pyykko) .* (ave:gs_volume_per + min:gs_volume_per)); ave:covalent_radius_pyykko_triple,ave:covalent_radius_pyykko,ave:gs_volume_per,min:gs_volume_per
# Number of Samples Per Task
# Task, n_samples               
# all , 104                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      
27          ,  9.195581102005920e+01,  9.406733387334732e+01,  3.073253944808195e+01
69          ,  7.310044637476960e+01,  6.155251086837692e+01,  2.096827433628318e+01
125         ,  2.012029980198630e+02,  1.941841099338486e+02,  6.079780363370847e+01
73          ,  1.013508525385564e+02,  1.090967250514498e+02,  3.524589509235190e+01
11          ,  1.617034912836585e+02,  1.716993485526741e+02,  5.404558569705350e+01
119         ,  1.887146035400442e+02,  1.504085346228609e+02,  4.765191252144083e+01
110         ,  1.562326241405194e+02,  1.485427847424645e+02,  4.709162417351678e+01
113         ,  7.050822380170608e+01,  8.497559964846963e+01,  2.800227383094635e+01
55          ,  1.465164071687489e+02,  1.452414278139755e+02,  4.610022021374396e+01
45          ,  6.922252251530169e+01,  9.230668334122524e+01,  3.020381264055045e+01
9           ,  7.063457799019668e+01,  6.101015126757243e+01,  2.080540268456376e+01
4           ,  7.851117738952721e+01,  8.390804259605196e+01,  2.768168435456559e+01
26          ,  5.966202570927710e+01,  7.623311506837048e+01,  2.537688856703606e+01
124         ,  1.885207260436857e+02,  1.944844248773526e+02,  6.088798880017729e+01
31          ,  8.459240483249847e+01,  6.912391804246944e+01,  2.324198275862069e+01
98          ,  1.892571838929967e+02,  1.875859428970735e+02,  5.881636113318632e+01
16          ,  1.473017585346737e+02,  1.463101627087372e+02,  4.642116339849043e+01
10          ,  1.071503545301096e+02,  9.895903479681523e+01,  3.220152682830143e+01
93          ,  1.586721939022781e+02,  1.629394459094502e+02,  5.141496975462904e+01
111         ,  9.534692245017716e+01,  7.037181501013738e+01,  2.361672866520788e+01
118         ,  5.345461156622450e+01,  5.861914279471042e+01,  2.008737815126050e+01
127         ,  1.258768321724361e+02,  1.462434877961139e+02,  4.640114079147640e+01
0           ,  1.324521624992106e+02,  1.368425641553448e+02,  4.357802498641069e+01
84          ,  1.874396857101914e+02,  1.831649298300739e+02,  5.748872223930977e+01
28          ,  9.362157646373184e+01,  9.988573488450623e+01,  3.247981668194630e+01
40          ,  1.876581343779474e+02,  1.840433699404750e+02,  5.775251952713396e+01
86          ,  6.540869502383295e+01,  7.717452964305573e+01,  2.565959720998125e+01
24          ,  9.809953691058024e+01,  1.016750588537439e+02,  3.301715417887385e+01
25          ,  1.397570909097410e+02,  1.574663767144390e+02,  4.977139634236906e+01
23          ,  1.776115625775598e+02,  1.855245842848259e+02,  5.819733109948761e+01
115         ,  1.348472579215662e+02,  1.449401429198875e+02,  4.600974376921261e+01
67          ,  1.178407975639319e+02,  1.257633780579977e+02,  4.025092367446705e+01
44          ,  1.408716465187509e+02,  1.373401636944433e+02,  4.372745510382278e+01
15          ,  1.304908476901080e+02,  1.181483564441563e+02,  3.796411775034257e+01
95          ,  7.035268214247002e+01,  7.379461263335375e+01,  2.464460150375940e+01
39          ,  6.690965549992833e+01,  6.859742930841186e+01,  2.308387715930902e+01
22          ,  8.942508557141944e+01,  6.518624653606547e+01,  2.205949228325113e+01
68          ,  1.728438327749059e+02,  1.428701846784373e+02,  4.538813124999999e+01
