# FEAT_ID     Score                   Feature Expression
0             0.911821061765111462    ((min:covalent_radius_pyykko_double / min:vdw_radius_mm3) * cbrt(min:gs_volume_per))
1             0.911823724002878588    ((max:mendeleev_number * ave:covalent_radius_pyykko_triple) + (ave:atomic_number * min:covalent_radius_pyykko_triple))
2             0.911830033440503951    ((ave:covalent_radius_pyykko + min:covalent_radius_pyykko_double) * (ave:covalent_radius_pyykko_triple / min:vdw_radius))
3             0.911833044686469085    ((ave:covalent_radius_pyykko_triple + min:covalent_radius_pyykko_double) / cbrt(ave:heat_capacity_mass))
4             0.91183548300830819     (sqrt(min:gs_volume_per) * (ave:covalent_radius_pyykko_triple + min:covalent_radius_cordero))
5             0.911848783160564613    ((min:vdw_radius_alvarez + min:covalent_radius_cordero) * (ave:gs_volume_per + min:gs_volume_per))
6             0.911880836779548232    ((ave:covalent_radius_pyykko_triple^2) * sqrt(ave:gs_volume_per))
7             0.911895165318596823    ((ave:covalent_radius_pyykko_triple^2) / (min:vdw_radius_mm3 - min:covalent_radius_slater))
8             0.911897562524769167    (cbrt(min:gs_volume_per) * (ave:covalent_radius_pyykko * min:covalent_radius_pyykko_triple))
9             0.91191827205017395     ((ave:covalent_radius_pyykko_triple^3) / (min:atomic_radius_rahm + min:covalent_radius_pyykko))
10            0.911923911797128617    (sqrt(ave:covalent_radius_pyykko) * ave:covalent_radius_pyykko_triple)
11            0.911934775028636513    ((min:vdw_radius_mm3 * min:gs_volume_per) + (min:vdw_radius_alvarez * ave:gs_volume_per))
12            0.911937317700025174    (cbrt(min:gs_volume_per) * (ave:covalent_radius_pyykko_triple / min:atomic_radius_rahm))
13            0.911953878108961891    ((ave:covalent_radius_pyykko_triple^3) * sqrt(ave:covalent_radius_pyykko))
14            0.911985400033091476    ((max:mendeleev_number * ave:covalent_radius_pyykko_triple) + (ave:covalent_radius_pyykko * min:period))
15            0.911990111539005999    ((min:atomic_radius_rahm * ave:covalent_radius_pyykko_triple) / cbrt(min:covalent_radius_slater))
16            0.911990648840970364    (cbrt(min:gs_volume_per) * (ave:gs_volume_per * min:fusion_enthalpy))
17            0.911991732490378237    ((max:mendeleev_number + ave:atomic_number) * (ave:covalent_radius_pyykko * ave:covalent_radius_pyykko_triple))
18            0.911992527931716923    ((min:vdw_radius_alvarez + min:covalent_radius_slater) * (ave:gs_volume_per + min:gs_volume_per))
19            0.911998248917010534    ((min:atomic_radius_rahm * ave:covalent_radius_pyykko_triple) / (min:vdw_radius_mm3 - ave:covalent_radius_pyykko_triple))
20            0.912008103497095268    ((ave:covalent_radius_pyykko + ave:covalent_radius_pyykko_triple) / sqrt(ave:covalent_radius_slater))
21            0.912021899552661885    (ave:covalent_radius_pyykko_triple^3)
22            0.912022458505274303    ((min:covalent_radius_pyykko_triple / min:covalent_radius_cordero) * (ave:covalent_radius_pyykko * ave:covalent_radius_pyykko_triple))
23            0.912026574836362958    ((ave:covalent_radius_pyykko_triple^3) / (ave:covalent_radius_pyykko_triple + min:covalent_radius_pyykko))
24            0.912037331411095442    (cbrt(min:gs_volume_per) * (ave:covalent_radius_pyykko * min:covalent_radius_pyykko_double))
25            0.912051859714505864    ((ave:atomic_number * ave:covalent_radius_pyykko_triple) / (ave:atomic_number + min:period))
26            0.912055488434469486    ((ave:covalent_radius_pyykko_triple^2) * (min:atomic_radius_rahm - min:covalent_radius_cordero))
27            0.912058229589050029    ((ave:covalent_radius_pyykko_triple^3) * (ave:covalent_radius_pyykko_triple * max:en_allen))
28            0.912066674386029286    ((ave:covalent_radius_pyykko + min:covalent_radius_pyykko) * (ave:covalent_radius_pyykko_triple / min:vdw_radius))
29            0.912084849929307162    ((min:atomic_radius_rahm * min:gs_volume_per) + (ave:gs_volume_per * min:covalent_radius_slater))
30            0.912088408001667461    (sqrt(min:gs_volume_per) * (min:vdw_radius * min:covalent_radius_pyykko_triple))
31            0.912103912904866365    ((ave:covalent_radius_pyykko_triple^6) / (min:vdw_radius_mm3^3))
32            0.912107362848136982    ((min:vdw_radius * min:atomic_radius_rahm) / (min:vdw_radius_mm3 - ave:covalent_radius_pyykko_triple))
33            0.912110604860879026    ((ave:gs_volume_per + min:gs_volume_per) / sqrt(ave:gs_volume_per))
34            0.912111045431694967    ((ave:covalent_radius_pyykko_triple^2) * ln(max:mendeleev_number))
35            0.912111084256508775    (sqrt(ave:covalent_radius_pyykko_triple) * (max:mendeleev_number * ave:covalent_radius_pyykko_triple))
36            0.91211591214100185     ((ave:covalent_radius_pyykko_triple^3) / sqrt(min:covalent_radius_slater))
37            0.91212643052328124     ((min:covalent_radius_pyykko / min:vdw_radius_mm3) * cbrt(min:gs_volume_per))
38            0.912126948804769078    ((min:vdw_radius_mm3 + ave:covalent_radius_pyykko_triple) * (ave:gs_volume_per + min:gs_volume_per))
39            0.912133061759717756    (|(min:covalent_radius_pyykko_double / min:hhi_p) - (ave:covalent_radius_pyykko_triple / max:mendeleev_number)|)
40            0.91213575487992371     ((min:fusion_enthalpy / min:vdw_radius_alvarez) * (ave:gs_volume_per * ave:atomic_number))
41            0.912140991610402851    ((min:covalent_radius_pyykko_double / max:mendeleev_number) * (ave:gs_volume_per + min:gs_volume_per))
42            0.91215883317274149     ((min:covalent_radius_slater / min:covalent_radius_cordero) * (ave:covalent_radius_pyykko_triple^3))
43            0.91217711769481058     ((ave:covalent_radius_pyykko_triple^3) / (min:vdw_radius_alvarez + ave:covalent_radius_pyykko_triple))
44            0.912180873387238744    ((min:covalent_radius_slater * min:gs_volume_per) + (ave:gs_volume_per * min:covalent_radius_pyykko_double))
45            0.912188429901587661    ((min:covalent_radius_pyykko + min:covalent_radius_pyykko_triple) * sqrt(min:gs_volume_per))
46            0.912214947649938268    ((ave:covalent_radius_pyykko_triple^3) * (min:vdw_radius_alvarez / min:covalent_radius_cordero))
47            0.912228113328808266    ((ave:covalent_radius_pyykko * ave:covalent_radius_pyykko_triple) / (max:mendeleev_number * ave:covalent_radius_slater))
48            0.912238415069045572    ((ave:covalent_radius_pyykko_triple^2) / sqrt(min:vdw_radius))
49            0.912250100916379703    ((min:covalent_radius_cordero * min:gs_volume_per) + (ave:gs_volume_per * min:covalent_radius_pyykko_double))
50            0.912259999704159608    ((ave:covalent_radius_pyykko_triple^3) / cbrt(min:melting_point))
51            0.912283366663921069    ((min:covalent_radius_pyykko / min:covalent_radius_slater) * (ave:covalent_radius_pyykko_triple^3))
52            0.912300326933216388    ((ave:covalent_radius_pyykko_triple^2) * (ave:covalent_radius_pyykko + min:vdw_radius_alvarez))
53            0.912327651024687714    (|(min:covalent_radius_slater / ave:atomic_number) - ave:covalent_radius_pyykko_triple|)
54            0.912341826453928473    ((ave:covalent_radius_pyykko + min:covalent_radius_slater) * (max:en_ghosh * ave:covalent_radius_pyykko_triple))
55            0.91235224301063822     ((ave:covalent_radius_pyykko + min:atomic_radius_rahm) * (ave:covalent_radius_pyykko_triple / min:atomic_radius_rahm))
56            0.912357128697354636    ((ave:covalent_radius_pyykko_triple^3) * (min:vdw_radius_mm3 * max:en_allen))
57            0.912364978734776289    ((ave:covalent_radius_pyykko_triple^3) / (min:vdw_radius + min:covalent_radius_pyykko_double))
58            0.912382350427559996    ((min:covalent_radius_pyykko_double / min:covalent_radius_pyykko) * (ave:covalent_radius_pyykko_triple^3))
59            0.912391498375137222    (sqrt(min:gs_volume_per) * min:covalent_radius_pyykko_double)
60            0.912396979540812114    ((ave:covalent_radius_pyykko_triple^2) / cbrt(min:vdw_radius))
61            0.912413033321783806    ((ave:covalent_radius_pyykko_triple^2) * cbrt(max:mendeleev_number))
62            0.912417519430027135    ((ave:covalent_radius_pyykko_triple^3) / (min:vdw_radius_alvarez + min:atomic_radius_rahm))
