# c0 + a0 * ((ave:covalent_radius_pyykko_triple / ave:covalent_radius_pyykko) * (ave:gs_volume_per + min:gs_volume_per))
# Property Label: $Volume$; Unit of the Property: AA^3
# RMSE: 12.9982311856358; Max AE: 44.9648398341453
# Coefficients
# Task   a0                      c0
# all ,  3.290854901230658e+00, -7.196200912086929e+00, 
# Feature Rung, Units, and Expressions
# 0;  2; cm^3 * mol^-1;                                    18|27|div|21|7|add|mult; ((ave:covalent_radius_pyykko_triple / ave:covalent_radius_pyykko) * (ave:gs_volume_per + min:gs_volume_per)); $\left(\left(\frac{ ave:covalent_{radius, pyykko, triple} }{ ave:covalent_{radius, pyykko} } \right) \left(ave:gs_{volume, per} + min:gs_{volume, per}\right)\right)$; ((ave:covalent_radius_pyykko_triple ./ ave:covalent_radius_pyykko) .* (ave:gs_volume_per + min:gs_volume_per)); ave:covalent_radius_pyykko_triple,ave:covalent_radius_pyykko,ave:gs_volume_per,min:gs_volume_per
# Number of Samples Per Task
# Task, n_samples               
# all , 129                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      
64          ,  9.806170819706536e+01,  9.163637386922761e+01,  3.003249239106677e+01
27          ,  9.195581102005920e+01,  9.394012715789809e+01,  3.073253944808195e+01
69          ,  7.310044637476960e+01,  6.180734745781961e+01,  2.096827433628318e+01
125         ,  2.012029980198630e+02,  1.928805491599617e+02,  6.079780363370847e+01
73          ,  1.013508525385564e+02,  1.087929257008409e+02,  3.524589509235190e+01
11          ,  1.617034912836585e+02,  1.706599796689432e+02,  5.404558569705350e+01
119         ,  1.887146035400442e+02,  1.496193289621112e+02,  4.765191252144083e+01
110         ,  1.562326241405194e+02,  1.477755013062429e+02,  4.709162417351678e+01
113         ,  7.050822380170608e+01,  8.495521917008588e+01,  2.800227383094635e+01
55          ,  1.465164071687489e+02,  1.445129347261250e+02,  4.610022021374396e+01
45          ,  6.922252251530169e+01,  9.220016395192103e+01,  3.020381264055045e+01
9           ,  7.063457799019668e+01,  6.127136048448720e+01,  2.080540268456376e+01
4           ,  7.851117738952721e+01,  8.390020572045528e+01,  2.768168435456559e+01
26          ,  5.966202570927710e+01,  7.631545720672793e+01,  2.537688856703606e+01
124         ,  1.885207260436857e+02,  1.931773354570539e+02,  6.088798880017729e+01
31          ,  8.459240483249847e+01,  6.928979196343842e+01,  2.324198275862069e+01
98          ,  1.892571838929967e+02,  1.863599093956117e+02,  5.881636113318632e+01
36          ,  1.804786609572536e+02,  1.743181353755839e+02,  5.515719827689492e+01
16          ,  1.473017585346737e+02,  1.455691121786645e+02,  4.642116339849043e+01
10          ,  1.071503545301096e+02,  9.877435147793935e+01,  3.220152682830143e+01
93          ,  1.586721939022781e+02,  1.620030043015601e+02,  5.141496975462904e+01
111         ,  9.534692245017716e+01,  7.052302636684699e+01,  2.361672866520788e+01
42          ,  1.922420330482679e+02,  2.047768667619099e+02,  6.441276629812111e+01
118         ,  5.345461156622450e+01,  5.890844592986233e+01,  2.008737815126050e+01
