# c0 + a0 * (ave:num_p_valence * ave:covalent_radius_pyykko_double) + a1 * (min:gs_est_bcc_latcnt * ave:period)
# Property Label: $Volume$; Unit of the Property: AA^3
# RMSE: 8.70035602149663; Max AE: 37.5466653384814
# Coefficients
# Task   a0                      a1                      c0
# all ,  2.977803542639068e-01,  8.643988527489869e+00, -7.624384607121021e+01, 
# Feature Rung, Units, and Expressions
# 0;  1; pm;                                               46|10|mult; (ave:num_p_valence * ave:covalent_radius_pyykko_double); $\left(ave:num_{p, valence} ave:covalent_{radius, pyykko, double}\right)$; (ave:num_p_valence .* ave:covalent_radius_pyykko_double); ave:num_p_valence,ave:covalent_radius_pyykko_double
# 1;  1; AA;                                               256|49|mult; (min:gs_est_bcc_latcnt * ave:period); $\left(min:gs_{est, bcc, latcnt} ave:period\right)$; (min:gs_est_bcc_latcnt .* ave:period); min:gs_est_bcc_latcnt,ave:period
# Number of Samples Per Task
# Task, n_mats_train            
# all , 103                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      
64          ,  9.806170819706537e+01,  9.583231389364346e+01,  3.126000000000000e+02,  9.138145078600001e+00
27          ,  9.195581102005919e+01,  9.180828702783900e+01,  3.352400000000000e+02,  7.892681361000001e+00
69          ,  7.310044637476960e+01,  7.966769795412986e+01,  2.739200000000000e+02,  8.600607132800000e+00
125         ,  2.012029980198631e+02,  2.017600267781081e+02,  4.294400000000000e+02,  1.736757019480000e+01
73          ,  1.013508525385564e+02,  1.022286359032322e+02,  3.340800000000000e+02,  9.138145078600001e+00
119         ,  1.887146035400442e+02,  1.690730757009106e+02,  4.003200000000000e+02,  1.458927090800000e+01
55          ,  1.465164071687489e+02,  1.557846705163288e+02,  3.876000000000000e+02,  1.349016728840000e+01
45          ,  6.922252251530169e+01,  8.010621625830299e+01,  3.066000000000000e+02,  7.525531241199999e+00
9           ,  7.063457799019668e+01,  7.852422139375648e+01,  2.700800000000000e+02,  8.600607132800000e+00
26          ,  5.966202570927710e+01,  6.116073296699773e+01,  2.323200000000000e+02,  7.892681361000001e+00
31          ,  8.459240483249847e+01,  9.003155259258254e+01,  2.931200000000000e+02,  9.138145078600001e+00
98          ,  1.892571838929967e+02,  1.910535015745643e+02,  4.399599999999999e+02,  1.576655296920000e+01
36          ,  1.804786609572536e+02,  1.834412533162760e+02,  4.352000000000000e+02,  1.504989147060000e+01
10          ,  1.071503545301096e+02,  1.020380564765033e+02,  3.334400000000001e+02,  9.138145078600001e+00
93          ,  1.586721939022781e+02,  1.563522050825226e+02,  4.066400000000000e+02,  1.289990697480000e+01
42          ,  1.922420330482679e+02,  1.938175466203377e+02,  4.098000000000000e+02,  1.712531235360000e+01
118         ,  5.345461156622450e+01,  4.846517933196277e+01,  2.049600000000000e+02,  7.366502603600000e+00
127         ,  1.258768321724361e+02,  1.339274316825005e+02,  2.740800000000000e+02,  1.487225924100000e+01
96          ,  9.458888504929534e+01,  9.584258729010156e+01,  3.182400000000000e+02,  8.945038875800002e+00
60          ,  6.700355961656858e+01,  6.187540581723110e+01,  2.347200000000000e+02,  7.892681361000001e+00
0           ,  1.324521624992106e+02,  1.334636680372405e+02,  3.702000000000000e+02,  1.150732982160000e+01
84          ,  1.874396857101914e+02,  1.839684338205258e+02,  4.277200000000000e+02,  1.536856120800000e+01
28          ,  9.362157646373184e+01,  9.100607553443071e+01,  3.276000000000000e+02,  8.063069187000000e+00
40          ,  1.876581343779474e+02,  1.892119120920216e+02,  4.256000000000000e+02,  1.604819799880000e+01
86          ,  6.540869502383295e+01,  6.656662352965226e+01,  2.352000000000000e+02,  8.418860118400001e+00
25          ,  1.397570909097410e+02,  1.473744957670576e+02,  3.798000000000000e+02,  1.278592202400000e+01
23          ,  1.776115625775598e+02,  1.766299964843153e+02,  4.243200000000001e+02,  1.463672496000000e+01
67          ,  1.178407975639319e+02,  1.186938507194822e+02,  3.612000000000000e+02,  1.010869375320000e+01
95          ,  7.035268214247002e+01,  6.639806586048647e+01,  2.193600000000000e+02,  8.945038875800002e+00
39          ,  6.690965549992833e+01,  6.127804443792527e+01,  2.174400000000000e+02,  8.418860118400001e+00
22          ,  8.942508557141944e+01,  9.098444972622704e+01,  2.963200000000000e+02,  9.138145078600001e+00
68          ,  1.728438327749059e+02,  1.493245887218944e+02,  3.830400000000000e+02,  1.289990697480000e+01
80          ,  1.635560662373134e+02,  1.714567651878335e+02,  4.050000000000000e+02,  1.470381032760000e+01
112         ,  7.423809586689029e+01,  7.137515271300096e+01,  2.208000000000000e+02,  9.471217633200002e+00
137         ,  2.091771198782973e+02,  1.896168933738205e+02,  4.269600000000000e+02,  1.604819799880000e+01
