# c0 + a0 * (ave:covalent_radius_pyykko / max:covalent_radius_slater) + a1 * (ave:period * ave:num_p_valence) + a2 * (min:gs_volume_per + ave:gs_volume_per)
# Property Label: $Volume$; Unit of the Property: AA^3
# RMSE: 6.92839844602637; Max AE: 33.8079723661047
# Coefficients
# Task   a0                      a1                      a2                      c0
# all ,  1.348942391447154e+02,  7.852248709977161e+00,  1.607508133916577e+00, -1.111878205329071e+02, 
# Feature Rung, Units, and Expressions
# 0;  1; Unitless;                                         9|186|div; (ave:covalent_radius_pyykko / max:covalent_radius_slater); $\left(\frac{ ave:covalent_{radius, pyykko} }{ max:covalent_{radius, slater} } \right)$; (ave:covalent_radius_pyykko ./ max:covalent_radius_slater); ave:covalent_radius_pyykko,max:covalent_radius_slater
# 1;  1; Unitless;                                         49|46|mult; (ave:period * ave:num_p_valence); $\left(ave:period ave:num_{p, valence}\right)$; (ave:period .* ave:num_p_valence); ave:period,ave:num_p_valence
# 2;  1; cm^3 * mol^-1;                                    259|27|add; (min:gs_volume_per + ave:gs_volume_per); $\left(min:gs_{volume, per} + ave:gs_{volume, per}\right)$; (min:gs_volume_per + ave:gs_volume_per); min:gs_volume_per,ave:gs_volume_per
# Number of Samples Per Task
# Task, n_mats_train            
# all , 103                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      
64          ,  9.806170819706537e+01,  9.257421916706480e+01,  4.553191489361702e-01,  1.020000000000000e+01,  3.872401724200000e+01
27          ,  9.195581102005919e+01,  9.317952306746301e+01,  4.709090909090909e-01,  1.020000000000000e+01,  3.779233333400001e+01
69          ,  7.310044637476960e+01,  7.046960287107152e+01,  4.757894736842105e-01,  1.024000000000000e+01,  2.306000000000000e+01
125         ,  2.012029980198631e+02,  1.938112793637412e+02,  5.923404255319148e-01,  1.472000000000000e+01,  6.812450000000000e+01
73          ,  1.013508525385564e+02,  1.029616034855927e+02,  4.353846153846154e-01,  1.088000000000000e+01,  4.353700000000001e+01
119         ,  1.887146035400442e+02,  1.828229859739747e+02,  7.522580645161290e-01,  1.440000000000000e+01,  4.943250000000000e+01
55          ,  1.465164071687489e+02,  1.550079527290416e+02,  5.719148936170212e-01,  1.320000000000000e+01,  5.312450000000000e+01
45          ,  6.922252251530169e+01,  7.837424035027321e+01,  4.604255319148935e-01,  8.399999999999999e+00,  3.825450000000000e+01
9           ,  7.063457799019668e+01,  6.960370490237258e+01,  4.705263157894737e-01,  1.024000000000000e+01,  2.296300000000000e+01
26          ,  5.966202570927710e+01,  5.977287956757088e+01,  4.663636363636364e-01,  7.199999999999999e+00,  3.204633333400000e+01
31          ,  8.459240483249847e+01,  7.899937838674515e+01,  4.884210526315790e-01,  1.088000000000000e+01,  2.418000000000000e+01
98          ,  1.892571838929967e+02,  1.884274649532909e+02,  5.346153846153846e-01,  1.496000000000000e+01,  6.844700000000000e+01
36          ,  1.804786609572536e+02,  1.801830238368152e+02,  5.727659574468085e-01,  1.428000000000000e+01,  6.343849999999999e+01
10          ,  1.071503545301096e+02,  9.971427172959922e+01,  4.646808510638297e-01,  1.088000000000000e+01,  3.905850000000000e+01
93          ,  1.586721939022781e+02,  1.541926285518951e+02,  5.344680851063830e-01,  1.224000000000000e+01,  6.044900000000000e+01
42          ,  1.922420330482679e+02,  1.949513338774011e+02,  5.730769230769230e-01,  1.320000000000000e+01,  7.787500000000000e+01
118         ,  5.345461156622450e+01,  5.193436245078752e+01,  5.288888888888889e-01,  6.720000000000000e+00,  2.426800000000000e+01
127         ,  1.258768321724361e+02,  1.385450580295491e+02,  6.111627906976744e-01,  1.008000000000000e+01,  5.483012500000000e+01
96          ,  9.458888504929534e+01,  9.699205757381486e+01,  4.905263157894737e-01,  1.224000000000000e+01,  2.855300000000000e+01
60          ,  6.700355961656858e+01,  6.335511980730061e+01,  4.836363636363636e-01,  7.199999999999999e+00,  3.282533333400000e+01
0           ,  1.324521624992106e+02,  1.284029950500755e+02,  5.645454545454546e-01,  1.080000000000000e+01,  4.891583333400000e+01
