# c0 + a0 * (ave:vdw_radius_uff * ave:covalent_radius_pyykko_double)
# Property Label: $Volume$; Unit of the Property: AA^3
# RMSE: 12.7503484224111; Max AE: 47.0628544944274
# Coefficients
# Task   a0                      c0
# all ,  5.129116861161188e-03, -9.334706963426551e+01, 
# Feature Rung, Units, and Expressions
# 0;  1; pm^2;                                             55|10|mult; (ave:vdw_radius_uff * ave:covalent_radius_pyykko_double); $\left(ave:vdw_{radius, uff} ave:covalent_{radius, pyykko, double}\right)$; (ave:vdw_radius_uff .* ave:covalent_radius_pyykko_double); ave:vdw_radius_uff,ave:covalent_radius_pyykko_double
# Number of Samples Per Task
# Task, n_mats_train            
# all , 103                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      
64          ,  9.806170819706537e+01,  8.741595444401234e+01,  3.524252400000000e+04
27          ,  9.195581102005919e+01,  9.692913265108240e+01,  3.709726400000000e+04
125         ,  2.012029980198631e+02,  1.961359365185736e+02,  5.643915199999999e+04
73          ,  1.013508525385564e+02,  1.109063453941607e+02,  3.982233600000000e+04
11          ,  1.617034912836585e+02,  1.676308900791378e+02,  5.088165600000000e+04
119         ,  1.887146035400442e+02,  1.416517490456168e+02,  4.581662400000000e+04
110         ,  1.562326241405194e+02,  1.706648447683844e+02,  5.147317200000000e+04
113         ,  7.050822380170608e+01,  7.446122088897282e+01,  3.271680000000000e+04
9           ,  7.063457799019668e+01,  5.653069003398601e+01,  2.922096800000000e+04
4           ,  7.851117738952721e+01,  7.712072953088725e+01,  3.323531200000000e+04
124         ,  1.885207260436857e+02,  1.851451007767379e+02,  5.429631999999999e+04
31          ,  8.459240483249847e+01,  7.190991609636148e+01,  3.221938400000000e+04
36          ,  1.804786609572536e+02,  1.818821617943416e+02,  5.366016000000000e+04
16          ,  1.473017585346737e+02,  1.500745180409390e+02,  4.745877200000000e+04
10          ,  1.071503545301096e+02,  1.049674230464919e+02,  3.866445200000000e+04
111         ,  9.534692245017716e+01,  7.179346462714568e+01,  3.219668000000000e+04
42          ,  1.922420330482679e+02,  1.936760325884282e+02,  5.595955600000000e+04
118         ,  5.345461156622450e+01,  5.392622707422561e+01,  2.871318800000001e+04
127         ,  1.258768321724361e+02,  1.286386256242299e+02,  4.327951600000000e+04
96          ,  9.458888504929534e+01,  8.209691664371606e+01,  3.420549600000000e+04
60          ,  6.700355961656858e+01,  8.199185181393202e+01,  3.418501200000000e+04
40          ,  1.876581343779474e+02,  1.951300551526976e+02,  5.624304000000000e+04
86          ,  6.540869502383295e+01,  8.240068346070147e+01,  3.426472000000000e+04
24          ,  9.809953691058023e+01,  1.035131132516782e+02,  3.838091200000000e+04
