# c0 + a0 * (var:specific_heat / sum:bulk_modulus) + a1 * (ave:num_p_valence * ave:covalent_radius_pyykko) + a2 * (min:gs_est_bcc_latcnt * ave:period)
# Property Label: $Volume$; Unit of the Property: AA^3
# RMSE: 6.80958600142087; Max AE: 21.4259841465842
# Coefficients
# Task   a0                      a1                      a2                      c0
# all , -5.624647849806960e+03,  3.275388173878422e-01,  8.398061205902613e+00, -8.621904716564705e+01, 
# Feature Rung, Units, and Expressions
# 0;  1; GPa^-1 * J * K^-1 * g^-1;                         166|64|div; (var:specific_heat / sum:bulk_modulus); $\left(\frac{ var:specific_{heat} }{ sum:bulk_{modulus} } \right)$; (var:specific_heat ./ sum:bulk_modulus); var:specific_heat,sum:bulk_modulus
# 1;  1; pm;                                               46|9|mult; (ave:num_p_valence * ave:covalent_radius_pyykko); $\left(ave:num_{p, valence} ave:covalent_{radius, pyykko}\right)$; (ave:num_p_valence .* ave:covalent_radius_pyykko); ave:num_p_valence,ave:covalent_radius_pyykko
# 2;  1; AA;                                               256|49|mult; (min:gs_est_bcc_latcnt * ave:period); $\left(min:gs_{est, bcc, latcnt} ave:period\right)$; (min:gs_est_bcc_latcnt .* ave:period); min:gs_est_bcc_latcnt,ave:period
# Number of Samples Per Task
# Task, n_mats_train            
# all , 103                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      
64          ,  9.806170819706537e+01,  9.160232142871543e+01,  7.220529309714588e-04,  3.210000000000000e+02,  9.138145078600001e+00
27          ,  9.195581102005919e+01,  9.531099613829187e+01,  2.230377518188521e-05,  3.522400000000000e+02,  7.892681361000001e+00
125         ,  2.012029980198631e+02,  1.945147696222494e+02,  1.959054471910184e-03,  4.454400000000000e+02,  1.736757019480000e+01
73          ,  1.013508525385564e+02,  1.029905133926381e+02,  1.098878097941642e-03,  3.622400000000001e+02,  9.138145078600001e+00
11          ,  1.617034912836585e+02,  1.646087530363577e+02,  2.869928152745115e-04,  4.153600000000001e+02,  1.385980736260000e+01
119         ,  1.887146035400442e+02,  1.706570666177970e+02,  5.570429157200473e-04,  4.197600000000000e+02,  1.458927090800000e+01
110         ,  1.562326241405194e+02,  1.507780688748837e+02,  1.179309191045875e-03,  3.996000000000000e+02,  1.342521812520000e+01
113         ,  7.050822380170608e+01,  7.913666706085336e+01,  5.295191973663527e-04,  3.072000000000000e+02,  8.063069187000000e+00
9           ,  7.063457799019668e+01,  7.617959404797951e+01,  6.279662066284846e-04,  2.860800000000000e+02,  8.600607132800000e+00
4           ,  7.851117738952721e+01,  8.035666264233350e+01,  6.270744660811743e-04,  3.126000000000000e+02,  8.063069187000000e+00
124         ,  1.885207260436857e+02,  1.812409631399327e+02,  2.117199847447413e-03,  4.338000000000000e+02,  1.634688906480000e+01
31          ,  8.459240483249847e+01,  8.509494723017878e+01,  4.790761246076657e-04,  2.969600000000000e+02,  9.138145078600001e+00
36          ,  1.804786609572536e+02,  1.858867757004720e+02,  7.429711774199359e-04,  4.576400000000000e+02,  1.504989147060000e+01
16          ,  1.473017585346737e+02,  1.454728760544001e+02,  5.130608735692550e-04,  3.858000000000000e+02,  1.288550196980000e+01
10          ,  1.071503545301096e+02,  9.755656477954001e+01,  1.319594449201971e-03,  3.494400000000000e+02,  9.138145078600001e+00
111         ,  9.534692245017716e+01,  8.870140769921998e+01,  9.034063737483522e-04,  3.290400000000000e+02,  8.600607132800000e+00
42          ,  1.922420330482679e+02,  1.884779223288428e+02,  2.761471225997126e-03,  4.470000000000000e+02,  1.712531235360000e+01
118         ,  5.345461156622450e+01,  4.950453006067615e+01,  1.736698074277234e-04,  2.284800000000000e+02,  7.366502603600000e+00
127         ,  1.258768321724361e+02,  1.409694682468524e+02,  1.781923849567858e-04,  3.153600000000000e+02,  1.487225924100000e+01
96          ,  9.458888504929534e+01,  9.739805409229666e+01,  2.488523295231477e-04,  3.355200000000000e+02,  8.945038875800002e+00
60          ,  6.700355961656858e+01,  6.299590539141094e+01,  1.259778422377977e-04,  2.553600000000000e+02,  7.892681361000001e+00
40          ,  1.876581343779474e+02,  1.884175419345392e+02,  9.986049294369111e-04,  4.441600000000001e+02,  1.604819799880000e+01
86          ,  6.540869502383295e+01,  6.622371491960666e+01,  3.097854826369332e-04,  2.548800000000000e+02,  8.418860118400001e+00
24          ,  9.809953691058023e+01,  1.023550968838184e+02,  1.099448540653540e-04,  3.617599999999999e+02,  8.418860118400001e+00
25          ,  1.397570909097410e+02,  1.470376912146462e+02,  5.753283142082288e-04,  3.942000000000000e+02,  1.278592202400000e+01
