# c0 + a0 * (ave:vdw_radius_uff + ave:covalent_radius_pyykko_double)
# Property Label: $Volume$; Unit of the Property: AA^3
# RMSE: 12.9844664250706; Max AE: 29.2315271231911
# Coefficients
# Task   a0                      c0
# all ,  1.038126079869169e+00, -3.836852510922937e+02, 
# Feature Rung, Units, and Expressions
# 0;  1; pm;                                               55|10|add; (ave:vdw_radius_uff + ave:covalent_radius_pyykko_double); $\left(ave:vdw_{radius, uff} + ave:covalent_{radius, pyykko, double}\right)$; (ave:vdw_radius_uff + ave:covalent_radius_pyykko_double); ave:vdw_radius_uff,ave:covalent_radius_pyykko_double
# Number of Samples Per Task
# Task, n_mats_train            
# all , 103                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      
64          ,  9.806170819706537e+01,  7.560248916342418e+01,  4.424200000000000e+02
27          ,  9.195581102005919e+01,  1.092585366727827e+02,  4.748400000000000e+02
69          ,  7.310044637476960e+01,  6.542885358070636e+01,  4.326200000000000e+02
125         ,  2.012029980198631e+02,  1.922255729759267e+02,  5.547600000000000e+02
73          ,  1.013508525385564e+02,  1.206779235513436e+02,  4.858400000000000e+02
11          ,  1.617034912836585e+02,  1.695944244347789e+02,  5.329600000000000e+02
119         ,  1.887146035400442e+02,  1.594830764168531e+02,  5.232200000000000e+02
110         ,  1.562326241405194e+02,  1.585695254665682e+02,  5.223399999999999e+02
113         ,  7.050822380170608e+01,  6.976822059455944e+01,  4.368000000000000e+02
55          ,  1.465164071687489e+02,  1.569708113035697e+02,  5.208000000000000e+02
45          ,  6.922252251530169e+01,  8.008719382845904e+01,  4.467400000000000e+02
9           ,  7.063457799019668e+01,  6.335260142096803e+01,  4.306200000000000e+02
4           ,  7.851117738952721e+01,  7.323556170132250e+01,  4.401400000000000e+02
26          ,  5.966202570927710e+01,  7.620460228974834e+01,  4.430000000000000e+02
124         ,  1.885207260436857e+02,  1.735808285814764e+02,  5.368000000000000e+02
98          ,  1.892571838929967e+02,  1.942187750492755e+02,  5.566799999999999e+02
36          ,  1.804786609572536e+02,  1.843981023337132e+02,  5.472200000000000e+02
16          ,  1.473017585346737e+02,  1.377239537827953e+02,  5.022600000000000e+02
93          ,  1.586721939022781e+02,  1.606042525831118e+02,  5.243000000000000e+02
111         ,  9.534692245017716e+01,  9.424723355787449e+01,  4.603800000000000e+02
42          ,  1.922420330482679e+02,  1.834015012970387e+02,  5.462600000000000e+02
127         ,  1.258768321724361e+02,  1.282977689775833e+02,  4.931800000000000e+02
96          ,  9.458888504929534e+01,  1.097775997127173e+02,  4.753400000000000e+02
60          ,  6.700355961656858e+01,  8.071006947638051e+01,  4.473400000000000e+02
0           ,  1.324521624992106e+02,  1.347756757159668e+02,  4.994200000000000e+02
84          ,  1.874396857101914e+02,  1.757608933492018e+02,  5.389000000000001e+02
28          ,  9.362157646373184e+01,  9.493239677058811e+01,  4.610400000000000e+02
40          ,  1.876581343779474e+02,  1.933882741853802e+02,  5.558800000000000e+02
86          ,  6.540869502383295e+01,  8.102150730034127e+01,  4.476400000000000e+02
24          ,  9.809953691058023e+01,  1.173974451389569e+02,  4.826799999999999e+02
23          ,  1.776115625775598e+02,  1.766952068210839e+02,  5.398000000000000e+02
115         ,  1.348472579215662e+02,  1.429145841821411e+02,  5.072600000000000e+02
67          ,  1.178407975639319e+02,  1.451361739930612e+02,  5.094000000000000e+02
44          ,  1.408716465187509e+02,  1.689300237436625e+02,  5.323199999999999e+02
15          ,  1.304908476901080e+02,  1.319727353003202e+02,  4.967200000000000e+02
95          ,  7.035268214247002e+01,  7.180294771110306e+01,  4.387600000000000e+02
39          ,  6.690965549992833e+01,  6.968517050816999e+01,  4.367200000000000e+02
68          ,  1.728438327749059e+02,  1.541471083663256e+02,  5.180800000000000e+02
80          ,  1.635560662373134e+02,  1.765291066483049e+02,  5.396400000000000e+02
140         ,  9.231264108905833e+01,  9.104980523187741e+01,  4.573000000000000e+02
47          ,  5.673059181818780e+01,  6.383013941770788e+01,  4.310800000000000e+02
30          ,  1.575095787725395e+02,  1.416480703647007e+02,  5.060400000000000e+02
112         ,  7.423809586689029e+01,  7.192752284068736e+01,  4.388800000000000e+02
76          ,  6.221586353440775e+01,  4.695020935903520e+01,  4.148200000000001e+02
137         ,  2.091771198782973e+02,  1.842112396393367e+02,  5.470400000000000e+02
33          ,  9.639831336185570e+01,  6.746358069724985e+01,  4.345799999999999e+02
142         ,  6.217869364696995e+01,  7.823932940629189e+01,  4.449600000000000e+02
62          ,  1.284855607921225e+02,  1.388243674274566e+02,  5.033200000000000e+02
135         ,  8.871171279800387e+01,  7.084787171762341e+01,  4.378400000000000e+02
53          ,  1.912036606685361e+02,  2.032089469009424e+02,  5.653399999999999e+02
5           ,  5.646241061036604e+01,  6.111024908845065e+01,  4.284600000000000e+02
85          ,  6.604743166171670e+01,  7.194828536228472e+01,  4.389000000000000e+02
77          ,  1.735436897724758e+02,  1.918310850655764e+02,  5.543800000000000e+02
