# c0 + a0 * (ave:period * ave:num_p_valence) + a1 * (min:gs_est_bcc_latcnt + ave:gs_est_bcc_latcnt)
# Property Label: $Volume$; Unit of the Property: AA^3
# RMSE: 8.54137880219574; Max AE: 39.3934779244318
# Coefficients
# Task   a0                      a1                      c0
# all ,  8.246357550389540e+00,  3.402226913386961e+01, -1.984054777895385e+02, 
# Feature Rung, Units, and Expressions
# 0;  1; Unitless;                                         49|46|mult; (ave:period * ave:num_p_valence); $\left(ave:period ave:num_{p, valence}\right)$; (ave:period .* ave:num_p_valence); ave:period,ave:num_p_valence
# 1;  1; AA;                                               256|24|add; (min:gs_est_bcc_latcnt + ave:gs_est_bcc_latcnt); $\left(min:gs_{est, bcc, latcnt} + ave:gs_{est, bcc, latcnt}\right)$; (min:gs_est_bcc_latcnt + ave:gs_est_bcc_latcnt); min:gs_est_bcc_latcnt,ave:gs_est_bcc_latcnt
# Number of Samples Per Task
# Task, n_mats_train            
# all , 103                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      
64          ,  9.806170819706537e+01,  9.568238763633671e+01,  1.020000000000000e+01,  6.171693533600000e+00
27          ,  9.195581102005919e+01,  9.480734617641137e+01,  1.020000000000000e+01,  6.145973865800000e+00
69          ,  7.310044637476960e+01,  7.694297974339236e+01,  1.024000000000000e+01,  5.611199989800000e+00
125         ,  2.012029980198631e+02,  1.950977267439584e+02,  1.472000000000000e+01,  7.998197307800000e+00
73          ,  1.013508525385564e+02,  1.042216052381454e+02,  1.088000000000000e+01,  6.257863402400000e+00
11          ,  1.617034912836585e+02,  1.639964006659269e+02,  1.216000000000000e+01,  7.704546972200000e+00
119         ,  1.887146035400442e+02,  1.700132406764862e+02,  1.440000000000000e+01,  7.338463191800000e+00
110         ,  1.562326241405194e+02,  1.512988609051089e+02,  1.260000000000000e+01,  7.224686648400001e+00
113         ,  7.050822380170608e+01,  7.930485547772479e+01,  9.000000000000000e+00,  5.981174110200000e+00
55          ,  1.465164071687489e+02,  1.535921459621858e+02,  1.320000000000000e+01,  7.146663355399999e+00
45          ,  6.922252251530169e+01,  8.003371571720319e+01,  8.399999999999999e+00,  6.148025849200000e+00
9           ,  7.063457799019668e+01,  7.665367729088285e+01,  1.024000000000000e+01,  5.602696663600000e+00
4           ,  7.851117738952721e+01,  7.940534737387485e+01,  9.000000000000000e+00,  5.984127819600000e+00
26          ,  5.966202570927710e+01,  6.083148586133569e+01,  7.199999999999999e+00,  5.874481461000000e+00
124         ,  1.885207260436857e+02,  1.846545889657086e+02,  1.260000000000000e+01,  8.205095330999999e+00
98          ,  1.892571838929967e+02,  1.924885358797747e+02,  1.496000000000000e+01,  7.863335148599999e+00
36          ,  1.804786609572536e+02,  1.836203411033332e+02,  1.428000000000000e+01,  7.767495813800000e+00
16          ,  1.473017585346737e+02,  1.472613540984448e+02,  1.140000000000000e+01,  7.396871585000000e+00
93          ,  1.586721939022781e+02,  1.620427811797941e+02,  1.224000000000000e+01,  7.627734691400001e+00
111         ,  9.534692245017716e+01,  9.297171197059441e+01,  1.152000000000000e+01,  5.772076812600000e+00
42          ,  1.922420330482679e+02,  1.928630751381189e+02,  1.320000000000000e+01,  8.300934665800000e+00
127         ,  1.258768321724361e+02,  1.394890614979824e+02,  1.008000000000000e+01,  7.488367521199999e+00
96          ,  9.458888504929534e+01,  1.014733010848968e+02,  1.224000000000000e+01,  5.847445438600000e+00
60          ,  6.700355961656858e+01,  6.257234448666296e+01,  7.199999999999999e+00,  5.925649671400000e+00
0           ,  1.324521624992106e+02,  1.317004267936632e+02,  1.080000000000000e+01,  7.084925526000001e+00
84          ,  1.874396857101914e+02,  1.863919188587533e+02,  1.428000000000000e+01,  7.848959450000001e+00
28          ,  9.362157646373184e+01,  9.031311329000343e+01,  9.000000000000000e+00,  6.304734475000000e+00
40          ,  1.876581343779474e+02,  1.845843976834193e+02,  1.408000000000000e+01,  7.844308094600000e+00
86          ,  6.540869502383295e+01,  6.650576959836008e+01,  7.680000000000000e+00,  5.924919957800000e+00
24          ,  9.809953691058023e+01,  1.030895905922968e+02,  1.088000000000000e+01,  6.224590646800000e+00
23          ,  1.776115625775598e+02,  1.822948122192836e+02,  1.360000000000000e+01,  7.893354387000000e+00
115         ,  1.348472579215662e+02,  1.393229626055174e+02,  1.140000000000000e+01,  7.163542307000000e+00
67          ,  1.178407975639319e+02,  1.185135571621363e+02,  1.080000000000000e+01,  6.697330284200000e+00
44          ,  1.408716465187509e+02,  1.381119912735820e+02,  1.260000000000000e+01,  6.837091406600001e+00
15          ,  1.304908476901080e+02,  1.164667502332274e+02,  1.080000000000000e+01,  6.637169484200000e+00
95          ,  7.035268214247002e+01,  6.886053129892859e+01,  8.160000000000000e+00,  5.877789358800000e+00
39          ,  6.690965549992833e+01,  6.313349878941591e+01,  7.680000000000000e+00,  5.825800443000000e+00
68          ,  1.728438327749059e+02,  1.542762128020965e+02,  1.296000000000000e+01,  7.224941281000000e+00
80          ,  1.635560662373134e+02,  1.671298828893734e+02,  1.380000000000000e+01,  7.399142764200000e+00
140         ,  9.231264108905833e+01,  8.940397402470234e+01,  9.000000000000000e+00,  6.278012587000001e+00
47          ,  5.673059181818780e+01,  5.580828836203590e+01,  7.199999999999999e+00,  5.726837061400000e+00
30          ,  1.575095787725395e+02,  1.495086348411679e+02,  1.020000000000000e+01,  7.753782223600000e+00
112         ,  7.423809586689029e+01,  7.437099395875252e+01,  8.640000000000001e+00,  5.923412742400000e+00
76          ,  6.221586353440775e+01,  6.326206884953965e+01,  8.399999999999999e+00,  5.655064994600000e+00
137         ,  2.091771198782973e+02,  1.881534025645868e+02,  1.584000000000000e+01,  7.522619251200000e+00
33          ,  9.639831336185570e+01,  8.805985182448249e+01,  9.600000000000001e+00,  6.093076752600000e+00
142         ,  6.217869364696995e+01,  6.561341400834337e+01,  7.680000000000000e+00,  5.898691384200000e+00
62          ,  1.284855607921225e+02,  1.449760329443664e+02,  1.020000000000000e+01,  7.620557661799999e+00
135         ,  8.871171279800387e+01,  8.103842431475165e+01,  9.000000000000000e+00,  6.032128055400000e+00
53          ,  1.912036606685361e+02,  1.931227381578452e+02,  1.472000000000000e+01,  7.940147429400000e+00
5           ,  5.646241061036604e+01,  5.554184704398630e+01,  7.199999999999999e+00,  5.719005681400001e+00
85          ,  6.604743166171670e+01,  7.241117990534904e+01,  7.800000000000001e+00,  6.069409068200001e+00
77          ,  1.735436897724758e+02,  2.129371676969076e+02,  1.672000000000000e+01,  8.037780965400000e+00
34          ,  6.288448403712296e+01,  7.132762440239402e+01,  8.160000000000000e+00,  5.950303425800000e+00
7           ,  6.154031610112789e+01,  5.854176567376997e+01,  7.199999999999999e+00,  5.807180829800000e+00
43          ,  9.003176998171779e+01,  9.554638105019498e+01,  1.020000000000000e+01,  6.167695958200000e+00
70          ,  5.876522370994315e+01,  5.157498902207036e+01,  7.199999999999999e+00,  5.602409754000000e+00
89          ,  1.845971359160373e+02,  1.655862797350009e+02,  1.368000000000000e+01,  7.382858128800001e+00
83          ,  8.685815788108755e+01,  9.557299529938122e+01,  1.080000000000000e+01,  6.023049513200000e+00
123         ,  2.218543389191891e+02,  2.111068855523629e+02,  1.632000000000000e+01,  8.080936842800000e+00
129         ,  7.058438955216727e+01,  7.974648186202631e+01,  9.000000000000000e+00,  5.994154619600000e+00
8           ,  1.379771288780131e+02,  1.247880145216662e+02,  1.088000000000000e+01,  6.862361862000000e+00
114         ,  1.245825633863354e+02,  1.189263068393101e+02,  1.080000000000000e+01,  6.709462034600000e+00
17          ,  1.154201413293227e+02,  1.168972676547364e+02,  1.216000000000000e+01,  6.320185076000000e+00
72          ,  1.505744324222536e+02,  1.618006321345962e+02,  1.380000000000000e+01,  7.242502690200000e+00
6           ,  1.752395240612576e+02,  1.734266174428420e+02,  1.292000000000000e+01,  7.797515052200000e+00
101         ,  6.465769186928596e+01,  6.297483499436276e+01,  9.000000000000000e+00,  5.501193765000000e+00
2           ,  5.771548700058894e+01,  5.679612636846863e+01,  7.199999999999999e+00,  5.755872103200000e+00
122         ,  2.014000729838491e+02,  2.029291615676221e+02,  1.496000000000000e+01,  8.170211378600001e+00
54          ,  8.998190321387162e+01,  8.178143821284807e+01,  8.399999999999999e+00,  6.199395806000000e+00
50          ,  1.144884087492389e+02,  1.108910213502821e+02,  1.020000000000000e+01,  6.618713503200000e+00
104         ,  1.531720861969143e+02,  1.537605367639087e+02,  1.156000000000000e+01,  7.549117910400000e+00
46          ,  6.638274984747244e+01,  7.325551847456656e+01,  8.399999999999999e+00,  5.948797596200000e+00
105         ,  6.260542136940490e+01,  7.255130598661923e+01,  6.480000000000000e+00,  6.393470876200000e+00
61          ,  1.513414191693852e+02,  1.610862002764253e+02,  1.368000000000000e+01,  7.250589483200001e+00
141         ,  5.908637035915022e+01,  4.809943803076244e+01,  6.720000000000000e+00,  5.616597538800001e+00
79          ,  6.172344219415545e+01,  6.149225394071657e+01,  7.199999999999999e+00,  5.893903095600001e+00
136         ,  1.878481455563482e+02,  1.739734059431238e+02,  1.200000000000000e+01,  8.036577221000000e+00
41          ,  8.588925575648324e+01,  8.733789487778462e+01,  9.600000000000001e+00,  6.071856623400000e+00
90          ,  1.323141358213091e+02,  1.380365274001331e+02,  1.280000000000000e+01,  6.786397098800000e+00
88          ,  1.252802886728060e+02,  1.373534971325123e+02,  9.600000000000001e+00,  7.541940880800000e+00
126         ,  7.603223118739854e+01,  7.076746727669183e+01,  8.160000000000000e+00,  5.933839000000001e+00
57          ,  1.280373015126955e+02,  1.088442144213732e+02,  1.020000000000000e+01,  6.558552703200000e+00
75          ,  9.416246053996997e+01,  9.686944629901623e+01,  1.020000000000000e+01,  6.206584171200000e+00
32          ,  2.470528593513509e+02,  2.447520999919930e+02,  1.768000000000000e+01,  8.740215860399999e+00
59          ,  7.370978119031361e+01,  8.128240860804968e+01,  9.000000000000000e+00,  6.039299367000000e+00
63          ,  9.527186437700378e+01,  9.373624382692122e+01,  1.152000000000000e+01,  5.794548325400000e+00
128         ,  1.127928271848657e+02,  1.078174016418984e+02,  1.156000000000000e+01,  6.198733697600000e+00
37          ,  6.740982957627959e+01,  6.778044075298217e+01,  8.160000000000000e+00,  5.846042783000000e+00
107         ,  5.684900711217347e+01,  4.743866995138155e+01,  6.720000000000000e+00,  5.597175904200000e+00
134         ,  2.189143114936079e+02,  2.014968242558103e+02,  1.380000000000000e+01,  8.409273547400000e+00
1           ,  6.589429488532184e+01,  7.346761777226352e+01,  6.480000000000000e+00,  6.420403582600001e+00
52          ,  1.685536482338435e+02,  1.709109759562356e+02,  1.292000000000000e+01,  7.723574026200000e+00
103         ,  5.981199781507478e+01,  5.222059809838926e+01,  7.199999999999999e+00,  5.621385827400001e+00
99          ,  1.103591846419842e+02,  1.103718841084431e+02,  1.152000000000000e+01,  6.283511604600000e+00
116         ,  6.928383831454539e+01,  7.709800900174100e+01,  9.600000000000001e+00,  5.770880641000000e+00
74          ,  1.634935249887072e+02,  1.653396568254325e+02,  1.140000000000000e+01,  7.928238339400000e+00
121         ,  7.759315330331438e+01,  7.679949496042819e+01,  1.024000000000000e+01,  5.606982611400000e+00
143         ,  7.259770851342745e+01,  7.867655619460302e+01,  1.024000000000000e+01,  5.662154158800000e+00
71          ,  2.033361364024827e+02,  2.117973563440635e+02,  1.564000000000000e+01,  8.266050713399999e+00
106         ,  2.038799354056747e+02,  2.036360672183843e+02,  1.536000000000000e+01,  8.094036642599999e+00
14          ,  1.651217664757107e+02,  1.763241804314082e+02,  1.320000000000000e+01,  7.814814982200001e+00
102         ,  8.368680399312422e+01,  7.971535906593041e+01,  9.000000000000000e+00,  5.993239842400000e+00
