# c0 + a0 * (max:covalent_radius_slater - ave:covalent_radius_pyykko_double) + a1 * (ave:period * ave:num_p_valence) + a2 * (min:gs_volume_per + ave:gs_volume_per)
# Property Label: $Volume$; Unit of the Property: AA^3
# RMSE: 6.62767457885754; Max AE: 32.1555066763242
# Coefficients
# Task   a0                      a1                      a2                      c0
# all , -4.199470084795298e-01,  7.244213568795941e+00,  1.966612621419520e+00, -1.730962555285329e+00, 
# Feature Rung, Units, and Expressions
# 0;  1; pm;                                               186|10|sub; (max:covalent_radius_slater - ave:covalent_radius_pyykko_double); $\left(max:covalent_{radius, slater} - ave:covalent_{radius, pyykko, double}\right)$; (max:covalent_radius_slater - ave:covalent_radius_pyykko_double); max:covalent_radius_slater,ave:covalent_radius_pyykko_double
# 1;  1; Unitless;                                         49|46|mult; (ave:period * ave:num_p_valence); $\left(ave:period ave:num_{p, valence}\right)$; (ave:period .* ave:num_p_valence); ave:period,ave:num_p_valence
# 2;  1; cm^3 * mol^-1;                                    259|27|add; (min:gs_volume_per + ave:gs_volume_per); $\left(min:gs_{volume, per} + ave:gs_{volume, per}\right)$; (min:gs_volume_per + ave:gs_volume_per); min:gs_volume_per,ave:gs_volume_per
# Number of Samples Per Task
# Task, n_mats_train            
# all , 103                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      
64          ,  9.806170819706537e+01,  9.338608819749510e+01,  1.308000000000000e+02,  1.020000000000000e+01,  3.872401724200000e+01
27          ,  9.195581102005919e+01,  9.550132874455639e+01,  1.214000000000000e+02,  1.020000000000000e+01,  3.779233333400001e+01
69          ,  7.310044637476960e+01,  7.395740375385633e+01,  1.044000000000000e+02,  1.024000000000000e+01,  2.306000000000000e+01
125         ,  2.012029980198631e+02,  1.965477042505484e+02,  1.008000000000000e+02,  1.472000000000000e+01,  6.812450000000000e+01
73          ,  1.013508525385564e+02,  9.736274025254134e+01,  1.556000000000000e+02,  1.088000000000000e+01,  4.353700000000001e+01
11          ,  1.617034912836585e+02,  1.618380096651796e+02,  1.104000000000000e+02,  1.216000000000000e+01,  6.195500000000000e+01
119         ,  1.887146035400442e+02,  1.814066122722932e+02,  4.380000000000000e+01,  1.440000000000000e+01,  4.943250000000000e+01
110         ,  1.562326241405194e+02,  1.545844859172807e+02,  8.819999999999999e+01,  1.260000000000000e+01,  5.190533333399999e+01
113         ,  7.050822380170608e+01,  7.538204378106784e+01,  1.390000000000000e+02,  9.000000000000000e+00,  3.574050000000000e+01
55          ,  1.465164071687489e+02,  1.539375752622881e+02,  1.058000000000000e+02,  1.320000000000000e+01,  5.312450000000000e+01
45          ,  6.922252251530169e+01,  7.858325122261203e+01,  1.328000000000000e+02,  8.399999999999999e+00,  3.825450000000000e+01
9           ,  7.063457799019668e+01,  7.326270591940322e+01,  1.056000000000000e+02,  1.024000000000000e+01,  2.296300000000000e+01
4           ,  7.851117738952721e+01,  7.578391681900385e+01,  1.382000000000000e+02,  9.000000000000000e+00,  3.577401724200000e+01
26          ,  5.966202570927710e+01,  6.171262730022885e+01,  1.232000000000000e+02,  7.199999999999999e+00,  3.204633333400000e+01
124         ,  1.885207260436857e+02,  1.909355955439519e+02,  9.980000000000001e+01,  1.260000000000000e+01,  7.286650000000000e+01
98          ,  1.892571838929967e+02,  1.864061272247772e+02,  1.306000000000000e+02,  1.496000000000000e+01,  6.844700000000000e+01
36          ,  1.804786609572536e+02,  1.815410320837332e+02,  1.070000000000000e+02,  1.428000000000000e+01,  6.343849999999999e+01
16          ,  1.473017585346737e+02,  1.457592315971851e+02,  1.088000000000000e+02,  1.140000000000000e+01,  5.623700000000001e+01
93          ,  1.586721939022781e+02,  1.573560931004278e+02,  1.154000000000000e+02,  1.224000000000000e+01,  6.044900000000000e+01
111         ,  9.534692245017716e+01,  8.822600991089188e+01,  1.040000000000000e+02,  1.152000000000000e+01,  2.551500000000000e+01
42          ,  1.922420330482679e+02,  1.952211535994922e+02,  1.234000000000000e+02,  1.320000000000000e+01,  7.787500000000000e+01
127         ,  1.258768321724361e+02,  1.367896676224511e+02,  1.008000000000000e+02,  1.008000000000000e+01,  5.483012500000000e+01
96          ,  9.458888504929534e+01,  1.004242856446483e+02,  1.016000000000000e+02,  1.224000000000000e+01,  2.855300000000000e+01
60          ,  6.700355961656858e+01,  6.366456554079418e+01,  1.222000000000000e+02,  7.199999999999999e+00,  3.282533333400000e+01
0           ,  1.324521624992106e+02,  1.321381581904863e+02,  9.659999999999999e+01,  1.080000000000000e+01,  4.891583333400000e+01
84          ,  1.874396857101914e+02,  1.790321451596740e+02,  1.342000000000000e+02,  1.428000000000000e+01,  6.797100000000000e+01
28          ,  9.362157646373184e+01,  8.771942162861041e+01,  1.508000000000000e+02,  9.000000000000000e+00,  4.453366666600000e+01
40          ,  1.876581343779474e+02,  1.851536430202295e+02,  1.020000000000000e+02,  1.408000000000000e+01,  6.494450000000001e+01
86          ,  6.540869502383295e+01,  6.720217810405512e+01,  1.220000000000000e+02,  7.680000000000000e+00,  3.281333333400001e+01
24          ,  9.809953691058023e+01,  1.018127974921280e+02,  1.346000000000000e+02,  1.088000000000000e+01,  4.131550000000000e+01
23          ,  1.776115625775598e+02,  1.757215769875824e+02,  1.352000000000000e+02,  1.360000000000000e+01,  6.900600000000000e+01
115         ,  1.348472579215662e+02,  1.378700898525542e+02,  1.098000000000000e+02,  1.140000000000000e+01,  5.243899999999999e+01
67          ,  1.178407975639319e+02,  1.190945572041749e+02,  1.146000000000000e+02,  1.080000000000000e+01,  4.612700000000000e+01
44          ,  1.408716465187509e+02,  1.415408849309693e+02,  1.062000000000000e+02,  1.260000000000000e+01,  4.911649999999999e+01
15          ,  1.304908476901080e+02,  1.168802044148525e+02,  1.166000000000000e+02,  1.080000000000000e+01,  4.542810345200000e+01
95          ,  7.035268214247002e+01,  6.628796539755407e+01,  1.236000000000000e+02,  8.160000000000000e+00,  3.092200000000000e+01
39          ,  6.690965549992833e+01,  6.509249157764398e+01,  1.094000000000000e+02,  7.680000000000000e+00,  2.905000000000000e+01
68          ,  1.728438327749059e+02,  1.644831887661745e+02,  4.859999999999999e+01,  1.296000000000000e+01,  4.715649999999999e+01
80          ,  1.635560662373134e+02,  1.646019756348889e+02,  1.250000000000000e+02,  1.380000000000000e+01,  6.043700000000000e+01
140         ,  9.231264108905833e+01,  9.004225955067270e+01,  1.298000000000000e+02,  9.000000000000000e+00,  4.123050000000001e+01
47          ,  5.673059181818780e+01,  5.769009299613477e+01,  1.122000000000000e+02,  7.199999999999999e+00,  2.765200000000000e+01
30          ,  1.575095787725395e+02,  1.529586887688668e+02,  9.500000000000000e+01,  1.020000000000000e+01,  6.137133333400000e+01
112         ,  7.423809586689029e+01,  7.159831266328513e+01,  1.230000000000000e+02,  8.640000000000001e+00,  3.172600000000000e+01
76          ,  6.221586353440775e+01,  7.552769866394435e+01,  7.040000000000001e+01,  8.399999999999999e+00,  2.337600000000000e+01
137         ,  2.091771198782973e+02,  2.028605201690108e+02,  3.640000000000001e+01,  1.584000000000000e+01,  5.345700000000000e+01
33          ,  9.639831336185570e+01,  8.765415653542719e+01,  1.176000000000000e+02,  9.600000000000001e+00,  3.520085057600000e+01
142         ,  6.217869364696995e+01,  6.588406406861201e+01,  1.232000000000000e+02,  7.680000000000000e+00,  3.239933333400000e+01
62          ,  1.284855607921225e+02,  1.440702823139422e+02,  1.112000000000000e+02,  1.020000000000000e+01,  6.031100000000000e+01
135         ,  8.871171279800387e+01,  8.121691869350629e+01,  1.172000000000000e+02,  9.000000000000000e+00,  3.405233333400000e+01
53          ,  1.912036606685361e+02,  1.897289696185216e+02,  1.256000000000000e+02,  1.472000000000000e+01,  6.995300000000000e+01
5           ,  5.646241061036604e+01,  5.734118583157236e+01,  1.126000000000000e+02,  7.199999999999999e+00,  2.756000000000000e+01
85          ,  6.604743166171670e+01,  7.285131956054414e+01,  1.196000000000000e+02,  7.800000000000001e+00,  3.473133333400000e+01
77          ,  1.735436897724758e+02,  2.056991964487999e+02,  1.314000000000000e+02,  1.672000000000000e+01,  7.194500000000001e+01
34          ,  6.288448403712296e+01,  6.963982034804432e+01,  1.372000000000000e+02,  8.160000000000000e+00,  3.553050000000000e+01
7           ,  6.154031610112789e+01,  6.035730328987167e+01,  1.110000000000000e+02,  7.199999999999999e+00,  2.875200000000000e+01
43          ,  9.003176998171779e+01,  8.956959561327645e+01,  1.550000000000000e+02,  1.020000000000000e+01,  4.195100000000001e+01
70          ,  5.876522370994315e+01,  5.854796032293917e+01,  9.000000000000000e+01,  7.199999999999999e+00,  2.334766666600000e+01
89          ,  1.845971359160373e+02,  1.778062755574498e+02,  4.480000000000000e+01,  1.368000000000000e+01,  5.046750000000000e+01
83          ,  8.685815788108755e+01,  9.256589332998311e+01,  1.204000000000000e+02,  1.080000000000000e+01,  3.387600000000000e+01
123         ,  2.218543389191891e+02,  2.173294529643792e+02,  9.500000000000000e+01,  1.632000000000000e+01,  7.155950000000000e+01
129         ,  7.058438955216727e+01,  7.685288729802348e+01,  1.362000000000000e+02,  9.000000000000000e+00,  3.589050000000000e+01
8           ,  1.379771288780131e+02,  1.426212387043396e+02,  3.720000000000000e+01,  1.088000000000000e+01,  4.126749999600000e+01
114         ,  1.245825633863354e+02,  1.190417918148757e+02,  1.154000000000000e+02,  1.080000000000000e+01,  4.627100000000000e+01
17          ,  1.154201413293227e+02,  1.177060453566953e+02,  8.159999999999999e+01,  1.216000000000000e+01,  3.336450000000000e+01
72          ,  1.505744324222536e+02,  1.582231333178284e+02,  1.294000000000000e+02,  1.380000000000000e+01,  5.813300000000000e+01
6           ,  1.752395240612576e+02,  1.708564818465384e+02,  1.116000000000000e+02,  1.292000000000000e+01,  6.399750000000000e+01
101         ,  6.465769186928596e+01,  7.379733473935579e+01,  7.380000000000001e+01,  9.000000000000000e+00,  2.101200000000000e+01
2           ,  5.771548700058894e+01,  5.848992939202738e+01,  1.120000000000000e+02,  7.199999999999999e+00,  2.801600000000000e+01
122         ,  2.014000729838491e+02,  2.048400682160666e+02,  1.032000000000000e+02,  1.496000000000000e+01,  7.196950000000000e+01
54          ,  8.998190321387162e+01,  8.431032788860477e+01,  1.166000000000000e+02,  8.399999999999999e+00,  3.770733333400000e+01
50          ,  1.144884087492389e+02,  1.133626255421070e+02,  1.014000000000000e+02,  1.020000000000000e+01,  4.260383333400000e+01
104         ,  1.531720861969143e+02,  1.510446243528562e+02,  1.022000000000000e+02,  1.156000000000000e+01,  5.692583333399999e+01
46          ,  6.638274984747244e+01,  6.971826648975150e+01,  1.226000000000000e+02,  8.399999999999999e+00,  3.156866666600000e+01
105         ,  6.260542136940490e+01,  6.663334615141362e+01,  1.074000000000000e+02,  6.480000000000000e+00,  3.382675000000000e+01
61          ,  1.513414191693852e+02,  1.565471183384518e+02,  8.239999999999999e+01,  1.368000000000000e+01,  4.768650000000000e+01
141         ,  5.908637035915022e+01,  5.564580542594276e+01,  8.959999999999999e+01,  6.720000000000000e+00,  2.355466666600000e+01
79          ,  6.172344219415545e+01,  6.234923484854365e+01,  1.230000000000000e+02,  7.199999999999999e+00,  3.232733333400000e+01
136         ,  1.878481455563482e+02,  1.746366893944248e+02,  1.298000000000000e+02,  1.200000000000000e+01,  7.319500000000001e+01
41          ,  8.588925575648324e+01,  8.528403755773610e+01,  1.314000000000000e+02,  9.600000000000001e+00,  3.694250000000000e+01
90          ,  1.323141358213091e+02,  1.367713465478264e+02,  7.680000000000000e+01,  1.280000000000000e+01,  3.967650000000000e+01
88          ,  1.252802886728060e+02,  1.383383506518743e+02,  9.800000000000000e+01,  9.600000000000001e+00,  5.678783333400000e+01
126         ,  7.603223118739854e+01,  6.842845666022967e+01,  1.232000000000000e+02,  8.160000000000000e+00,  3.192500000000000e+01
57          ,  1.280373015126955e+02,  1.111482727527846e+02,  1.034000000000000e+02,  1.020000000000000e+01,  4.190493678599999e+01
