# c0 + a0 * (ave:vdw_radius_uff * ave:covalent_radius_pyykko_triple)
# Property Label: $Volume$; Unit of the Property: AA^3
# RMSE: 12.8099748361108; Max AE: 42.3269020693488
# Coefficients
# Task   a0                      c0
# all ,  5.343181036154792e-03, -7.946660910959432e+01, 
# Feature Rung, Units, and Expressions
# 0;  1; pm^2;                                             55|11|mult; (ave:vdw_radius_uff * ave:covalent_radius_pyykko_triple); $\left(ave:vdw_{radius, uff} ave:covalent_{radius, pyykko, triple}\right)$; (ave:vdw_radius_uff .* ave:covalent_radius_pyykko_triple); ave:vdw_radius_uff,ave:covalent_radius_pyykko_triple
# Number of Samples Per Task
# Task, n_mats_train            
# all , 103                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      
64          ,  9.806170819706537e+01,  7.049977592528305e+01,  2.806687327644813e+04
69          ,  7.310044637476960e+01,  7.294786504668670e+01,  2.852504400000000e+04
11          ,  1.617034912836585e+02,  1.675929391909369e+02,  4.623828888237092e+04
110         ,  1.562326241405194e+02,  1.727079793751732e+02,  4.719559131132199e+04
113         ,  7.050822380170608e+01,  6.662729874314016e+01,  2.734212201761194e+04
55          ,  1.465164071687489e+02,  1.645671923955839e+02,  4.567200696624658e+04
45          ,  6.922252251530169e+01,  7.780344524144117e+01,  2.943378734257047e+04
4           ,  7.851117738952721e+01,  6.844995529390373e+01,  2.768324026504366e+04
26          ,  5.966202570927710e+01,  7.082486365419403e+01,  2.812771488497894e+04
124         ,  1.885207260436857e+02,  1.798113536808435e+02,  4.852501927896994e+04
31          ,  8.459240483249847e+01,  8.817680728141781e+01,  3.137520800000000e+04
98          ,  1.892571838929967e+02,  1.932245062505277e+02,  5.103535019961884e+04
36          ,  1.804786609572536e+02,  1.826751654306706e+02,  4.906099433398848e+04
16          ,  1.473017585346737e+02,  1.338338916018676e+02,  3.992013358113039e+04
10          ,  1.071503545301096e+02,  9.902901397707029e+01,  3.340624655591280e+04
93          ,  1.586721939022781e+02,  1.515393571833550e+02,  4.323378989591417e+04
111         ,  9.534692245017716e+01,  8.976554873070805e+01,  3.167254800000000e+04
42          ,  1.922420330482679e+02,  1.902971528789973e+02,  5.048748304862351e+04
118         ,  5.345461156622450e+01,  6.209635593491166e+01,  2.649413600000000e+04
96          ,  9.458888504929534e+01,  9.999156369766669e+01,  3.358639200000000e+04
60          ,  6.700355961656858e+01,  7.451600264810637e+01,  2.881852789860063e+04
0           ,  1.324521624992106e+02,  1.428390492466231e+02,  4.160548872515823e+04
84          ,  1.874396857101914e+02,  1.718140951395616e+02,  4.702829691692226e+04
28          ,  9.362157646373184e+01,  7.930716775118923e+01,  2.971521567142047e+04
